filename,config,fc_number,strut_number,location_id,thickness_mm,scf,thickness_correction_factor,total_cycles_per_year,total_damage_rate_per_year,fatigue_life_years,design_life_years,safety_margin
fsts_l015_125km3_l100_pb_FC001_Strut2_loc06_stress_rainflow,fsts_l015_125km3_l100_pb,001,2,loc06,20.0,1.15,0.9764540896763105,12030400.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC001_Strut2_loc10_stress_rainflow,fsts_l015_125km3_l100_pb,001,2,loc10,50.0,1.15,1.2278260149096119,12030400.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC001_Strut3_loc03_stress_rainflow,fsts_l015_125km3_l100_pb,001,3,loc03,25.0,1.15,1.0324744944927464,11386540.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC001_Strut3_loc05_stress_rainflow,fsts_l015_125km3_l100_pb,001,3,loc05,18.0,1.15,0.9510699415570292,11386540.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC001_Strut3_loc06_stress_rainflow,fsts_l015_125km3_l100_pb,001,3,loc06,20.0,1.15,0.9764540896763105,11386540.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC001_Strut3_loc07_stress_rainflow,fsts_l015_125km3_l100_pb,001,3,loc07,20.0,1.15,0.9764540896763105,11386540.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC001_Strut3_loc09_stress_rainflow,fsts_l015_125km3_l100_pb,001,3,loc09,50.0,1.15,1.2278260149096119,11386540.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC001_Strut3_loc10_stress_rainflow,fsts_l015_125km3_l100_pb,001,3,loc10,50.0,1.15,1.2278260149096119,11386540.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC001_Strut4_loc02_stress_rainflow,fsts_l015_125km3_l100_pb,001,4,loc02,25.0,2.0,1.0324744944927464,13093280.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC001_Strut4_loc03_stress_rainflow,fsts_l015_125km3_l100_pb,001,4,loc03,25.0,1.15,1.0324744944927464,13093280.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC001_Strut4_loc06_stress_rainflow,fsts_l015_125km3_l100_pb,001,4,loc06,20.0,1.15,0.9764540896763105,13093280.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC001_Strut4_loc05_stress_rainflow,fsts_l015_125km3_l100_pb,001,4,loc05,18.0,1.15,0.9510699415570292,13093280.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC001_Strut4_loc07_stress_rainflow,fsts_l015_125km3_l100_pb,001,4,loc07,20.0,1.15,0.9764540896763105,13093280.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC001_Strut4_loc09_stress_rainflow,fsts_l015_125km3_l100_pb,001,4,loc09,50.0,1.15,1.2278260149096119,13093280.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC001_Strut4_loc10_stress_rainflow,fsts_l015_125km3_l100_pb,001,4,loc10,50.0,1.15,1.2278260149096119,13093280.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC001_Strut5_loc02_stress_rainflow,fsts_l015_125km3_l100_pb,001,5,loc02,25.0,2.0,1.0324744944927464,11990980.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC001_Strut5_loc03_stress_rainflow,fsts_l015_125km3_l100_pb,001,5,loc03,25.0,1.15,1.0324744944927464,11990980.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC001_Strut5_loc05_stress_rainflow,fsts_l015_125km3_l100_pb,001,5,loc05,18.0,1.15,0.9510699415570292,11990980.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC001_Strut5_loc06_stress_rainflow,fsts_l015_125km3_l100_pb,001,5,loc06,20.0,1.15,0.9764540896763105,11990980.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC001_Strut5_loc07_stress_rainflow,fsts_l015_125km3_l100_pb,001,5,loc07,20.0,1.15,0.9764540896763105,11990980.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC001_Strut5_loc09_stress_rainflow,fsts_l015_125km3_l100_pb,001,5,loc09,50.0,1.15,1.2278260149096119,11990980.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC001_Strut5_loc10_stress_rainflow,fsts_l015_125km3_l100_pb,001,5,loc10,50.0,1.15,1.2278260149096119,11990980.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC001_Strut6_loc02_stress_rainflow,fsts_l015_125km3_l100_pb,001,6,loc02,25.0,2.0,1.0324744944927464,9336700.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC001_Strut6_loc03_stress_rainflow,fsts_l015_125km3_l100_pb,001,6,loc03,25.0,1.15,1.0324744944927464,9336700.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC001_Strut6_loc05_stress_rainflow,fsts_l015_125km3_l100_pb,001,6,loc05,18.0,1.15,0.9510699415570292,9336700.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC001_Strut6_loc06_stress_rainflow,fsts_l015_125km3_l100_pb,001,6,loc06,20.0,1.15,0.9764540896763105,9336700.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC001_Strut6_loc07_stress_rainflow,fsts_l015_125km3_l100_pb,001,6,loc07,20.0,1.15,0.9764540896763105,9336700.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC001_Strut6_loc09_stress_rainflow,fsts_l015_125km3_l100_pb,001,6,loc09,50.0,1.15,1.2278260149096119,9336700.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC001_Strut6_loc10_stress_rainflow,fsts_l015_125km3_l100_pb,001,6,loc10,50.0,1.15,1.2278260149096119,9336700.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC001_Strut7_loc03_stress_rainflow,fsts_l015_125km3_l100_pb,001,7,loc03,25.0,1.15,1.0324744944927464,10444840.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC001_Strut7_loc02_stress_rainflow,fsts_l015_125km3_l100_pb,001,7,loc02,25.0,2.0,1.0324744944927464,10444840.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC001_Strut7_loc05_stress_rainflow,fsts_l015_125km3_l100_pb,001,7,loc05,18.0,1.15,0.9510699415570292,10444840.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC001_Strut7_loc06_stress_rainflow,fsts_l015_125km3_l100_pb,001,7,loc06,20.0,1.15,0.9764540896763105,10444840.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC001_Strut7_loc07_stress_rainflow,fsts_l015_125km3_l100_pb,001,7,loc07,20.0,1.15,0.9764540896763105,10444840.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC001_Strut7_loc09_stress_rainflow,fsts_l015_125km3_l100_pb,001,7,loc09,50.0,1.15,1.2278260149096119,10444840.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC001_Strut7_loc10_stress_rainflow,fsts_l015_125km3_l100_pb,001,7,loc10,50.0,1.15,1.2278260149096119,10444840.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC001_Strut8_loc02_stress_rainflow,fsts_l015_125km3_l100_pb,001,8,loc02,25.0,2.0,1.0324744944927464,11383620.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC001_Strut8_loc03_stress_rainflow,fsts_l015_125km3_l100_pb,001,8,loc03,25.0,1.15,1.0324744944927464,11383620.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC001_Strut8_loc05_stress_rainflow,fsts_l015_125km3_l100_pb,001,8,loc05,18.0,1.15,0.9510699415570292,11383620.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC001_Strut8_loc09_stress_rainflow,fsts_l015_125km3_l100_pb,001,8,loc09,50.0,1.15,1.2278260149096119,11383620.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC001_Strut8_loc06_stress_rainflow,fsts_l015_125km3_l100_pb,001,8,loc06,20.0,1.15,0.9764540896763105,11383620.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC001_Strut8_loc07_stress_rainflow,fsts_l015_125km3_l100_pb,001,8,loc07,20.0,1.15,0.9764540896763105,11383620.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC002_Strut1_loc02_stress_rainflow,fsts_l015_125km3_l100_pb,002,1,loc02,25.0,2.0,1.0324744944927464,14126960.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC001_Strut8_loc10_stress_rainflow,fsts_l015_125km3_l100_pb,001,8,loc10,50.0,1.15,1.2278260149096119,11383620.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC002_Strut1_loc03_stress_rainflow,fsts_l015_125km3_l100_pb,002,1,loc03,25.0,1.15,1.0324744944927464,14126960.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC002_Strut1_loc05_stress_rainflow,fsts_l015_125km3_l100_pb,002,1,loc05,18.0,1.15,0.9510699415570292,14126960.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC002_Strut1_loc07_stress_rainflow,fsts_l015_125km3_l100_pb,002,1,loc07,20.0,1.15,0.9764540896763105,14126960.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC002_Strut1_loc06_stress_rainflow,fsts_l015_125km3_l100_pb,002,1,loc06,20.0,1.15,0.9764540896763105,14126960.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC002_Strut1_loc09_stress_rainflow,fsts_l015_125km3_l100_pb,002,1,loc09,50.0,1.15,1.2278260149096119,14126960.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC002_Strut1_loc10_stress_rainflow,fsts_l015_125km3_l100_pb,002,1,loc10,50.0,1.15,1.2278260149096119,14126960.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC002_Strut2_loc02_stress_rainflow,fsts_l015_125km3_l100_pb,002,2,loc02,25.0,2.0,1.0324744944927464,12053760.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC002_Strut2_loc03_stress_rainflow,fsts_l015_125km3_l100_pb,002,2,loc03,25.0,1.15,1.0324744944927464,12053760.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC002_Strut2_loc05_stress_rainflow,fsts_l015_125km3_l100_pb,002,2,loc05,18.0,1.15,0.9510699415570292,12053760.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC002_Strut2_loc06_stress_rainflow,fsts_l015_125km3_l100_pb,002,2,loc06,20.0,1.15,0.9764540896763105,12053760.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC002_Strut2_loc07_stress_rainflow,fsts_l015_125km3_l100_pb,002,2,loc07,20.0,1.15,0.9764540896763105,12053760.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC002_Strut3_loc02_stress_rainflow,fsts_l015_125km3_l100_pb,002,3,loc02,25.0,2.0,1.0324744944927464,11479980.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC002_Strut2_loc09_stress_rainflow,fsts_l015_125km3_l100_pb,002,2,loc09,50.0,1.15,1.2278260149096119,12053760.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC002_Strut2_loc10_stress_rainflow,fsts_l015_125km3_l100_pb,002,2,loc10,50.0,1.15,1.2278260149096119,12053760.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC002_Strut3_loc03_stress_rainflow,fsts_l015_125km3_l100_pb,002,3,loc03,25.0,1.15,1.0324744944927464,11479980.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC002_Strut3_loc06_stress_rainflow,fsts_l015_125km3_l100_pb,002,3,loc06,20.0,1.15,0.9764540896763105,11479980.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC002_Strut3_loc05_stress_rainflow,fsts_l015_125km3_l100_pb,002,3,loc05,18.0,1.15,0.9510699415570292,11479980.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC002_Strut3_loc07_stress_rainflow,fsts_l015_125km3_l100_pb,002,3,loc07,20.0,1.15,0.9764540896763105,11479980.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC002_Strut3_loc09_stress_rainflow,fsts_l015_125km3_l100_pb,002,3,loc09,50.0,1.15,1.2278260149096119,11479980.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC002_Strut3_loc10_stress_rainflow,fsts_l015_125km3_l100_pb,002,3,loc10,50.0,1.15,1.2278260149096119,11479980.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC002_Strut4_loc03_stress_rainflow,fsts_l015_125km3_l100_pb,002,4,loc03,25.0,1.15,1.0324744944927464,13104960.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC002_Strut4_loc02_stress_rainflow,fsts_l015_125km3_l100_pb,002,4,loc02,25.0,2.0,1.0324744944927464,13104960.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC002_Strut4_loc05_stress_rainflow,fsts_l015_125km3_l100_pb,002,4,loc05,18.0,1.15,0.9510699415570292,13104960.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC002_Strut4_loc06_stress_rainflow,fsts_l015_125km3_l100_pb,002,4,loc06,20.0,1.15,0.9764540896763105,13104960.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC002_Strut4_loc07_stress_rainflow,fsts_l015_125km3_l100_pb,002,4,loc07,20.0,1.15,0.9764540896763105,13104960.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC002_Strut4_loc09_stress_rainflow,fsts_l015_125km3_l100_pb,002,4,loc09,50.0,1.15,1.2278260149096119,13104960.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC002_Strut4_loc10_stress_rainflow,fsts_l015_125km3_l100_pb,002,4,loc10,50.0,1.15,1.2278260149096119,13104960.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC002_Strut5_loc03_stress_rainflow,fsts_l015_125km3_l100_pb,002,5,loc03,25.0,1.15,1.0324744944927464,12166180.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC002_Strut5_loc02_stress_rainflow,fsts_l015_125km3_l100_pb,002,5,loc02,25.0,2.0,1.0324744944927464,12166180.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC002_Strut5_loc05_stress_rainflow,fsts_l015_125km3_l100_pb,002,5,loc05,18.0,1.15,0.9510699415570292,12166180.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC002_Strut5_loc06_stress_rainflow,fsts_l015_125km3_l100_pb,002,5,loc06,20.0,1.15,0.9764540896763105,12166180.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC002_Strut5_loc10_stress_rainflow,fsts_l015_125km3_l100_pb,002,5,loc10,50.0,1.15,1.2278260149096119,12166180.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC002_Strut5_loc07_stress_rainflow,fsts_l015_125km3_l100_pb,002,5,loc07,20.0,1.15,0.9764540896763105,12166180.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC002_Strut5_loc09_stress_rainflow,fsts_l015_125km3_l100_pb,002,5,loc09,50.0,1.15,1.2278260149096119,12166180.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC002_Strut6_loc02_stress_rainflow,fsts_l015_125km3_l100_pb,002,6,loc02,25.0,2.0,1.0324744944927464,9836020.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC002_Strut6_loc03_stress_rainflow,fsts_l015_125km3_l100_pb,002,6,loc03,25.0,1.15,1.0324744944927464,9836020.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC002_Strut6_loc05_stress_rainflow,fsts_l015_125km3_l100_pb,002,6,loc05,18.0,1.15,0.9510699415570292,9836020.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC002_Strut6_loc06_stress_rainflow,fsts_l015_125km3_l100_pb,002,6,loc06,20.0,1.15,0.9764540896763105,9836020.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC002_Strut6_loc07_stress_rainflow,fsts_l015_125km3_l100_pb,002,6,loc07,20.0,1.15,0.9764540896763105,9836020.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC002_Strut6_loc09_stress_rainflow,fsts_l015_125km3_l100_pb,002,6,loc09,50.0,1.15,1.2278260149096119,9836020.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC002_Strut6_loc10_stress_rainflow,fsts_l015_125km3_l100_pb,002,6,loc10,50.0,1.15,1.2278260149096119,9836020.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC002_Strut7_loc02_stress_rainflow,fsts_l015_125km3_l100_pb,002,7,loc02,25.0,2.0,1.0324744944927464,11144180.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC002_Strut7_loc03_stress_rainflow,fsts_l015_125km3_l100_pb,002,7,loc03,25.0,1.15,1.0324744944927464,11144180.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC002_Strut7_loc05_stress_rainflow,fsts_l015_125km3_l100_pb,002,7,loc05,18.0,1.15,0.9510699415570292,11144180.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC002_Strut7_loc09_stress_rainflow,fsts_l015_125km3_l100_pb,002,7,loc09,50.0,1.15,1.2278260149096119,11144180.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC002_Strut7_loc06_stress_rainflow,fsts_l015_125km3_l100_pb,002,7,loc06,20.0,1.15,0.9764540896763105,11144180.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC002_Strut7_loc07_stress_rainflow,fsts_l015_125km3_l100_pb,002,7,loc07,20.0,1.15,0.9764540896763105,11144180.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC002_Strut7_loc10_stress_rainflow,fsts_l015_125km3_l100_pb,002,7,loc10,50.0,1.15,1.2278260149096119,11144180.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC002_Strut8_loc02_stress_rainflow,fsts_l015_125km3_l100_pb,002,8,loc02,25.0,2.0,1.0324744944927464,11406980.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC002_Strut8_loc03_stress_rainflow,fsts_l015_125km3_l100_pb,002,8,loc03,25.0,1.15,1.0324744944927464,11406980.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC002_Strut8_loc05_stress_rainflow,fsts_l015_125km3_l100_pb,002,8,loc05,18.0,1.15,0.9510699415570292,11406980.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC002_Strut8_loc06_stress_rainflow,fsts_l015_125km3_l100_pb,002,8,loc06,20.0,1.15,0.9764540896763105,11406980.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC002_Strut8_loc09_stress_rainflow,fsts_l015_125km3_l100_pb,002,8,loc09,50.0,1.15,1.2278260149096119,11406980.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC002_Strut8_loc07_stress_rainflow,fsts_l015_125km3_l100_pb,002,8,loc07,20.0,1.15,0.9764540896763105,11406980.0,0.0,inf,inf,inf
fsts_l015_FC001_Strut1_loc02_stress_rainflow,fsts_l015,001,1,loc02,25.0,2.0,1.0324744944927464,14178060.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC002_Strut8_loc10_stress_rainflow,fsts_l015_125km3_l100_pb,002,8,loc10,50.0,1.15,1.2278260149096119,11406980.0,0.0,inf,inf,inf
fsts_l015_FC001_Strut1_loc05_stress_rainflow,fsts_l015,001,1,loc05,18.0,1.15,0.9510699415570292,14178060.0,0.0,inf,inf,inf
fsts_l015_FC001_Strut1_loc03_stress_rainflow,fsts_l015,001,1,loc03,25.0,1.15,1.0324744944927464,14178060.0,0.0,inf,inf,inf
fsts_l015_FC001_Strut1_loc06_stress_rainflow,fsts_l015,001,1,loc06,20.0,1.15,0.9764540896763105,14178060.0,0.0,inf,inf,inf
fsts_l015_FC001_Strut1_loc07_stress_rainflow,fsts_l015,001,1,loc07,20.0,1.15,0.9764540896763105,14178060.0,0.0,inf,inf,inf
fsts_l015_FC001_Strut1_loc09_stress_rainflow,fsts_l015,001,1,loc09,50.0,1.15,1.2278260149096119,14178060.0,0.0,inf,inf,inf
fsts_l015_FC001_Strut1_loc10_stress_rainflow,fsts_l015,001,1,loc10,50.0,1.15,1.2278260149096119,14178060.0,0.0,inf,inf,inf
fsts_l015_FC001_Strut2_loc02_stress_rainflow,fsts_l015,001,2,loc02,25.0,2.0,1.0324744944927464,13744440.0,0.0,inf,inf,inf
fsts_l015_FC001_Strut2_loc06_stress_rainflow,fsts_l015,001,2,loc06,20.0,1.15,0.9764540896763105,13744440.0,0.0,inf,inf,inf
fsts_l015_FC001_Strut2_loc03_stress_rainflow,fsts_l015,001,2,loc03,25.0,1.15,1.0324744944927464,13744440.0,0.0,inf,inf,inf
fsts_l015_FC001_Strut2_loc05_stress_rainflow,fsts_l015,001,2,loc05,18.0,1.15,0.9510699415570292,13744440.0,0.0,inf,inf,inf
fsts_l015_FC001_Strut2_loc09_stress_rainflow,fsts_l015,001,2,loc09,50.0,1.15,1.2278260149096119,13744440.0,0.0,inf,inf,inf
fsts_l015_FC001_Strut2_loc07_stress_rainflow,fsts_l015,001,2,loc07,20.0,1.15,0.9764540896763105,13744440.0,0.0,inf,inf,inf
fsts_l015_FC001_Strut2_loc10_stress_rainflow,fsts_l015,001,2,loc10,50.0,1.15,1.2278260149096119,13744440.0,0.0,inf,inf,inf
fsts_l015_FC001_Strut3_loc02_stress_rainflow,fsts_l015,001,3,loc02,25.0,2.0,1.0324744944927464,14270040.0,0.0,inf,inf,inf
fsts_l015_FC001_Strut3_loc05_stress_rainflow,fsts_l015,001,3,loc05,18.0,1.15,0.9510699415570292,14270040.0,0.0,inf,inf,inf
fsts_l015_FC001_Strut3_loc07_stress_rainflow,fsts_l015,001,3,loc07,20.0,1.15,0.9764540896763105,14270040.0,0.0,inf,inf,inf
fsts_l015_FC001_Strut3_loc03_stress_rainflow,fsts_l015,001,3,loc03,25.0,1.15,1.0324744944927464,14270040.0,0.0,inf,inf,inf
fsts_l015_FC001_Strut3_loc06_stress_rainflow,fsts_l015,001,3,loc06,20.0,1.15,0.9764540896763105,14270040.0,0.0,inf,inf,inf
fsts_l015_FC001_Strut3_loc09_stress_rainflow,fsts_l015,001,3,loc09,50.0,1.15,1.2278260149096119,14270040.0,0.0,inf,inf,inf
fsts_l015_FC001_Strut3_loc10_stress_rainflow,fsts_l015,001,3,loc10,50.0,1.15,1.2278260149096119,14270040.0,0.0,inf,inf,inf
fsts_l015_FC001_Strut4_loc02_stress_rainflow,fsts_l015,001,4,loc02,25.0,2.0,1.0324744944927464,13486020.0,0.0,inf,inf,inf
fsts_l015_FC001_Strut4_loc05_stress_rainflow,fsts_l015,001,4,loc05,18.0,1.15,0.9510699415570292,13486020.0,0.0,inf,inf,inf
fsts_l015_FC001_Strut4_loc03_stress_rainflow,fsts_l015,001,4,loc03,25.0,1.15,1.0324744944927464,13486020.0,0.0,inf,inf,inf
fsts_l015_FC001_Strut4_loc06_stress_rainflow,fsts_l015,001,4,loc06,20.0,1.15,0.9764540896763105,13486020.0,0.0,inf,inf,inf
fsts_l015_FC001_Strut4_loc07_stress_rainflow,fsts_l015,001,4,loc07,20.0,1.15,0.9764540896763105,13486020.0,0.0,inf,inf,inf
fsts_l015_FC001_Strut4_loc09_stress_rainflow,fsts_l015,001,4,loc09,50.0,1.15,1.2278260149096119,13486020.0,0.0,inf,inf,inf
fsts_l015_FC001_Strut4_loc10_stress_rainflow,fsts_l015,001,4,loc10,50.0,1.15,1.2278260149096119,13486020.0,0.0,inf,inf,inf
fsts_l015_FC001_Strut5_loc02_stress_rainflow,fsts_l015,001,5,loc02,25.0,2.0,1.0324744944927464,14024760.0,0.0,inf,inf,inf
fsts_l015_FC001_Strut5_loc03_stress_rainflow,fsts_l015,001,5,loc03,25.0,1.15,1.0324744944927464,14024760.0,0.0,inf,inf,inf
fsts_l015_FC001_Strut5_loc05_stress_rainflow,fsts_l015,001,5,loc05,18.0,1.15,0.9510699415570292,14024760.0,0.0,inf,inf,inf
fsts_l015_FC001_Strut5_loc06_stress_rainflow,fsts_l015,001,5,loc06,20.0,1.15,0.9764540896763105,14024760.0,0.0,inf,inf,inf
fsts_l015_FC001_Strut5_loc09_stress_rainflow,fsts_l015,001,5,loc09,50.0,1.15,1.2278260149096119,14024760.0,0.0,inf,inf,inf
fsts_l015_FC001_Strut5_loc10_stress_rainflow,fsts_l015,001,5,loc10,50.0,1.15,1.2278260149096119,14024760.0,0.0,inf,inf,inf
