location ID,config,tension range (kN),stress range (Mpa)
2, fsts_l095_mwl,800,7.95485695
2, fsts_l095_mwl,900,8.949214069
2, fsts_l095_mwl,1000,9.943571188
2, fsts_l095_mwl,1100,10.93792831
2, fsts_l095_mwl,1200,11.93228543
2, fsts_l095_mwl,1300,12.92664254
2, fsts_l095_mwl,1400,13.92099966
2, fsts_l095_mwl,1500,14.91535678
2, fsts_l095_mwl,1600,15.9097139
2, fsts_l095_mwl,1700,16.90407102
2, fsts_l095_mwl,1800,17.89842814
2, fsts_l095_mwl,1900,18.89278526
2, fsts_l095_mwl,2000,19.88714238
2, fsts_l095_mwl,2100,20.88149949
2, fsts_l095_mwl,2200,21.87585661
2, fsts_l095_mwl,2300,22.87021373
2, fsts_l095_mwl,2400,23.86457085
2, fsts_l095_mwl,2500,24.85892797
2, fsts_l095_mwl,2600,25.85328509
2, fsts_l095_mwl,2700,26.84764221
2, fsts_l095_mwl,2800,27.84199933
2, fsts_l095_mwl,2900,28.83635645
2, fsts_l095_mwl,3000,29.83071356
2, fsts_l095_mwl,3100,30.82507068
2, fsts_l095_mwl,3200,31.8194278
2, fsts_l095_mwl,3300,32.81378492
2, fsts_l095_mwl,3400,33.80814204
2, fsts_l095_mwl,3500,34.80249916
2, fsts_l095_mwl,3600,35.79685628
2, fsts_l095_mwl,3700,36.7912134
2, fsts_l095_mwl,3800,37.78557051
2, fsts_l095_mwl,3900,38.77992763
2, fsts_l095_mwl,4000,39.77428475
3,fsts_l015_mwl,0,0
3,fsts_l015_mwl,100,1.064300421
3,fsts_l015_mwl,200,2.128600842
3,fsts_l015_mwl,300,3.192901263
3,fsts_l015_mwl,400,4.257201684
3,fsts_l015_mwl,500,5.321502105
3,fsts_l015_mwl,600,6.385802526
3,fsts_l015_mwl,700,7.450102947
3,fsts_l015_mwl,800,8.514403368
3,fsts_l015_mwl,900,9.578703789
3,fsts_l015_mwl,1000,10.64300421
3,fsts_l015_mwl,1100,11.70730463
3,fsts_l015_mwl,1200,12.77160505
3,fsts_l015_mwl,1300,13.83590547
3,fsts_l015_mwl,1400,14.90020589
3,fsts_l015_mwl,1500,15.96450632
3,fsts_l015_mwl,1600,17.02880674
3,fsts_l015_mwl,1700,18.09310716
3,fsts_l015_mwl,1800,19.15740758
3,fsts_l015_mwl,1900,20.221708
3,fsts_l015_mwl,2000,21.28600842
3,fsts_l015_mwl,2100,22.35030884
3,fsts_l015_mwl,2200,23.41460926
3,fsts_l015_mwl,2300,24.47890968
3,fsts_l015_mwl,2400,25.5432101
3,fsts_l015_mwl,2500,26.60751053
3,fsts_l015_mwl,2600,27.67181095
3,fsts_l015_mwl,2700,28.73611137
3,fsts_l015_mwl,2800,29.80041179
3,fsts_l015_mwl,2900,30.86471221
3,fsts_l015_mwl,3000,31.92901263
3,fsts_l015_mwl,3100,32.99331305
3,fsts_l015_mwl,3200,34.05761347
3,fsts_l015_mwl,3300,35.12191389
3,fsts_l015_mwl,3400,36.18621431
3,fsts_l015_mwl,3500,37.25051474
3,fsts_l015_mwl,3600,38.31481516
3,fsts_l015_mwl,3700,39.37911558
3,fsts_l015_mwl,3800,40.443416
3,fsts_l015_mwl,3900,41.50771642
3,fsts_l015_mwl,4000,42.57201684
3, fsts_l095_mwl,0,0
3, fsts_l095_mwl,100,1.544150617
3, fsts_l095_mwl,200,3.088301233
3, fsts_l095_mwl,300,4.63245185
3, fsts_l095_mwl,400,6.176602466
3, fsts_l095_mwl,500,7.720753083
3, fsts_l095_mwl,600,9.264903699
3, fsts_l095_mwl,700,10.80905432
3, fsts_l095_mwl,800,12.35320493
3, fsts_l095_mwl,900,13.89735555
3, fsts_l095_mwl,1000,15.44150617
3, fsts_l095_mwl,1100,16.98565678
3, fsts_l095_mwl,1200,18.5298074
3, fsts_l095_mwl,1300,20.07395802
3, fsts_l095_mwl,1400,21.61810863
3, fsts_l095_mwl,1500,23.16225925
3, fsts_l095_mwl,1600,24.70640986
3, fsts_l095_mwl,1700,26.25056048
3, fsts_l095_mwl,1800,27.7947111
3, fsts_l095_mwl,1900,29.33886171
3, fsts_l095_mwl,2000,30.88301233
3, fsts_l095_mwl,2100,32.42716295
3, fsts_l095_mwl,2200,33.97131356
3, fsts_l095_mwl,2300,35.51546418
3, fsts_l095_mwl,2400,37.0596148
3, fsts_l095_mwl,2500,38.60376541
3, fsts_l095_mwl,2600,40.14791603
3, fsts_l095_mwl,2700,41.69206665
3, fsts_l095_mwl,2800,43.23621726
3, fsts_l095_mwl,2900,44.78036788
3, fsts_l095_mwl,3000,46.3245185
3, fsts_l095_mwl,3100,47.86866911
3, fsts_l095_mwl,3200,49.41281973
3, fsts_l095_mwl,3300,50.95697035
3, fsts_l095_mwl,3400,52.50112096
3, fsts_l095_mwl,3500,54.04527158
3, fsts_l095_mwl,3600,55.5894222
3, fsts_l095_mwl,3700,57.13357281
3, fsts_l095_mwl,3800,58.67772343
3, fsts_l095_mwl,3900,60.22187405
3, fsts_l095_mwl,4000,61.76602466
5,fsts_l015_mwl,0,0
5,fsts_l015_mwl,100,2.836507658
5,fsts_l015_mwl,200,5.673015316
5,fsts_l015_mwl,300,8.509522975
5,fsts_l015_mwl,400,11.34603063
5,fsts_l015_mwl,500,14.18253829
5,fsts_l015_mwl,600,17.01904595
5,fsts_l015_mwl,700,19.85555361
5,fsts_l015_mwl,800,22.69206127
5,fsts_l015_mwl,900,25.52856892
5,fsts_l015_mwl,1000,28.36507658
5,fsts_l015_mwl,1100,31.20158424
5,fsts_l015_mwl,1200,34.0380919
5,fsts_l015_mwl,1300,36.87459956
5,fsts_l015_mwl,1400,39.71110722
5,fsts_l015_mwl,1500,42.54761487
5,fsts_l015_mwl,1600,45.38412253
5,fsts_l015_mwl,1700,48.22063019
5,fsts_l015_mwl,1800,51.05713785
5,fsts_l015_mwl,1900,53.89364551
5,fsts_l015_mwl,2000,56.73015316
5,fsts_l015_mwl,2100,59.56666082
5,fsts_l015_mwl,2200,62.40316848
5,fsts_l015_mwl,2300,65.23967614
5,fsts_l015_mwl,2400,68.0761838
5,fsts_l015_mwl,2500,70.91269146
5,fsts_l015_mwl,2600,73.74919911
5,fsts_l015_mwl,2700,76.58570677
5,fsts_l015_mwl,2800,79.42221443
5,fsts_l015_mwl,2900,82.25872209
5,fsts_l015_mwl,3000,85.09522975
5,fsts_l015_mwl,3100,87.93173741
5,fsts_l015_mwl,3200,90.76824506
5,fsts_l015_mwl,3300,93.60475272
5,fsts_l015_mwl,3400,96.44126038
5,fsts_l015_mwl,3500,99.27776804
5,fsts_l015_mwl,3600,102.1142757
5,fsts_l015_mwl,3700,104.9507834
5,fsts_l015_mwl,3800,107.787291
5,fsts_l015_mwl,3900,110.6237987
5,fsts_l015_mwl,4000,113.4603063
5, fsts_l095_mwl,0,0
5, fsts_l095_mwl,100,2.275948364
5, fsts_l095_mwl,200,4.551896728
5, fsts_l095_mwl,300,6.827845092
5, fsts_l095_mwl,400,9.103793456
5, fsts_l095_mwl,500,11.37974182
5, fsts_l095_mwl,600,13.65569018
5, fsts_l095_mwl,700,15.93163855
5, fsts_l095_mwl,800,18.20758691
5, fsts_l095_mwl,900,20.48353528
5, fsts_l095_mwl,1000,22.75948364
5, fsts_l095_mwl,1100,25.035432
5, fsts_l095_mwl,1200,27.31138037
5, fsts_l095_mwl,1300,29.58732873
5, fsts_l095_mwl,1400,31.8632771
5, fsts_l095_mwl,1500,34.13922546
5, fsts_l095_mwl,1600,36.41517382
5, fsts_l095_mwl,1700,38.69112219
5, fsts_l095_mwl,1800,40.96707055
5, fsts_l095_mwl,1900,43.24301892
5, fsts_l095_mwl,2000,45.51896728
5, fsts_l095_mwl,2100,47.79491564
5, fsts_l095_mwl,2200,50.07086401
5, fsts_l095_mwl,2300,52.34681237
5, fsts_l095_mwl,2400,54.62276074
5, fsts_l095_mwl,2500,56.8987091
5, fsts_l095_mwl,2600,59.17465746
5, fsts_l095_mwl,2700,61.45060583
5, fsts_l095_mwl,2800,63.72655419
5, fsts_l095_mwl,2900,66.00250256
5, fsts_l095_mwl,3000,68.27845092
5, fsts_l095_mwl,3100,70.55439928
5, fsts_l095_mwl,3200,72.83034765
5, fsts_l095_mwl,3300,75.10629601
5, fsts_l095_mwl,3400,77.38224438
5, fsts_l095_mwl,3500,79.65819274
5, fsts_l095_mwl,3600,81.9341411
5, fsts_l095_mwl,3700,84.21008947
5, fsts_l095_mwl,3800,86.48603783
5, fsts_l095_mwl,3900,88.76198619
5, fsts_l095_mwl,4000,91.03793456
6,fsts_l015_mwl,0,0
6,fsts_l015_mwl,100,3.182077232
6,fsts_l015_mwl,200,6.364154465
6,fsts_l015_mwl,300,9.546231697
6,fsts_l015_mwl,400,12.72830893
6,fsts_l015_mwl,500,15.91038616
6,fsts_l015_mwl,600,19.09246339
6,fsts_l015_mwl,700,22.27454063
6,fsts_l015_mwl,800,25.45661786
6,fsts_l015_mwl,900,28.63869509
6,fsts_l015_mwl,1000,31.82077232
6,fsts_l015_mwl,1100,35.00284956
6,fsts_l015_mwl,1200,38.18492679
6,fsts_l015_mwl,1300,41.36700402
6,fsts_l015_mwl,1400,44.54908125
6,fsts_l015_mwl,1500,47.73115848
6,fsts_l015_mwl,1600,50.91323572
6,fsts_l015_mwl,1700,54.09531295
6,fsts_l015_mwl,1800,57.27739018
6,fsts_l015_mwl,1900,60.45946741
6,fsts_l015_mwl,2000,63.64154465
6,fsts_l015_mwl,2100,66.82362188
6,fsts_l015_mwl,2200,70.00569911
6,fsts_l015_mwl,2300,73.18777634
6,fsts_l015_mwl,2400,76.36985357
6,fsts_l015_mwl,2500,79.55193081
6,fsts_l015_mwl,2600,82.73400804
6,fsts_l015_mwl,2700,85.91608527
6,fsts_l015_mwl,2800,89.0981625
6,fsts_l015_mwl,2900,92.28023974
6,fsts_l015_mwl,3000,95.46231697
6,fsts_l015_mwl,3100,98.6443942
6,fsts_l015_mwl,3200,101.8264714
6,fsts_l015_mwl,3300,105.0085487
6,fsts_l015_mwl,3400,108.1906259
6,fsts_l015_mwl,3500,111.3727031
6,fsts_l015_mwl,3600,114.5547804
6,fsts_l015_mwl,3700,117.7368576
6,fsts_l015_mwl,3800,120.9189348
6,fsts_l015_mwl,3900,124.1010121
6,fsts_l015_mwl,4000,127.2830893
6, fsts_l095_mwl,0,0
6, fsts_l095_mwl,100,1.997785944
6, fsts_l095_mwl,200,3.995571889
6, fsts_l095_mwl,300,5.993357833
6, fsts_l095_mwl,400,7.991143778
6, fsts_l095_mwl,500,9.988929722
6, fsts_l095_mwl,600,11.98671567
6, fsts_l095_mwl,700,13.98450161
6, fsts_l095_mwl,800,15.98228756
6, fsts_l095_mwl,900,17.9800735
6, fsts_l095_mwl,1000,19.97785944
6, fsts_l095_mwl,1100,21.97564539
6, fsts_l095_mwl,1200,23.97343133
6, fsts_l095_mwl,1300,25.97121728
6, fsts_l095_mwl,1400,27.96900322
6, fsts_l095_mwl,1500,29.96678917
6, fsts_l095_mwl,1600,31.96457511
6, fsts_l095_mwl,1700,33.96236106
6, fsts_l095_mwl,1800,35.960147
6, fsts_l095_mwl,1900,37.95793294
6, fsts_l095_mwl,2000,39.95571889
6, fsts_l095_mwl,2100,41.95350483
6, fsts_l095_mwl,2200,43.95129078
6, fsts_l095_mwl,2300,45.94907672
6, fsts_l095_mwl,2400,47.94686267
6, fsts_l095_mwl,2500,49.94464861
6, fsts_l095_mwl,2600,51.94243456
6, fsts_l095_mwl,2700,53.9402205
6, fsts_l095_mwl,2800,55.93800645
6, fsts_l095_mwl,2900,57.93579239
6, fsts_l095_mwl,3000,59.93357833
6, fsts_l095_mwl,3100,61.93136428
6, fsts_l095_mwl,3200,63.92915022
6, fsts_l095_mwl,3300,65.92693617
6, fsts_l095_mwl,3400,67.92472211
6, fsts_l095_mwl,3500,69.92250806
6, fsts_l095_mwl,3600,71.920294
6, fsts_l095_mwl,3700,73.91807995
6, fsts_l095_mwl,3800,75.91586589
6, fsts_l095_mwl,3900,77.91365183
6, fsts_l095_mwl,4000,79.91143778
7,fsts_l015_mwl,0,0
7,fsts_l015_mwl,100,3.027209921
7,fsts_l015_mwl,200,6.054419842
7,fsts_l015_mwl,300,9.081629763
7,fsts_l015_mwl,400,12.10883968
7,fsts_l015_mwl,500,15.1360496
7,fsts_l015_mwl,600,18.16325953
7,fsts_l015_mwl,700,21.19046945
7,fsts_l015_mwl,800,24.21767937
7,fsts_l015_mwl,900,27.24488929
7,fsts_l015_mwl,1000,30.27209921
7,fsts_l015_mwl,1100,33.29930913
7,fsts_l015_mwl,1200,36.32651905
7,fsts_l015_mwl,1300,39.35372897
7,fsts_l015_mwl,1400,42.38093889
7,fsts_l015_mwl,1500,45.40814881
7,fsts_l015_mwl,1600,48.43535873
7,fsts_l015_mwl,1700,51.46256865
7,fsts_l015_mwl,1800,54.48977858
7,fsts_l015_mwl,1900,57.5169885
7,fsts_l015_mwl,2000,60.54419842
7,fsts_l015_mwl,2100,63.57140834
7,fsts_l015_mwl,2200,66.59861826
7,fsts_l015_mwl,2300,69.62582818
7,fsts_l015_mwl,2400,72.6530381
7,fsts_l015_mwl,2500,75.68024802
7,fsts_l015_mwl,2600,78.70745794
7,fsts_l015_mwl,2700,81.73466786
7,fsts_l015_mwl,2800,84.76187778
7,fsts_l015_mwl,2900,87.78908771
7,fsts_l015_mwl,3000,90.81629763
7,fsts_l015_mwl,3100,93.84350755
7,fsts_l015_mwl,3200,96.87071747
7,fsts_l015_mwl,3300,99.89792739
7,fsts_l015_mwl,3400,102.9251373
7,fsts_l015_mwl,3500,105.9523472
7,fsts_l015_mwl,3600,108.9795572
7,fsts_l015_mwl,3700,112.0067671
7,fsts_l015_mwl,3800,115.033977
7,fsts_l015_mwl,3900,118.0611869
7,fsts_l015_mwl,4000,121.0883968
7, fsts_l095_mwl,0,0
7, fsts_l095_mwl,100,1.988434274
7, fsts_l095_mwl,200,3.976868549
7, fsts_l095_mwl,300,5.965302823
7, fsts_l095_mwl,400,7.953737097
7, fsts_l095_mwl,500,9.942171371
7, fsts_l095_mwl,600,11.93060565
7, fsts_l095_mwl,700,13.91903992
7, fsts_l095_mwl,800,15.90747419
7, fsts_l095_mwl,900,17.89590847
7, fsts_l095_mwl,1000,19.88434274
7, fsts_l095_mwl,1100,21.87277702
7, fsts_l095_mwl,1200,23.86121129
7, fsts_l095_mwl,1300,25.84964557
7, fsts_l095_mwl,1400,27.83807984
7, fsts_l095_mwl,1500,29.82651411
7, fsts_l095_mwl,1600,31.81494839
7, fsts_l095_mwl,1700,33.80338266
7, fsts_l095_mwl,1800,35.79181694
7, fsts_l095_mwl,1900,37.78025121
7, fsts_l095_mwl,2000,39.76868549
7, fsts_l095_mwl,2100,41.75711976
7, fsts_l095_mwl,2200,43.74555403
7, fsts_l095_mwl,2300,45.73398831
7, fsts_l095_mwl,2400,47.72242258
7, fsts_l095_mwl,2500,49.71085686
7, fsts_l095_mwl,2600,51.69929113
7, fsts_l095_mwl,2700,53.68772541
7, fsts_l095_mwl,2800,55.67615968
7, fsts_l095_mwl,2900,57.66459395
7, fsts_l095_mwl,3000,59.65302823
7, fsts_l095_mwl,3100,61.6414625
7, fsts_l095_mwl,3200,63.62989678
7, fsts_l095_mwl,3300,65.61833105
7, fsts_l095_mwl,3400,67.60676533
7, fsts_l095_mwl,3500,69.5951996
7, fsts_l095_mwl,3600,71.58363387
7, fsts_l095_mwl,3700,73.57206815
7, fsts_l095_mwl,3800,75.56050242
7, fsts_l095_mwl,3900,77.5489367
7, fsts_l095_mwl,4000,79.53737097
9,fsts_l015_mwl,0,0
9,fsts_l015_mwl,100,5.14445179
9,fsts_l015_mwl,200,10.28890358
9,fsts_l015_mwl,300,15.43335537
9,fsts_l015_mwl,400,20.57780716
9,fsts_l015_mwl,500,25.72225895
9,fsts_l015_mwl,600,30.86671074
9,fsts_l015_mwl,700,36.01116253
9,fsts_l015_mwl,800,41.15561432
9,fsts_l015_mwl,900,46.30006611
9,fsts_l015_mwl,1000,51.4445179
9,fsts_l015_mwl,1100,56.58896969
9,fsts_l015_mwl,1200,61.73342148
9,fsts_l015_mwl,1300,66.87787327
9,fsts_l015_mwl,1400,72.02232506
9,fsts_l015_mwl,1500,77.16677685
9,fsts_l015_mwl,1600,82.31122864
9,fsts_l015_mwl,1700,87.45568043
9,fsts_l015_mwl,1800,92.60013222
9,fsts_l015_mwl,1900,97.74458401
9,fsts_l015_mwl,2000,102.8890358
9,fsts_l015_mwl,2100,108.0334876
9,fsts_l015_mwl,2200,113.1779394
9,fsts_l015_mwl,2300,118.3223912
9,fsts_l015_mwl,2400,123.466843
9,fsts_l015_mwl,2500,128.6112947
9,fsts_l015_mwl,2600,133.7557465
9,fsts_l015_mwl,2700,138.9001983
9,fsts_l015_mwl,2800,144.0446501
9,fsts_l015_mwl,2900,149.1891019
9,fsts_l015_mwl,3000,154.3335537
9,fsts_l015_mwl,3100,159.4780055
9,fsts_l015_mwl,3200,164.6224573
9,fsts_l015_mwl,3300,169.7669091
9,fsts_l015_mwl,3400,174.9113609
9,fsts_l015_mwl,3500,180.0558126
9,fsts_l015_mwl,3600,185.2002644
9,fsts_l015_mwl,3700,190.3447162
9,fsts_l015_mwl,3800,195.489168
9,fsts_l015_mwl,3900,200.6336198
9,fsts_l015_mwl,4000,205.7780716
9, fsts_l095_mwl,0,0
9, fsts_l095_mwl,100,3.1978583
9, fsts_l095_mwl,200,6.3957166
9, fsts_l095_mwl,300,9.593574899
9, fsts_l095_mwl,400,12.7914332
9, fsts_l095_mwl,500,15.9892915
9, fsts_l095_mwl,600,19.1871498
9, fsts_l095_mwl,700,22.3850081
9, fsts_l095_mwl,800,25.5828664
9, fsts_l095_mwl,900,28.7807247
9, fsts_l095_mwl,1000,31.978583
9, fsts_l095_mwl,1100,35.1764413
9, fsts_l095_mwl,1200,38.3742996
9, fsts_l095_mwl,1300,41.5721579
9, fsts_l095_mwl,1400,44.7700162
9, fsts_l095_mwl,1500,47.9678745
9, fsts_l095_mwl,1600,51.1657328
9, fsts_l095_mwl,1700,54.3635911
9, fsts_l095_mwl,1800,57.5614494
9, fsts_l095_mwl,1900,60.7593077
9, fsts_l095_mwl,2000,63.957166
9, fsts_l095_mwl,2100,67.1550243
9, fsts_l095_mwl,2200,70.3528826
9, fsts_l095_mwl,2300,73.5507409
9, fsts_l095_mwl,2400,76.7485992
9, fsts_l095_mwl,2500,79.9464575
9, fsts_l095_mwl,2600,83.1443158
9, fsts_l095_mwl,2700,86.3421741
9, fsts_l095_mwl,2800,89.5400324
9, fsts_l095_mwl,2900,92.73789069
9, fsts_l095_mwl,3000,95.93574899
9, fsts_l095_mwl,3100,99.13360729
9, fsts_l095_mwl,3200,102.3314656
9, fsts_l095_mwl,3300,105.5293239
9, fsts_l095_mwl,3400,108.7271822
9, fsts_l095_mwl,3500,111.9250405
9, fsts_l095_mwl,3600,115.1228988
9, fsts_l095_mwl,3700,118.3207571
9, fsts_l095_mwl,3800,121.5186154
9, fsts_l095_mwl,3900,124.7164737
9, fsts_l095_mwl,4000,127.914332
10,fsts_l015_mwl,0,0
10,fsts_l015_mwl,100,4.438106913
10,fsts_l015_mwl,200,8.876213827
10,fsts_l015_mwl,300,13.31432074
10,fsts_l015_mwl,400,17.75242765
10,fsts_l015_mwl,500,22.19053457
10,fsts_l015_mwl,600,26.62864148
10,fsts_l015_mwl,700,31.06674839
10,fsts_l015_mwl,800,35.50485531
10,fsts_l015_mwl,900,39.94296222
10,fsts_l015_mwl,1000,44.38106913
10,fsts_l015_mwl,1100,48.81917605
10,fsts_l015_mwl,1200,53.25728296
10,fsts_l015_mwl,1300,57.69538987
10,fsts_l015_mwl,1400,62.13349679
10,fsts_l015_mwl,1500,66.5716037
10,fsts_l015_mwl,1600,71.00971061
10,fsts_l015_mwl,1700,75.44781753
10,fsts_l015_mwl,1800,79.88592444
10,fsts_l015_mwl,1900,84.32403135
10,fsts_l015_mwl,2000,88.76213827
10,fsts_l015_mwl,2100,93.20024518
10,fsts_l015_mwl,2200,97.63835209
10,fsts_l015_mwl,2300,102.076459
10,fsts_l015_mwl,2400,106.5145659
10,fsts_l015_mwl,2500,110.9526728
10,fsts_l015_mwl,2600,115.3907797
10,fsts_l015_mwl,2700,119.8288867
10,fsts_l015_mwl,2800,124.2669936
10,fsts_l015_mwl,2900,128.7051005
10,fsts_l015_mwl,3000,133.1432074
10,fsts_l015_mwl,3100,137.5813143
10,fsts_l015_mwl,3200,142.0194212
10,fsts_l015_mwl,3300,146.4575281
10,fsts_l015_mwl,3400,150.8956351
10,fsts_l015_mwl,3500,155.333742
10,fsts_l015_mwl,3600,159.7718489
10,fsts_l015_mwl,3700,164.2099558
10,fsts_l015_mwl,3800,168.6480627
10,fsts_l015_mwl,3900,173.0861696
10,fsts_l015_mwl,4000,177.5242765
10, fsts_l095_mwl,0,0
10, fsts_l095_mwl,100,2.989162916
10, fsts_l095_mwl,200,5.978325831
10, fsts_l095_mwl,300,8.967488747
10, fsts_l095_mwl,400,11.95665166
10, fsts_l095_mwl,500,14.94581458
10, fsts_l095_mwl,600,17.93497749
10, fsts_l095_mwl,700,20.92414041
10, fsts_l095_mwl,800,23.91330333
10, fsts_l095_mwl,900,26.90246624
10, fsts_l095_mwl,1000,29.89162916
10, fsts_l095_mwl,1100,32.88079207
10, fsts_l095_mwl,1200,35.86995499
10, fsts_l095_mwl,1300,38.8591179
10, fsts_l095_mwl,1400,41.84828082
10, fsts_l095_mwl,1500,44.83744373
10, fsts_l095_mwl,1600,47.82660665
10, fsts_l095_mwl,1700,50.81576957
10, fsts_l095_mwl,1800,53.80493248
10, fsts_l095_mwl,1900,56.7940954
10, fsts_l095_mwl,2000,59.78325831
10, fsts_l095_mwl,2100,62.77242123
10, fsts_l095_mwl,2200,65.76158414
10, fsts_l095_mwl,2300,68.75074706
10, fsts_l095_mwl,2400,71.73990998
10, fsts_l095_mwl,2500,74.72907289
10, fsts_l095_mwl,2600,77.71823581
10, fsts_l095_mwl,2700,80.70739872
10, fsts_l095_mwl,2800,83.69656164
10, fsts_l095_mwl,2900,86.68572455
10, fsts_l095_mwl,3000,89.67488747
10, fsts_l095_mwl,3100,92.66405039
10, fsts_l095_mwl,3200,95.6532133
10, fsts_l095_mwl,3300,98.64237622
10, fsts_l095_mwl,3400,101.6315391
10, fsts_l095_mwl,3500,104.620702
10, fsts_l095_mwl,3600,107.609865
10, fsts_l095_mwl,3700,110.5990279
10, fsts_l095_mwl,3800,113.5881908
10, fsts_l095_mwl,3900,116.5773537
10, fsts_l095_mwl,4000,119.5665166
2, fsts_l015_125km3_l100_pb_mwl,0,0
2, fsts_l015_125km3_l100_pb_mwl,100,1.025811034
2, fsts_l015_125km3_l100_pb_mwl,200,2.051622068
2, fsts_l015_125km3_l100_pb_mwl,300,3.077433103
2, fsts_l015_125km3_l100_pb_mwl,400,4.103244137
2, fsts_l015_125km3_l100_pb_mwl,500,5.129055171
2, fsts_l015_125km3_l100_pb_mwl,600,6.154866205
2, fsts_l015_125km3_l100_pb_mwl,700,7.180677239
2, fsts_l015_125km3_l100_pb_mwl,800,8.206488273
2, fsts_l015_125km3_l100_pb_mwl,900,9.232299308
2, fsts_l015_125km3_l100_pb_mwl,1000,10.25811034
2, fsts_l015_125km3_l100_pb_mwl,1100,11.28392138
2, fsts_l015_125km3_l100_pb_mwl,1200,12.30973241
2, fsts_l015_125km3_l100_pb_mwl,1300,13.33554344
2, fsts_l015_125km3_l100_pb_mwl,1400,14.36135448
2, fsts_l015_125km3_l100_pb_mwl,1500,15.38716551
2, fsts_l015_125km3_l100_pb_mwl,1600,16.41297655
2, fsts_l015_125km3_l100_pb_mwl,1700,17.43878758
2, fsts_l015_125km3_l100_pb_mwl,1800,18.46459862
2, fsts_l015_125km3_l100_pb_mwl,1900,19.49040965
2, fsts_l015_125km3_l100_pb_mwl,2000,20.51622068
2, fsts_l015_125km3_l100_pb_mwl,2100,21.54203172
2, fsts_l015_125km3_l100_pb_mwl,2200,22.56784275
2, fsts_l015_125km3_l100_pb_mwl,2300,23.59365379
2, fsts_l015_125km3_l100_pb_mwl,2400,24.61946482
2, fsts_l015_125km3_l100_pb_mwl,2500,25.64527585
2, fsts_l015_125km3_l100_pb_mwl,2600,26.67108689
2, fsts_l015_125km3_l100_pb_mwl,2700,27.69689792
2, fsts_l015_125km3_l100_pb_mwl,2800,28.72270896
2, fsts_l015_125km3_l100_pb_mwl,2900,29.74851999
2, fsts_l015_125km3_l100_pb_mwl,3000,30.77433103
2, fsts_l015_125km3_l100_pb_mwl,3100,31.80014206
2, fsts_l015_125km3_l100_pb_mwl,3200,32.82595309
2, fsts_l015_125km3_l100_pb_mwl,3300,33.85176413
2, fsts_l015_125km3_l100_pb_mwl,3400,34.87757516
2, fsts_l015_125km3_l100_pb_mwl,3500,35.9033862
2, fsts_l015_125km3_l100_pb_mwl,3600,36.92919723
2, fsts_l015_125km3_l100_pb_mwl,3700,37.95500826
2, fsts_l015_125km3_l100_pb_mwl,3800,38.9808193
2, fsts_l015_125km3_l100_pb_mwl,3900,40.00663033
2, fsts_l015_125km3_l100_pb_mwl,4000,41.03244137
2, fsts_l095_125km3_l000_pb_mwl,0,0
2, fsts_l095_125km3_l000_pb_mwl,100,0.994357119
2, fsts_l095_125km3_l000_pb_mwl,200,1.988714238
2, fsts_l095_125km3_l000_pb_mwl,300,2.983071356
2, fsts_l095_125km3_l000_pb_mwl,400,3.977428475
2, fsts_l095_125km3_l000_pb_mwl,500,4.971785594
2, fsts_l095_125km3_l000_pb_mwl,600,5.966142713
