case_id,lis_file,vessel,lng_load_percent,dof,status,period_s,frequency_rad_s,critical_percent,critical_ratio
lngc_125km3,FSTS_L015_125KM3_L100_PB_HWL.LIS,LNGC,100,pitch,ok,10.0,0.63,32.3,0.32299999999999995
lngc_125km3,FSTS_L015_125KM3_L100_PB_LWL.LIS,LNGC,100,heave,ok,11.0,0.68,58.3,0.583
lngc_125km3,FSTS_L015_125KM3_L100_PB_LWL.LIS,LNGC,100,roll,ok,10.0,0.63,44.5,0.445
lngc_125km3,FSTS_L015_125KM3_L100_PB_LWL.LIS,LNGC,100,pitch,ok,9.0,0.58,35.1,0.35100000000000003
lngc_125km3,FSTS_L015_125KM3_L100_PB_MWL.LIS,LNGC,100,heave,ok,11.0,0.68,51.0,0.51
lngc_125km3,FSTS_L015_125KM3_L100_PB_MWL.LIS,LNGC,100,roll,ok,11.0,0.68,37.0,0.37
lngc_125km3,FSTS_L015_125KM3_L100_PB_MWL.LIS,LNGC,100,pitch,ok,10.0,0.63,31.8,0.318
lngc_125km3,FSTS_L015_125KM3_L100_SB_HWL.LIS,LNGC,100,heave,ok,6.0,0.43,35.9,0.359
lngc_125km3,FSTS_L015_125KM3_L100_SB_HWL.LIS,LNGC,100,roll,ok,4.0,0.33,14.3,0.14300000000000002
lngc_125km3,FSTS_L015_125KM3_L100_SB_HWL.LIS,LNGC,100,pitch,ok,11.0,0.68,27.6,0.276
lngc_125km3,FSTS_L015_125KM3_L100_SB_LWL.LIS,LNGC,100,heave,ok,6.0,0.43,39.3,0.39299999999999996
lngc_125km3,FSTS_L015_125KM3_L100_SB_LWL.LIS,LNGC,100,roll,ok,11.0,0.68,3.4,0.034
lngc_125km3,FSTS_L015_125KM3_L100_SB_LWL.LIS,LNGC,100,pitch,ok,11.0,0.68,30.9,0.309
lngc_125km3,FSTS_L015_125KM3_L100_SB_MWL.LIS,LNGC,100,heave,ok,6.0,0.43,37.2,0.37200000000000005
lngc_125km3,FSTS_L015_125KM3_L100_SB_MWL.LIS,LNGC,100,roll,ok,11.0,0.68,3.2,0.032
lngc_125km3,FSTS_L015_125KM3_L100_SB_MWL.LIS,LNGC,100,pitch,ok,11.0,0.68,28.7,0.287
lngc_125km3,FSTS_L095_125KM3_L000_PB_HWL.LIS,LNGC,0,heave,ok,10.0,0.63,49.1,0.491
lngc_125km3,FSTS_L095_125KM3_L000_PB_HWL.LIS,LNGC,0,roll,ok,11.0,0.68,20.5,0.205
lngc_125km3,FSTS_L095_125KM3_L000_PB_HWL.LIS,LNGC,0,pitch,ok,11.0,0.68,70.0,0.7
lngc_125km3,FSTS_L095_125KM3_L000_PB_LWL.LIS,LNGC,0,heave,ok,11.0,0.68,156.4,1.564
lngc_125km3,FSTS_L095_125KM3_L000_PB_LWL.LIS,LNGC,0,roll,ok,11.0,0.68,30.2,0.302
lngc_125km3,FSTS_L095_125KM3_L000_PB_LWL.LIS,LNGC,0,pitch,ok,10.0,0.63,45.3,0.45299999999999996
lngc_125km3,FSTS_L095_125KM3_L000_PB_MWL.LIS,LNGC,0,heave,ok,11.0,0.68,93.5,0.935
lngc_125km3,FSTS_L095_125KM3_L000_PB_MWL.LIS,LNGC,0,roll,ok,11.0,0.68,24.7,0.247
lngc_125km3,FSTS_L095_125KM3_L000_PB_MWL.LIS,LNGC,0,pitch,ok,11.0,0.68,38.4,0.384
lngc_125km3,FSTS_L095_125KM3_L000_SB_HWL.LIS,LNGC,0,heave,ok,5.0,0.38,30.3,0.303
lngc_125km3,FSTS_L095_125KM3_L000_SB_HWL.LIS,LNGC,0,roll,ok,11.0,0.68,7.6,0.076
lngc_125km3,FSTS_L095_125KM3_L000_SB_HWL.LIS,LNGC,0,pitch,ok,8.0,0.53,22.1,0.221
lngc_125km3,FSTS_L095_125KM3_L000_SB_LWL.LIS,LNGC,0,heave,ok,4.0,0.33,32.6,0.326
lngc_125km3,FSTS_L095_125KM3_L000_SB_LWL.LIS,LNGC,0,roll,ok,11.0,0.68,6.3,0.063
lngc_125km3,FSTS_L095_125KM3_L000_SB_LWL.LIS,LNGC,0,pitch,ok,8.0,0.53,24.1,0.24100000000000002
lngc_125km3,FSTS_L095_125KM3_L000_SB_MWL.LIS,LNGC,0,heave,ok,5.0,0.38,31.2,0.312
lngc_125km3,FSTS_L095_125KM3_L000_SB_MWL.LIS,LNGC,0,roll,ok,11.0,0.68,7.1,0.071
lngc_125km3,FSTS_L095_125KM3_L000_SB_MWL.LIS,LNGC,0,pitch,ok,8.0,0.53,23.0,0.23
lngc_180km3,FSTS_L015_180KM3_L100_PB_HWL.LIS,LNGC,100,heave,ok,11.0,0.68,33.4,0.33399999999999996
lngc_180km3,FSTS_L015_180KM3_L100_PB_HWL.LIS,LNGC,100,roll,ok,11.0,0.68,24.2,0.242
lngc_180km3,FSTS_L015_180KM3_L100_PB_HWL.LIS,LNGC,100,pitch,ok,11.0,0.68,43.8,0.43799999999999994
lngc_180km3,FSTS_L015_180KM3_L100_PB_LWL.LIS,LNGC,100,heave,ok,11.0,0.68,41.6,0.41600000000000004
lngc_180km3,FSTS_L015_180KM3_L100_PB_LWL.LIS,LNGC,100,roll,ok,10.0,0.63,37.6,0.376
lngc_180km3,FSTS_L015_180KM3_L100_PB_LWL.LIS,LNGC,100,pitch,ok,11.0,0.68,52.6,0.526
lngc_180km3,FSTS_L015_180KM3_L100_PB_MWL.LIS,LNGC,100,heave,ok,11.0,0.68,36.0,0.36
lngc_180km3,FSTS_L015_180KM3_L100_PB_MWL.LIS,LNGC,100,roll,ok,10.0,0.63,27.5,0.275
lngc_180km3,FSTS_L015_180KM3_L100_PB_MWL.LIS,LNGC,100,pitch,ok,11.0,0.68,47.8,0.478
lngc_180km3,FSTS_L015_180KM3_L100_SB_HWL.LIS,LNGC,100,heave,ok,6.0,0.43,35.9,0.359
lngc_180km3,FSTS_L015_180KM3_L100_SB_HWL.LIS,LNGC,100,roll,ok,4.0,0.33,14.5,0.145
lngc_180km3,FSTS_L015_180KM3_L100_SB_HWL.LIS,LNGC,100,pitch,ok,11.0,0.68,27.6,0.276
lngc_180km3,FSTS_L015_180KM3_L100_SB_LWL.LIS,LNGC,100,heave,ok,6.0,0.43,39.2,0.392
lngc_180km3,FSTS_L015_180KM3_L100_SB_LWL.LIS,LNGC,100,roll,ok,11.0,0.68,3.4,0.034
lngc_180km3,FSTS_L015_180KM3_L100_SB_LWL.LIS,LNGC,100,pitch,ok,11.0,0.68,30.9,0.309
lngc_180km3,FSTS_L015_180KM3_L100_SB_MWL.LIS,LNGC,100,heave,ok,6.0,0.43,37.2,0.37200000000000005
lngc_180km3,FSTS_L015_180KM3_L100_SB_MWL.LIS,LNGC,100,roll,ok,11.0,0.68,3.2,0.032
lngc_180km3,FSTS_L015_180KM3_L100_SB_MWL.LIS,LNGC,100,pitch,ok,11.0,0.68,28.7,0.287
lngc_180km3,FSTS_L095_180KM3_L000_PB_HWL.LIS,LNGC,0,heave,ok,11.0,0.68,56.3,0.563
lngc_180km3,FSTS_L095_180KM3_L000_PB_HWL.LIS,LNGC,0,roll,ok,11.0,0.68,13.0,0.13
lngc_180km3,FSTS_L095_180KM3_L000_PB_HWL.LIS,LNGC,0,pitch,ok,11.0,0.68,36.8,0.368
lngc_180km3,FSTS_L095_180KM3_L000_PB_LWL.LIS,LNGC,0,heave,ok,10.0,0.63,60.3,0.603
lngc_180km3,FSTS_L095_180KM3_L000_PB_LWL.LIS,LNGC,0,roll,ok,11.0,0.68,21.3,0.213
lngc_180km3,FSTS_L095_180KM3_L000_PB_LWL.LIS,LNGC,0,pitch,ok,11.0,0.68,91.1,0.9109999999999999
lngc_180km3,FSTS_L095_180KM3_L000_PB_MWL.LIS,LNGC,0,heave,ok,11.0,0.68,52.4,0.524
lngc_180km3,FSTS_L095_180KM3_L000_PB_MWL.LIS,LNGC,0,roll,ok,11.0,0.68,16.2,0.162
lngc_180km3,FSTS_L095_180KM3_L000_PB_MWL.LIS,LNGC,0,pitch,ok,11.0,0.68,55.9,0.5589999999999999
lngc_180km3,FSTS_L095_180KM3_L000_SB_HWL.LIS,LNGC,0,heave,ok,5.0,0.38,30.3,0.303
lngc_180km3,FSTS_L095_180KM3_L000_SB_HWL.LIS,LNGC,0,roll,ok,11.0,0.68,7.6,0.076
lngc_180km3,FSTS_L095_180KM3_L000_SB_HWL.LIS,LNGC,0,pitch,ok,8.0,0.53,22.0,0.22
lngc_180km3,FSTS_L095_180KM3_L000_SB_LWL.LIS,LNGC,0,heave,ok,4.0,0.33,32.6,0.326
lngc_180km3,FSTS_L095_180KM3_L000_SB_LWL.LIS,LNGC,0,roll,ok,11.0,0.68,6.3,0.063
lngc_180km3,FSTS_L095_180KM3_L000_SB_LWL.LIS,LNGC,0,pitch,ok,8.0,0.53,24.1,0.24100000000000002
lngc_180km3,FSTS_L095_180KM3_L000_SB_MWL.LIS,LNGC,0,heave,ok,5.0,0.38,31.2,0.312
lngc_180km3,FSTS_L095_180KM3_L000_SB_MWL.LIS,LNGC,0,roll,ok,11.0,0.68,7.1,0.071
lngc_180km3,FSTS_L095_180KM3_L000_SB_MWL.LIS,LNGC,0,pitch,ok,8.0,0.53,23.0,0.23
