case_id,lis_file,vessel,lng_load_percent,dof,status,peak_frequency_rad_s,peak_period_s,peak_rao_rms,nearest_percent_frequency_rad_s,critical_percent,critical_ratio
lngc_125km3,FSTS_L095_125KM3_L000_PB_HWL.LIS,LNGC,0,heave,ok,0.18,35.0,0.9393079624915356,0.18,16.5,0.165
lngc_125km3,FSTS_L095_125KM3_L000_PB_HWL.LIS,LNGC,0,roll,ok,0.18,35.0,30.463471839361976,0.18,0.0,0.0
lngc_125km3,FSTS_L095_125KM3_L000_PB_HWL.LIS,LNGC,0,pitch,ok,0.18,35.0,0.3950398238152706,0.18,4.2,0.042
lngc_125km3,FSTS_L095_125KM3_L000_PB_LWL.LIS,LNGC,0,heave,ok,0.18,35.0,0.9363296276418899,0.18,18.1,0.18100000000000002
lngc_125km3,FSTS_L095_125KM3_L000_PB_LWL.LIS,LNGC,0,roll,ok,0.18,35.0,33.80111718938887,0.18,0.0,0.0
lngc_125km3,FSTS_L095_125KM3_L000_PB_LWL.LIS,LNGC,0,pitch,ok,0.18,35.0,0.4288036044624625,0.18,5.7,0.057
lngc_125km3,FSTS_L095_125KM3_L000_PB_MWL.LIS,LNGC,0,heave,ok,0.18,35.0,0.9377270440805257,0.18,17.1,0.171
lngc_125km3,FSTS_L095_125KM3_L000_PB_MWL.LIS,LNGC,0,roll,ok,0.18,35.0,31.928740808725923,0.18,0.0,0.0
lngc_125km3,FSTS_L095_125KM3_L000_PB_MWL.LIS,LNGC,0,pitch,ok,0.18,35.0,0.4083249989897753,0.18,4.8,0.048
lngc_125km3,FSTS_L095_125KM3_L000_SB_HWL.LIS,LNGC,0,heave,ok,0.18,35.0,0.9367777194190733,0.18,18.7,0.187
lngc_125km3,FSTS_L095_125KM3_L000_SB_HWL.LIS,LNGC,0,roll,ok,0.18,35.0,31.587401947460002,0.18,0.0,0.0
lngc_125km3,FSTS_L095_125KM3_L000_SB_HWL.LIS,LNGC,0,pitch,ok,0.18,35.0,0.393003920591131,0.18,5.0,0.05
lngc_125km3,FSTS_L095_125KM3_L000_SB_LWL.LIS,LNGC,0,heave,ok,0.18,35.0,0.9318993138746267,0.18,16.7,0.16699999999999998
lngc_125km3,FSTS_L095_125KM3_L000_SB_LWL.LIS,LNGC,0,roll,ok,0.18,35.0,34.970440635571066,0.18,0.1,0.001
lngc_125km3,FSTS_L095_125KM3_L000_SB_LWL.LIS,LNGC,0,pitch,ok,0.18,35.0,0.42591844712339,0.18,10.5,0.105
lngc_125km3,FSTS_L095_125KM3_L000_SB_MWL.LIS,LNGC,0,heave,ok,0.18,35.0,0.9345238451746428,0.18,18.8,0.188
lngc_125km3,FSTS_L095_125KM3_L000_SB_MWL.LIS,LNGC,0,roll,ok,0.18,35.0,33.1051551634364,0.18,0.1,0.001
lngc_125km3,FSTS_L095_125KM3_L000_SB_MWL.LIS,LNGC,0,pitch,ok,0.18,35.0,0.40598719684246204,0.18,6.2,0.062
lngc_180km3,FSTS_L015_180KM3_L100_PB_HWL.LIS,LNGC,100,heave,ok,0.18,35.0,0.9312462615226974,0.18,16.7,0.16699999999999998
lngc_180km3,FSTS_L015_180KM3_L100_PB_HWL.LIS,LNGC,100,roll,ok,0.18,35.0,0.5707827800485926,0.18,0.2,0.002
lngc_180km3,FSTS_L015_180KM3_L100_PB_HWL.LIS,LNGC,100,pitch,ok,0.18,35.0,0.40139748629008626,0.18,3.7,0.037000000000000005
lngc_180km3,FSTS_L015_180KM3_L100_PB_LWL.LIS,LNGC,100,heave,ok,0.18,35.0,0.9189794741995058,0.18,18.7,0.187
lngc_180km3,FSTS_L015_180KM3_L100_PB_LWL.LIS,LNGC,100,roll,ok,0.18,35.0,0.6327987825525584,0.18,0.2,0.002
lngc_180km3,FSTS_L015_180KM3_L100_PB_LWL.LIS,LNGC,100,pitch,ok,0.18,35.0,0.43623696221205277,0.18,5.0,0.05
lngc_180km3,FSTS_L015_180KM3_L100_PB_MWL.LIS,LNGC,100,heave,ok,0.18,35.0,0.9264759787495842,0.18,17.5,0.175
lngc_180km3,FSTS_L015_180KM3_L100_PB_MWL.LIS,LNGC,100,roll,ok,0.18,35.0,0.5949872240645172,0.18,0.2,0.002
lngc_180km3,FSTS_L015_180KM3_L100_PB_MWL.LIS,LNGC,100,pitch,ok,0.18,35.0,0.4151599913286443,0.18,4.2,0.042
lngc_180km3,FSTS_L015_180KM3_L100_SB_HWL.LIS,LNGC,100,heave,ok,0.18,35.0,0.9288007706715148,0.18,19.8,0.198
lngc_180km3,FSTS_L015_180KM3_L100_SB_HWL.LIS,LNGC,100,roll,ok,0.18,35.0,0.5696686089297883,0.18,0.2,0.002
lngc_180km3,FSTS_L015_180KM3_L100_SB_HWL.LIS,LNGC,100,pitch,ok,0.18,35.0,0.3980000025125628,0.18,3.9,0.039
lngc_180km3,FSTS_L015_180KM3_L100_SB_LWL.LIS,LNGC,100,heave,ok,0.18,35.0,0.9145155355706102,0.18,21.2,0.212
lngc_180km3,FSTS_L015_180KM3_L100_SB_LWL.LIS,LNGC,100,roll,ok,0.18,35.0,0.6307914828213836,0.18,0.3,0.003
lngc_180km3,FSTS_L015_180KM3_L100_SB_LWL.LIS,LNGC,100,pitch,ok,0.18,35.0,0.4314097583504573,0.18,6.3,0.063
lngc_180km3,FSTS_L015_180KM3_L100_SB_MWL.LIS,LNGC,100,heave,ok,0.18,35.0,0.9233023678080762,0.18,20.6,0.20600000000000002
lngc_180km3,FSTS_L015_180KM3_L100_SB_MWL.LIS,LNGC,100,roll,ok,0.18,35.0,0.593553844903729,0.18,0.2,0.002
lngc_180km3,FSTS_L015_180KM3_L100_SB_MWL.LIS,LNGC,100,pitch,ok,0.18,35.0,0.41124631062174893,0.18,4.5,0.045
lngc_180km3,FSTS_L095_180KM3_L000_PB_HWL.LIS,LNGC,0,heave,ok,0.18,35.0,0.9390473312884713,0.18,16.3,0.163
lngc_180km3,FSTS_L095_180KM3_L000_PB_HWL.LIS,LNGC,0,roll,ok,0.18,35.0,30.090356417157974,0.18,0.0,0.0
lngc_180km3,FSTS_L095_180KM3_L000_PB_HWL.LIS,LNGC,0,pitch,ok,0.18,35.0,0.39526672260639395,0.18,4.2,0.042
lngc_180km3,FSTS_L095_180KM3_L000_PB_LWL.LIS,LNGC,0,heave,ok,0.18,35.0,0.9359818491829849,0.18,17.9,0.179
lngc_180km3,FSTS_L095_180KM3_L000_PB_LWL.LIS,LNGC,0,roll,ok,0.18,35.0,33.364705574963494,0.18,0.0,0.0
lngc_180km3,FSTS_L095_180KM3_L000_PB_LWL.LIS,LNGC,0,pitch,ok,0.18,35.0,0.42918671368065436,0.18,5.6,0.055999999999999994
lngc_180km3,FSTS_L095_180KM3_L000_PB_MWL.LIS,LNGC,0,heave,ok,0.18,35.0,0.9374152085388844,0.18,17.0,0.17
lngc_180km3,FSTS_L095_180KM3_L000_PB_MWL.LIS,LNGC,0,roll,ok,0.18,35.0,31.50889475908668,0.18,0.0,0.0
lngc_180km3,FSTS_L095_180KM3_L000_PB_MWL.LIS,LNGC,0,pitch,ok,0.18,35.0,0.4086159801084632,0.18,4.7,0.047
lngc_180km3,FSTS_L095_180KM3_L000_SB_HWL.LIS,LNGC,0,heave,ok,0.18,35.0,0.9366000525304277,0.18,18.7,0.187
lngc_180km3,FSTS_L095_180KM3_L000_SB_HWL.LIS,LNGC,0,roll,ok,0.18,35.0,31.58613316510269,0.18,0.0,0.0
lngc_180km3,FSTS_L095_180KM3_L000_SB_HWL.LIS,LNGC,0,pitch,ok,0.18,35.0,0.39320092064999035,0.18,4.9,0.049
lngc_180km3,FSTS_L095_180KM3_L000_SB_LWL.LIS,LNGC,0,heave,ok,0.18,35.0,0.9316190397367371,0.18,16.8,0.168
lngc_180km3,FSTS_L095_180KM3_L000_SB_LWL.LIS,LNGC,0,roll,ok,0.18,35.0,34.969739223408574,0.18,0.1,0.001
lngc_180km3,FSTS_L095_180KM3_L000_SB_LWL.LIS,LNGC,0,pitch,ok,0.18,35.0,0.4261855586478735,0.18,10.4,0.10400000000000001
lngc_180km3,FSTS_L095_180KM3_L000_SB_MWL.LIS,LNGC,0,heave,ok,0.18,35.0,0.9342863096503128,0.18,18.8,0.188
lngc_180km3,FSTS_L095_180KM3_L000_SB_MWL.LIS,LNGC,0,roll,ok,0.18,35.0,33.104178491060615,0.18,0.1,0.001
lngc_180km3,FSTS_L095_180KM3_L000_SB_MWL.LIS,LNGC,0,pitch,ok,0.18,35.0,0.40622556394200504,0.18,6.2,0.062
