time_s,original_kN,scaled_kN
10.5,-12.235165,-3.6705495
10.6,-12.051676,-3.6155028
10.7,-11.91849,-3.575547
10.8,-11.792213,-3.5376639
10.9,-11.605714,-3.4817142000000003
11.0,-11.296774,-3.3890321999999995
11.1,-10.857577,-3.2572730999999995
11.2,-10.3162,-3.09486
11.3,-9.684087,-2.9052260999999997
11.4,-8.956043,-2.6868128999999996
11.5,-8.142691,-2.4428072999999997
11.6,-7.297428,-2.1892283999999997
11.7,-6.510927,-1.9532781
11.8,-5.87634,-1.762902
11.9,-5.46726,-1.640178
12.0,-5.312787,-1.5938361
12.1,-5.387489,-1.6162467
12.2,-5.677063,-1.7031189
12.3,-6.220943,-1.8662828999999999
12.4,-7.073339,-2.1220016999999998
12.5,-8.272069,-2.4816207
12.6,-9.784955,-2.9354865
12.7,-11.46977,-3.440931
12.8,-13.15479,-3.946437
12.9,-14.701552,-4.410465599999999
13.0,-16.006367,-4.8019101
13.1,-17.036142,-5.110842600000001
13.2,-17.783131,-5.3349393
13.3,-18.177284,-5.4531852
13.4,-18.15914,-5.447742
13.5,-17.769136,-5.3307408
13.6,-17.081285,-5.1243855
13.7,-16.141439,-4.8424317
13.8,-15.001549,-4.5004647
13.9,-13.726849,-4.1180547
14.0,-12.35745,-3.707235
14.1,-10.917848,-3.2753544
14.2,-9.447428,-2.8342284
14.3,-7.987079,-2.3961237
14.4,-6.571272,-1.9713815999999997
14.5,-5.231612,-1.5694836
14.6,-3.972528,-1.1917583999999999
14.7,-2.779107,-0.8337321000000001
14.8,-1.659596,-0.4978788
14.9,-0.660508,-0.19815239999999998
15.0,0.133114,0.0399342
15.1,0.625353,0.18760590000000002
15.2,0.760867,0.22826009999999997
15.3,0.535008,0.16050240000000002
15.4,-0.02455,-0.007364999999999999
15.5,-0.867073,-0.26012189999999996
15.6,-1.922632,-0.5767895999999999
15.7,-3.109104,-0.9327311999999999
15.8,-4.343493,-1.3030479
15.9,-5.544452,-1.6633356
16.0,-6.637034,-1.9911101999999998
16.1,-7.565017,-2.2695051
16.2,-8.288854,-2.4866562
16.3,-8.778062,-2.6334186
16.4,-9.011084,-2.7033252
16.5,-8.980469,-2.6941406999999997
16.6,-8.694824,-2.6084472
16.7,-8.172668,-2.4518003999999998
16.8,-7.442455,-2.2327364999999997
16.9,-6.539151,-1.9617453
17.0,-5.491507,-1.6474521
17.1,-4.319447,-1.2958341
17.2,-3.158147,-0.9474441
17.3,-2.145468,-0.6436404
17.4,-1.050035,-0.3150105
17.5,0.044219,0.0132657
17.6,1.022751,0.30682529999999997
17.7,1.786619,0.5359857
17.8,2.259327,0.6777981
17.9,2.412917,0.7238751
18.0,2.260592,0.6781775999999999
18.1,1.830622,0.5491866
18.2,1.142716,0.34281480000000003
18.3,0.199752,0.0599256
18.4,-1.007717,-0.3023151
18.5,-2.463423,-0.7390269
18.6,-4.089176,-1.2267528
18.7,-5.7735,-1.73205
18.8,-7.40696,-2.222088
18.9,-8.86456,-2.659368
19.0,-10.009849,-3.0029547
19.1,-10.744083,-3.2232249
19.2,-11.029368,-3.3088104
19.3,-10.878182,-3.2634546
19.4,-10.338976,-3.1016928
19.5,-9.486415,-2.8459244999999997
19.6,-8.418237,-2.5254711
19.7,-7.249157,-2.1747471
19.8,-6.101868,-1.8305603999999998
19.9,-5.093939,-1.5281817
20.0,-4.308265,-1.2924794999999998
20.1,-3.771602,-1.1314806
20.2,-3.472563,-1.0417688999999999
20.3,-3.394524,-1.0183572
20.4,-3.530869,-1.0592607
20.5,-3.889264,-1.1667792
20.6,-4.478822,-1.3436466
20.7,-5.260782,-1.5782345999999998
20.8,-6.117568,-1.8352704
20.9,-6.909653,-2.0728959
21.0,-7.549527,-2.2648581
21.1,-8.001834,-2.4005502
21.2,-8.256531,-2.4769593000000003
21.3,-8.331433,-2.4994299
21.4,-8.266905,-2.4800714999999998
21.5,-8.096444,-2.4289332
21.6,-7.847113,-2.3541339
21.7,-7.555628,-2.2666883999999996
21.8,-7.314995,-2.1944985
21.9,-7.272092,-2.1816275999999997
22.0,-7.238078,-2.1714233999999997
22.1,-7.236021,-2.1708062999999997
22.2,-7.28843,-2.1865289999999997
22.3,-7.383389,-2.2150167
22.4,-7.517175,-2.2551525
22.5,-7.689037,-2.3067111
22.6,-7.875286,-2.3625857999999997
22.7,-8.047548,-2.4142644
22.8,-8.202863,-2.4608589000000003
22.9,-8.337197,-2.5011590999999997
23.0,-8.432583,-2.5297748999999996
23.1,-8.486641,-2.5459923
23.2,-8.523307,-2.5569921
23.3,-8.572821,-2.5718463
23.4,-8.637066,-2.5911198
23.5,-8.680953,-2.6042859000000003
23.6,-8.661839,-2.5985517000000002
23.7,-8.540022,-2.5620066
23.8,-8.280439,-2.4841317
23.9,-7.879172,-2.3637515999999996
24.0,-7.371151,-2.2113453
24.1,-6.806571,-2.0419712999999997
24.2,-6.236824,-1.8710472
24.3,-5.710783,-1.7132349
24.4,-5.264359,-1.5793077
24.5,-4.917364,-1.4752091999999999
24.6,-4.691421,-1.4074263
24.7,-4.634804,-1.3904412
24.8,-4.801418,-1.4404253999999999
24.9,-5.200544,-1.5601631999999999
25.0,-5.8255,-1.74765
25.1,-6.681647,-2.0044941
25.2,-7.712894,-2.3138682
25.3,-8.813601,-2.6440803
25.4,-9.93022,-2.979066
25.5,-11.021644,-3.3064932
25.6,-11.981781,-3.5945343
25.7,-12.703675,-3.8111025
25.8,-13.151626,-3.9454878
25.9,-13.336387,-4.0009160999999995
26.0,-13.282258,-3.9846774
26.1,-13.029096,-3.9087287999999996
26.2,-12.619306,-3.7857917999999997
26.3,-12.074608,-3.6223824
26.4,-11.414074,-3.4242221999999995
26.5,-10.68721,-3.206163
26.6,-9.960063,-2.9880188999999997
26.7,-9.27977,-2.7839309999999995
26.8,-8.679308,-2.6037924
26.9,-8.207044,-2.4621131999999997
27.0,-7.914757,-2.3744270999999997
27.1,-7.804556,-2.3413668
27.2,-7.824374,-2.3473121999999997
27.3,-7.931257,-2.3793770999999997
27.4,-8.12426,-2.4372779999999996
27.5,-8.405926,-2.5217777999999997
27.6,-8.743796,-2.6231388
27.7,-9.105939,-2.7317816999999995
27.8,-9.503495,-2.8510484999999997
27.9,-9.935521,-2.9806562999999997
28.0,-10.344986,-3.1034958
28.1,-10.663783,-3.1991349000000002
28.2,-10.844312,-3.2532936
28.3,-10.883865,-3.2651594999999998
28.4,-10.833672,-3.2501016
28.5,-10.734328,-3.2202984
28.6,-10.587817,-3.1763451
28.7,-10.385677,-3.1157030999999997
28.8,-10.097926,-3.0293778
28.9,-9.693173,-2.9079519
29.0,-9.197517,-2.7592551
29.1,-8.66159,-2.598477
29.2,-8.115846,-2.4347537999999997
29.3,-7.609981,-2.2829943
29.4,-7.199665,-2.1598995
29.5,-6.902827,-2.0708481
29.6,-6.72704,-2.018112
29.7,-6.662685,-1.9988054999999998
29.8,-6.6716,-2.00148
29.9,-6.734277,-2.0202831
30.0,-6.842208,-2.0526624
30.1,-6.969618,-2.0908854
30.2,-7.101568,-2.1304704
30.3,-7.249816,-2.1749448
30.4,-7.422728,-2.2268184
30.5,-7.602124,-2.2806371999999997
30.6,-7.769693,-2.3309079
30.7,-7.928233,-2.3784699
30.8,-8.089806,-2.4269418
30.9,-8.269775,-2.4809324999999998
31.0,-8.460549,-2.5381647
31.1,-8.618034,-2.5854101999999997
31.2,-8.706417,-2.6119251
31.3,-8.717945,-2.6153835
31.4,-8.658662,-2.5975986
31.5,-8.550107,-2.5650321000000003
31.6,-8.408271,-2.5224812999999995
31.7,-8.222601,-2.4667802999999995
31.8,-7.991306,-2.3973918
31.9,-7.734817,-2.3204450999999997
32.0,-7.458866,-2.2376598
32.1,-7.144191,-2.1432573
32.2,-6.764913,-2.0294738999999997
32.3,-6.331934,-1.8995802
32.4,-5.906217,-1.7718650999999999
32.5,-5.527801,-1.6583403
32.6,-5.20617,-1.561851
32.7,-4.962535,-1.4887605
32.8,-4.794108,-1.4382323999999997
32.9,-4.675306,-1.4025918
33.0,-4.610899,-1.3832696999999998
33.1,-4.635345,-1.3906034999999999
33.2,-4.785257,-1.4355771
33.3,-5.062335,-1.5187005
33.4,-5.430667,-1.6292000999999998
33.5,-5.855566,-1.7566697999999998
33.6,-6.308469,-1.8925406999999999
33.7,-6.76689,-2.030067
33.8,-7.219955,-2.1659865
33.9,-7.648278,-2.2944834
34.0,-8.014485,-2.4043455000000002
34.1,-8.262002,-2.4786006
34.2,-8.319294,-2.4957882
34.3,-8.134435,-2.4403305
34.4,-7.706372,-2.3119115999999997
34.5,-7.133185,-2.1399555
34.6,-6.741376,-2.0224127999999997
34.7,-6.256363,-1.8769089
34.8,-5.72409,-1.717227
34.9,-5.207654,-1.5622961999999998
35.0,-4.743182,-1.4229546
35.1,-4.337827,-1.3013481
35.2,-3.957484,-1.1872452
35.3,-3.573283,-1.0719849
35.4,-3.195318,-0.9585953999999999
35.5,-2.874055,-0.8622164999999999
35.6,-2.689032,-0.8067096
35.7,-2.726496,-0.8179488
35.8,-3.089117,-0.9267350999999999
35.9,-3.913037,-1.1739111
36.0,-4.888651,-1.4665953
36.1,-5.928388,-1.7785164
36.2,-6.970896,-2.0912688
36.3,-7.941041,-2.3823123
36.4,-8.758827,-2.6276481
36.5,-9.344459,-2.8033377
36.6,-9.640265,-2.8920795
36.7,-9.626717,-2.8880150999999996
36.8,-9.328298,-2.7984894
36.9,-8.804967,-2.6414901
37.0,-8.140985,-2.4422955
37.1,-7.425244,-2.2275732
37.2,-6.758439,-2.0275317
37.3,-6.276705,-1.8830114999999998
37.4,-5.839745,-1.7519235
37.5,-5.473541,-1.6420622999999999
37.6,-5.204943,-1.5614829
37.7,-5.04137,-1.512411
37.8,-4.960762,-1.4882286
37.9,-4.923522,-1.4770566
38.0,-4.927328,-1.4781984
38.1,-4.987042,-1.4961125999999998
38.2,-5.102117,-1.5306350999999998
38.3,-5.281074,-1.5843222000000001
38.4,-5.541558,-1.6624674
38.5,-5.881179,-1.7643537
38.6,-6.555555,-1.9666664999999999
38.7,-7.285953,-2.1857859
38.8,-8.010564,-2.4031692000000002
38.9,-8.710097,-2.6130291
39.0,-9.35419,-2.8062569999999996
39.1,-9.907146,-2.9721437999999996
39.2,-10.336473,-3.1009419
39.3,-10.634022,-3.1902066
39.4,-10.80495,-3.241485
39.5,-10.870983,-3.2612949
39.6,-10.871434,-3.2614302
39.7,-10.824574,-3.2473722
39.8,-10.712699,-3.2138097
39.9,-10.505913,-3.1517739
40.0,-10.181354,-3.0544062000000003
40.1,-9.757559,-2.9272677000000003
40.2,-9.300237,-2.7900710999999996
40.3,-8.856714,-2.6570142
40.4,-8.411923,-2.5235768999999997
40.5,-7.929006,-2.3787018
40.6,-7.417423,-2.2252269
40.7,-6.930912,-2.0792736
40.8,-6.512896,-1.9538687999999997
40.9,-6.198512,-1.8595536
41.0,-6.029487,-1.8088460999999998
41.1,-6.01997,-1.805991
41.2,-6.155611,-1.8466833
41.3,-6.419906,-1.9259718
41.4,-6.788582,-2.0365746
41.5,-7.240432,-2.1721296
41.6,-7.787308,-2.3361924
41.7,-8.46037,-2.538111
41.8,-9.26798,-2.780394
41.9,-10.171547,-3.0514641
42.0,-11.096788,-3.3290364
42.1,-11.974404,-3.5923211999999998
42.2,-12.756929,-3.8270786999999995
42.3,-13.41264,-4.023791999999999
42.4,-13.937094,-4.1811282
42.5,-14.326287,-4.2978861
42.6,-14.528666,-4.3585997999999995
42.7,-14.465881,-4.3397643
42.8,-14.073214,-4.2219641999999995
42.9,-13.327803,-3.9983408999999996
43.0,-12.280869,-3.6842606999999994
43.1,-11.039439,-3.3118317
43.2,-9.722397,-2.9167191000000003
43.3,-8.459607,-2.5378821
43.4,-7.401537,-2.2204611
43.5,-6.702134,-2.0106402
43.6,-6.487679,-1.9463036999999999
43.7,-6.823212,-2.0469635999999998
43.8,-7.688504,-2.3065512
43.9,-8.975776,-2.6927328
44.0,-10.511321,-3.1533963000000003
44.1,-12.117426,-3.6352278
44.2,-13.675191,-4.1025573
44.3,-15.087357,-4.5262071
44.4,-16.209059,-4.8627177
44.5,-16.895697,-5.0687090999999995
44.6,-17.083433,-5.1250298999999995
44.7,-16.782526,-5.0347578
44.8,-16.053881,-4.8161643
44.9,-15.010113,-4.5030339
45.0,-13.794101,-4.1382303
45.1,-12.547651,-3.7642952999999997
45.2,-11.392571,-3.4177713
45.3,-10.407841,-3.1223522999999997
45.4,-9.633091,-2.8899273
45.5,-9.105922,-2.7317766
45.6,-8.849477,-2.6548431
45.7,-8.839241,-2.6517722999999997
45.8,-9.045148,-2.7135443999999995
45.9,-9.452946,-2.8358838
46.0,-10.029156,-3.0087468
46.1,-10.746101,-3.2238303
46.2,-11.579906,-3.4739717999999997
46.3,-12.437623,-3.7312868999999997
46.4,-13.178355,-3.9535064999999996
46.5,-13.687819,-4.106345699999999
46.6,-13.906199,-4.1718597
46.7,-13.842436,-4.1527308
46.8,-13.543698,-4.063109399999999
46.9,-13.056455,-3.9169365
47.0,-12.437963,-3.7313889
47.1,-11.736865,-3.5210595
47.2,-10.965061,-3.2895183
47.3,-10.136538,-3.0409614
47.4,-9.291471,-2.7874413
47.5,-8.46723,-2.540169
47.6,-7.684184,-2.3052552
47.7,-6.939416,-2.0818247999999997
47.8,-6.201622,-1.8604866
47.9,-5.443434,-1.6330301999999999
48.0,-4.6587,-1.3976099999999998
48.1,-3.8553,-1.15659
48.2,-3.08756,-0.9262679999999999
48.3,-2.467575,-0.7402725
48.4,-2.103579,-0.6310737
48.5,-2.050676,-0.6152028
48.6,-2.324032,-0.6972096
48.7,-2.904616,-0.8713848
48.8,-3.69572,-1.108716
48.9,-4.528079,-1.3584237
49.0,-5.243472,-1.5730415999999998
49.1,-5.754836,-1.7264508
49.2,-6.053921,-1.8161763
49.3,-6.177511,-1.8532533
49.4,-6.163217,-1.8489651
49.5,-6.04826,-1.8144779999999998
49.6,-5.872001,-1.7616003
49.7,-5.658075,-1.6974225
49.8,-5.414608,-1.6243824
49.9,-5.143961,-1.5431883
