 Variables = "X", "Y", "Z"
Zone i=   31 j=   41 f=point
-0.50930E+00   0.95118E-03  -0.42341E-01
-0.50813E+00   0.95565E-03  -0.42661E-01
-0.50700E+00   0.96054E-03  -0.42950E-01
-0.50590E+00   0.96680E-03  -0.43200E-01
-0.50484E+00   0.96533E-03  -0.43389E-01
-0.50381E+00   0.96344E-03  -0.43565E-01
-0.50283E+00   0.96233E-03  -0.43732E-01
-0.50188E+00   0.95958E-03  -0.43884E-01
-0.50097E+00   0.95618E-03  -0.44023E-01
-0.50009E+00   0.95058E-03  -0.44143E-01
-0.49924E+00   0.94500E-03  -0.44247E-01
-0.49843E+00   0.91600E-03  -0.44354E-01
-0.49764E+00   0.91409E-03  -0.44410E-01
-0.52650E+00   0.00000E+00  -0.32155E-01
-0.52604E+00   0.53784E-03  -0.32533E-01
-0.52551E+00   0.10195E-02  -0.32958E-01
-0.52488E+00   0.12890E-02  -0.33484E-01
-0.52420E+00   0.13089E-02  -0.34084E-01
-0.52347E+00   0.13581E-02  -0.34676E-01
-0.52271E+00   0.14036E-02  -0.35282E-01
-0.52190E+00   0.14536E-02  -0.35891E-01
-0.52104E+00   0.15089E-02  -0.36511E-01
-0.52013E+00   0.15607E-02  -0.37121E-01
-0.51917E+00   0.16112E-02  -0.37748E-01
-0.51815E+00   0.16580E-02  -0.38364E-01
-0.51707E+00   0.17039E-02  -0.38956E-01
-0.51591E+00   0.17436E-02  -0.39520E-01
-0.51469E+00   0.17675E-02  -0.40053E-01
-0.51338E+00   0.17719E-02  -0.40533E-01
-0.51206E+00   0.17668E-02  -0.40967E-01
-0.51078E+00   0.17559E-02  -0.41355E-01
-0.50954E+00   0.17460E-02  -0.41705E-01
-0.50834E+00   0.17458E-02  -0.42014E-01
-0.50718E+00   0.17371E-02  -0.42281E-01
-0.50606E+00   0.17388E-02  -0.42524E-01
-0.50498E+00   0.17453E-02  -0.42722E-01
-0.50394E+00   0.17462E-02  -0.42894E-01
-0.50293E+00   0.17425E-02  -0.43054E-01
-0.50196E+00   0.17344E-02  -0.43195E-01
-0.50103E+00   0.17222E-02  -0.43321E-01
-0.50013E+00   0.17116E-02  -0.43433E-01
-0.49927E+00   0.17020E-02  -0.43529E-01
-0.49844E+00   0.16580E-02  -0.43611E-01
-0.49764E+00   0.16639E-02  -0.43646E-01
-0.52690E+00   0.00000E+00  -0.31636E-01
-0.52651E+00   0.65076E-03  -0.31930E-01
-0.52599E+00   0.12057E-02  -0.32316E-01
-0.52539E+00   0.16759E-02  -0.32754E-01
-0.52471E+00   0.19175E-02  -0.33314E-01
-0.52399E+00   0.19694E-02  -0.33937E-01
-0.52320E+00   0.20445E-02  -0.34545E-01
-0.52237E+00   0.21112E-02  -0.35155E-01
-0.52149E+00   0.21769E-02  -0.35771E-01
-0.52057E+00   0.22518E-02  -0.36395E-01
-0.51958E+00   0.23190E-02  -0.37015E-01
-0.51854E+00   0.23700E-02  -0.37633E-01
-0.51744E+00   0.24269E-02  -0.38235E-01
-0.51627E+00   0.24904E-02  -0.38823E-01
-0.51503E+00   0.25342E-02  -0.39373E-01
-0.51370E+00   0.25408E-02  -0.39852E-01
-0.51234E+00   0.25223E-02  -0.40265E-01
-0.51103E+00   0.24853E-02  -0.40620E-01
-0.50976E+00   0.24442E-02  -0.40939E-01
-0.50853E+00   0.24234E-02  -0.41227E-01
-0.50735E+00   0.24175E-02  -0.41493E-01
-0.50621E+00   0.24148E-02  -0.41731E-01
-0.50511E+00   0.24202E-02  -0.41929E-01
-0.50405E+00   0.24268E-02  -0.42100E-01
-0.50303E+00   0.24168E-02  -0.42251E-01
-0.50204E+00   0.24031E-02  -0.42384E-01
-0.50109E+00   0.23813E-02  -0.42500E-01
-0.50018E+00   0.23626E-02  -0.42602E-01
-0.49930E+00   0.23454E-02  -0.42690E-01
-0.49845E+00   0.23231E-02  -0.42784E-01
-0.49764E+00   0.23471E-02  -0.42809E-01
-0.52730E+00   0.00000E+00  -0.31112E-01
-0.52694E+00   0.70585E-03  -0.31354E-01
-0.52645E+00   0.13306E-02  -0.31686E-01
-0.52586E+00   0.18800E-02  -0.32085E-01
-0.52518E+00   0.23524E-02  -0.32525E-01
-0.52446E+00   0.25197E-02  -0.33143E-01
-0.52368E+00   0.26263E-02  -0.33772E-01
-0.52283E+00   0.27182E-02  -0.34388E-01
-0.52193E+00   0.28017E-02  -0.34998E-01
-0.52098E+00   0.28860E-02  -0.35617E-01
-0.51998E+00   0.29710E-02  -0.36236E-01
-0.51892E+00   0.30370E-02  -0.36855E-01
-0.51779E+00   0.30939E-02  -0.37452E-01
-0.51659E+00   0.31513E-02  -0.38032E-01
-0.51533E+00   0.32062E-02  -0.38588E-01
-0.51398E+00   0.32363E-02  -0.39089E-01
-0.51260E+00   0.32266E-02  -0.39507E-01
-0.51126E+00   0.31879E-02  -0.39854E-01
-0.50997E+00   0.31404E-02  -0.40163E-01
-0.50872E+00   0.31053E-02  -0.40435E-01
-0.50752E+00   0.30803E-02  -0.40682E-01
-0.50636E+00   0.30625E-02  -0.40905E-01
-0.50524E+00   0.30573E-02  -0.41094E-01
-0.50416E+00   0.30577E-02  -0.41255E-01
-0.50312E+00   0.30451E-02  -0.41400E-01
-0.50211E+00   0.30264E-02  -0.41526E-01
-0.50115E+00   0.30054E-02  -0.41639E-01
-0.50022E+00   0.29827E-02  -0.41736E-01
-0.49932E+00   0.29669E-02  -0.41821E-01
-0.49847E+00   0.29429E-02  -0.41909E-01
-0.49764E+00   0.29682E-02  -0.41911E-01
-0.52767E+00   0.00000E+00  -0.30568E-01
-0.52732E+00   0.73471E-03  -0.30783E-01
-0.52687E+00   0.14339E-02  -0.31057E-01
-0.52630E+00   0.20458E-02  -0.31411E-01
-0.52563E+00   0.25859E-02  -0.31813E-01
-0.52488E+00   0.29875E-02  -0.32303E-01
-0.52411E+00   0.31239E-02  -0.32964E-01
-0.52326E+00   0.32679E-02  -0.33591E-01
-0.52235E+00   0.33790E-02  -0.34204E-01
-0.52137E+00   0.34794E-02  -0.34816E-01
-0.52035E+00   0.35755E-02  -0.35428E-01
-0.51926E+00   0.36551E-02  -0.36038E-01
-0.51811E+00   0.37187E-02  -0.36635E-01
-0.51689E+00   0.37744E-02  -0.37207E-01
-0.51560E+00   0.38180E-02  -0.37750E-01
-0.51423E+00   0.38539E-02  -0.38257E-01
-0.51284E+00   0.38648E-02  -0.38687E-01
-0.51148E+00   0.38398E-02  -0.39039E-01
-0.51017E+00   0.37973E-02  -0.39347E-01
-0.50890E+00   0.37583E-02  -0.39612E-01
-0.50767E+00   0.37225E-02  -0.39846E-01
-0.50649E+00   0.36898E-02  -0.40053E-01
-0.50535E+00   0.36674E-02  -0.40229E-01
-0.50425E+00   0.36533E-02  -0.40374E-01
-0.50320E+00   0.36348E-02  -0.40511E-01
-0.50218E+00   0.36132E-02  -0.40631E-01
-0.50120E+00   0.35919E-02  -0.40741E-01
-0.50026E+00   0.35715E-02  -0.40836E-01
-0.49935E+00   0.35530E-02  -0.40916E-01
-0.49848E+00   0.35316E-02  -0.41001E-01
-0.49764E+00   0.35683E-02  -0.40985E-01
-0.52803E+00   0.00000E+00  -0.30014E-01
-0.52770E+00   0.76878E-03  -0.30194E-01
-0.52726E+00   0.14962E-02  -0.30441E-01
-0.52670E+00   0.21650E-02  -0.30749E-01
-0.52605E+00   0.27602E-02  -0.31120E-01
-0.52530E+00   0.32887E-02  -0.31516E-01
-0.52451E+00   0.35622E-02  -0.32116E-01
-0.52366E+00   0.37439E-02  -0.32763E-01
-0.52274E+00   0.39039E-02  -0.33390E-01
-0.52175E+00   0.40298E-02  -0.33996E-01
-0.52070E+00   0.41423E-02  -0.34601E-01
-0.51959E+00   0.42328E-02  -0.35196E-01
-0.51842E+00   0.43008E-02  -0.35788E-01
-0.51718E+00   0.43570E-02  -0.36351E-01
-0.51586E+00   0.43964E-02  -0.36885E-01
-0.51447E+00   0.44197E-02  -0.37382E-01
-0.51305E+00   0.44314E-02  -0.37810E-01
-0.51168E+00   0.44230E-02  -0.38168E-01
-0.51034E+00   0.43940E-02  -0.38478E-01
-0.50906E+00   0.43609E-02  -0.38744E-01
-0.50781E+00   0.43246E-02  -0.38972E-01
-0.50662E+00   0.42903E-02  -0.39173E-01
-0.50546E+00   0.42599E-02  -0.39341E-01
-0.50434E+00   0.42374E-02  -0.39475E-01
-0.50327E+00   0.42131E-02  -0.39603E-01
-0.50224E+00   0.41866E-02  -0.39717E-01
-0.50125E+00   0.41619E-02  -0.39821E-01
-0.50029E+00   0.41412E-02  -0.39912E-01
-0.49937E+00   0.41236E-02  -0.39989E-01
-0.49849E+00   0.41044E-02  -0.40069E-01
-0.49764E+00   0.41494E-02  -0.40034E-01
-0.52836E+00   0.00000E+00  -0.29445E-01
-0.52804E+00   0.78525E-03  -0.29608E-01
-0.52763E+00   0.15559E-02  -0.29818E-01
-0.52709E+00   0.22644E-02  -0.30093E-01
-0.52644E+00   0.29082E-02  -0.30423E-01
-0.52569E+00   0.34801E-02  -0.30800E-01
-0.52487E+00   0.39325E-02  -0.31256E-01
-0.52403E+00   0.41432E-02  -0.31920E-01
-0.52310E+00   0.43581E-02  -0.32550E-01
-0.52211E+00   0.45332E-02  -0.33162E-01
-0.52104E+00   0.46683E-02  -0.33760E-01
-0.51991E+00   0.47789E-02  -0.34344E-01
-0.51871E+00   0.48558E-02  -0.34926E-01
-0.51744E+00   0.49108E-02  -0.35478E-01
-0.51610E+00   0.49473E-02  -0.36001E-01
-0.51469E+00   0.49616E-02  -0.36488E-01
-0.51325E+00   0.49624E-02  -0.36905E-01
-0.51185E+00   0.49501E-02  -0.37255E-01
-0.51051E+00   0.49299E-02  -0.37563E-01
-0.50920E+00   0.49039E-02  -0.37830E-01
-0.50794E+00   0.48801E-02  -0.38060E-01
-0.50673E+00   0.48516E-02  -0.38259E-01
-0.50556E+00   0.48252E-02  -0.38425E-01
-0.50443E+00   0.48034E-02  -0.38555E-01
-0.50334E+00   0.47795E-02  -0.38677E-01
-0.50230E+00   0.47535E-02  -0.38787E-01
-0.50129E+00   0.47268E-02  -0.38885E-01
-0.50032E+00   0.47029E-02  -0.38971E-01
-0.49939E+00   0.46847E-02  -0.39044E-01
-0.49849E+00   0.46673E-02  -0.39119E-01
-0.49764E+00   0.47210E-02  -0.39065E-01
-0.52867E+00   0.00000E+00  -0.28862E-01
-0.52839E+00   0.81601E-03  -0.28995E-01
-0.52798E+00   0.16021E-02  -0.29187E-01
-0.52744E+00   0.23424E-02  -0.29436E-01
-0.52680E+00   0.30274E-02  -0.29733E-01
-0.52607E+00   0.36404E-02  -0.30084E-01
-0.52523E+00   0.41915E-02  -0.30452E-01
-0.52437E+00   0.44949E-02  -0.31062E-01
-0.52344E+00   0.47491E-02  -0.31691E-01
-0.52244E+00   0.49732E-02  -0.32306E-01
-0.52136E+00   0.51494E-02  -0.32900E-01
-0.52021E+00   0.52835E-02  -0.33477E-01
-0.51899E+00   0.53780E-02  -0.34047E-01
-0.51770E+00   0.54413E-02  -0.34590E-01
-0.51634E+00   0.54786E-02  -0.35103E-01
-0.51490E+00   0.54882E-02  -0.35580E-01
-0.51344E+00   0.54807E-02  -0.35986E-01
-0.51203E+00   0.54593E-02  -0.36324E-01
-0.51066E+00   0.54320E-02  -0.36622E-01
-0.50934E+00   0.54087E-02  -0.36886E-01
-0.50806E+00   0.53879E-02  -0.37111E-01
-0.50684E+00   0.53700E-02  -0.37309E-01
-0.50565E+00   0.53507E-02  -0.37476E-01
-0.50451E+00   0.53384E-02  -0.37605E-01
-0.50341E+00   0.53220E-02  -0.37726E-01
-0.50235E+00   0.52991E-02  -0.37833E-01
-0.50133E+00   0.52778E-02  -0.37930E-01
-0.50035E+00   0.52585E-02  -0.38014E-01
-0.49941E+00   0.52423E-02  -0.38085E-01
-0.49850E+00   0.52265E-02  -0.38155E-01
-0.49764E+00   0.52877E-02  -0.38080E-01
-0.52897E+00   0.00000E+00  -0.28269E-01
-0.52868E+00   0.82617E-03  -0.28394E-01
-0.52830E+00   0.16463E-02  -0.28557E-01
-0.52778E+00   0.24179E-02  -0.28780E-01
-0.52715E+00   0.31351E-02  -0.29052E-01
-0.52641E+00   0.37879E-02  -0.29368E-01
-0.52559E+00   0.43748E-02  -0.29720E-01
-0.52469E+00   0.48169E-02  -0.30198E-01
-0.52375E+00   0.50935E-02  -0.30833E-01
-0.52274E+00   0.53583E-02  -0.31440E-01
-0.52165E+00   0.55811E-02  -0.32028E-01
-0.52049E+00   0.57473E-02  -0.32597E-01
-0.51925E+00   0.58667E-02  -0.33153E-01
-0.51794E+00   0.59413E-02  -0.33688E-01
-0.51656E+00   0.59859E-02  -0.34190E-01
-0.51510E+00   0.59953E-02  -0.34656E-01
-0.51362E+00   0.59877E-02  -0.35056E-01
-0.51219E+00   0.59606E-02  -0.35384E-01
-0.51080E+00   0.59313E-02  -0.35672E-01
-0.50947E+00   0.59025E-02  -0.35928E-01
-0.50818E+00   0.58835E-02  -0.36147E-01
-0.50693E+00   0.58679E-02  -0.36340E-01
-0.50573E+00   0.58518E-02  -0.36502E-01
-0.50458E+00   0.58479E-02  -0.36631E-01
-0.50347E+00   0.58349E-02  -0.36747E-01
-0.50240E+00   0.58252E-02  -0.36856E-01
-0.50137E+00   0.58102E-02  -0.36952E-01
-0.50038E+00   0.57956E-02  -0.37035E-01
-0.49942E+00   0.57879E-02  -0.37106E-01
-0.49851E+00   0.57752E-02  -0.37172E-01
-0.49764E+00   0.58492E-02  -0.37078E-01
-0.52923E+00   0.00000E+00  -0.27662E-01
-0.52895E+00   0.83681E-03  -0.27778E-01
-0.52859E+00   0.16808E-02  -0.27922E-01
-0.52810E+00   0.24876E-02  -0.28118E-01
-0.52748E+00   0.32365E-02  -0.28367E-01
-0.52675E+00   0.39263E-02  -0.28658E-01
-0.52592E+00   0.45391E-02  -0.28996E-01
-0.52500E+00   0.50859E-02  -0.29365E-01
-0.52405E+00   0.54000E-02  -0.29980E-01
-0.52303E+00   0.56999E-02  -0.30568E-01
-0.52193E+00   0.59634E-02  -0.31144E-01
-0.52075E+00   0.61721E-02  -0.31705E-01
-0.51949E+00   0.63206E-02  -0.32247E-01
-0.51817E+00   0.64127E-02  -0.32772E-01
-0.51676E+00   0.64650E-02  -0.33262E-01
-0.51529E+00   0.64829E-02  -0.33719E-01
-0.51379E+00   0.64755E-02  -0.34110E-01
-0.51234E+00   0.64530E-02  -0.34432E-01
-0.51094E+00   0.64215E-02  -0.34710E-01
-0.50959E+00   0.63937E-02  -0.34960E-01
-0.50828E+00   0.63740E-02  -0.35171E-01
-0.50703E+00   0.63589E-02  -0.35357E-01
-0.50581E+00   0.63468E-02  -0.35516E-01
-0.50465E+00   0.63459E-02  -0.35640E-01
-0.50352E+00   0.63407E-02  -0.35754E-01
-0.50244E+00   0.63334E-02  -0.35859E-01
-0.50140E+00   0.63246E-02  -0.35953E-01
-0.50040E+00   0.63201E-02  -0.36037E-01
-0.49944E+00   0.63147E-02  -0.36105E-01
-0.49851E+00   0.63115E-02  -0.36169E-01
-0.49764E+00   0.63925E-02  -0.36054E-01
-0.52949E+00   0.00000E+00  -0.27049E-01
-0.52923E+00   0.85941E-03  -0.27144E-01
-0.52887E+00   0.17147E-02  -0.27278E-01
-0.52838E+00   0.25362E-02  -0.27461E-01
-0.52778E+00   0.33186E-02  -0.27687E-01
-0.52706E+00   0.40429E-02  -0.27955E-01
-0.52624E+00   0.46984E-02  -0.28264E-01
-0.52532E+00   0.52903E-02  -0.28592E-01
-0.52435E+00   0.56871E-02  -0.29128E-01
-0.52331E+00   0.60161E-02  -0.29697E-01
-0.52219E+00   0.63063E-02  -0.30254E-01
-0.52100E+00   0.65550E-02  -0.30801E-01
-0.51973E+00   0.67425E-02  -0.31329E-01
-0.51838E+00   0.68660E-02  -0.31847E-01
-0.51696E+00   0.69308E-02  -0.32323E-01
-0.51547E+00   0.69483E-02  -0.32765E-01
-0.51395E+00   0.69450E-02  -0.33149E-01
-0.51249E+00   0.69326E-02  -0.33466E-01
-0.51107E+00   0.69054E-02  -0.33736E-01
-0.50970E+00   0.68778E-02  -0.33979E-01
-0.50838E+00   0.68582E-02  -0.34183E-01
-0.50711E+00   0.68464E-02  -0.34362E-01
-0.50589E+00   0.68336E-02  -0.34514E-01
-0.50471E+00   0.68336E-02  -0.34633E-01
-0.50357E+00   0.68338E-02  -0.34743E-01
-0.50248E+00   0.68306E-02  -0.34844E-01
-0.50143E+00   0.68276E-02  -0.34936E-01
-0.50042E+00   0.68235E-02  -0.35015E-01
-0.49945E+00   0.68246E-02  -0.35082E-01
-0.49851E+00   0.68239E-02  -0.35141E-01
-0.49764E+00   0.69120E-02  -0.35005E-01
-0.52969E+00   0.00000E+00  -0.26419E-01
-0.52945E+00   0.87042E-03  -0.26506E-01
-0.52912E+00   0.17493E-02  -0.26622E-01
-0.52865E+00   0.25960E-02  -0.26787E-01
-0.52805E+00   0.34004E-02  -0.26997E-01
-0.52735E+00   0.41568E-02  -0.27246E-01
-0.52654E+00   0.48487E-02  -0.27532E-01
-0.52562E+00   0.54641E-02  -0.27852E-01
-0.52463E+00   0.59574E-02  -0.28284E-01
-0.52357E+00   0.63111E-02  -0.28836E-01
-0.52243E+00   0.66279E-02  -0.29368E-01
-0.52122E+00   0.69002E-02  -0.29890E-01
-0.51994E+00   0.71242E-02  -0.30401E-01
-0.51858E+00   0.72853E-02  -0.30908E-01
-0.51715E+00   0.73745E-02  -0.31374E-01
-0.51563E+00   0.74007E-02  -0.31802E-01
-0.51410E+00   0.73966E-02  -0.32174E-01
-0.51262E+00   0.73848E-02  -0.32481E-01
-0.51119E+00   0.73643E-02  -0.32744E-01
-0.50981E+00   0.73410E-02  -0.32979E-01
-0.50848E+00   0.73296E-02  -0.33179E-01
-0.50719E+00   0.73169E-02  -0.33349E-01
-0.50596E+00   0.73117E-02  -0.33498E-01
-0.50477E+00   0.73122E-02  -0.33611E-01
-0.50362E+00   0.73119E-02  -0.33714E-01
-0.50252E+00   0.73112E-02  -0.33810E-01
-0.50146E+00   0.73064E-02  -0.33896E-01
-0.50044E+00   0.73072E-02  -0.33972E-01
-0.49946E+00   0.73087E-02  -0.34035E-01
-0.49851E+00   0.73120E-02  -0.34089E-01
-0.49764E+00   0.74055E-02  -0.33930E-01
-0.52990E+00   0.00000E+00  -0.25786E-01
-0.52964E+00   0.87707E-03  -0.25869E-01
-0.52933E+00   0.17703E-02  -0.25973E-01
-0.52889E+00   0.26458E-02  -0.26119E-01
-0.52831E+00   0.34745E-02  -0.26311E-01
-0.52761E+00   0.42558E-02  -0.26541E-01
-0.52681E+00   0.49793E-02  -0.26806E-01
-0.52589E+00   0.56276E-02  -0.27111E-01
-0.52489E+00   0.61916E-02  -0.27459E-01
-0.52382E+00   0.65847E-02  -0.27986E-01
-0.52267E+00   0.69321E-02  -0.28487E-01
-0.52144E+00   0.72251E-02  -0.28977E-01
-0.52014E+00   0.74710E-02  -0.29464E-01
-0.51877E+00   0.76586E-02  -0.29951E-01
-0.51732E+00   0.77820E-02  -0.30407E-01
-0.51579E+00   0.78223E-02  -0.30821E-01
-0.51424E+00   0.78240E-02  -0.31182E-01
-0.51274E+00   0.78131E-02  -0.31478E-01
-0.51130E+00   0.77960E-02  -0.31731E-01
-0.50990E+00   0.77652E-02  -0.31954E-01
-0.50856E+00   0.77581E-02  -0.32146E-01
-0.50727E+00   0.77589E-02  -0.32314E-01
-0.50602E+00   0.77561E-02  -0.32456E-01
-0.50482E+00   0.77643E-02  -0.32566E-01
-0.50366E+00   0.77671E-02  -0.32663E-01
-0.50255E+00   0.77673E-02  -0.32753E-01
-0.50148E+00   0.77714E-02  -0.32837E-01
-0.50046E+00   0.77713E-02  -0.32909E-01
-0.49947E+00   0.77720E-02  -0.32966E-01
-0.49852E+00   0.77789E-02  -0.33015E-01
-0.49764E+00   0.78764E-02  -0.32832E-01
-0.53004E+00   0.00000E+00  -0.25138E-01
-0.52984E+00   0.89895E-03  -0.25200E-01
-0.52954E+00   0.18045E-02  -0.25295E-01
-0.52910E+00   0.26912E-02  -0.25431E-01
-0.52854E+00   0.35447E-02  -0.25608E-01
-0.52785E+00   0.43465E-02  -0.25823E-01
-0.52705E+00   0.50961E-02  -0.26073E-01
-0.52615E+00   0.57756E-02  -0.26358E-01
-0.52514E+00   0.63834E-02  -0.26665E-01
-0.52406E+00   0.68306E-02  -0.27142E-01
-0.52290E+00   0.72148E-02  -0.27608E-01
-0.52165E+00   0.75289E-02  -0.28064E-01
-0.52033E+00   0.77859E-02  -0.28518E-01
-0.51894E+00   0.79873E-02  -0.28977E-01
-0.51747E+00   0.81275E-02  -0.29415E-01
-0.51592E+00   0.81943E-02  -0.29817E-01
-0.51436E+00   0.82116E-02  -0.30169E-01
-0.51285E+00   0.82138E-02  -0.30456E-01
-0.51140E+00   0.82009E-02  -0.30699E-01
-0.50999E+00   0.81620E-02  -0.30908E-01
-0.50864E+00   0.81567E-02  -0.31093E-01
-0.50733E+00   0.81591E-02  -0.31252E-01
-0.50608E+00   0.81650E-02  -0.31389E-01
-0.50487E+00   0.81764E-02  -0.31493E-01
-0.50370E+00   0.81874E-02  -0.31586E-01
-0.50258E+00   0.81927E-02  -0.31672E-01
-0.50151E+00   0.81993E-02  -0.31751E-01
-0.50047E+00   0.82060E-02  -0.31820E-01
-0.49947E+00   0.82141E-02  -0.31876E-01
-0.49851E+00   0.82231E-02  -0.31918E-01
-0.49764E+00   0.83254E-02  -0.31712E-01
-0.53019E+00   0.00000E+00  -0.24490E-01
-0.52998E+00   0.90356E-03  -0.24550E-01
-0.52970E+00   0.18229E-02  -0.24633E-01
-0.52929E+00   0.27295E-02  -0.24753E-01
-0.52874E+00   0.36051E-02  -0.24913E-01
-0.52806E+00   0.44291E-02  -0.25111E-01
-0.52727E+00   0.51981E-02  -0.25343E-01
-0.52637E+00   0.59043E-02  -0.25606E-01
-0.52537E+00   0.65424E-02  -0.25892E-01
-0.52428E+00   0.70511E-02  -0.26305E-01
-0.52310E+00   0.74710E-02  -0.26734E-01
-0.52184E+00   0.78096E-02  -0.27152E-01
-0.52049E+00   0.80743E-02  -0.27569E-01
-0.51908E+00   0.82717E-02  -0.27991E-01
-0.51760E+00   0.84145E-02  -0.28403E-01
-0.51604E+00   0.85018E-02  -0.28789E-01
-0.51447E+00   0.85488E-02  -0.29132E-01
-0.51295E+00   0.85768E-02  -0.29414E-01
-0.51148E+00   0.85814E-02  -0.29651E-01
-0.51007E+00   0.85587E-02  -0.29854E-01
-0.50870E+00   0.85459E-02  -0.30026E-01
-0.50739E+00   0.85476E-02  -0.30175E-01
-0.50612E+00   0.85549E-02  -0.30304E-01
-0.50491E+00   0.85667E-02  -0.30401E-01
-0.50373E+00   0.85808E-02  -0.30487E-01
-0.50261E+00   0.85903E-02  -0.30568E-01
-0.50152E+00   0.86038E-02  -0.30644E-01
-0.50048E+00   0.86133E-02  -0.30709E-01
-0.49948E+00   0.86261E-02  -0.30761E-01
-0.49851E+00   0.86398E-02  -0.30799E-01
-0.49764E+00   0.87398E-02  -0.30566E-01
-0.53027E+00   0.00000E+00  -0.23830E-01
-0.53009E+00   0.91313E-03  -0.23882E-01
-0.52983E+00   0.18465E-02  -0.23952E-01
-0.52944E+00   0.27704E-02  -0.24059E-01
-0.52890E+00   0.36615E-02  -0.24206E-01
-0.52824E+00   0.45065E-02  -0.24389E-01
-0.52745E+00   0.52966E-02  -0.24605E-01
-0.52656E+00   0.60246E-02  -0.24850E-01
-0.52556E+00   0.66829E-02  -0.25123E-01
-0.52446E+00   0.72421E-02  -0.25474E-01
-0.52328E+00   0.76971E-02  -0.25862E-01
-0.52200E+00   0.80620E-02  -0.26239E-01
-0.52064E+00   0.83295E-02  -0.26615E-01
-0.51921E+00   0.85271E-02  -0.26998E-01
-0.51771E+00   0.86749E-02  -0.27383E-01
-0.51614E+00   0.87838E-02  -0.27749E-01
-0.51456E+00   0.88642E-02  -0.28083E-01
-0.51303E+00   0.89183E-02  -0.28358E-01
-0.51155E+00   0.89458E-02  -0.28588E-01
-0.51013E+00   0.89559E-02  -0.28791E-01
-0.50876E+00   0.89447E-02  -0.28953E-01
-0.50743E+00   0.89361E-02  -0.29088E-01
-0.50616E+00   0.89355E-02  -0.29205E-01
-0.50494E+00   0.89443E-02  -0.29294E-01
-0.50376E+00   0.89548E-02  -0.29371E-01
-0.50262E+00   0.89653E-02  -0.29445E-01
-0.50153E+00   0.89752E-02  -0.29514E-01
-0.50049E+00   0.89846E-02  -0.29573E-01
-0.49948E+00   0.89981E-02  -0.29620E-01
-0.49851E+00   0.90140E-02  -0.29651E-01
-0.49764E+00   0.91075E-02  -0.29392E-01
-0.53036E+00   0.00000E+00  -0.23171E-01
-0.53017E+00   0.91849E-03  -0.23218E-01
-0.52993E+00   0.18602E-02  -0.23280E-01
-0.52956E+00   0.27990E-02  -0.23373E-01
-0.52904E+00   0.37065E-02  -0.23505E-01
-0.52839E+00   0.45708E-02  -0.23671E-01
-0.52761E+00   0.53815E-02  -0.23869E-01
-0.52672E+00   0.61305E-02  -0.24094E-01
