contractor,record_id,rig_descriptor,year_built,upgrade_year,build_location,classification,max_water_depth_ft,contract_expiration,area_of_operation,spec_notes
"ATWOOD OCEANICS, INC.",17,Atwood Orca Baker Marine Pacific Class 400,2013,,Singapore,ABS,400.0,Feb-16,Thailand,"–– est. 3-4 150 237' 224' 15' –– N Y 2,500 3,750 –– –– –– 4 –– 1.5"" EIPS 3,000' –– 6 50 50 50 –– –– Y 1,500 Loadmaster 35' x 35' –– NOV –– 49.5"" –– y –– Varco TDS-8SA –– NOV Cyber Base –– –– –– –– –– –– 3 National 14-P-220 7,500 –– –– –– 11,650 4 –– 1 1 –– –– 15K –– 2 Hydril 1 Hydril –– Flanged –– –– Electro-pneumatic CAD ––"
CHINA OILFIELD SERVICES Ltd.,16,COSL Power Baker Marine Pacific Class 375,2006,,Singapore,ABS,375.0,,,"15' 30' 506' Y 56' 30,000' Drilling –– 10,750 –– 115 236' 224' 20' S61 N N Y 2,245 3,745 –– 70' 70' x 30' 4 40 1.5"" EIPS/ IWRC –– –– 6 25 45 55 10 –– Y 1,500 National 35' x 35' 3,450 NOV 1.63"" 49.5"" 250 N Hydralift-MPT Hydralift HPS-750 X-Y Hydraracker CYBERBASE –– –– 20,000' –– –– –– 3 National 14P-220 7,500 2,034 2,040 1,200 11,600 4 1 1 1 1 –– 15 3"" 4 Hydril 1 Hydril 183 18-3/4"" Flange 36.5"" 14"" Hydril Hydril Y 375'"
CHINA OILFIELD SERVICES Ltd.,16,COSL Superior Baker Marine Pacific Class 375,2007,,Singapore,ABS,375.0,,,"15' 30' 506' Y 56' 30,000' Drilling –– 10,750 –– 115 236' 224' 20' S61 N N Y 2,245 3,745 –– 70' 70' x 30' 4 40 1.5"" EIPS/ IWRC –– –– 6 21 41 50 10 –– Y 1,500 National 35' x 35' 3,450 NOV 1.63"" 49.5"" 250 N Hydralift-MPT Hydralift HPS-750 X-Y Hydraracker CYBERBASE –– –– 20,000' –– –– –– 3 National 14P-220 7,500 2,034 2,040 1,200 11,600 4 1 1 1 1 –– 15 3"" 4 Hydril 1 Hydril 183 18-3/4"" Flange 36.5"" 14"" Hydril Hydril Y 375'"
CHINA OILFIELD SERVICES Ltd.,12,COSL Boss KFELS 'B' class,2007,,Singapore,ABS,400.0,,,"15' 30' 517' Y 47' 30,000' Drilling South East Asia 10,750 –– 112 234' 208' 16' S61 N N Y 2,250 3,750 –– 70' 70' x 30' 4 25.5 1.5"" EIPS/ IWRC –– –– 5.5 50 50 50 11.9 –– Y 1,500 Woolslayer 36' x 36' 3,450 NOV 1.63"" 49.5"" 250 Y AR3200 Varco-TDS -8SA VARCO PRS-8 Racker NOV amphion –– –– 20,000' –– –– –– 3 Mission Magnum or equivalent 7,500 2,180 1,433 1,106 11,100 5 –– 1 1 1 –– 15 3"" 4 Cameron 1 Cameron 197 18-3/4"" Flange 30"" 14"" Cameron Cameron Y"
CHINA OILFIELD SERVICES Ltd.,12,COSL Strike KFELS 'B' class,2009,,Singapore,ABS,400.0,,,"15' 30' 517' Y 47' 30,000' Drilling –– 10,750 –– 112 234' 208' 16' S61 N N Y 2,250 3,402 –– 70' 70' x 30' 4 25.5 1.5"" EIPS/ IWRC –– –– 5.5 50 50 50 11.9 –– Y 1,500 Woolslayer 36' x 36' 3,450 NOV 1.63"" 49.5"" 250 Y AR3200 Varco-TDS -8SA VARCO PRS-8 Racker NOV amphion –– –– 20,000' –– –– –– 3 Lewco W-2215 7,500 2,180 1,433 1,106 11,100 5 –– 1 1 1 –– 15 3"" 2 Cameron 1 Cameron 197 18-3/4"" Flange 30"" 14"" Cameron Cameron Y"
CHINA OILFIELD SERVICES Ltd.,16,COSL Seeker Baker Marine Pacific Class 375,2008,,Singapore,ABS,375.0,,,"15' 30' 506' Y 56' 30,000' Drilling –– 10,750 –– 115 236' 224' 20' S61 N N Y 2,245 3,745 –– 70' 70' x 30' 4 40 1.5"" EIPS/ IWRC –– –– 6 21 41 50 10 –– Y 1,500 National 35' x 35' 3,450 NOV 1.63"" 49.5"" 250 N Hydralift-MPT Hydralift HPS-750 X-Y Hydraracker CYBERBASE –– –– 20,000' –– –– –– 3 National 14P-220 7,500 2,034 2,040 1,200 11,600 4 1 1 1 1 –– 15 3"" 4 Hydril 1 Hydril 183 18-3/4"" Flange 36.5"" 14"" Hydril Hydril Y"
CHINA OILFIELD SERVICES Ltd.,16,COSL Confidence Baker Marine Pacific Class 375,2009,,Singapore,ABS,375.0,,,"15' 30' 506' Y 56' 30,000' Drilling Mexico 10,750 –– 115 236' 224' 20' S61 N N Y 2,245 3,745 –– 70' 70' x 30' 4 40 1.5"" EIPS/ IWRC –– –– 6 21 41 50 10 –– Y 1,500 National 35' x 35' 3,450 NOV 1.63"" 49.5"" 250 N Hydralift-MPT Hydralift HPS-750 X-Y Hydraracker CYBERBASE –– –– 20,000' –– –– –– 3 National 14P-220 7,500 2,034 2,040 1,200 11,600 4 1 1 1 1 –– 15 3"" 4 Hydril 1 Hydril 183 18-3/4"" Flange 36.5"" 14"" Hydril Hydril Y"
CHINA OILFIELD SERVICES Ltd.,24,COSL 941 F&G JU2000E,2005,,"China ABS/CCS 400' 10' 30' 548' N 59' 30,000' Drilling Far East 10,748 120 231' 250' 21' S61 N N 4,150 7,202 75' 75' x 30' 4 44 2"" EIPS, IWRC, 6 x 36, RRL 2,998' N 8.26 60 60 60 2,000 National 40' x 40' 4,600 National 1.50"" 49.5"" 300 National HPS 750-E 15,000' 3 NOV 14-P-220 4,730 17,940 5 2 1 1 1 2 15 4-1/16"" 2 Cameron 1 Cameron 13-5/8"" Flange 49.5"" ABB Off. Sys. 400'",,,,,
CHINA OILFIELD SERVICES Ltd.,24,COSL 942 F&G JU2000E,2008,,"China ABS/CCS 400' 10' 30' 548' N 59' 30,000' Drilling Far East 10,748 120 231' 250' 21' S61 N N 4,150 7,202 75' 75' x 30' 4 44 2"" EIPS, IWRC, 6 x 36, RRL 2,998' N 8.26 51 51 51 2,000 National 40' x 40' 4,600 National 1.75"" 49.5"" National HPS 750-E 4,730 18,010 10 Shaffer 1 Shaffer 13-5/8"" Flange 49.5"" TX574-0000 Vetco 400'",,,,,
"DIAMOND OFFSHORE DRILLING, INC.",13,Ocean Scepter KFELS Super ‘B’ class,2008,,USA,ABS,350.0,Mar-16,Mexico,"12,069 4 120 246' 218' 16' S61 N & S92 Y Y 2,431 3,992 –– 70' 60' x 30' 0 –– –– –– –– –– –– 62 53 53 –– –– Y 2,000 National 36' x 36' 4,600 National 2"" 49.5"" 250 N Nat’l Hydratong MPT National Oilwell HPS National BR6-SD National 7,000' –– 15,000' 13,000' –– –– 3 NOV 14-P-220 7,500 3,330 1,879 1,000 15,000 4 –– 1 1 1 1 15 3 1/16"" 4 Shaffer 1 Shaffer –– NXT 18-3/4 x 15M 49.5"" 16"" Electro-Hydraulic CAD Y"
DISCOVERY DRILLING Pte. Ltd.,12,Discovery I KFELS 'B' class,2008,,Singapore,ABS,350.0,,,"15' 30' 491' Y 47' 30,000' 1Q/2017 Indian W. Offshore 9,275 4 112 234' 208' 15' S61 N Y Y 1,800 3,700 –– 70' 70' x 30' 4 30 1.5"" IWRC, EIPS 2,000' –– 5 50 50 50 –– –– Y 1,600 WCI 32' x 35' 3,000 Varco ADS 1.75"" 49.5"" 220 Y Varco ST 80 Varco TDS-8S-A Varco VCR Varco Amphion 5,000' 11,500' –– –– –– 4,000' 3 NOV 14-P-220 7,500 1,648 2,000 1,000 11,000 4 1 1 1 1 –– 10 3.06"" 4 Cameron 1 Cameron 143 Flanged 29.5"" 14"" Hydraulic Cameron N 350'"
EGYPTIAN DRILLING COMPANY,16,Setty Baker Marine Pacific Class 375,2010,,Singapore,ABS,375.0,Dec-15,Gabon,"2,800 –– 120 237' 224' –– –– –– –– 2,268 3,401 –– –– 75' x 30' 4 –– 1.5"" 6 x 36 IWRC galvanized –– –– 6 38.5 38.5 38.5 –– –– –– –– Loadmaster 35' x 35' 2,800 TTS Sense 1 5/8"" 49.5"" –– –– –– CanRig 1275 AC –– TTS Sense 11,000' 6,000' –– –– –– –– 3 Eweco E-2200 7,500 –– –– –– 11,654 4 –– –– –– –– –– 15 3 1/16"" 3 Cameron 1 Cameron –– 18 3/4"" 49.5"" –– –– CAD ––"
EGYPTIAN DRILLING COMPANY,16,Sneferu Baker Marine Pacific Class 375,2010,,Singapore,ABS,375.0,Sep-15,Saudi Arabia,"2,800 –– 120 237' 224' –– –– –– –– 2,268 3,401 –– –– 75' x 30' 4 –– 1.5"" 6 x 36 IWRC galvanized –– –– 6 38.5 38.5 38.5 –– –– –– –– Loadmaster 35' x 35' 2,800 TTS Sense 1 5/8"" 49.5"" –– –– –– CanRig 1275 AC –– TTS Sense –– 20,000' –– –– 10,000' –– 3 Eweco E-2200 7,500 –– –– –– 11,654 4 –– –– –– –– –– 15 3 1/16"" 3 Shaffer 1 Shaffer –– 18 3/4"" 49.5"" 27.5"" –– CAD –– 375'"
EGYPTIAN DRILLING COMPANY,16,El Qaher I Baker Marine Pacific Class 375,2010,,Singapore,ABS,375.0,Feb-15,Mediterranean,"2,800 –– 120 237' 224' –– –– –– –– 2,268 3,401 –– –– 75' x 30' 4 –– 1.5"" 6 x 36 IWRC galvanized –– –– 6 38.8 50.77 50.77 –– –– –– 1,500 Loadmaster 35' x 35' 2,800 TTS Sense 1 5/8"" 49.5"" –– –– –– CanRig 1275 AC –– TTS Sense –– 23,000' –– –– –– –– 3 Eweco E-2200 7,500 –– –– –– 11,654 4 –– –– –– –– –– 15 3 1/16"" 2 Cameron 1 Cameron –– 18 3/4"" 50.0"" –– –– CAD –– 375'"
EGYPTIAN DRILLING COMPANY,16,El Qaher II Baker Marine Pacific Class 375,2011,,Singapore,ABS,375.0,Apr-15,Mediterranean,"2,800 –– 120 237' 224' –– –– –– –– 2,268 3,401 –– –– 75' x 30' 4 –– 1.5"" 6 x 36 IWRC galvanized –– –– 6 38.8 50.77 50.77 –– –– –– 1,500 Loadmaster 35' x 35' 2,800 TTS Sense 1 5/8"" 49.5"" –– –– –– CanRig 1275 AC –– TTS Sense –– 22,000' –– –– –– 8,500' 3 Eweco E-2200 7,500 –– –– –– 11,654 4 –– –– –– –– –– 15 3 1/16"" 2 Cameron 1 Cameron –– 18 3/4"" 49.5"" –– –– CAD ––"
ENSCO PLC,2,ENSCO 67 MLT 84-CE (enhanced),1976,,Scotland 2005,ABS,350.0,,,"10' 24' 511' Y 46' 30,000' 2Q15 Indonesia 6,600 4 108 238' 227' 16' S-61 N Y 1,987 3,793 –– 70' 70' x 30' 4 25 1-3/8"" IWRC 2,500' N 5 45 45 50 N/A N/A Y 1,500 NOI / Dreco 30' x 30' 3,000 National 1.75"" 37.5"" 175 Y Varco ST 80 Varco TDS-4H N/A MDT –– 20,000' –– –– –– 10,000' 3 National 12-P-160 5,000 2,644 Incl. 1,007 6,240 4 4 1 1 1 0 10 3.06"" 4 Cameron 1 Shaffer 70 Cameron 37.5"" 12"" TD-280-3S Shaffer Y"
ENSCO PLC,2,ENSCO 68 MLT 84-CE (enhanced),1976,,USA 2003,ABS,400.0,,,"12' 22' 512' Y 46' 30,000' 4Q15 GoM 6,600 4 80 261' 227' 15.5' S61 N Y 2,753 3,783 –– 60' 45' x 30' N/A N/A N/A N/A N/A N N/A 45 45 45 N/A N/A Y 1,500 NOI / Dreco 30' x 30' 3,000 National 1.75"" 37.5"" 175 Y Varco ST 80 NOI PS2-650 N/A MDT –– 15,000' –– –– –– –– 3 National 12-P-160 5,000 1,685 Incl. –– 6,240 4 –– 1 1 –– 0 10 3.06"" 3 Cameron 1 Shaffer 48/58 Cameron 21.25"" 12"" TD-280-3S Shaffer Y"
ENSCO PLC,4,ENSCO 75 MLT Super 116C,1999,,USA N/A,ABS,380.0,,,"42' 32' 544' N 57' 30,000' 3Q15 GoM 7,420 3 83 243' 206' 16' S61 N Y 1,750 3,250 –– 70' 55' x 30' N/A N/A N/A N/A N/A N N/A 50 50 50 N/A N/A Y 1,500 Loadmaster 32' x 35' 3,000 National 1.75"" 49.5"" 175 Y MH-1899 Varco TDS 8SA N/A Hi-Tech 26,000' –– –– –– –– 26,000' 3 National 14-P-220 7,500 2,229 Incl. 1,100 11,100 5 0 1 1 1 0 10 3.06"" 3 Cameron 1 Shaffer 86 Cameron 29.5"" 12"" TX392-15BT3X Koomey Y"
ENSCO PLC,4,ENSCO 76 MLT Super 116C,1999,,USA N/A,ABS,350.0,,,"25' 16' 411' Y 46' 30,000' 4Q18 Saudi Arabia 10,056 3.5 100 243' 206' 16' S61 N Y 1,907 4,000 –– 65' 50' x 30' 2 25 1.5"" 6 x 36 IWRC 2,000' N N/A 50 50 50 N/A N/A Y 1,500 Dreco 40' x 32' 3,000 National 1.63"" 49.5"" –– Y Varco AR-3200 Varco TDS-8SA N/A Hi-Tech –– 24,000' 24,000' –– –– –– 3 National 14-P-220 7,500 2,907 1,416 –– 10,880 5 –– 1 1 1 0 15 3.06"" 4 Shaffer 1 Shaffer 100 Flange 39"" 12"" SSB2403S11 M/SS Y 350'"
ENSCO PLC,3,ENSCO 87 LeTourneau 116-C,1982,,USA 2006,ABS,350.0,,,"25' 25' 477' N 46' 25,000'+ 2Q15 GoM 6,600 4 75 243' 200' 16' S61 N Y 1,970 4,234 –– 60' 45' x 30' N/A N/A N/A N/A N/A N N/A 50 50 50 N/A N/A N 1,500 National 30' x 30' 3,000 National 1.75"" 37.5"" –– Y Varco ST-80 Varco TDS 8SA N/A MDT –– 15,000' –– –– –– –– 3 National 12-P-160 5,000 1,689 Incl. –– 6,880 4 4 1 1 –– 0 10 3.06"" 3 Cameron 1 Shaffer 60 Flange 21.25"" 12"" T-SB-540 CAD Y 350'"
ENSCO PLC,10,ENSCO 101 KFELS MOD V ‘A’ class,2000,,Singapore 2010,ABS,400.0,,,"25' 25' 540' Y 60' 30,000' 1Q16 UK 11,130 4 to 5 120 228' 222' 18.5' S92 N Y 3,327 6,429 –– 70' 55' x 30' 4 53 2"" 6 x 36 IWRC 2,060' N 7.5 53 53 53 N/A N/A Y 1,500 Dreco 40' x 40' 3,000 National 1.75"" 49.5"" 500 N AR-3200 Varco TDS-4H PRS4i MDT 9,000' 19,500' –– –– –– –– 3 National 14-P-220 7,500 5,216 Incl. 915 17,600 4 –– 0 0 0 0 15 3.06"" 4 Shaffer 1 Shaffer 190 Vetco NT2 49.5"" 14"" Hydraulic Shaffer Y 400'"
ENSCO PLC,10,ENSCO 102 KFELS MOD V ‘A’ class,2002,,Singapore N/A,ABS,400.0,,,"25' 25' 541' Y 60' 30,000' 2Q15 UK 11,130 4 to 5 122 246' 222' 16' S92 N Y 4,281 6,378 –– 76' 76' x 30' 4 51 2"" 6 x 36 IWRC 2,060' N 7.5 55 55 55 N/A N/A Y 1,500 Dreco 40' x 40' 3,000 National 1.75"" 49.5"" 400 Y AR-3200 Varco TDS-4H PRS4i MDT 15,000' 20,000' –– –– 7,000' 5,000' 3 National 14-P-220 7,500 5,216 Incl. 1,370 17,640 4 0 1 1 1 0 15 3.06"" 4 Shaffer 1 Shaffer 190 Flange 49.5"" 14"" Electric / Hydraulic Shaffer Y 400'"
ENSCO PLC,12,ENSCO 104 KFELS MOD V ‘B’ class,2002,,Singapore 2015,ABS,400.0,,,"25' 20' 517' Y 47' 30,000' 2Q18 Middle East 9,275 4 to 5 110 225' 208' 16' S61 N Y 3,750 4,850 –– 70' 70' X 30' 4 25 1.5"" IWRC 2,000' N 5 50 50 50 N/A N/A Y 1,500 National 35' x 32' 3,000 National 1.63"" 49.5"" 150 Y Varco ST-80 / ST120 Varco TDS-8SA N/A NOV SDI / 200 –– 20,000' –– –– –– 11,400' 3 National 14-P-220 7,500 4,000 Incl. 2,438 11,100 4 4 1 1 1 0 10 3.06"" 4 Cameron 1 Shaffer 210 NT-2 49.5"" 14"" TX-392 15BT3X ABB Y 400'"
ENSCO PLC,12,ENSCO 105 KFELS MOD V ‘B’ class,2002,,USA 2014,ABS,400.0,,,"25' 20' 517' Y 47' 30,000' 2Q15 China 9,275 4 to 5 120 225' 208' 16' S61 N Y 4,000 4,100 –– 70' 70' x 30' 4 25 1.5"" IWRC 2,000' N 7.5 50 50 50 N/A N/A Y 1,500 National 35' x 32' 3,000 National 1.63"" 49.5"" 275 Y AR-3200 Varco TDS-4H N/A NOV SDI /200 –– 20,000' –– –– –– –– 3 National 14-P-220 7,500 2,514 Incl. 1,083 11,100 5 5 1 1 1 0 10 3.06"" 4 Cameron 1 Shaffer 210 NT-2 30"" 12"" TX-392 15BT3X Koomey Y"
ENSCO PLC,12,"ENSCO 106 KFELS MOD V ‘B’ class ""Bigfoot""",2005,,Singapore 2014,ABS,400.0,,,"25' 20' 517' Y 53' 30,000' 3Q15 Malaysia 9,275 4 to 5 120 234' 208' 16' S61 N N Y 2,975 4,469 –– 70' 70' x 30' 4 25 1.5"" IWRC 2,000' N 5 50 50 50 N/A N/A Y 1,500 Varco / MIL 35' x 32' 3,000 Varco 1.75"" 49.5"" 220 Y AR-3200 Varco TDS-8SA N/A Varco Amphion –– 20,000' –– –– –– –– 3 Lewco W-2215 7,500 3,891 Incl. 2,004 11,100 4 4 1 1 1 0 10 3.06"" 3 Varco SLX 1 Shaffer 190 Vetco NT2 49.5"" 14"" T60360-3S Koomey Y"
ENSCO PLC,12,"ENSCO 107 KFELS MOD V ‘B’ class ""Bigfoot""",2006,,Singapore 2014,ABS,400.0,,,"25' 20' 517' Y 53' 30,000' 3Q15 New Zealand 9,275 4 to 5 112 234' 208' 16' S61 N N Y 3,050 4,540 –– 70' 70' x 30' 4 25 1.5"" IWRC 2,000' N 5 50 50 50 N/A N/A Y 1,500 WCI 35' x 32' 3,000 Varco 1.75"" 49.5"" 220 Y AR-3200 Varco TDS-8SA N/A Varco Amphion –– 20,000' –– –– –– –– 3 Lewco W-2215 7,500 3,891 Incl. 2,004 11,100 4 4 1 1 1 0 10 3.06"" 3 Varco SLX 1 Shaffer 190 Vetco NT2 49.5"" 14"" T60360-3S Koomey Y"
ENSCO PLC,12,"ENSCO 108 KFELS MOD V ‘B’ class ""Bigfoot""",2007,,Singapore 2009,ABS,400.0,,,"25' 20' 517' Y 53' 30,000' 2Q17 Thailand 9,275 4 to 5 120 234' 208' 16' S61 N N Y 3,025 4,519 –– 70' 70' x 30' 4 25 1.5"" IWRC 2,000' N 5 50 50 50 N/A N/A Y 1,500 WCI 35' x 32' 3,000 Varco 1.75"" 49.5"" 220 Y AR-3200 Varco TDS-8SA N/A Varco Amphion –– 20,000' –– –– –– 10,300' 3 Lewco W-2215 7,500 3,891 Incl. 2,004 11,100 4 4 1 1 1 0 15 3.06"" 3 Varco SLX 1 Shaffer 190 Vetco NT2 49.5"" 14"" T60360-3S Koomey Y 400'"
