drilling_company,rig_name,conventional_mooring,dynamically_positioned,vessel_type,vessel_design,construction_date,upgrade_date,classification,max_water_depth_equipped_ft,max_water_depth_rating_ft,max_drilling_depth_ft,current_contract,area_of_operation,total_vessel_power_hp,max_vessel_speed,quarters_capacity,length_ft,transit_draft_ft,operating_draft_ft,width_ft,max_variable_load_tons,moonpool_size,dp_rating,thrusters
M.G.,"M.G. HULME, JR",Yes,No,SS,F&G,9500,Enhanced,Pacesetter,1983.0,1996.0,,"5,000","5,000",25000.0,,,7800.0,7.0,140.0,296.0,228.0,30,60,"4,480"
TRANSOCEAN,TRANSOCEAN MARIANAS,Yes,No,SS,Sedco 700 Series,1979,1998,ABS,7000.0,7000.0,25000.0,1Q/15,South,,23550.0,3.0,146.0,315.0,249.0,30.0,81.0,"3,967",23x70,-
ATWOOD,ATWOOD ADVANTAGE,No,Yes,DS,"DSME 12,000 Ultradeepwater DS",2013,-,-,12000.0,12000.0,40000.0,2Q/17,GoM,,,200.0,780.0,137.0,,39.0,23000.0,-,DP-3,6
ATWOOD,ATWOOD CONDOR,No,Yes,SS,F&G ExD Millennium,2012,-,ABS,10000.0,10000.0,40000.0,4Q/16,GoM,,,200.0,387.0,299.0,,65.6,8000.0,-,DPS-2,8
OCEAN,OCEAN ALLIANCE,No,Yes,SS,4th Gen. Odeco,1988,-,ABS,5250.0,5250.0,25000.0,2Q/16,Brazil,37600.0,6.0,120.0,402.0,259.0,29.0,76.0,4300.0,23x25,DP-2,"8x4,000"
OCEAN,OCEAN BLACKHAWK,No,Yes,DS,"Gusto P10,000",2013,-,ABS,10000.0,12000.0,40000.0,2Q/19,GoM,27000.0,12.5,210.0,754.0,118.0,29.0,36.0,22045.0,73x41,DPS-3,6
OCEAN,OCEAN BLACKHORNET,No,Yes,DS,"Gusto P10,000",2013,-,ABS,10000.0,12000.0,40000.0,3Q/19,GoM,27000.0,12.5,210.0,754.0,118.0,29.0,36.0,22045.0,73x41,DPS-3,6
OCEAN,OCEAN CLIPPER,No,Yes,DS,Converted Tanker,1977,1999,ABS,7875.0,7875.0,25000.0,4Q/15,Brazil,25200.0,9.0,140.0,528.0,109.0,24.0,24.0,11384.0,20x18,DP-2,"5x1,840,"
OCEAN,OCEAN CONFIDENCE,No,Yes,SS,Aker H-3.2 Mod,1988,2000,ABS,10000.0,10000.0,35000.0,4Q/15,W.,,53083.0,3.5,146.0,320.0,238.0,39.0,75.0,"6,600",26x74,DP-3
OCEAN,OCEAN COURAGE,No,Yes,SS,6th Gen. F&G ExD Millennium,2009,-,ABS,10000.0,10000.0,40000.0,1Q/15,Brazil,40480.0,8.5,164.0,398.0,298.0,27.6,55.8,8000.0,135.6x29.52,DP-2,"8x4,425"
OCEAN,OCEAN VALOR,No,Yes,SS,6th Gen. F&G ExD Millennium,2009,-,ABS,7500.0,10000.0,40000.0,4Q/15,Brazil,40480.0,8.5,164.0,398.0,298.0,27.6,55.8,8000.0,135.6x29.52,DP-2,"8x4,425"
BELFORD,BELFORD DOLPHIN,No,Yes,DS,Navis,2000,-,DNV,10000.0,10000.0,39370.0,4Q/15,East,,58800.0,10.0,130.0,672.0,131.0,26.0,40.0,"12,515",3,ea
BOLETTE,BOLETTE DOLPHIN,No,Yes,DS,,-,2013,-,,12000.0,12000.0,"40,000",2017,,,,,,,,,-,-,-
ENSCO,ENSCO 6001,No,Yes,SS,Megathyst,2000,2010,LR,5600.0,5600.0,25000.0,2Q/18,Brazil,26670.0,6.0,130.0,262.0,203.0,28.0,62.0,3500.0,39x19,AAA,"8x2,145"
ENSCO,ENSCO 6002,No,Yes,SS,Megathyst,2001,2009,LR,5600.0,5600.0,25000.0,2Q/18,Brazil,26670.0,6.0,130.0,262.0,203.0,28.0,62.0,3500.0,39x19,AAA,"8x2,145"
ENSCO,ENSCO 6004,No,Yes,SS,Megathyst,2004,-,LR,5600.0,5600.0,25000.0,4Q/16,Brazil,26670.0,6.0,130.0,262.0,203.0,28.0,62.0,3500.0,39x19,AAA,"8x2,145"
ENSCO,ENSCO 7500,No,Yes,SS,Ensco,7500,1999,-,,7500.0,8000.0,"30,000",3Q/14,,30000.0,7.8,140.0,290.0,220.0,,40.0,"8,000",20x100,DP-2
ENSCO,ENSCO 8500,No,Yes,SS,Ensco,8500,Series,2008,,,8500.0,"10,000","35,000",,,33600.0,8.0,150.0,336.0,285.0,25.0,60,"8,000",30x120
ENSCO,ENSCO 8501,No,Yes,SS,Ensco,8500,Series,2009,,,8500.0,"10,000","35,000",,,33600.0,6.0,150.0,336.0,285.0,25.0,60,"8,000",30x120
ENSCO,ENSCO 8502,No,Yes,SS,Ensco,8500,Series,2009,,,8500.0,"10,000","35,000",,,33600.0,8.0,150.0,336.0,285.0,25.0,60,"8,000",30x120
ENSCO,ENSCO 8503,No,Yes,SS,Ensco,8500,Series,2010,,,8500.0,"10,000","37,500",,,33600.0,8.0,150.0,336.0,263.0,25.0,60,"8,000",30x120
ENSCO,ENSCO 8504,No,Yes,SS,Ensco,8500,Series,2011,,,8500.0,"10,000","35,000",,,33600.0,8.0,150.0,336.0,285.0,25.0,60,"8,000",30x120
ENSCO,ENSCO 8505,No,Yes,SS,Ensco,8500,Series,2011,,,8500.0,"10,000","35,000",,,33600.0,8.0,150.0,338.0,285.0,25.0,60,"8,000",30x120
ENSCO,ENSCO DS-1,No,Yes,DS,"Gusto 10,000",1999,2004/2009,DNV,6000.0,10000.0,31500.0,1Q/16,Angola,39660.0,11.0,162.0,680.0,98.5,,31.5,19510.0,39.4x31.0,DP-2,7
ENSCO,ENSCO DS-2,No,Yes,DS,"Gusto 10,000",1999,2005,DNV,6000.0,10000.0,31500.0,2Q/15,Angola,39660.0,11.0,162.0,680.0,98.5,,31.5,19510.0,39.4x31.0,DP-2,7
ENSCO,ENSCO DS-3,No,Yes,DS,Samsung,2010,-,ABS,10000.0,10000.0,40000.0,2Q/16,USGoM,54000.0,12.0,200.0,751.0,138.0,28.0,39.0,22046.0,41x84,DPS-3,"6x7,375"
ENSCO,ENSCO DS-7,No,Yes,DS,Samsung,2013,-,ABS,10000.0,12000.0,40000.0,4Q/16,Angola,64365.0,12.0,200.0,748.0,138.0,28.0,39.0,22046.0,41,x,84
MÆRSK,MÆRSK DELIVERER,No,Yes,SS,KFELS MSC GUSTO DSS21,2010,-,ABS,10000.0,10000.0,,3Q/15,West,,51500.0,8.0,180.0,384.0,258.0,32.0,67.0,"14,900",100x30,DP-2
MÆRSK,MÆRSK DEVELOPER,No,Yes,SS,KFELS MSC GUSTO DSS21,2009,-,ABS,10000.0,10000.0,,4Q/15,US,,51500.0,8.0,180.0,384.0,258.0,32.0,67.0,"14,900",100x30,DP-2
MAERSK,MAERSK DISCOVERER,No,Yes,SS,KFELS MSC GUSTO DSS21,2009,-,ABS,10000.0,10000.0,,3Q/16,Egypt,51500.0,8.0,180.0,384.0,258.0,32.0,67.0,14900.0,100x30,DP-2,"8x5,365"
MÆRSK,MÆRSK VALIANT,No,Yes,DS,SAMSUNG 96K,2013,-,ABS,12000.0,12000.0,40000.0,3Q/17,US,,56000.0,,230.0,748.0,138.0,28.0,39.0,"20,000",84x41,DP-3
MÆRSK,MÆRSK VENTURER,No,Yes,DS,SAMSUNG 96K,2014,-,ABS,12000.0,12000.0,40000.0,-,-,56000.0,,230.0,748.0,138.0,28.0,39.0,20000.0,84x41,DP-3,-
MÆRSK,MÆRSK VIKING,No,Yes,DS,SAMSUNG 96K,2013,-,ABS,12000.0,12000.0,40000.0,2Q/17,GoM,56000.0,,230.0,748.0,138.0,28.0,39.0,20000.0,84x41,DP-3,"6x7,400"
NOBLE,NOBLE BOB DOUGLAS,No,Yes,DS,Gusto P-10000,2013,-,DNV,10000.0,12000.0,40000.0,1Q/17,US,,64368.0,11.0,210.0,759.0,118.0,36.0,36.0,"22,046",32.8,x
NOBLE,NOBLE BULLY I,No,Yes,DS,"Gusto, MSC Bully PRD",2008,2011,DNV,8250.0,8250.0,40000.0,1Q/17,US,,43200.0,7.5,168.0,615.0,128.0,26.25,32.5,"12,300",64x41,DP-2
NOBLE,NOBLE BULLY II,No,Yes,DS,"Gusto, MSC Bully PRD",2011,-,DNV,8250.0,8250.0,40000.0,2Q/22,Brazil,43200.0,10.0,156.0,615.0,128.0,32.5,32.5,12300.0,64x41,DP-2,"6x5,600"
NOBLE,NOBLE DANNY ADKINS,No,Yes,SS,Bingo,9000,1999,2009,,12000.0,12000.0,"37,000",3Q/14,,,51360.0,8.0,200.0,344.0,277.0,39.5,82,"9,000",103x23
NOBLE,NOBLE DAVE BEARD,No,Yes,SS,Modified Enhanced Pacesetter,1986,2008,ABS,10000.0,10000.0,35000.0,1Q/16,Brazil,49400.0,8.0,200.0,366.0,217.0,19.0,55.0,6500.0,95x25,DP-2,"8x5,000"
NOBLE,NOBLE DON TAYLOR,No,Yes,DS,Gusto P-10000,2013,-,DNV,10000.0,12000.0,40000.0,1Q/19,US,,64368.0,11.0,210.0,752.0,118.0,36.0,36.0,"22,046",32.8,x
NOBLE,NOBLE GLOBETROTTER I,No,Yes,DS,Globetrotter,2010,-,ABS,10000.0,10000.0,40000.0,3Q/22,US,,54284.0,12.0,180.0,620.0,105.0,39.0,39.4,"20,720",89.2,x
NOBLE,NOBLE GLOBETROTTER II,No,Yes,DS,Globetrotter,2011,-,ABS,10000.0,10000.0,40000.0,3Q/23,W,,,12.0,180.0,620.0,105.0,39.0,39.4,"20,720",89.2,x
NOBLE,NOBLE JIM DAY,No,Yes,SS,Bingo,9000,1999,2010,,12000.0,12000.0,"37,000",1Q/16,,,51360.0,8.0,200.0,344.0,277.0,39.5,82,"9,000",103x23
NOBLE,NOBLE SAM CROFT,No,Yes,DS,Gusto P-10000,2014,-,DNV,10000.0,12000.0,40000.0,3Q/17,US,,64368.0,11.0,210.0,759.0,118.0,36.0,36.0,"22,046",32.8,x
EIRIK,EIRIK RAUDE,No,Yes,SS,Bingo,9000,2002,-,,10000.0,10000.0,-,1Q/15,,10200.0,7.0,140.0,391.0,279.0,39.4,78.0,"6,624",23x47.5,DP-3
OCEAN,OCEAN RIG ATHENA,No,Yes,DS,Saipem 10000,2013,-,ABS,10000.0,12000.0,,1Q/17,-,59500.0,12.0,215.0,748.0,138.0,27.9,39.4,20000.0,94,x,41
OCEAN,OCEAN RIG CORCOVADO,No,Yes,DS,Saipem 10000,2011,-,ABS,10000.0,10000.0,35000.0,2Q/15,NA,,12.0,217.0,748.0,,,,20000.0,84x41,DP-3,6
OCEAN,OCEAN RIG OLYMPIA,No,Yes,DS,Saipem 10000,2011,-,ABS,10000.0,10000.0,35000.0,3Q/17,NA,,12.0,217.0,748.0,138.0,,,20000.0,84x41,DP-3,6
DEEPSEA,DEEPSEA ATLANTIC,No,Yes,SS,GVA,7500,2009,-,,9840.0,9840.0,"37,500",3Q/15,,,,,156.0,108.0,78.0,32.6,75.5,"7,000",-
DEEPSEA,DEEPSEA METRO II,No,Yes,DS,Gusto P-10000,2011,-,DNV,10000.0,12000.0,40000.0,2Q/15,Brazil,,,210.0,753.0,118.0,,36.0,,-,DP-3,-
DEEPSEA,DEEPSEA STAVANGER,No,Yes,SS,GVA,7500,2010,-,,9840.0,9840.0,"37,500",3Q/15,,,,,156.0,108.0,78.0,32.6,75.5,"7,000",-
PACIFIC,PACIFIC BORA,No,Yes,DS,"Samsung 10,000",2010,-,ABS,10000.0,10000.0,37500.0,3Q/14,Nigeria,60000.0,12.0,200.0,748.0,138.0,27.9,39.4,22051.0,94,x,41
PACIFIC,PACIFIC KHAMSIN,No,Yes,DS,"Samsung 12,000",2013,-,DNV,10000.0,12000.0,40000.0,1Q/17,Nigeria,65000.0,12.0,200.0,748.0,138.0,27.9,39.4,22051.0,84,x,41
PACIFIC,PACIFIC MISTRAL,No,Yes,DS,"Samsung 12,000",2011,-,ABS,10000.0,12000.0,37500.0,1Q/15,Brazil,60000.0,12.0,200.0,748.0,138.0,27.9,39.4,22051.0,94,x,41
PACIFIC,PACIFIC SANTA ANA,No,Yes,DS,"Sansung 12,000",2011,-,ABS,10000.0,12000.0,40000.0,1Q/17,US,,60000.0,12.0,200.0,748.0,138.0,27.9,39.4,"22,051",84,x
LOUISIANA,LOUISIANA,No,Yes,SS,F&G L-900 Pacesetter,1998,-,-,6234.0,6234.0,30000.0,2Q/10,Brazil,,,,,,,,,-,-,-
SSV,SSV VICTORIA,No,Yes,SS,GVA,7500,2009,-,,7874.0,10000.0,"35,000",1Q/17,,,,,,,,,-,-,-
ALPHA,ALPHA STAR,No,Yes,SS,Gusto DSS-38,2009,-,ABS,9000.0,9000.0,25000.0,-,-,,,130.0,339.0,228.0,28.5,67.0,9622.0,131x30,DP-2,8
LAGUNA,LAGUNA STAR,No,Yes,DS,"Samsung 10,000",2011,-,ABS,10000.0,10000.0,40000.0,-,-,9500.0,1.2,,715.0,138.0,40.0,,20000.0,84x41,DP-3,6
ROWAN,ROWAN RENAISSANCE,No,Yes,DS,"Gusto P10,000",2013,-,ABS,12000.0,12000.0,40000.0,2Q/17,West,,65000.0,,210.0,752.0,118.0,31.2,36.1,"20,000",73.5x42,DP-3
SAIPEM,SAIPEM 12000,No,Yes,DS,Samsung Heavy Industries,2010,NA,ABS,12000.0,12000.0,25000.0,3Q/17,West,,64000.0,12.0,200.0,745.0,37.0,27.8,39.4,"20,000",126x41,DP-3
SCARABEO,SCARABEO 8,No,Yes,SS,Moss CD50 MKII,2012,NA,DNV,10000.0,10000.0,35000.0,2Q/17,North,,54000.0,9.5,140.0,273.0,238.0,35.0,77.1,6600,118.6x37.6,DP-3
SCARABEO,SCARABEO 9,No,Yes,SS,Frigstad D-90 DRR,2011,NA,DNV,10000.0,12000.0,50000.0,1Q/17,Gulf,,,62000.0,10.0,200.0,265.0,250.0,36.8,77.4,7700,137.8x26.2
SERTAO,SERTAO,No,Yes,DS,"Samsung 10,000",2011,-,-,10000.0,10000.0,37400.0,-,-,,,200.0,748.0,138.0,28.0,39.0,20000.0,84x40,DP-3,"6x6,000"
SS,SS AMAZONIA,No,Yes,SS,F&G ExD Millennium,2011,-,ABS,7874.0,7874.0,25000.0,-,-,,,135.0,345.0,254.0,24.0,55.0,5500.0,87x22,DP-2,"8x3,250"
WEST,WEST AQUARIUS,No,Yes,SS,GVA,7500,2009,-,,10000.0,10000.0,"35,000",2Q/17,,,,50500.0,6.0,180.0,382.0,317.0,30.5,75.5,"7,000"
WEST,WEST CAPELLA,No,Yes,DS,"Samsung 10,000",2008,-,ABS,10000.0,10000.0,37500.0,2Q/17,West,,64500.0,11.0,180.0,748.0,138.0,27.2,39.4,"20,000",84x31,DP-3
WEST,WEST EMINENCE,No,Yes,SS,Moss CS50 MkII,2009,-,DNV,10000.0,10000.0,30000.0,3Q/15,Brazil,50500.0,8.0,180.0,273.0,239.0,32.3,77.0,6100.0,-,DP-3,"8x4,485"
WEST,WEST HERCULES,No,Yes,SS,GVA,7500,2008,-,,10000.0,10000.0,"35,000",1Q/17,,,50500.0,6.0,180.0,382.0,317.0,30.5,75.5,"7,000",63x26
WEST,WEST JUPITER,No,Yes,DS,"Samsung 12,000",2014,-,ABS,12000.0,12000.0,37500.0,1Q/15,Asia,56300.0,12.0,200.0,748.0,138.0,,,18000.0,-,DP-3,"6x6,000"
WEST,WEST NAVIGATOR,No,Yes,DS,MST Converted to Drillship,2000,-,DNV,7500.0,8200.0,35000.0,1Q/15,North,,43000.0,12.0,117.0,830.0,138.0,43.0,43.0,"9,900",63x39,DP-3
WEST,WEST ORION,No,Yes,SS,"Friede & Goldman, ExD Class",2010,-,ABS,10000.0,10000.0,37500.0,3Q/16,Brazil,50500.0,7.0,180.0,379.0,296.0,27.7,65.5,7000.0,-,DPS-2+,"8x4,485"
WEST,WEST PEGASUS,No,Yes,SS,Moss CS50 MkII,2011,-,DNV,10000.0,10000.0,35000.0,3Q/16,Mexico,49300.0,8.0,192.0,387.0,239.0,32.3,77.0,6800.0,-,DP-3,"8x5,100"
WEST,WEST TAURUS,No,Yes,SS,"Friede & Goldman, ExD Class",2008,-,ABS,10000.0,10000.0,37500.0,1Q/15,Brazil,50500.0,7.0,180.0,379.0,296.0,27.7,65.5,7000.0,-,DPS-2+,"8x4,485"
WEST,WEST VELA,No,Yes,DS,"SHI S10,000",2013,-,ABS,10000.0,12000.0,37500.0,4Q/20,GoM,56300.0,12.0,200.0,748.0,138.0,,,18000.0,-,DP-3,"6x6,000"
SEVAN,SEVAN DRILLER,No,Yes,SS,Sevan 650,2009,-,-,12500.0,12500.0,40000.0,2Q/16,Brazil,,,150.0,279.0,246.0,,,,-,-,"8x5,100"
SEVAN,SEVAN LOUISIANA,No,Yes,SS,Sevan 650,2013,-,-,10000.0,10000.0,,2Q/17,GoM,56300.0,8.0,150.0,,,,,,-,-,"8x5,100"
STENA,STENA CARRON,No,Yes,DS,Stena/Samsung,2008,-,DNV,7500.0,10000.0,35000.0,4Q/16,International,60000.0,12.0,180.0,748.0,137.8,26.25,39.4,22046.0,84x41,DP-3,"6x5,500"
STENA,STENA ICEMAX,No,Yes,DS,Stena/Samsung,2012,-,DNV,7500.0,10000.0,35000.0,2Q/17,International,60000.0,12.0,180.0,748.0,137.8,26.25,39.4,16535.0,84x41,DP-3,"6x5,500"
DEEPWATER,DEEPWATER ASGARD,No,Yes,DS,DSME 12000 Ultradeepwater DS,2014,-,DNV,10000.0,12000.0,40000.0,Q2,2017,,56300.0,12.5,200.0,781.0,138.0,29.5,39.0,"25,353",82x41.3,DP-3
DEEPWATER,DEEPWATER CHAMPION,No,Yes,DS,Transocean/MSC Gusto P10000,2011,-,DNV,10000.0,12000.0,40000.0,4Q/19,GoM,60346.0,14.0,210.0,752.0,118.0,30.0,36.0,23888.0,73.5x42,DP-2,"6x6,705"
DEVELOPMENT,DEVELOPMENT DRILLER III,No,Yes,SS,Keppel Fels MSC DSS 51,2009,-,ABS,7500.0,10000.0,37500.0,4Q/20,GoM,54080.0,5.0,200.0,257.0,256.0,32.0,67.0,14881.0,136x25,DPS,2
DHIRUBHAI,DHIRUBHAI DEEPWATER KG1,No,Yes,DS,Samsung 10000,2009,-,ABS,10000.0,12000.0,35000.0,3Q/18,India,56320.0,12.0,200.0,748.0,137.0,28.0,39.0,22046.0,84x41,DP-3,"6x5,500"
DHIRUBHAI,DHIRUBHAI DEEPWATER KG2,No,Yes,DS,Samsung 10000,2010,-,ABS,12000.0,12000.0,35000.0,1Q/19,India,56320.0,12.0,200.0,748.0,137.0,28.0,39.0,22046.0,84x41,DP-3,"6x5,500"
DISCOVERER,DISCOVERER AMERICAS,No,Yes,DS,Enhanced Enterprise Class,2009,-,DNV,10000.0,12000.0,40000.0,1Q/20,Tanzania,56320.0,12.0,200.0,835.0,125.0,39.0,42.0,22046.0,72.5x30,SDP,32
DISCOVERER,DISCOVERER CLEAR LEADER,No,Yes,DS,Enhanced Enterprise Class,2009,-,DNV,10000.0,12000.0,40000.0,3Q/18,GoM,56320.0,12.0,200.0,835.0,125.0,39.0,42.0,22046.0,72.5x30,SDP,32
DISCOVERER,DISCOVERER SPIRIT,No,Yes,DS,Enterprise Class,2000,-,DNV,10000.0,10000.0,35000.0,2Q/18,GoM,52000.0,13.0,200.0,835.0,125.0,39.0,42.0,22050.0,80x30,DP-2,"6x7,000"
GSF,GSF C.R. LUIGS,No,Yes,DS,Global Marine 456 Class,2000,-,ABS,10000.0,10000.0,35000.0,2Q/18,GoM,46320.0,12.0,150.0,759.0,118.0,28.0,33.0,24600.0,42x42,DPS-3,"6x6,700"
GSF,GSF DEVELOPMENT DRILLER II,No,Yes,SS,F&G ExD,2005,-,ABS,7500.0,10000.0,37500.0,2Q/18,GoM,40766.0,8.0,152.0,324.0,258.0,26.9,49.2,7716.0,140x28,DPS-2+,"8x4,300"
TRANSOCEAN,TRANSOCEAN BARENTS,No,Yes,SS,Aker H-6e,2009,-,DNV,6500.0,10000.0,30000.0,2Q/18,Norway,56528.0,8.0,140.0,295.0,230.0,32.0,75.0,7716.0,75x34,DP-3,"8x6,000"
TRANSOCEAN,TRANSOCEAN SPITSBERGEN,No,Yes,SS,Aker H-6e,2009,-,DNV,6500.0,10000.0,30000.0,3Q/19,Norway,56528.0,8.0,140.0,295.0,230.0,32.0,75.0,7716.0,75x34,DP-3,"8x6,000"
TITANIUM,TITANIUM EXPLORER,No,Yes,DS,DSME Design,2012,NA,ABS,10000.0,12000.0,40000.0,3Q/20,GOM,56322.0,12.0,180.0,781.0,138.0,27.88,39.8,22046.0,82,x,41.3
TUNGSTEN,TUNGSTEN EXPLORER,No,Yes,DS,DSME Design,2013,NA,ABS,10000.0,12000.0,40000.0,2Q/14,Malaysia,56322.0,12.0,200.0,781.0,138.0,27.88,39.8,22046.0,82,x,41.3
