Ref. No.,Folder,File Name,DD Type,DD Content Tittle,Usage DD category,Doc number,Received by,DD logged in Date,DD Status,Doc Title,Contents,Included in the Model,Check QA,Check QA Date,Note
12,ORCAFLEX_INPUT,Environmental Data,PDF,Section 4,General Info,,My Vang,2019-10-28,Reviewed,4.0 Environmental Data,"Max wave height, period, current values, survival conditions",,,,
13,ORCAFLEX_INPUT,Loading Case 1,PDF,Section 10,General Info,,My Vang,2019-10-28,Reviewed,10.0 Loading Condition 1,Manual calculation results of Load case 1,,,,
14,ORCAFLEX_INPUT,Loading Case 2,PDF,Section 11,General Info,,My Vang,2019-10-28,Reviewed,11.0 Loading Condition 2,Manual calculation results of Load case 2,,,,
15,ORCAFLEX_INPUT,Loading Case 3,PDF,Section 12,General Info,,My Vang,2019-10-28,Reviewed,12.0 Loading Condition 3,Manual calculation results of Load case 3,,,,
16,ORCAFLEX_INPUT,Loading Case 4,PDF,Section 13,General Info,,My Vang,2019-10-28,Reviewed,13.0 Loading Condition 4,Manual calculation results of Load case 4,,,,
17,ORCAFLEX_INPUT,Review of Loading Cases,PDF,Section 7,General Info,,My Vang,2019-10-28,Reviewed,7.0 Review of Loading Conditions,Summary of 4 load cases,,,,
18,ORCAFLEX_INPUT,Soil Data,PDF,Section 3,General Info,,My Vang,2019-10-28,Reviewed,3.0 Soil Data,Log and Test Results of Soil data,,,,
19,ORCAFLEX_INPUT,Ultimate Foundation Loading,PDF,Section 14,General Info,,My Vang,2019-10-28,Reviewed,14.0 Ultimate Foundation Loading,,,,,
20,ORCAFLEX_INPUT,Wave Loads,PDF,Section 6,General Info,,My Vang,2019-10-28,Reviewed,6.0 Wave Loads,,,,,
21,ORCAFLEX_INPUT,Calculations,PDF,Section 3,General Info,,My Vang,2019-10-28,Reviewed,3.0 Calculations,"Detailed Calculations of Pile, lugs etc. ??",,,,
22,ORCAFLEX_INPUT,Design Loads,PDF,Section 2,General Info,,My Vang,2019-10-28,Reviewed,2.0 Design Loadings,,,,,
23,ORCAFLEX_INPUT,General,PDF,Section 1,General Info,,My Vang,2019-10-28,Reviewed,1.0 General,,,,,
24,ORCAFLEX_INPUT,Chain Swivel Mechanical Catalogue,PDF,Riser Chain Swivel Specification,General Info,,My Vang,2019-10-28,Reviewed,"SALM Mooring System, Riser ChainSwivel Specification",,,,,
25,ORCAFLEX_INPUT,SALM Chain Swivel Mechanical Catalog,PDF,Riser Chainswivel Specification,General Info,,My Vang,2019-10-28,Reviewed, --- Duplicate --- of above document,Mechanical Catalog for the Chain Swivel ,,,,
26,ORCAFLEX_INPUT,TCOT 2 SALM_MECHANICAL CATALOG_1 OF 1,PDF,Mechanical Catalogue,General Info,,My Vang,2019-10-28,Reviewed,,"Purchase Order Catalogue : Mooring System, Anchor Chain, Universal Joints, Chain Swivel, Fluid Swivel, Navigation Aids, Piping components, Hoses, Valves, Miscellaneous",,,,
27,ORCAFLEX_INPUT,TCOT_2 SALM_OPERATION AND MAINTANANCE MANUAL,PDF,Operating and Maintenance Manual,General Info,,My Vang,2019-10-28,Reviewed,SALM Operation and Maintenance Manual,"Intro, Detailed description, Technical Data, Installation and Commistion Procedure, Start-up and Operation, Routine Maintenance and Inspection, As required maintenance, General Information, Construction Drawings ",,,,
