# Rainflow Counting Results
# Total Cycles: 356
# Full Cycles: 221
# Half Cycles: 135
# Max Range: 65.725288
# Min Range: 0.115280
# Mean Range: 14.260880
Range,Counts
35.076825,1.0
36.13801,1.0
36.194554,1.0
37.011228,0.5
37.024936,1.0
37.445849,0.5
37.695512,1.0
38.518604,0.5
39.952863,0.5
41.597577,0.5
42.186837,0.5
44.636664,1.0
53.414186,0.5
55.955338,0.5
58.130467,0.5
63.072372,0.5
64.813571,0.5
65.725288,0.5
