Load Case ,FST1 ,FST2 ,LNGC-Partner (Small) ,LNCG-Excalibur (Large) ,Mooring Status ,Water Level ,Wind Dir [deg],Vw [m/s],Wave Dir [deg],Hs [m],Tp [s]
F081,Light,Light,Full,-,Intact,MWL,-,-,150,0.5,2.5
F082,Light,Light,Full,-,Intact,MWL,-,-,150,0.5,3.5
F083,Light,Light,Full,-,Intact,MWL,-,-,150,0.5,4.5
F084,Light,Light,Full,-,Intact,MWL,-,-,310,0.5,2.5
F085,Light,Light,Full,-,Intact,MWL,-,-,310,0.5,3.5
F086,Light,Light,Full,-,Intact,MWL,-,-,310,0.5,4.5
F087,Full,Full,Ballast,-,Intact,MWL,-,-,45,0.5,2.5
F088,Full,Full,Ballast,-,Intact,MWL,-,-,45,0.5,3.5
F089,Full,Full,Ballast,-,Intact,MWL,-,-,45,0.5,4.5
F090,Full,Full,Ballast,-,Intact,MWL,-,-,70,0.5,2.5
F091,Full,Full,Ballast,-,Intact,MWL,-,-,70,0.5,3.5
F092,Full,Full,Ballast,-,Intact,MWL,-,-,70,0.5,4.5
F093,Full,Full,Ballast,-,Intact,MWL,-,-,90,0.5,2.5
F094,Full,Full,Ballast,-,Intact,MWL,-,-,90,0.5,3.5
F095,Full,Full,Ballast,-,Intact,MWL,-,-,90,0.5,4.5
F096,Full,Full,Ballast,-,Intact,MWL,-,-,125,0.5,2.5
F097,Full,Full,Ballast,-,Intact,MWL,-,-,125,0.5,3.5
F098,Full,Full,Ballast,-,Intact,MWL,-,-,125,0.5,4.5
F099,Full,Full,Ballast,-,Intact,MWL,-,-,150,0.5,2.5
F100,Full,Full,Ballast,-,Intact,MWL,-,-,150,0.5,3.5
F101,Full,Full,Ballast,-,Intact,MWL,-,-,150,0.5,4.5
F102,Full,Full,Ballast,-,Intact,MWL,-,-,310,0.5,2.5
F103,Full,Full,Ballast,-,Intact,MWL,-,-,310,0.5,3.5
F104,Full,Full,Ballast,-,Intact,MWL,-,-,310,0.5,4.5
F105,Light,Light,Full,-,Intact,MWL,0,10,-,-,-
F106,Light,Light,Full,-,Intact,MWL,23,10,-,-,-
F107,Light,Light,Full,-,Intact,MWL,45,10,-,-,-
F108,Light,Light,Full,-,Intact,MWL,70,10,-,-,-
F109,Light,Light,Full,-,Intact,MWL,90,10,-,-,-
F110,Light,Light,Full,-,Intact,MWL,110,10,-,-,-
F111,Light,Light,Full,-,Intact,MWL,125,10,-,-,-
F112,Light,Light,Full,-,Intact,MWL,150,10,-,-,-
F113,Light,Light,Full,-,Intact,MWL,180,10,-,-,-
F114,Light,Light,Full,-,Intact,MWL,200,10,-,-,-
F115,Light,Light,Full,-,Intact,MWL,222,10,-,-,-
F116,Light,Light,Full,-,Intact,MWL,245,10,-,-,-
F117,Light,Light,Full,-,Intact,MWL,270,10,-,-,-
F118,Light,Light,Full,-,Intact,MWL,290,10,-,-,-
F119,Light,Light,Full,-,Intact,MWL,310,10,-,-,-
F120,Light,Light,Full,-,Intact,MWL,335,10,-,-,-
F121,Full,Full,Ballast,-,Intact,MWL,0,10,-,-,-
F122,Full,Full,Ballast,-,Intact,MWL,23,10,-,-,-
F123,Full,Full,Ballast,-,Intact,MWL,45,10,-,-,-
F124,Full,Full,Ballast,-,Intact,MWL,70,10,-,-,-
F125,Full,Full,Ballast,-,Intact,MWL,90,10,-,-,-
F126,Full,Full,Ballast,-,Intact,MWL,110,10,-,-,-
F127,Full,Full,Ballast,-,Intact,MWL,125,10,-,-,-
F128,Full,Full,Ballast,-,Intact,MWL,150,10,-,-,-
F129,Full,Full,Ballast,-,Intact,MWL,180,10,-,-,-
F130,Full,Full,Ballast,-,Intact,MWL,200,10,-,-,-
F131,Full,Full,Ballast,-,Intact,MWL,222,10,-,-,-
F132,Full,Full,Ballast,-,Intact,MWL,245,10,-,-,-
F133,Full,Full,Ballast,-,Intact,MWL,270,10,-,-,-
F134,Full,Full,Ballast,-,Intact,MWL,290,10,-,-,-
F135,Full,Full,Ballast,-,Intact,MWL,310,10,-,-,-
F136,Full,Full,Ballast,-,Intact,MWL,335,10,-,-,-
