pipe_size,od_mm,od_m,wt_mm,wt_m,grade,code,internal_pressure_mpa,external_pressure_mpa,water_depth_m,is_safe,governing_check,max_utilisation,check_pressure_containment,check_collapse,check_propagation_buckling,check_combined_loading
"20""",508.0,0.508,15.1,0.0151,X65,DNV-ST-F101,15,5.026,500.0,False,propagation_buckling,3.2683,0.528,0.0882,3.2683,0.1337
"20""",508.0,0.508,15.1,0.0151,X65,DNV-ST-F101,20,5.026,500.0,False,propagation_buckling,3.2683,0.7927,0.0882,3.2683,0.2007
"20""",508.0,0.508,15.1,0.0151,X65,DNV-ST-F101,25,5.026,500.0,False,propagation_buckling,3.2683,1.0573,0.0882,3.2683,0.2677
"20""",508.0,0.508,15.1,0.0151,X65,API RP 1111,10,5.026,500.0,False,propagation,2.6988,,0.5763,,
"20""",508.0,0.508,15.1,0.0151,X65,API RP 1111,15,5.026,500.0,False,propagation,2.6988,,0.5763,,
"20""",508.0,0.508,15.1,0.0151,X65,API RP 1111,20,5.026,500.0,False,propagation,2.6988,,0.5763,,
"20""",508.0,0.508,15.1,0.0151,X65,API RP 1111,25,5.026,500.0,False,propagation,2.6988,,0.5763,,
"20""",508.0,0.508,15.1,0.0151,X65,PD 8010-2,10,5.026,500.0,False,propagation,3.1811,,0.0842,,
"20""",508.0,0.508,15.1,0.0151,X65,PD 8010-2,15,5.026,500.0,False,propagation,3.1811,,0.0842,,
"20""",508.0,0.508,15.1,0.0151,X65,PD 8010-2,20,5.026,500.0,False,propagation,3.1811,,0.0842,,
"20""",508.0,0.508,15.1,0.0151,X65,PD 8010-2,25,5.026,500.0,False,propagation,3.1811,,0.0842,,
