vessel_id,name,scope,vessel_type,owner_operator,year_built,loa,lbp,beam,depth,draft,draft_transit,displacement,cb,lcg,vcg,tcg,kxx,kxx_basis,kyy,kyy_basis,kzz,kzz_basis,n_citations,n_gaps
install_mcdermott_dlv_2000,McDermott DLV 2000,install,"Monohull derrick lay vessel, 2,200 t crane + under-deck S-lay (DP3)",McDermott International,2016,184.0,180.0,38.6,,7.7,,,,,,,13.51,estimated:kxx=0.35*beam,45.0,estimated:kyy=0.25*length_bp,46.8,estimated:kzz=0.26*length_bp,1,9
install_saipem_castorone,Saipem Castorone,install,"Monohull deepwater large-diameter pipelay vessel (S-lay, DP3)",Saipem,2012,,,39.0,,10.6,,,,,,,13.65,estimated:kxx=0.35*beam,,gap,,gap,2,8
install_seven_oceans,Seven Oceans,install,"Monohull reel-lay (rigid pipelay) construction vessel, 3,500 t reel + 400 t crane",Subsea 7,2007,157.0,,28.0,,,,,,,,,9.8,estimated:kxx=0.35*beam,39.25,estimated:kyy=0.25*length_bp,40.82,estimated:kzz=0.26*length_bp,1,10
support_damen_ahts_150,Damen AHTS 150,support,AHTS,Damen,,74.1,,18.5,7.5,6.6,,,,,,,6.475,estimated:kxx=0.35*beam,18.525,estimated:kyy=0.25*length_bp,19.266,estimated:kzz=0.26*length_bp,1,8
support_damen_ahts_180,Damen AHTS 180,support,AHTS,Damen,,75.0,,19.0,8.0,7.5,,,,,,,6.65,estimated:kxx=0.35*beam,18.75,estimated:kyy=0.25*length_bp,19.5,estimated:kzz=0.26*length_bp,1,7
support_eas_dpi_ahts,Eas DPI (AHTS),support,AHTS,EDT Offshore,1975,61.75,,13.0,6.35,5.437,,2688.0,,,,,4.55,estimated:kxx=0.35*beam,15.438,estimated:kyy=0.25*length_bp,16.055,estimated:kzz=0.26*length_bp,1,5
support_psv_79m_dp2_horizon_hos265,PSV 79m DP2 (Horizon HOS265),support,PSV,Horizon Offshore Services,,79.96,,21.0,7.2,,6.2,,,,,,7.35,estimated:kxx=0.35*beam,19.99,estimated:kyy=0.25*length_bp,20.79,estimated:kzz=0.26*length_bp,1,7
support_viking_energy_lng_psv,Viking Energy (LNG PSV),support,PSV,Eidesvik Offshore,2003,94.9,81.6,20.4,9.6,7.9,,,,,,,7.14,estimated:kxx=0.35*beam,20.4,estimated:kyy=0.25*length_bp,21.216,estimated:kzz=0.26*length_bp,1,5
support_chartwell_24_ctv,Chartwell 24 CTV,support,CTV-catamaran,Chartwell Marine,,24.4,,8.87,,1.2,,,,,,,3.104,estimated:kxx=0.35*beam,6.1,estimated:kyy=0.25*length_bp,6.344,estimated:kzz=0.26*length_bp,1,10
support_stratcat_27_ctv,StratCat 27 CTV,support,CTV-catamaran,Strategic Marine,,27.0,23.9,8.9,,1.5,,,,,,,3.115,estimated:kxx=0.35*beam,5.975,estimated:kyy=0.25*length_bp,6.214,estimated:kzz=0.26*length_bp,1,7
support_windea_jules_verne_ulstein_sx195_sov_w2w,WINDEA Jules Verne (Ulstein SX195 SOV/W2W),support,SOV/W2W,Bernhard Schulte; Ulstein SX195,2020,93.4,,18.0,,6.4,,,,,,,6.3,estimated:kxx=0.35*beam,23.35,estimated:kyy=0.25*length_bp,24.284,estimated:kzz=0.26*length_bp,1,9
tanker_almi_vlcc_320_000_dwt_class_dsme_built_e_g_imo_9583720_9583732,"Almi VLCC (320,000 DWT class, DSME-built, e.g. IMO 9583720/9583732)",tanker,VLCC crude oil tanker,"Almi Tankers S.A. (built Daewoo Shipbuilding & Marine Engineering, DSME)",2013 / 2014,333.0,,60.048,,,,,,,,,21.017,estimated:kxx=0.35*beam,83.25,estimated:kyy=0.25*length_bp,86.58,estimated:kzz=0.26*length_bp,2,6
tanker_almi_vlcc_315_500_dwt_class_hyundai_samho_hshi_built_imo_9816323_9816335,"Almi VLCC (315,500 DWT class, Hyundai Samho HSHI-built, IMO 9816323/9816335)",tanker,"VLCC crude oil tanker (dual-fuel-ready, EGR)",Almi Tankers S.A. (built Hyundai Samho Heavy Industries),2018,336.0,,60.0,,,,,,,,,21.0,estimated:kxx=0.35*beam,84.0,estimated:kyy=0.25*length_bp,87.36,estimated:kzz=0.26*length_bp,2,6
tanker_alaskan_frontier_alaska_class_vlcc_sisters_explorer_navigator_legend,Alaskan Frontier (Alaska-class VLCC; sisters Explorer/Navigator/Legend),tanker,VLCC double-hull crude oil tanker,"Alaska Tanker Company / built National Steel and Shipbuilding (NASSCO), San Diego",2004-2006 (class),287.0,,50.0,,18.8,,,,,,,17.5,estimated:kxx=0.35*beam,71.75,estimated:kyy=0.25*length_bp,74.62,estimated:kzz=0.26*length_bp,2,7
tanker_almi_suezmax_158_000_dwt_class_dsme_built,"Almi Suezmax (158,000 DWT class, DSME-built)",tanker,Suezmax crude oil tanker,Almi Tankers S.A. (built DSME),2011-2013,274.0,,48.03,,,,,,,,,16.81,estimated:kxx=0.35*beam,68.5,estimated:kyy=0.25*length_bp,71.24,estimated:kzz=0.26*length_bp,3,6
tanker_greenway_cssc_158_000_dwt_lng_dual_fuel_suezmax_first_gsi_suezmax,"Greenway (CSSC 158,000 DWT LNG dual-fuel Suezmax, first GSI Suezmax)",tanker,Suezmax crude oil tanker (LNG dual-fuel),Guangzhou Shipbuilding International (GSI) / CSSC,2023,274.0,,,,,,,,,,,,gap,68.5,estimated:kyy=0.25*length_bp,71.24,estimated:kzz=0.26*length_bp,2,6
tanker_almi_aframax_115_000_dwt_class_dsme_built_2005,"Almi Aframax (115,000 DWT class, DSME-built 2005)",tanker,Aframax crude oil tanker,Almi Tankers S.A. (built DSME),2005,249.9,,44.0,,,,,,,,,15.4,estimated:kxx=0.35*beam,62.475,estimated:kyy=0.25*length_bp,64.974,estimated:kzz=0.26*length_bp,2,6
tanker_mv_prestige_aframax_81_589_dwt_single_hull_hitachi_1976,"MV Prestige (Aframax, 81,589 DWT, single-hull, Hitachi 1976)",tanker,"Aframax crude/products tanker (single-hull, historical)","Built Hitachi Shipbuilding & Engineering, Maizuru, Japan",1976,243.0,,34.4,18.7,14.0,,,,,,,12.04,estimated:kxx=0.35*beam,60.75,estimated:kyy=0.25*length_bp,63.18,estimated:kzz=0.26*length_bp,2,5
tanker_mozah_q_max_lng_carrier_266_000_m3,"Mozah (Q-Max LNG carrier, 266,000 m3)",tanker,"LNG carrier (membrane, Q-Max class)",Qatargas / Nakilat (built Samsung Heavy Industries),2008,345.0,,53.0,,12.0,,,,,,,18.55,estimated:kxx=0.35*beam,86.25,estimated:kyy=0.25*length_bp,89.7,estimated:kzz=0.26*length_bp,2,7
tanker_hoegh_esperanza_174k_class_lng_carrier_fsru_gtt_mark_iii,"Hoegh Esperanza (174k-class LNG carrier / FSRU, GTT Mark III)",tanker,"LNG carrier / FSRU (membrane GTT Mark III, dual-fuel diesel-electric)",Hoegh LNG (built Hyundai Heavy Industries),2018,294.0,,46.0,26.0,12.6,,,,,,,16.1,estimated:kxx=0.35*beam,73.5,estimated:kyy=0.25*length_bp,76.44,estimated:kzz=0.26*length_bp,2,6
tanker_standard_174_000_m3_lng_carrier_gtt_mark_iii_membrane_market_standard_new,"Standard 174,000 m3 LNG carrier (GTT Mark III/membrane, market-standard newbuild)",tanker,"LNG carrier (membrane, conventional 174k class - industry standard newbuild)",Multiple (GTT-licensed membrane; built KR/CN yards: SHI/HHI/DSME/Hudong),2018-present (active newbuild standard),,,,,,,,,,,,,gap,,gap,,gap,2,9
tanker_lpgc_ayame_vlgc_83_000_m3_mitsubishi_2010,"LPGC Ayame (VLGC, 83,000 m3, Mitsubishi 2010)",tanker,"VLGC (Very Large Gas Carrier, LPG, fully-refrigerated)","Built Mitsubishi Heavy Industries, Nagasaki",2010,230.0,,36.6,,,,,,,,,12.81,estimated:kxx=0.35*beam,57.5,estimated:kyy=0.25*length_bp,59.8,estimated:kzz=0.26*length_bp,3,7
tanker_standard_84_000_m3_vlgc_lpg_dual_fuel_jiangnan_class,"Standard 84,000 m3 VLGC (LPG dual-fuel, Jiangnan-class)",tanker,"VLGC (LPG carrier, fully-refrigerated, LPG dual-fuel newbuild)","Multiple (Jiangnan Shipyard et al.; operators Exmar, Dorian LPG, BW LPG, Avance Gas)",2020-present,230.0,,36.6,22.2,11.5,,,,,,,12.81,estimated:kxx=0.35*beam,57.5,estimated:kyy=0.25*length_bp,59.8,estimated:kzz=0.26*length_bp,2,6
