RAO Quality Check Summary
Generated,2026-01-11T23:43:07.970105
Source File,L02_OC4_Semi-sub.yml
Vessel Type,semi_submersible
Confidence,100.0%
Overall Status,FAIL
Pass Rate,48.1%

PHASE ANGLE CHECKS
DOF,Heading (deg),Period (s),Actual Amplitude,Expected Amplitude,Amplitude Error (%),Actual Phase (deg),Expected Phase (deg),Phase Error (deg),Status,Message
PITCH,157.5,30.0,0.0101,1.0000,98.99,-104.4,90.0,165.6,FAIL,"Long period pitch at 157.5° out of tolerance (amp err: 99.0%, phase err: 165.6°)"
PITCH,180.0,30.0,0.0110,1.0000,98.90,-105.4,90.0,164.6,FAIL,"Long period pitch at 180.0° out of tolerance (amp err: 98.9%, phase err: 164.6°)"
YAW,0.0,30.0,0.0000,0.0000,0.00,6.6,0.0,6.6,PASS,Inactive yaw at 0.0° correctly near zero
YAW,22.5,30.0,0.0001,0.0000,0.01,-101.2,0.0,101.2,PASS,Inactive yaw at 22.5° correctly near zero
YAW,45.0,30.0,0.0001,0.0000,0.01,-100.1,0.0,100.1,PASS,Inactive yaw at 45.0° correctly near zero
YAW,67.5,30.0,0.0001,0.0000,0.01,76.5,0.0,76.5,PASS,Inactive yaw at 67.5° correctly near zero
YAW,90.0,30.0,0.0002,0.0000,0.02,77.1,0.0,77.1,PASS,Inactive yaw at 90.0° correctly near zero
YAW,112.5,30.0,0.0001,0.0000,0.01,78.1,0.0,78.1,PASS,Inactive yaw at 112.5° correctly near zero
YAW,135.0,30.0,0.0001,0.0000,0.01,-100.8,0.0,100.8,PASS,Inactive yaw at 135.0° correctly near zero
YAW,157.5,30.0,0.0001,0.0000,0.01,-101.8,0.0,101.8,PASS,Inactive yaw at 157.5° correctly near zero
YAW,180.0,30.0,0.0000,0.0000,0.00,-167.5,0.0,167.5,PASS,Inactive yaw at 180.0° correctly near zero

PEAK PERIOD CHECKS
DOF,Heading (deg),Peak Period (s),Peak Amplitude,Expected Range,In Range,Amplification Factor,Status,Message
HEAVE,0.0,19.00,1.4244,"(17.0, 25.0)",Yes,1.36,PASS,Heave peak at 19.0s within expected range [17.0-25.0]s
HEAVE,22.5,19.00,1.4228,"(17.0, 25.0)",Yes,1.36,PASS,Heave peak at 19.0s within expected range [17.0-25.0]s
HEAVE,45.0,19.00,1.4264,"(17.0, 25.0)",Yes,1.37,PASS,Heave peak at 19.0s within expected range [17.0-25.0]s
HEAVE,67.5,19.00,1.4282,"(17.0, 25.0)",Yes,1.37,PASS,Heave peak at 19.0s within expected range [17.0-25.0]s
HEAVE,90.0,19.00,1.4231,"(17.0, 25.0)",Yes,1.36,PASS,Heave peak at 19.0s within expected range [17.0-25.0]s
HEAVE,112.5,19.00,1.4239,"(17.0, 25.0)",Yes,1.36,PASS,Heave peak at 19.0s within expected range [17.0-25.0]s
HEAVE,135.0,19.00,1.4231,"(17.0, 25.0)",Yes,1.36,PASS,Heave peak at 19.0s within expected range [17.0-25.0]s
HEAVE,157.5,19.00,1.4244,"(17.0, 25.0)",Yes,1.37,PASS,Heave peak at 19.0s within expected range [17.0-25.0]s
HEAVE,180.0,19.00,1.4291,"(17.0, 25.0)",Yes,1.37,PASS,Heave peak at 19.0s within expected range [17.0-25.0]s
ROLL,0.0,25.00,0.0000,"(17.0, 24.0)",No,3.10,WARNING,Roll peak at 25.0s near expected range [17.0-24.0]s
ROLL,22.5,25.00,0.0073,"(17.0, 24.0)",No,1.73,WARNING,Roll peak at 25.0s near expected range [17.0-24.0]s
ROLL,45.0,25.00,0.0130,"(17.0, 24.0)",No,1.67,WARNING,Roll peak at 25.0s near expected range [17.0-24.0]s
ROLL,67.5,25.00,0.0169,"(17.0, 24.0)",No,1.66,WARNING,Roll peak at 25.0s near expected range [17.0-24.0]s
ROLL,90.0,25.00,0.0181,"(17.0, 24.0)",No,1.65,WARNING,Roll peak at 25.0s near expected range [17.0-24.0]s
ROLL,112.5,25.00,0.0163,"(17.0, 24.0)",No,1.63,WARNING,Roll peak at 25.0s near expected range [17.0-24.0]s
ROLL,135.0,25.00,0.0124,"(17.0, 24.0)",No,1.61,WARNING,Roll peak at 25.0s near expected range [17.0-24.0]s
ROLL,157.5,25.00,0.0069,"(17.0, 24.0)",No,1.65,WARNING,Roll peak at 25.0s near expected range [17.0-24.0]s
ROLL,180.0,25.00,0.0000,"(17.0, 24.0)",No,3.19,WARNING,Roll peak at 25.0s near expected range [17.0-24.0]s
PITCH,0.0,25.00,0.0175,"(17.0, 20.0)",No,1.62,FAIL,Pitch peak at 25.0s outside expected range [17.0-20.0]s
PITCH,22.5,25.00,0.0164,"(17.0, 20.0)",No,1.63,FAIL,Pitch peak at 25.0s outside expected range [17.0-20.0]s
PITCH,45.0,25.00,0.0129,"(17.0, 20.0)",No,1.66,FAIL,Pitch peak at 25.0s outside expected range [17.0-20.0]s
PITCH,67.5,25.00,0.0071,"(17.0, 20.0)",No,1.67,FAIL,Pitch peak at 25.0s outside expected range [17.0-20.0]s
PITCH,90.0,7.00,0.0028,"(17.0, 20.0)",No,4.99,FAIL,Pitch peak at 7.0s outside expected range [17.0-20.0]s
PITCH,112.5,25.00,0.0067,"(17.0, 20.0)",No,1.61,FAIL,Pitch peak at 25.0s outside expected range [17.0-20.0]s
PITCH,135.0,25.00,0.0127,"(17.0, 20.0)",No,1.66,FAIL,Pitch peak at 25.0s outside expected range [17.0-20.0]s
PITCH,157.5,25.00,0.0169,"(17.0, 20.0)",No,1.67,FAIL,Pitch peak at 25.0s outside expected range [17.0-20.0]s
PITCH,180.0,25.00,0.0184,"(17.0, 20.0)",No,1.67,FAIL,Pitch peak at 25.0s outside expected range [17.0-20.0]s
