# provenance: previous project reference
# extraction_date: 2026-07-29
# schema: grade,diameter_in,area_in2,unit_weight_lbf_ft,modulus_psi,catalog_sonic_velocity_ft_s,weight_derived_velocity_ft_s,tensile_strength_psi,raw_sonic_velocity_kft_s,catalog_velocity_relative_residual,source_rows,raw_labels
# units: explicit in unit-suffixed fields; surface values unverified_source_unit
grade,diameter_in,area_in2,unit_weight_lbf_ft,modulus_psi,catalog_sonic_velocity_ft_s,weight_derived_velocity_ft_s,tensile_strength_psi,raw_sonic_velocity_kft_s,catalog_velocity_relative_residual,source_rows,raw_labels
D,1,0.785,2.9,30500000,16000,16298.161437720514,115000,16,0.018635089858,125;144,D   - 1.000;D  - 1.000
D,1.065,0.785,2.9,30500000,16000,16298.161437720514,115000,16,0.018635089858,126;145,D   - 1.065;D  - 1.065
D,1.125,0.994,3.67,30500000,16000,16302.827974284954,120000,16,0.018926748393,127;146,D   - 1.125;D  - 1.125
D,1.25,1.227,5,30500000,16000,15518.154272818659,120000,16,0.030115357949,128,D   - 1.250
D,1.5,1.767,6,30500000,16000,16999.863546878840,120000,16,0.062491471680,129;147,D   - 1.500;D  - 1.500
E,0.5,0.196,0.72,29000000,15800,15937.259810826257,50000,15.8,0.008687329799,200,E   - 0.500
E,0.625,0.307,1.13,29000000,15800,15921.421178561063,50000,15.8,0.007684884719,201,E   - 0.625
E,0.75,0.442,1.63,30500000,16000,16312.484737552506,50000,16,0.019530296097,202;206,E   - 0.750;E  - 0.750
E,0.875,0.601,2.2,30500000,16000,16373.015820453426,50000,16,0.023313488778,203,E   - 0.875
E,1,0.785,2.9,30500000,16000,16298.161437720514,50000,16,0.018635089858,204;207,E   - 1.000;E  - 1.000
E,1.125,0.994,3.67,30500000,16000,16302.827974284954,50000,16,0.018926748393,205;208,E   - 1.125;E  - 1.125
EL,0.5,0.196,0.72,29000000,15800,15937.259810826257,50000,15.8,0.008687329799,209,EL  - 0.500
EL,0.625,0.307,1.13,29000000,15800,15921.421178561063,50000,15.8,0.007684884719,210,EL  - 0.625
EL,0.75,0.442,1.63,30500000,16000,16312.484737552506,50000,16,0.019530296097,211,EL  - 0.750
EL,0.875,0.601,2.22,30500000,16000,16299.096635623319,50000,16,0.018693539726,212,EL  - 0.875
EL,1,0.785,2.9,30500000,16000,16298.161437720514,50000,16,0.018635089858,213,EL  - 1.000
EL,1.125,0.994,3.67,30500000,16000,16302.827974284954,50000,16,0.018926748393,214,EL  - 1.125
F,0.745,0.436,0.48,8200000,15000,15480.408556731742,35000,15,0.032027237115,215;225,F   - 0.745;F  - 0.745
F,0.87,0.594,0.66,8200000,15000,15409.233887510437,35000,15,0.027282259167,216;226,F   - 0.870;F  - 0.870
F,0.995,0.778,0.84,8200000,15000,15631.834481656488,35000,15,0.042122298777,217;227,F   - 0.995;F  - 0.995
F,1,0.778,0.84,8200000,15000,15631.834481656488,35000,15,0.042122298777,218;228,F   - 1.000;F  - 1.000
F,1.17,1.075,1.22,8200000,15000,15246.989779496331,35000,15,0.016465985300,219;230,F   - 1.170;F  - 1.170
F,1.225,1.225,1.29,7200000,15800,14831.746827447142,115000,15.8,0.061281846364,220,F   - 1.225
F,1.24,1.208,1.34,8200000,15000,15422.005737102547,35000,15,0.028133715807,221;231,F   - 1.240;F  - 1.240
F,1.25,1.208,1.34,8200000,15000,15422.005737102547,35000,15,0.028133715807,222;232,F   - 1.250;F  - 1.250
F,1.463,1.681,1.89,8200000,15000,15318.376763611661,35000,15,0.021225117574,224;233,F   - 1.463;F  - 1.463
HS,0.5,0.196,0.72,29000000,15800,15937.259810826257,135000,15.8,0.008687329799,234,HS  - 0.500
HS,0.625,0.307,1.13,30500000,16000,16327.990982830626,135000,16,0.020499436427,235,HS  - 0.625
HS,0.75,0.442,1.63,30500000,16000,16312.484737552506,135000,16,0.019530296097,236,HS  - 0.750
HS,0.875,0.601,2.22,30500000,16000,16299.096635623319,135000,16,0.018693539726,237,HS  - 0.875
HS,1,0.785,2.9,30500000,16000,16298.161437720514,135000,16,0.018635089858,238,HS  - 1.000
HS,1.125,0.994,3.67,30500000,16000,16302.827974284954,135000,16,0.018926748393,239,HS  - 1.125
K,0.5,0.196,0.72,29000000,15800,15937.259810826257,85000,15.8,0.008687329799,240;250,K   - 0.500;K  - 0.500
K,0.625,0.307,1.13,29000000,15800,15921.421178561063,85000,15.8,0.007684884719,241;251,K   - 0.625;K  - 0.625
K,0.75,0.442,1.63,30500000,16000,16312.484737552506,85000,16,0.019530296097,242;252,K   - 0.750;K  - 0.750
K,1,0.785,2.9,30500000,16000,16298.161437720514,85000,16,0.018635089858,246;256,K   - 1.000;K  - 1.000
K,1.065,0.891,3.01,30500000,16000,17043.484504198386,85000,16,0.065217781512,247;257,K   - 1.065;K  - 1.065
K,1.125,0.994,3.67,30500000,16000,16302.827974284954,85000,16,0.018926748393,248;258,K   - 1.125;K  - 1.125
K,1.25,1.227,4.2,30500000,16000,16931.694428855691,85000,16,0.058230901803,249;259,K   - 1.250;K  - 1.250
KD,0.5,0.196,0.72,29000000,15800,15937.259810826257,108000,15.8,0.008687329799,260,KD  - 0.500
KD,0.625,0.307,1.13,29000000,15800,15921.421178561063,108000,15.8,0.007684884719,261,KD  - 0.625
KD,0.75,0.442,1.63,30000000,16000,16178.223320746655,115000,16,0.011138957547,262,KD  - 0.750
KD,0.875,0.601,2.22,30000000,16000,16164.945410830658,115000,16,0.010309088177,263,KD  - 0.875
KD,1,0.785,2.9,30500000,16000,16298.161437720514,120000,16,0.018635089858,264,KD  - 1.000
KD,1.125,0.994,3.67,30500000,16000,16302.827974284954,120000,16,0.018926748393,265,KD  - 1.125
KD,1.25,1.227,4.53,30500000,16000,16303.316745496099,120000,16,0.018957296594,266,KD  - 1.250
KD,1.5,1.767,6,30500000,16000,16999.863546878840,120000,16,0.062491471680,267,KD  - 1.500
LTV-HS,0.75,0.442,1.63,30500000,16000,16312.484737552506,140000,16,0.019530296097,268,LTV-HS  - 0.750
LTV-HS,0.875,0.601,2.22,30500000,16000,16299.096635623319,140000,16,0.018693539726,269,LTV-HS  - 0.875
LTV-HS,1,0.785,2.9,30500000,16000,16298.161437720514,140000,16,0.018635089858,270,LTV-HS  - 1.000
N,0.5,0.196,0.72,29000000,15800,15937.259810826257,140000,15.8,0.008687329799,271,N   - 0.500
N,0.625,0.307,1.13,29000000,15800,15921.421178561063,140000,15.8,0.007684884719,272,N   - 0.625
N,0.75,0.442,1.63,30500000,16000,16312.484737552506,140000,16,0.019530296097,273,N   - 0.750
N,0.875,0.601,2.22,30500000,16000,16299.096635623319,140000,16,0.018693539726,274,N   - 0.875
N,1,0.785,2.9,30500000,16000,16298.161437720514,140000,16,0.018635089858,275,N   - 1.000
N,1.125,0.994,3.67,30500000,16000,16302.827974284954,140000,16,0.018926748393,276,N   - 1.125
N,1.25,0.994,3.67,30500000,16000,16302.827974284954,140000,16,0.018926748393,277,N   - 1.250
N30,0.5,0.196,0.72,29000000,15800,15937.259810826257,90000,15.8,0.008687329799,278,N30  - 0.500
N30,0.75,0.442,1.63,30500000,16000,16312.484737552506,90000,16,0.019530296097,279,N30  - 0.750
N30,0.875,0.601,2.22,30500000,16000,16299.096635623319,90000,16,0.018693539726,280,N30  - 0.875
N30,1,0.785,2.9,30500000,16000,16298.161437720514,90000,16,0.018635089858,281,N30  - 1.000
N30,1.125,0.994,3.67,30500000,16000,16302.827974284954,90000,16,0.018926748393,282,N30  - 1.125
N40,0.5,0.196,0.72,29000000,15800,15937.259810826257,90000,15.8,0.008687329799,283,N40  - 0.500
N40,0.625,0.307,1.13,29000000,15800,15921.421178561063,90000,15.8,0.007684884719,284,N40  - 0.625
N40,0.75,0.442,1.63,30500000,16000,16312.484737552506,90000,16,0.019530296097,285,N40  - 0.750
N40,0.875,0.601,2.22,30500000,16000,16299.096635623319,90000,16,0.018693539726,286,N40  - 0.875
N40,1,0.785,2.9,30500000,16000,16298.161437720514,90000,16,0.018635089858,287,N40  - 1.000
N40,1.125,0.994,3.67,30500000,16000,16302.827974284954,85000,16,0.018926748393,288,N40  - 1.125
N54,0.625,0.307,1.13,29000000,15800,15921.421178561063,90000,15.8,0.007684884719,289,N54  - 0.625
N54,0.75,0.442,1.63,30000000,16000,16178.223320746655,115000,16,0.011138957547,290,N54  - 0.750
N54,0.875,0.601,2.22,30000000,16000,16164.945410830658,115000,16,0.010309088177,291,N54  - 0.875
N54,1,0.785,2.9,30500000,16000,16298.161437720514,115000,16,0.018635089858,292,N54  - 1.000
N75,0.75,0.442,1.63,31000000,16000,16445.650087783576,125000,16,0.027853130486,293,N75  - 0.750
N75,0.875,0.601,2.2,31000000,16000,16506.675310172383,125000,16,0.031667206886,294,N75  - 0.875
N75,1,0.785,2.9,31000000,16000,16431.209861114914,125000,16,0.026950616320,295,N75  - 1.000
N78,0.625,0.307,1.13,29000000,15800,15921.421178561063,90000,15.8,0.007684884719,296,N78  - 0.625
N78,0.75,0.442,1.63,30000000,16000,16178.223320746655,115000,16,0.011138957547,297,N78  - 0.750
N78,1,0.785,2.9,30500000,16000,16298.161437720514,115000,16,0.018635089858,299,N78  - 1.000
N90,0.625,0.307,1.13,29000000,15800,15921.421178561063,90000,15.8,0.007684884719,301,N90  - 0.625
N90,0.75,0.442,1.63,30000000,16000,16178.223320746655,115000,16,0.011138957547,302,N90  - 0.750
N90,0.875,0.601,2.22,30000000,16000,16164.945410830658,115000,16,0.010309088177,303,N90  - 0.875
N90,1,0.785,2.9,30500000,16000,16298.161437720514,115000,16,0.018635089858,304,N90  - 1.000
N96,0.625,0.307,1.13,29000000,15800,15921.421178561063,135000,15.8,0.007684884719,305,N96  - 0.625
N96,0.75,0.442,1.63,30500000,16000,16312.484737552506,135000,16,0.019530296097,306,N96  - 0.750
N96,0.875,0.601,2.22,30500000,16000,16299.096635623319,135000,16,0.018693539726,307,N96  - 0.875
N96,1,0.785,2.9,30500000,16000,16298.161437720514,135000,16,0.018635089858,308,N96  - 1.000
N96,1.125,0.994,3.67,30500000,16000,16302.827974284954,135000,16,0.018926748393,309,N96  - 1.125
N97,0.5,0.196,0.72,29000000,15800,15937.259810826257,140000,15.8,0.008687329799,310;317,N97  - 0.500;N97 - 0.500
N97,0.625,0.307,1.13,29000000,15800,15921.421178561063,140000,15.8,0.007684884719,311;318,N97  - 0.625;N97 - 0.625
N97,0.75,0.442,1.63,30500000,16000,16312.484737552506,140000,16,0.019530296097,312;319,N97  - 0.750;N97 - 0.750
N97,0.875,0.601,2.22,30500000,16000,16299.096635623319,140000,16,0.018693539726,313;320,N97  - 0.875;N97 - 0.875
N97,1,0.785,2.9,30500000,16000,16298.161437720514,140000,16,0.018635089858,314;321,N97  - 1.000;N97 - 1.000
N97,1.125,0.994,3.67,30500000,16000,16302.827974284954,140000,16,0.018926748393,315;322,N97  - 1.125;N97 - 1.125
N97,1.25,1.227,3.67,30500000,16000,18113.068732361995,140000,16,0.132066795773,316,N97  - 1.250
PCP AOT 75,1.25,1.227,4.9,31000000,16000,15803.670071362848,125000,16,0.012270620540,323,PCP AOT 75  - 1.250
PCP AOT 75,1.5,1.767,6.13,31000000,16000,16955.935295269243,125000,16,0.059745955954,324,PCP AOT 75  - 1.500
PCP AOT 78,1,0.785,2.9,31000000,16000,16431.209861114914,120000,16,0.026950616320,325,PCP AOT 78  - 1.000
PCP AOT 96,1,0.785,2.9,31000000,16000,16431.209861114914,140000,16,0.026950616320,326,PCP AOT 96  - 1.000
PCP AOT 96,1.25,1.227,4.9,31000000,16000,15803.670071362848,140000,16,0.012270620540,327,PCP AOT 96  - 1.250
PCP AOT 97,1,0.785,2.9,31000000,16000,16431.209861114914,140000,16,0.026950616320,328,PCP AOT 97  - 1.000
PCP AOT 97,1.25,1.227,4.9,31000000,16000,15803.670071362848,140000,16,0.012270620540,329,PCP AOT 97  - 1.250
PCP AOT 97,1.5,1.767,6.13,31000000,16000,16955.935295269243,140000,16,0.059745955954,330,PCP AOT 97  - 1.500
PCP N75,1,0.785,2.9,31000000,16000,16431.209861114914,125000,16,0.026950616320,331,PCP N75  - 1.000
PCP N75,1.25,1.227,4.9,31000000,16000,15803.670071362848,125000,16,0.012270620540,332,PCP N75  - 1.250
PCP N75,1.5,1.767,6.13,31000000,16000,16955.935295269243,125000,16,0.059745955954,333,PCP N75  - 1.500
PCP N78,1,0.785,2.9,31000000,16000,16431.209861114914,120000,16,0.026950616320,334,PCP N78  - 1.000
PCP N96,1.25,1.227,4.9,31000000,16000,15803.670071362848,140000,16,0.012270620540,335,PCP N96  - 1.250
PCP N97,1,0.785,2.9,31000000,16000,16431.209861114914,140000,16,0.026950616320,336,PCP N97  - 1.000
PCP N97,1.25,1.227,4.9,31000000,16000,15803.670071362848,140000,16,0.012270620540,337,PCP N97  - 1.250
PCP N97,1.5,1.767,6.13,31000000,16000,16955.935295269243,120000,16,0.059745955954,338,PCP N97  - 1.500
PCP W - D,1,0.785,2.9,30500000,16730,16298.161437720514,115000,16.73,0.025812227273,343,PCP W - D  - 1.000
PCP W - HS,1,0.785,2.9,30500000,16730,16298.161437720514,140000,16.73,0.025812227273,344,PCP W - HS  - 1.00
PCP W - HS,1.25,1.227,4.9,30500000,16730,15675.703025441530,140000,16.73,0.063018348748,345,PCP W - HS  - 1.25
PCP W - HS,1.5,1.767,6.13,30500000,16730,16818.638013006915,140000,16.73,0.005298147819,346,PCP W - HS  - 1.50
PCP W - KD,1,0.785,2.9,30500000,16730,16298.161437720514,115000,16.73,0.025812227273,347,PCP W - KD - 1.000
PCP W - KD,1.25,1.227,4.9,31000000,16000,15803.670071362848,115000,16,0.012270620540,348,PCP W - KD - 1.250
PCP W - T66,1,0.785,2.9,30500000,16000,16298.161437720514,140000,16,0.018635089858,349,PCP W - T66 - 1.00
PCP W - T66,1.25,1.227,4.9,31000000,16000,15803.670071362848,140000,16,0.012270620540,350,PCP W - T66 - 1.25
PCP W - T66,1.5,1.767,6.13,31000000,16000,16955.935295269243,140000,16,0.059745955954,351,PCP W - T66 - 1.50
PCP-AOT-75,1.25,1.227,4.9,31000000,16000,15803.670071362848,125000,16,0.012270620540,352,PCP-AOT-75  - 1.250
PCP-AOT-75,1.5,1.767,6.13,31000000,16000,16955.935295269243,125000,16,0.059745955954,353,PCP-AOT-75  - 1.500
PCP-AOT-78,1,0.785,2.9,31000000,16000,16431.209861114914,120000,16,0.026950616320,354,PCP-AOT-78  - 1.000
PCP-AOT-96,1,0.785,2.9,31000000,16000,16431.209861114914,140000,16,0.026950616320,355,PCP-AOT-96  - 1.000
PCP-AOT-96,1.25,1.227,4.9,31000000,16000,15803.670071362848,140000,16,0.012270620540,356,PCP-AOT-96  - 1.250
PCP-AOT-97,1,0.785,2.9,31000000,16000,16431.209861114914,140000,16,0.026950616320,357,PCP-AOT-97  - 1.000
PCP-AOT-97,1.25,1.227,4.9,31000000,16000,15803.670071362848,140000,16,0.012270620540,358,PCP-AOT-97  - 1.250
PCP-AOT-97,1.5,1.767,6.13,31000000,16000,16955.935295269243,140000,16,0.059745955954,359,PCP-AOT-97  - 1.500
PCP-N75,1,0.785,2.9,31000000,16000,16431.209861114914,125000,16,0.026950616320,360,PCP-N75  - 1.000
PCP-N75,1.25,1.227,4.9,31000000,16000,15803.670071362848,125000,16,0.012270620540,361,PCP-N75  - 1.250
PCP-N75,1.5,1.767,6.13,31000000,16000,16955.935295269243,125000,16,0.059745955954,362,PCP-N75  - 1.500
PCP-N78,1,0.785,2.9,31000000,16000,16431.209861114914,120000,16,0.026950616320,363,PCP-N78  - 1.000
PCP-N78,1.25,1.227,4.9,31000000,16000,15803.670071362848,120000,16,0.012270620540,364,PCP-N78  - 1.250
PCP-N78,1.5,1.767,6.13,31000000,16000,16955.935295269243,120000,16,0.059745955954,365,PCP-N78  - 1.500
PCP-N96,1,0.785,2.9,31000000,16000,16431.209861114914,140000,16,0.026950616320,366,PCP-N96  - 1.000
PCP-N96,1.25,1.227,4.9,31000000,16000,15803.670071362848,140000,16,0.012270620540,367,PCP-N96  - 1.250
PCP-N96,1.5,1.767,6.13,31000000,16000,16955.935295269243,140000,16,0.059745955954,368,PCP-N96  - 1.500
PCP-N97,1,0.785,2.9,31000000,16000,16431.209861114914,140000,16,0.026950616320,369,PCP-N97  - 1.000
PCP-N97,1.25,1.227,4.9,31000000,16000,15803.670071362848,140000,16,0.012270620540,370,PCP-N97  - 1.250
PCP-N97,1.5,1.767,6.13,31000000,16000,16955.935295269243,140000,16,0.059745955954,371,PCP-N97  - 1.500
PCP-W - D,1,0.785,2.9,30500000,16730,16298.161437720514,115000,16.73,0.025812227273,376,PCP-W  - D  - 1.000
PCP-W - HS,1,0.785,2.9,30500000,16730,16298.161437720514,140000,16.73,0.025812227273,377,PCP-W  - HS - 1.000
PCP-W - HS,1.25,1.227,4.9,30500000,16730,15675.703025441530,140000,16.73,0.063018348748,378,PCP-W  - HS - 1.250
PCP-W - HS,1.5,1.767,6.13,30500000,16730,16818.638013006915,140000,16.73,0.005298147819,379,PCP-W  - HS - 1.500
PCP-W - KD,1,0.785,2.9,30500000,16730,16298.161437720514,115000,16.73,0.025812227273,380,PCP-W  - KD - 1.000
PCP-W - KD,1.25,1.227,4.9,31000000,16000,15803.670071362848,115000,16,0.012270620540,381,PCP-W  - KD - 1.250
PCP-W - T66,1,0.785,2.9,30500000,16000,16298.161437720514,140000,16,0.018635089858,382,PCP-W  - T66 - 1.00
PCP-W - T66,1.25,1.227,4.9,31000000,16000,15803.670071362848,140000,16,0.012270620540,383,PCP-W  - T66 - 1.25
PCP-W - T66,1.5,1.767,6.13,31000000,16000,16955.935295269243,140000,16,0.059745955954,384,PCP-W  - T66 - 1.50
PRO-D-620C,0.875,0.601,2.04,30000000,16000,16863.031289323574,120000,16,0.053939455583,385,Pro-D-620C-0.875
PRO-D-620C,1,0.785,2.67,30000000,16000,16845.840766301797,120000,16,0.052865047894,386,Pro-D-620C-1.000
PRO-D-620C,1.125,0.994,3.38,30000000,16000,16847.999293017399,120000,16,0.052999955814,387,Pro-D-620C-1.125
