calculation_mode,speed_kn,speed_m_s,rudder_angle_deg,rotation_case,prop_rotation_factor,base_force_N,transverse_force_N,normal_force_N,workbook_force_for_yaw_moment,yaw_moment_mt_m,yaw_moment_kN_m,lever_arm_m,lever_mapping
workbook_regression,0.0,0.0,2.0,port,1.065,0.0,0.0,0.0,Fn,0.0,0.0,135.3,legacy_barrass_0_6_lbp
workbook_regression,0.0,0.0,2.0,stbd,0.935,0.0,0.0,0.0,Fn,0.0,0.0,135.3,legacy_barrass_0_6_lbp
digitalmodel_static_yaw,0.0,0.0,2.0,not_applicable,,,0.0,0.0,not_applicable,-0.0,-0.0,-135.3,legacy_0_6_lbp_mapped_for_comparison_only
workbook_regression,0.0,0.0,5.0,port,1.065,0.0,0.0,0.0,Fn,0.0,0.0,135.3,legacy_barrass_0_6_lbp
workbook_regression,0.0,0.0,5.0,stbd,0.935,0.0,0.0,0.0,Fn,0.0,0.0,135.3,legacy_barrass_0_6_lbp
digitalmodel_static_yaw,0.0,0.0,5.0,not_applicable,,,0.0,0.0,not_applicable,-0.0,-0.0,-135.3,legacy_0_6_lbp_mapped_for_comparison_only
workbook_regression,1.0,0.51444,-5.0,port,1.065,7599.747516068131,-659.8411534470056,-662.3616394575881,Fn,-9.138444812307126,-89.61752981861167,135.3,legacy_barrass_0_6_lbp
workbook_regression,1.0,0.51444,-5.0,stbd,0.935,6672.078805186576,-579.2971628853993,-581.5099839369436,Fn,-8.02295389625086,-78.67830082666849,135.3,legacy_barrass_0_6_lbp
digitalmodel_static_yaw,1.0,0.51444,-5.0,not_applicable,,,-2005.0245180276618,-2005.0245180276618,not_applicable,27.662842794342883,271.2798172891426,-135.3,legacy_0_6_lbp_mapped_for_comparison_only
workbook_regression,1.0,0.51444,-2.0,port,1.065,7599.747516068131,-265.065794033294,-265.22736337685967,Fn,-3.659278373847248,-35.885262264889114,135.3,legacy_barrass_0_6_lbp
workbook_regression,1.0,0.51444,-2.0,stbd,0.935,6672.078805186576,-232.71034499636613,-232.85219226043552,Fn,-3.2126058962884296,-31.504901612836928,135.3,legacy_barrass_0_6_lbp
digitalmodel_static_yaw,1.0,0.51444,-2.0,not_applicable,,,-802.8655869290973,-802.8655869290973,not_applicable,11.076944105429162,108.62771391150687,-135.3,legacy_0_6_lbp_mapped_for_comparison_only
workbook_regression,1.0,0.51444,-1.0,port,1.065,7599.747516068131,-132.61368168842984,-132.63388247115682,Fn,-1.829917892282025,-17.94536429834752,135.3,legacy_barrass_0_6_lbp
workbook_regression,1.0,0.51444,-1.0,stbd,0.935,6672.078805186576,-116.42609613021776,-116.44383108970108,Fn,-1.6065476331302289,-15.754850346436557,135.3,legacy_barrass_0_6_lbp
digitalmodel_static_yaw,1.0,0.51444,-1.0,not_applicable,,,-401.4939429367374,-401.4939429367374,not_applicable,5.5393157173286065,54.32213047934058,-135.3,legacy_0_6_lbp_mapped_for_comparison_only
workbook_regression,1.0,0.51444,0.0,port,1.065,7599.747516068131,0.0,0.0,Fn,0.0,0.0,135.3,legacy_barrass_0_6_lbp
workbook_regression,1.0,0.51444,0.0,stbd,0.935,6672.078805186576,0.0,0.0,Fn,0.0,0.0,135.3,legacy_barrass_0_6_lbp
digitalmodel_static_yaw,1.0,0.51444,0.0,not_applicable,,,0.0,0.0,not_applicable,-0.0,-0.0,-135.3,legacy_0_6_lbp_mapped_for_comparison_only
workbook_regression,1.0,0.51444,1.0,port,1.065,7599.747516068131,132.61368168842984,132.63388247115682,Fn,1.829917892282025,17.94536429834752,135.3,legacy_barrass_0_6_lbp
workbook_regression,1.0,0.51444,1.0,stbd,0.935,6672.078805186576,116.42609613021776,116.44383108970108,Fn,1.6065476331302289,15.754850346436557,135.3,legacy_barrass_0_6_lbp
digitalmodel_static_yaw,1.0,0.51444,1.0,not_applicable,,,401.4939429367374,401.4939429367374,not_applicable,-5.5393157173286065,-54.32213047934058,-135.3,legacy_0_6_lbp_mapped_for_comparison_only
workbook_regression,1.0,0.51444,2.0,port,1.065,7599.747516068131,265.065794033294,265.22736337685967,Fn,3.659278373847248,35.885262264889114,135.3,legacy_barrass_0_6_lbp
workbook_regression,1.0,0.51444,2.0,stbd,0.935,6672.078805186576,232.71034499636613,232.85219226043552,Fn,3.2126058962884296,31.504901612836928,135.3,legacy_barrass_0_6_lbp
digitalmodel_static_yaw,1.0,0.51444,2.0,not_applicable,,,802.8655869290973,802.8655869290973,not_applicable,-11.076944105429162,-108.62771391150687,-135.3,legacy_0_6_lbp_mapped_for_comparison_only
workbook_regression,1.0,0.51444,5.0,port,1.065,7599.747516068131,659.8411534470056,662.3616394575881,Fn,9.138444812307126,89.61752981861167,135.3,legacy_barrass_0_6_lbp
workbook_regression,1.0,0.51444,5.0,stbd,0.935,6672.078805186576,579.2971628853993,581.5099839369436,Fn,8.02295389625086,78.67830082666849,135.3,legacy_barrass_0_6_lbp
digitalmodel_static_yaw,1.0,0.51444,5.0,not_applicable,,,2005.0245180276618,2005.0245180276618,not_applicable,-27.662842794342883,-271.2798172891426,-135.3,legacy_0_6_lbp_mapped_for_comparison_only
workbook_regression,2.5,1.2861,-5.0,port,1.065,47498.421975425816,-4124.007209043785,-4139.760246609926,Fn,-57.11528007691955,-560.1095613663231,135.3,legacy_barrass_0_6_lbp
workbook_regression,2.5,1.2861,-5.0,stbd,0.935,41700.492532416094,-3620.607268033746,-3634.4373996058976,Fn,-50.143461851567864,-491.73938016667796,135.3,legacy_barrass_0_6_lbp
digitalmodel_static_yaw,2.5,1.2861,-5.0,not_applicable,,,-12531.403237672886,-12531.403237672886,not_applicable,172.89276746464304,1695.4988580571417,-135.3,legacy_0_6_lbp_mapped_for_comparison_only
workbook_regression,2.5,1.2861,-2.0,port,1.065,47498.421975425816,-1656.6612127080875,-1657.6710211053728,Fn,-22.870489836545303,-224.28288915555697,135.3,legacy_barrass_0_6_lbp
workbook_regression,2.5,1.2861,-2.0,stbd,0.935,41700.492532416094,-1454.4396562272882,-1455.3262016277217,Fn,-20.078786851802683,-196.90563508023075,135.3,legacy_barrass_0_6_lbp
digitalmodel_static_yaw,2.5,1.2861,-2.0,not_applicable,,,-5017.909918306857,-5017.909918306857,not_applicable,69.23090065893224,678.9232119469178,-135.3,legacy_0_6_lbp_mapped_for_comparison_only
workbook_regression,2.5,1.2861,-1.0,port,1.065,47498.421975425816,-828.8355105526864,-828.9617654447301,Fn,-11.436986826762656,-112.158526864672,135.3,legacy_barrass_0_6_lbp
workbook_regression,2.5,1.2861,-1.0,stbd,0.935,41700.492532416094,-727.663100813861,-727.7739443106317,Fn,-10.04092270706393,-98.46781466522847,135.3,legacy_barrass_0_6_lbp
digitalmodel_static_yaw,2.5,1.2861,-1.0,not_applicable,,,-2509.337143354609,-2509.337143354609,not_applicable,34.6207232333038,339.51331549587866,-135.3,legacy_0_6_lbp_mapped_for_comparison_only
workbook_regression,2.5,1.2861,0.0,port,1.065,47498.421975425816,0.0,0.0,Fn,0.0,0.0,135.3,legacy_barrass_0_6_lbp
workbook_regression,2.5,1.2861,0.0,stbd,0.935,41700.492532416094,0.0,0.0,Fn,0.0,0.0,135.3,legacy_barrass_0_6_lbp
digitalmodel_static_yaw,2.5,1.2861,0.0,not_applicable,,,0.0,0.0,not_applicable,-0.0,-0.0,-135.3,legacy_0_6_lbp_mapped_for_comparison_only
workbook_regression,2.5,1.2861,1.0,port,1.065,47498.421975425816,828.8355105526864,828.9617654447301,Fn,11.436986826762656,112.158526864672,135.3,legacy_barrass_0_6_lbp
workbook_regression,2.5,1.2861,1.0,stbd,0.935,41700.492532416094,727.663100813861,727.7739443106317,Fn,10.04092270706393,98.46781466522847,135.3,legacy_barrass_0_6_lbp
digitalmodel_static_yaw,2.5,1.2861,1.0,not_applicable,,,2509.337143354609,2509.337143354609,not_applicable,-34.6207232333038,-339.51331549587866,-135.3,legacy_0_6_lbp_mapped_for_comparison_only
workbook_regression,2.5,1.2861,2.0,port,1.065,47498.421975425816,1656.6612127080875,1657.6710211053728,Fn,22.870489836545303,224.28288915555697,135.3,legacy_barrass_0_6_lbp
workbook_regression,2.5,1.2861,2.0,stbd,0.935,41700.492532416094,1454.4396562272882,1455.3262016277217,Fn,20.078786851802683,196.90563508023075,135.3,legacy_barrass_0_6_lbp
digitalmodel_static_yaw,2.5,1.2861,2.0,not_applicable,,,5017.909918306857,5017.909918306857,not_applicable,-69.23090065893224,-678.9232119469178,-135.3,legacy_0_6_lbp_mapped_for_comparison_only
workbook_regression,2.5,1.2861,5.0,port,1.065,47498.421975425816,4124.007209043785,4139.760246609926,Fn,57.11528007691955,560.1095613663231,135.3,legacy_barrass_0_6_lbp
workbook_regression,2.5,1.2861,5.0,stbd,0.935,41700.492532416094,3620.607268033746,3634.4373996058976,Fn,50.143461851567864,491.73938016667796,135.3,legacy_barrass_0_6_lbp
digitalmodel_static_yaw,2.5,1.2861,5.0,not_applicable,,,12531.403237672886,12531.403237672886,not_applicable,-172.89276746464304,-1695.4988580571417,-135.3,legacy_0_6_lbp_mapped_for_comparison_only
workbook_regression,5.0,2.5722,-5.0,port,1.065,189993.68790170326,-16496.02883617514,-16559.040986439704,Fn,-228.4611203076782,-2240.4382454652923,135.3,legacy_barrass_0_6_lbp
workbook_regression,5.0,2.5722,-5.0,stbd,0.935,166801.97012966438,-14482.429072134984,-14537.74959842359,Fn,-200.57384740627145,-1966.9575206667118,135.3,legacy_barrass_0_6_lbp
digitalmodel_static_yaw,5.0,2.5722,-5.0,not_applicable,,,-50125.612950691546,-50125.612950691546,not_applicable,691.5710698585722,6781.995432228567,-135.3,legacy_0_6_lbp_mapped_for_comparison_only
workbook_regression,5.0,2.5722,-2.0,port,1.065,189993.68790170326,-6626.64485083235,-6630.684084421491,Fn,-91.48195934618121,-897.1315566222279,135.3,legacy_barrass_0_6_lbp
workbook_regression,5.0,2.5722,-2.0,stbd,0.935,166801.97012966438,-5817.758624909153,-5821.304806510887,Fn,-80.31514740721073,-787.622540320923,135.3,legacy_barrass_0_6_lbp
digitalmodel_static_yaw,5.0,2.5722,-2.0,not_applicable,,,-20071.63967322743,-20071.63967322743,not_applicable,276.92360263572897,2715.6928477876713,-135.3,legacy_0_6_lbp_mapped_for_comparison_only
workbook_regression,5.0,2.5722,-1.0,port,1.065,189993.68790170326,-3315.3420422107456,-3315.8470617789203,Fn,-45.74794730705062,-448.634107458688,135.3,legacy_barrass_0_6_lbp
workbook_regression,5.0,2.5722,-1.0,stbd,0.935,166801.97012966438,-2910.652403255444,-2911.0957772425268,Fn,-40.16369082825572,-393.8712586609139,135.3,legacy_barrass_0_6_lbp
digitalmodel_static_yaw,5.0,2.5722,-1.0,not_applicable,,,-10037.348573418436,-10037.348573418436,not_applicable,138.4828929332152,1358.0532619835146,-135.3,legacy_0_6_lbp_mapped_for_comparison_only
workbook_regression,5.0,2.5722,0.0,port,1.065,189993.68790170326,0.0,0.0,Fn,0.0,0.0,135.3,legacy_barrass_0_6_lbp
workbook_regression,5.0,2.5722,0.0,stbd,0.935,166801.97012966438,0.0,0.0,Fn,0.0,0.0,135.3,legacy_barrass_0_6_lbp
digitalmodel_static_yaw,5.0,2.5722,0.0,not_applicable,,,0.0,0.0,not_applicable,-0.0,-0.0,-135.3,legacy_0_6_lbp_mapped_for_comparison_only
workbook_regression,5.0,2.5722,1.0,port,1.065,189993.68790170326,3315.3420422107456,3315.8470617789203,Fn,45.74794730705062,448.634107458688,135.3,legacy_barrass_0_6_lbp
workbook_regression,5.0,2.5722,1.0,stbd,0.935,166801.97012966438,2910.652403255444,2911.0957772425268,Fn,40.16369082825572,393.8712586609139,135.3,legacy_barrass_0_6_lbp
digitalmodel_static_yaw,5.0,2.5722,1.0,not_applicable,,,10037.348573418436,10037.348573418436,not_applicable,-138.4828929332152,-1358.0532619835146,-135.3,legacy_0_6_lbp_mapped_for_comparison_only
workbook_regression,5.0,2.5722,2.0,port,1.065,189993.68790170326,6626.64485083235,6630.684084421491,Fn,91.48195934618121,897.1315566222279,135.3,legacy_barrass_0_6_lbp
workbook_regression,5.0,2.5722,2.0,stbd,0.935,166801.97012966438,5817.758624909153,5821.304806510887,Fn,80.31514740721073,787.622540320923,135.3,legacy_barrass_0_6_lbp
digitalmodel_static_yaw,5.0,2.5722,2.0,not_applicable,,,20071.63967322743,20071.63967322743,not_applicable,-276.92360263572897,-2715.6928477876713,-135.3,legacy_0_6_lbp_mapped_for_comparison_only
workbook_regression,5.0,2.5722,5.0,port,1.065,189993.68790170326,16496.02883617514,16559.040986439704,Fn,228.4611203076782,2240.4382454652923,135.3,legacy_barrass_0_6_lbp
workbook_regression,5.0,2.5722,5.0,stbd,0.935,166801.97012966438,14482.429072134984,14537.74959842359,Fn,200.57384740627145,1966.9575206667118,135.3,legacy_barrass_0_6_lbp
digitalmodel_static_yaw,5.0,2.5722,5.0,not_applicable,,,50125.612950691546,50125.612950691546,not_applicable,-691.5710698585722,-6781.995432228567,-135.3,legacy_0_6_lbp_mapped_for_comparison_only
