Drilling Company,Name,Conventional Mooring,Dynamically Positioned,Vessel Type,VESSEL DESIGN,CONSTRUCTION DATE,UPGRADE DATE,CLASSIFICATION,Maximum Water Depth Equipped,Maximum Water Depth Rating,MAXIMUM DRILLING DEPTH,CURRENT CONTRACT,AREA OF OPERATION,TOTAL VESSEL POWER,MAX. VESSEL SPEED,QUARTERS CAPACITY,LENGTH,Width,TRANSIT DRAFT,OPERATING DRAFT,MAX. VARIABLE LOAD,MOONPOOL SIZE,D.P. RATING (if applicable),THRUSTERS
OCEAN,OCEAN QUEST,Yes,No,SS,Victory,1973,1996,ABS,3500,4000,25000,4Q/14,Malaysia,9075,4,99,324,336,32,70,5600,19x35,-,-
OCEAN,OCEAN ROVER,Yes,No,SS,Victory,1973,2002,ABS,8000,8000,35000,1Q/16,SEAsia,12940,4,130,324,327,42,74.5,5500,91x25,-,-
OCEAN,OCEAN STAR,Yes,No,SS,Victory,1973,1996,ABS,5500,5500,30000,2Q/14,Brazil,10750,3.5,116,336,315,32,74,5600,20x20,-,-
OCEAN,OCEAN VICTORY,Yes,No,SS,Victory,1973,1997,ABS,5500,5500,25000,2Q/17,GoM,9075,4,110,336,315,32,74,5700,20x17,-,-
OCEAN,OCEAN WINNER,Yes,No,SS,Enhanced Aker H-3,1976,-,DNV,3500,4000,25000,1Q/15,Brazil,3880,4,96,355,248,22,70,3920,15X36,-,-
OCEAN,OCEAN WORKER,Yes,No,SS,Enhanced Pacesetter 9500,1982,-,ABS,3500,4000,25000,1Q/15,Brazil,13280,4.5,108,303,200,25,65,4428,20x23,-,-
OCEAN,OCEAN VALIANT,Yes,No,SS,Odyssey,1988,1999,ABS,5500,5500,30000,available,W.,18120,12,140,401,259,27,80,7050,21x44,-,"4x2,700"
DOLPHIN,BLACKFORD DOLPHIN,Yes,No,SS,Deepwater Enhanced Aker,1974,2008,DNV,6000,7000,30000,3Q/16,India,19300,-,130,355,276,22,70,4500,32x20,-,-
ENSCO,ENSCO 5001,Yes,No,SS,Sonat,1974,1999,ABS,5000,5000,25000,1Q/15,Eq.,13000,-,140,378.5,264,33,75,4100,22x94,,
ENSCO,ENSCO 5006,Yes,No,SS,Bingo,1999,1999,DNV,5000,7500,25000,1Q/18,Egypt,12220,-,120,390,234,30,78,8322,21.4x100,,
NOBLE,NOBLE AMOS RUNNER,Yes,No,SS,EVA-4000™,1982,1999,ABS,8000,8000,32500,4Q/15,GoM,12500,3.5,122,348.6,328.25,15.75,79,4000,25x45,-,-
NOBLE,NOBLE CLYDE BOUDREAUX,Yes,No,SS,Modified Enhanced Pacesetter,1987,2007,ABS,7500,10000,35000,3Q/15,Australia,12900,4,200,318,248,29,66,5555,90x20,-,-
NOBLE,NOBLE DRILLER,Yes,No,SS,Aker H-3 Semi (Enhanced),1976,2009,DNV,5000,5000,30000,3Q/14,GoM,13500,4,112,355,241,22,70,3719,63x18x31,,
NOBLE,NOBLE HOMER FERRINGTON,Yes,No,SS,Enhanced Pacesetter,1984,1999,ABS,7200,7200,25000,3Q/14,Med,10000,3.5,150,338.9,225.6,19,55,4000,79x20,-,-
NOBLE,NOBLE JIM THOMPSON,Yes,No,SS,EVA-4000™,1982,1999,ABS,6000,6000,30000,4Q/14,GoM,10000,3.5,136,348.6,328.25,15.9,75-79,4000,25x45,-,-
NOBLE,NOBLE MAX SMITH,Yes,No,SS,EVA-4000™,1980,1999,ABS,7000,7000,25000,3Q/14,Brazil,10000,3.5,130,348.6,328.25,17,79,4000,25x45,-,-
NOBLE,NOBLE PAUL ROMANO,Yes,No,SS,EVA-4000™,1981,1998,ABS,6000,6000,28000,4Q/14,Malta,10000,3.5,122,348.6,328.25,34,79,4000,25x45,-,-
Paragon Offshore,MSS2 (prev. NOBLE THERALD MARTIN),Yes,No,SS,Pentagon,1975,2003,ABS,2350,4000,25000,4Q/15,Brazil,8400,3,120,324,338,24.6,71.5,2315,52.3x19.5,-,-
Paragon Offshore,MSS3 (prev. NOBLE LORRIS BOUZIGARD),Yes,No,SS,Pentagon-85,1975,2003,ABS,4000,4000,25000,-,GoM,8400,3,120,324,338,24.6,71.5,2400,52.3x19.5,-,-
TRANSOCEAN,DEEPWATER NAUTILUS,Yes,No,SS,RBS-8M,1999,-,ABS,8000,8000,30000,3Q/17,GoM,25200,4.5,150,392,308,28.9,75.5,9701,21x93,-,-
TRANSOCEAN,GSF CELTIC SEA,Yes,No,SS,SS F&G L907 Enhanced Pacesetter,1982,1998,ABS,5750,5750,28000,3Q/14,Angola,19000,5,140,320,285,25,68.6,5600,76.5x22,-,"4x2,400,"
TRANSOCEAN,HENRY GOODRICH,Yes,No,SS,Sonat/Mitsui SES-5000,1985,2007,DNV,5000,5000,30000,3Q/14,Canada,22528,-,145,320,251,43,93,5512,23x26,-,"2x6,904"
TRANSOCEAN,JACK BATES,Yes,No,SS,F&G L1020 Trendsetter,1986,1997,ABS,5400,5400,30000,2Q/14,Australia,20000,7,118,370,255,29,80,6736,28x38,-,"2x7,000"
TRANSOCEAN,"M.G. HULME, JR",Yes,No,SS,F&G 9500 Enhanced Pacesetter,1983,1996,ABS,5000,5000,25000,2Q/14,India,7800,7,140,296,228,30,60,4480,82.5x21.3,-,-
TRANSOCEAN,TRANSOCEAN LEADER,Yes,No,SS,Aker H-4.2,1987,1997,DNV,4500,4500,25000,1Q/15,Norway,17760,5,110,360,240,25,77,5071,23x33,-,"4x3,500"
TRANSOCEAN,TRANSOCEAN MARIANAS,Yes,No,SS,Sedco 700 Series,1979,1998,ABS,7000,7000,25000,1Q/15,South,23550,3,146,315,249,30,81,3967,23x70,-,-
ABAN,ABAN ABRAHAM,No,Yes,DS,Gusto Pelican Class,1976,2008,DNV,6600,7000,25000,-,,24000,11,136,456,97.6,-,24.6,8950,26.9x23.6,DP-2,"5x1,750"
ATWOOD,ATWOOD ADVANTAGE,No,Yes,DS,DSME 12000 Ultradeepwater DS,2013,-,-,12000,12000,40000,2Q/17,GoM,-,-,200,780,137,-,39,23000,-,DP-3,6
ATWOOD,ATWOOD CONDOR,No,Yes,SS,F&G ExD Millennium,2012,-,ABS,10000,10000,40000,4Q/16,GoM,-,-,200,387,299,-,65.6,8000,-,DPS-2,8
HYSY,HYSY 981,No,Yes,SS,-,2012,-,ABS,9840,9840,32800,3Q/14,South,-,-,-,374,292,-,-,9000,-,DP-3,-
OCEAN,OCEAN ALLIANCE,No,Yes,SS,4th Gen. Odeco,1988,-,ABS,5250,5250,25000,2Q/16,Brazil,37600,6,120,402,259,29,76,4300,23x25,DP-2,"8x4,000"
OCEAN,OCEAN BLACKHAWK,No,Yes,DS,"Gusto P10,000",2013,-,ABS,10000,12000,40000,2Q/19,GoM,27000,12.5,210,754,118,29,36,22045,73x41,DPS-3,6
OCEAN,OCEAN BLACKHORNET,No,Yes,DS,"Gusto P10,000",2013,-,ABS,10000,12000,40000,3Q/19,GoM,27000,12.5,210,754,118,29,36,22045,73x41,DPS-3,6
OCEAN,OCEAN CLIPPER,No,Yes,DS,Converted Tanker,1977,1999,ABS,7875,7875,25000,4Q/15,Brazil,25200,9,140,528,109,24,24,11384,20x18,DP-2,"5x1,840,"
OCEAN,OCEAN CONFIDENCE,No,Yes,SS,Aker H-3.2 Mod,1988,2000,ABS,10000,10000,35000,4Q/15,W.,53083,3.5,146,320,238,39,75,6600,26x74,DP-3,"8x4,000"
OCEAN,OCEAN COURAGE,No,Yes,SS,6th Gen. F&G ExD Millennium,2009,-,ABS,10000,10000,40000,1Q/15,Brazil,40480,8.5,164,398,298,27.6,55.8,8000,135.6x29.52,DP-2,"8x4,425"
OCEAN,OCEAN VALOR,No,Yes,SS,6th Gen. F&G ExD Millennium,2009,-,ABS,7500,10000,40000,4Q/15,Brazil,40480,8.5,164,398,298,27.6,55.8,8000,135.6x29.52,DP-2,"8x4,425"
BELFORD,BELFORD DOLPHIN,No,Yes,DS,Navis,2000,-,DNV,10000,10000,39370,4Q/15,East,58800,10,130,672,131,26,40,12515,3,ea,33x80
BOLETTE,BOLETTE DOLPHIN,No,Yes,DS,-,2013,-,-,12000,12000,40000,2017,-,-,-,-,-,-,-,-,-,-,-,-
ENSCO,ENSCO 6001,No,Yes,SS,Megathyst,2000,2010,LR,5600,5600,25000,2Q/18,Brazil,26670,6,130,262,203,28,62,3500,39x19,AAA,"8x2,145"
ENSCO,ENSCO 6002,No,Yes,SS,Megathyst,2001,2009,LR,5600,5600,25000,2Q/18,Brazil,26670,6,130,262,203,28,62,3500,39x19,AAA,"8x2,145"
ENSCO,ENSCO 6004,No,Yes,SS,Megathyst,2004,-,LR,5600,5600,25000,4Q/16,Brazil,26670,6,130,262,203,28,62,3500,39x19,AAA,"8x2,145"
ENSCO,ENSCO 6003,No,Yes,SS,Megathyst,2004,-,LR,5600,5600,25000,1Q/17,Brazil,26670,6,130,262,203,28,62,3500,39x19,AAA,"8x2,145"
ENSCO,ENSCO 7500,No,Yes,SS,Ensco 7500,1999,-,ABS,7500,8000,30000,3Q/14,Brazil,30000,7.8,140,290,220,-,40,8000,20x100,DP-2,"8x3,000"
ENSCO,ENSCO 8500,No,Yes,SS,Ensco 8500 Series,2008,-,ABS,8500,10000,35000,3Q/15,GoM,33600,8,150,336,285,25,60,8000,30x120,DP-2,8
ENSCO,ENSCO 8501,No,Yes,SS,Ensco 8500 Series,2009,-,ABS,8500,10000,35000,3Q/14,GoM,33600,6,150,336,285,25,60,8000,30x120,DP-2,8
ENSCO,ENSCO 8502,No,Yes,SS,Ensco 8500 Series,2009,-,ABS,8500,10000,35000,4Q/14,GoM,33600,8,150,336,285,25,60,8000,30x120,DP-2,8
ENSCO,ENSCO 8503,No,Yes,SS,Ensco 8500 Series,2010,-,ABS,8500,10000,37500,3Q/14,GoM,33600,8,150,336,263,25,60,8000,30x120,DP-2,8
ENSCO,ENSCO 8504,No,Yes,SS,Ensco 8500 Series,2011,-,ABS,8500,10000,35000,3Q/14,Malaysia,33600,8,150,336,285,25,60,8000,30x120,DP-2,8
ENSCO,ENSCO 8505,No,Yes,SS,Ensco 8500 Series,2011,-,ABS,8500,10000,35000,2Q/15,GoM,33600,8,150,338,285,25,60,8000,30x120,DP-2,8
ENSCO,ENSCO DS-1,No,Yes,DS,Gusto 10000,1999,2004/2009,DNV,6000,10000,31500,1Q/16,Angola,39660,11,162,680,98.5,-,31.5,19510,39.4x31.0,DP-2,7
ENSCO,ENSCO DS-2,No,Yes,DS,Gusto 10000,1999,2005,DNV,6000,10000,31500,2Q/15,Angola,39660,11,162,680,98.5,-,31.5,19510,39.4x31.0,DP-2,7
ENSCO,ENSCO DS-3,No,Yes,DS,Samsung,2010,-,ABS,10000,10000,40000,2Q/16,USGoM,54000,12,200,751,138,28,39,22046,41x84,DPS-3,"6x7,375"
ENSCO,ENSCO DS-4,No,Yes,DS,Samsung,2010,-,ABS,10000,12000,40000,2Q/16,USGoM,64365,12,200,751,138,28,39,22046,41x84,DPS-3,"6x7,375"
ENSCO,ENSCO DS-5,No,Yes,DS,Samsung,2011,-,ABS,10000,12000,40000,2Q/16,USGoM,64365,12,200,751,138,28,36,30864,41x84,DPS-3,"6x7,375"
ENSCO,ENSCO DS-6,No,Yes,DS,Samsung,2011,-,ABS,10000,12000,40000,1Q/18,Angola,64365,12,200,751,138,28,39,22046,41x84,DPS-3,"6x7,375"
ENSCO,ENSCO DS-7,No,Yes,DS,Samsung,2013,-,ABS,10000,12000,40000,4Q/16,Angola,64365,12,200,748,138,28,39,22046,41x84,DPS-3,"6x7,375"
BICENTENARIO,BICENTENARIO,No,Yes,SS,GVA 7500,-,-,DNV,10000,10000,35000,-,Mexico,51500,-,-,391,317,32.6,75.5,-,-,DP-3,"8x4,700"
CENTENARIO,CENTENARIO,No,Yes,SS,F&G,-,-,ABS,10000,10000,35000,-,Mexico,51500,-,-,387,299,27.4,55.8,-,-,DP-2,"8x5,100"
LA,LA MURALLA IV,No,Yes,SS,F&G ExD Millennium,2010,-,-,7500,10000,40000,-,Mexico,-,-,-,398,298,-,-,-,-,DP-2,"8x4,425"
JASPER,JASPER EXPLORER,No,Yes,DS,Gusto Pelican Class,-,2009,DNV,5000,5000,25000,-,,-,8.5,139,541,98,-,-,7958,-,DP-2,7
MÆRSK,MÆRSK DELIVERER,No,Yes,SS,KFELS MSC GUSTO DSS21,2010,-,ABS,10000,10000,"30,000+",3Q/15,West,51500,8,180,384,258,32,67,14900,100x30,DP-2,"8x5,365"
MÆRSK,MÆRSK DEVELOPER,No,Yes,SS,KFELS MSC GUSTO DSS21,2009,-,ABS,10000,10000,"30,000+",4Q/15,US,51500,8,180,384,258,32,67,14900,100x30,DP-2,"8x5,365"
MAERSK,MAERSK DISCOVERER,No,Yes,SS,KFELS MSC GUSTO DSS21,2009,-,ABS,10000,10000,"30,000+",3Q/16,Egypt,51500,8,180,384,258,32,67,14900,100x30,DP-2,"8x5,365"
MÆRSK,MÆRSK VALIANT,No,Yes,DS,SAMSUNG 96K,2013,-,ABS,12000,12000,40000,3Q/17,US,56000,-,230,748,138,28,39,20000,84x41,DP-3,"6x9,380"
MÆRSK,MÆRSK VENTURER,No,Yes,DS,SAMSUNG 96K,2014,-,ABS,12000,12000,40000,-,-,56000,-,230,748,138,28,39,20000,84x41,DP-3,-
MÆRSK,MÆRSK VIKING,No,Yes,DS,SAMSUNG 96K,2013,-,ABS,12000,12000,40000,2Q/17,GoM,56000,-,230,748,138,28,39,20000,84x41,DP-3,"6x7,400"
NOBLE,NOBLE BOB DOUGLAS,No,Yes,DS,Gusto P-10000,2013,-,DNV,10000,12000,40000,1Q/17,US,64368,11,210,759,118,36,36,22046,32.8x113.2,DP-3,6
NOBLE,NOBLE BULLY I,No,Yes,DS,"Gusto, MSC Bully PRD",2008,2011,DNV,8250,8250,40000,1Q/17,US,43200,7.5,168,615,128,26.25,32.5,12300,64x41,DP-2,"6x5,600"
NOBLE,NOBLE BULLY II,No,Yes,DS,"Gusto, MSC Bully PRD",2011,-,DNV,8250,8250,40000,2Q/22,Brazil,43200,10,156,615,128,32.5,32.5,12300,64x41,DP-2,"6x5,600"
NOBLE,NOBLE DANNY ADKINS,No,Yes,SS,Bingo 9000,1999,2009,ABS,12000,12000,37000,3Q/14,US,51360,8,200,344,277,39.5,82,9000,103x23,DP-3,"8x5,000"
NOBLE,NOBLE DAVE BEARD,No,Yes,SS,Modified Enhanced Pacesetter,1986,2008,ABS,10000,10000,35000,1Q/16,Brazil,49400,8,200,366,217,19,55,6500,95x25,DP-2,"8x5,000"
NOBLE,NOBLE DON TAYLOR,No,Yes,DS,Gusto P-10000,2013,-,DNV,10000,12000,40000,1Q/19,US,64368,11,210,752,118,36,36,22046,32.8x113.2,DP-3,6
NOBLE,NOBLE GLOBETROTTER I,No,Yes,DS,Globetrotter,2010,-,ABS,10000,10000,40000,3Q/22,US,54284,12,180,620,105,39,39.4,20720,89.2x36.7,DP-3,"6x5,000"
NOBLE,NOBLE GLOBETROTTER II,No,Yes,DS,Globetrotter,2011,-,ABS,10000,10000,40000,3Q/23,W,Africa,12,180,620,105,39,39.4,20720,89.2x36.7,DP-3,"6x5,000"
NOBLE,NOBLE JIM DAY,No,Yes,SS,Bingo 9000,1999,2010,ABS,12000,12000,37000,1Q/16,US,51360,8,200,344,277,39.5,82,9000,103x23,DP-3,"8x5,000"
NOBLE,NOBLE PAUL WOLFF,No,Yes,-,EVA-4000,1982,2006,ABS,9200,9200,23000,-,Singapore,43000,6,125,341.6,363.4,15,79,5500,31x20,II-Ceg90,"6x5,000"
NOBLE,NOBLE SAM CROFT,No,Yes,DS,Gusto P-10000,2014,-,DNV,10000,12000,40000,3Q/17,US,64368,11,210,759,118,36,36,22046,32.8x113.2,DP-3,6
DPDS1,DPDS1 (prev. NOBLE PHOENIX),No,Yes,SS,IHC Gusto BV Pelican,1979,2009,DNV,5000,5000,25000,2Q/15,Brazil,36000,10,120,448.81,105.28,27.2,27.2,9904,23.6x27.1,DP-2,"5x1,750"
DPDS2,DPDS2 (prev. NOBLE LEO SEGERIUS),No,Yes,DS,"Gusto, Mod. Pelican",1981,1997,ABS,5500,5500,23000,1Q/17,Brazil,35000,10,150,516,111,24,24,12150,27x23,DP-2,"7x3,300"
DPDS3,DPDS3 (prev. NOBLE ROGER EASON),No,Yes,DS,"Convn, Neddrill",1977,1998,BV,7200,7200,23000,3Q/17,Brazil,32000,9,105,541,90,30,30,11163,22.5x26,II-Ceg803,"8x2,100,"
DPDS4,DPDS4 (prev. NOBLE MURAVLENKO),No,Yes,DS,"Gusto, Mod. Pelican",1982,1997,BV,4900,4900,23000,-,US,17200,12,116,490,79,24,24,7200,27x23,II-Ceg903,"2x3,500,"
EIRIK,EIRIK RAUDE,No,Yes,SS,Bingo 9000,2002,-,DNV,10000,10000,-,1Q/15,,10200,7,140,391,279,39.4,78,6624,23x47.5,DP-3,6
LEIV,LEIV EIRIKSSON,No,Yes,SS,Bingo 9000,2002,-,DNV,10000,10000,-,2Q/17,,10200,7,140,391,279,39.4,78,6624,23x47.5,DP-3,6
OCEAN,OCEAN RIG ATHENA,No,Yes,DS,Saipem 10000,2013,-,ABS,10000,12000,"30,000+",1Q/17,-,59500,12,215,748,138,27.9,39.4,20000,94x41,DP-3,"6x7,400"
OCEAN,OCEAN RIG CORCOVADO,No,Yes,DS,Saipem 10000,2011,-,ABS,10000,10000,35000,2Q/15,,-,12,217,748,-,-,-,20000,84x41,DP-3,6
OCEAN,OCEAN RIG MYKONOS,No,Yes,DS,Saipem 10000,2011,-,ABS,10000,10000,35000,2Q/15,,-,12,217,748,-,-,-,20000,84x41,DP-3,6
OCEAN,OCEAN RIG MYLOS,No,Yes,DS,Saipem 10000,2013,-,DNV,10000,12000,"30,000+",3Q/16,-,59500,12,215,748,138,27.9,39.4,20000,94x41,DP-3,"6x7,400"
OCEAN,OCEAN RIG OLYMPIA,No,Yes,DS,Saipem 10000,2011,-,ABS,10000,10000,35000,3Q/17,,-,12,217,748,138,-,-,20000,84x41,DP-3,6
OCEAN,OCEAN RIG POSEIDEN,No,Yes,DS,Saipem 10000,2011,-,ABS,10000,10000,35000,2Q/18,,-,12,217,748,-,-,-,20000,84x41,DP-3,6
OCEAN,OCEAN RIG SKYROS,No,Yes,DS,Saipem 10000,2013,-,DNV,10000,10000,35000,1Q/15,,59500,12,215,748,138,27.9,39.4,20000,94x41,DP-3,"6x7,400"
DEEPSEA,DEEPSEA ATLANTIC,No,Yes,SS,GVA 7500,2009,-,NMD,9840,9840,37500,3Q/15,North,-,-,156,108,78,32.6,75.5,7000,-,DP-3,8
DEEPSEA,DEEPSEA METRO I,No,Yes,DS,Gusto P-10000,2011,-,DNV,10000,12000,40000,4Q/14,W,-,-,210,753,118,-,36,-,-,DP-3,-
DEEPSEA,DEEPSEA METRO II,No,Yes,DS,Gusto P-10000,2011,-,DNV,10000,12000,40000,2Q/15,Brazil,-,-,210,753,118,-,36,-,-,DP-3,-
DEEPSEA,DEEPSEA STAVANGER,No,Yes,SS,GVA 7500,2010,-,NMD,9840,9840,37500,3Q/15,W,-,-,156,108,78,32.6,75.5,7000,-,DP-3,8
ISLAND,ISLAND INNOVATOR,No,Yes,SS,GM 4000,2013,-,DNV,4000,4000,-,1Q/15,North,-,-,120,-,-,-,-,4500,-,DP-3,-
PACIFIC,PACIFIC BORA,No,Yes,DS,Samsung 10000,2010,-,ABS,10000,10000,37500,3Q/14,Nigeria,60000,12,200,748,138,27.9,39.4,22051,94x41,DP-3,6
PACIFIC,PACIFIC KHAMSIN,No,Yes,DS,Samsung 12000,2013,-,DNV,10000,12000,40000,1Q/17,Nigeria,65000,12,200,748,138,27.9,39.4,22051,84x41,DP-3,6
PACIFIC,PACIFIC MISTRAL,No,Yes,DS,Samsung 12000,2011,-,ABS,10000,12000,37500,1Q/15,Brazil,60000,12,200,748,138,27.9,39.4,22051,94x41,DP-3,6
PACIFIC,PACIFIC SANTA ANA,No,Yes,DS,Sansung 12000,2011,-,ABS,10000,12000,40000,1Q/17,US,60000,12,200,748,138,27.9,39.4,22051,84x41,DP-3,6
PACIFIC,PACIFIC SCIROCCO,No,Yes,DS,Samsung 12000,2011,-,ABS,10000,12000,40000,1Q/17,Nigeria,60000,12,200,748,138,27.9,39.4,22051,84x41,DP-3,6
PACIFIC,PACIFIC SHARAV,No,Yes,DS,Sansung 12000,2014,-,DNV,10000,12000,40000,3Q/19,US,65000,12,200,748,138,27.9,39.4,22051,84x41,DP-3,6
LOUISIANA,LOUISIANA,No,Yes,SS,F&G L-900 Pacesetter,1998,-,-,6234,6234,30000,2Q/10,Brazil,-,-,-,-,-,-,-,-,-,-,-
SSV,SSV VICTORIA,No,Yes,SS,GVA 7500,2009,-,-,7874,10000,35000,1Q/17,Brazil,-,-,-,-,-,-,-,-,-,-,-
ALPHA,ALPHA STAR,No,Yes,SS,Gusto DSS-38,2009,-,ABS,9000,9000,25000,-,-,-,-,130,339,228,28.5,67,9622,131x30,DP-2,8
AMARALINA,AMARALINA STAR,No,Yes,DS,Samsung 10000,2001,-,ABS,10000,10000,40000,-,-,9500,1.2,-,715,138,40,-,20000,84x41,DP-3,6
GOLD,GOLD STAR,No,Yes,SS,Gusto DSS-38,2009,-,ABS,9000,9000,30000,1Q/17,Brazil,53000,-,130,339,228,28.5,67,9622,131x30,DP-2,8
LAGUNA,LAGUNA STAR,No,Yes,DS,Samsung 10000,2011,-,ABS,10000,10000,40000,-,-,9500,1.2,-,715,138,40,-,20000,84x41,DP-3,6
LONE,LONE STAR,No,Yes,SS,Gusto TDS-2000 PLUS,2009,-,ABS,7880,7880,24600,-,-,-,-,140,320,230,24.5,60,6470,131x20,DP-2,8
ROWAN,ROWAN RENAISSANCE,No,Yes,DS,"Gusto P10,000",2013,-,ABS,12000,12000,40000,2Q/17,West,65000,-,210,752,118,31.2,36.1,20000,73.5x42,DP-3,6
SAIPEM,SAIPEM 10000,No,Yes,DS,Samsung Heavy Industries,2000,,ABS,10000,10000,30000,4Q/14,West,56000,12,170,745,37,26.2,39.4,20000,126x41,DP-3,"6x5,440"
SAIPEM,SAIPEM 12000,No,Yes,DS,Samsung Heavy Industries,2010,,ABS,12000,12000,25000,3Q/17,West,64000,12,200,745,37,27.8,39.4,20000,126x41,DP-3,"6x6,000"
SCARABEO,SCARABEO 5,No,Yes,SS,ME4500,1990,2003,ABS,6500,6500,25000,-,North,40000,10,106,265,226,29.5,77,4740,95x23,DP-3,"8x2,350"
SCARABEO,SCARABEO 7,No,Yes,SS,F&G Pacesetter GVA,1999,-,DNV,4920,4920,25000,-,-,40000,-,150,403,212,-,-,3500,81x21,-,"4x3,200"
SCARABEO,SCARABEO 8,No,Yes,SS,Moss CD50 MKII,2012,,DNV,10000,10000,35000,2Q/17,North,54000,9.5,140,273,238,35,77.1,6600,118.6x37.6,DP-3,"8x4,400"
SCARABEO,SCARABEO 9,No,Yes,SS,Frigstad D-90 DRR,2011,,DNV,10000,12000,50000,1Q/17,Gulf,62000,10,200,265,250,36.8,77.4,7700,137.8x26.2,DP-3,"8x5,766"
CERRADO,CERRADO,No,Yes,DS,Samsung 10000,2011,-,-,-,-,-,-,-,-,-,200,748,138,28,39,20000,84x41,DP-3,"6x6,000"
SC,SC LANCER,No,Yes,DS,Gusto Pelican Ice Class II,1977,2000,-,4920,4920,19680,-,Brazil,-,-,100,450,77,-,-,-,-,DP,-
SERTAO,SERTAO,No,Yes,DS,Samsung 10000,2011,-,-,10000,10000,37400,-,-,-,-,200,748,138,28,39,20000,84x40,DP-3,"6x6,000"
SS,SS AMAZONIA,No,Yes,SS,F&G ExD Millennium,2011,-,ABS,7874,7874,25000,-,-,-,-,135,345,254,24,55,5500,87x22,DP-2,"8x3,250"
SS,SS PANTANAL,No,Yes,SS,F&G ExD Millennium,2010,-,ABS,6560,6560,25000,-,-,-,-,135,345,254,24,55,5500,87x22,DP-2,"8x3,250"
VITORIA,VITORIA 10000,No,Yes,DS,Samsung 10000,2010,-,-,10000,10000,37400,-,-,56000,-,200,748,138,28,39,20000,84x41,DP-3,"6x6,000"
WEST,WEST AURIGA,No,Yes,DS,"SHI S10,000",2013,-,ABS,12000,10000,40000,3Q/20,GoM,56300,12,200,748,138,-,-,18000,-,DP-3,"6x6,000"
WEST,WEST AQUARIUS,No,Yes,SS,GVA 7500,2009,-,DNV,10000,10000,35000,2Q/17,Asia,50500,6,180,382,317,30.5,75.5,7000,63x26,DP-3,"8x4,690"
WEST,WEST CAPELLA,No,Yes,DS,Samsung 10000,2008,-,ABS,10000,10000,37500,2Q/17,West,64500,11,180,748,138,27.2,39.4,20000,84x31,DP-3,"6x5,360"
WEST,WEST CAPRICORN,No,Yes,SS,F&G ExD Class,2011,-,ABS,7500,10000,37500,3Q/17,GoM,50500,7,180,379,296,27.7,65.5,7000,-,DPS-2+,"8x4,485"
WEST,WEST CARINA,No,Yes,DS,Samsung 12000,2014,-,ABS,12000,12000,37500,1Q/15,Asia,56300,12,200,748,138,-,-,18000,-,DP-3,"6x6,000"
WEST,WEST ECLIPSE,No,Yes,SS,F&G ExD Millennium,2011,-,ABS,7500,12000,37500,1Q/15,West,40480,4,180,398,298,27.6,55.8,7000,135.6x29.52,DP-2,8x4425
WEST,WEST EMINENCE,No,Yes,SS,Moss CS50 MkII,2009,-,DNV,10000,10000,30000,3Q/15,Brazil,50500,8,180,273,239,32.3,77,6100,-,DP-3,"8x4,485"
