[1] http://www.matbase.com/material-categories/natural-and-synthetic-polymers/polymer-fibers/synthetic-fibers/material-properties-of-dyneema.html,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
Dyneema,Amsteel-Blue,12,0.98,86,4.39,4687507,0.0044795918367346935,55000000000,246377551.02040815,,,3.3858267716535435,2.9499462071641473,1053793.4944424946,0.04821792523403641,55387876.848392956
Dyneema,Amsteel-Blue,12,0.98,92,5.39,6511516,0.0055,55000000000,302500000,,,3.6220472440944884,3.6219157304361627,1463847.0299368543,0.059201507291903474,68004705.28766242
Dyneema,Amsteel-Blue,12,0.98,96,5.94,7286229.5,0.006061224489795919,55000000000,333367346.93877554,,,3.7795275590551185,3.9914989682357715,1638009.553076932,0.06524247742373035,74943960.92926063
Dyneema,Amsteel-Blue,12,0.98,110,7.5,8992560.5,0.007653061224489796,55000000000,420918367.3469388,,,4.330708661417323,5.039771424540115,2021608.021765204,0.08237686543400298,94626213.29452099
Dyneema,Amsteel-Blue,12,0.98,120,9.06,10767537,0.009244897959183674,55000000000,508469387.75510204,,,4.724409448818897,6.0880438808444595,2420638.612757027,0.0995112534442756,114308465.65978135
Dyneema,Amsteel-Blue,12,0.98,134,10.86,12738643.5,0.011081632653061224,55000000000,609489795.9183674,,,5.275590551181103,7.297589022734086,2863760.981758997,0.1192817011484363,137018756.8504664
Dyneema,Amsteel-Blue,12,0.98,152,12.19,14288070.5,0.012438775510204081,55000000000,684132653.0612245,,,5.984251968503937,8.191308488685868,3212086.028039152,0.1338898652853995,153799138.67469478
Dyneema,Force-8,8,0.98,24,0.321,378530.89999999997,0.00032755102040816326,55000000000,18015306.12244898,,,0.9448818897637796,0.21570221697031694,85097.1315595822,0.0035257298405753272,4050001.929005499
Dyneema,Force-8,8,0.98,30,0.497,564854.4,0.0005071428571428572,55000000000,27892857.14285714,,,1.1811023622047243,0.3339688530661916,126984.3206692211,0.0054588402827599304,6270563.734316925
Dyneema,Force-8,8,0.98,36,0.708,784520,0.0007224489795918367,55000000000,39734693.87755102,,,1.4173228346456692,0.47575442247658684,176367.11204058488,0.00777637609696988,8932714.535002781
Dyneema,Force-8,8,0.98,44,1.05,1127747.5,0.0010714285714285715,55000000000,58928571.42857143,,,1.7322834645669292,0.7055679994356161,253527.72355834075,0.011532761160760418,13247669.86123294
Dyneema,Force-8,8,0.98,48,1.24,1314071,0.0012653061224489797,55000000000,69591836.73469388,,,1.8897637795275593,0.833242208857299,295414.91266797966,0.01361964175175516,15644867.26469414
Dyneema-Polyester,Proton-8,8,1.09,24,0.372,244181.85,0.0003412844036697248,1387831104,473645.1107229358,,,0.9448818897637796,0.24997266265718973,54894.26362263204,0.0036735547477211167,106479.65674596855
Dyneema-Polyester,Proton-8,8,1.09,30,0.573,386376.1,0.0005256880733944954,1387831104,729566.2592587156,,,1.1811023622047243,0.3850385368348648,86860.80267998805,0.005658459329151075,164013.0196651612
Dyneema-Polyester,Proton-8,8,1.09,36,0.824,556028.5499999999,0.0007559633027522935,1387831104,1049149.3850422017,,,1.4173228346456692,0.5537028871761407,125000.1906587645,0.008137121269145698,235858.16440504856
Dyneema-Polyester,Proton-8,8,1.09,44,1.11,844339.65,0.0010183486238532111,1387831104,1413295.8948990828,,,1.7322834645669292,0.7458861708319371,189815.10433367945,0.010961413360135591,317721.5564194223
Dyneema-Polyester,Proton-8,8,1.09,48,1.47,1059102,0.0013486238532110092,1387831104,1871662.1310825688,,,1.8897637795275593,0.9877951992098626,238095.60125478957,0.014516466341801185,420766.38552842406
Dyneema-Polyester,Proton-8,8,1.09,56,1.86,1402329.5,0.001706422018348624,1387831104,2368225.5536146793,,,2.204724409448819,1.2498633132859487,315256.21277254546,0.018367773738605583,532398.2837298427
Dyneema-Polyester,Proton-8,8,1.09,60,2.22,1765170,0.0020366972477064223,1387831104,2826591.7897981657,,,2.3622047244094486,1.4917723416638742,396826.0020913159,0.021922826720271182,635443.1128388447
Dyneema-Polyester,Proton-8,8,1.09,68,2.8,2078978,0.002568807339449541,1387831104,3565070.7258715597,,,2.677165354330709,1.881514665161643,467372.8469075499,0.027650412079621302,801459.781958903
Dyneema-Polyester,Proton-8,8,1.09,72,2.94,2412399,0.0026972477064220184,1387831104,3743324.2621651376,,,2.8346456692913384,1.9755903984197252,542328.8695247985,0.02903293268360237,841532.7710568481
Dyneema-Polyester,Proton-8,8,1.09,80,3.78,2794852.5,0.0034678899082568808,1387831104,4812845.479926606,,,3.1496062992125986,2.540044797968218,628307.8366445836,0.03732805630748876,1081970.705644519
Dyneema-Polyester-Nylon,Q-12 Defender,12,1.04,24,0.357,261833.55,0.00034326923076923076,150242000,51573.455769230764,,,0.9448818897637796,0.23989311980810948,58862.523643545195,0.0036949192488128567,11594.174083480435
Dyneema-Polyester-Nylon,Q-12 Defender,12,1.04,30,0.536,396182.6,0.0005153846153846155,150242000,77432.4153846154,,,1.1811023622047243,0.36017566447380023,89065.39158049536,0.005547553830150396,17407.499464273147
Dyneema-Polyester-Nylon,Q-12 Defender,12,1.04,36,0.789,548183.35,0.0007586538461538462,150242000,113981.67115384615,,,1.4173228346456692,0.5301839538616201,123236.51953835867,0.00816608203729228,25624.09902483491
Dyneema-Polyester-Nylon,Q-12 Defender,12,1.04,44,1.19,805113.65,0.0011442307692307691,150242000,171911.51923076922,,,1.7322834645669292,0.7996437326936983,180996.7487316502,0.012316397496042854,38647.246944934785
Dyneema-Polyester-Nylon,Q-12 Defender,12,1.04,48,1.38,912985.15,0.0013269230769230769,150242000,199359.5769230769,,,1.8897637795275593,0.9273179421153811,205247.22663723063,0.014282881129864824,44817.81578488235
Dyneema-Polyester-Nylon,Q-12 Defender,12,1.04,56,1.83,1284651.5,0.0017596153846153846,150242000,264368.1346153846,,,2.204724409448819,1.229704227587788,288801.1459664577,0.018940342367864224,59432.320932126604
Dyneema-Polyester-Nylon,Q-12 Defender,12,1.04,60,2.28,1412136,0.002192307692307692,150242000,329376.6923076923,,,2.3622047244094486,1.532090513060195,317460.8016730528,0.02359780360586362,74046.82607937085
Dyneema-Polyester,Quantum-12,12,0.99,18,0.176,181420.25,0.00017777777777777776,1387831104,246725.52959999998,,,0.7086614173228346,0.11826663609587469,40784.89465938525,0.0019135840740817282,55466.10554509232
Dyneema-Polyester,Quantum-12,12,0.99,24,0.312,330479.05,0.00031515151515151515,1387831104,437377.0752,,,0.9448818897637796,0.2096544912608688,74294.64594709637,0.003392262676781246,98326.27801175459
Dyneema-Polyester,Quantum-12,12,0.99,30,0.461,524647.75,0.0004656565656565657,1387831104,646252.6656000001,,,1.1811023622047243,0.3097779502283991,117945.50617714113,0.005012285557679982,145283.37872890665
Dyneema-Polyester,Quantum-12,12,0.99,36,0.665,764907,0.0006717171717171718,1387831104,932229.984,,,1.4173228346456692,0.4468597329758902,171957.93423957026,0.0072303034617292586,209573.6374289
Dyneema-Polyester,Quantum-12,12,0.99,44,0.905,1059102,0.0009141414141414141,1387831104,1268673.888,,,1.7322834645669292,0.608132418561174,238095.60125478957,0.009839736290022523,285209.23589948047
Dyneema-Polyester,Quantum-12,12,0.99,48,1.18,1392523,0.001191919191919192,1387831104,1654182.5280000002,,,1.8897637795275593,0.7929240374609781,313051.62387203815,0.012829711405775225,371875.0258136873
Dyneema-Polyester,Quantum-12,12,0.99,56,1.49,1794589.5,0.001505050505050505,1387831104,2088755.904,,,2.204724409448819,1.0012345896753028,403439.76879283786,0.01620022880898736,469571.0071715203
Dyneema-Polyester,Quantum-12,12,0.99,60,1.86,2245688.5,0.0018787878787878789,1387831104,2607440.256,,,2.3622047244094486,1.2498633132859487,504850.8582161742,0.02022310441927281,586175.8881469985
Dyneema-Polyester,Quantum-12,12,0.99,68,2.31,2726207,0.0023333333333333335,1387831104,3238272.5760000004,,,2.677165354330709,1.5522495987583556,612875.7143410324,0.025115790972322687,727992.6352793371
Dyneema-Polyester,Quantum-12,12,0.99,72,2.66,3226338.5,0.002686868686868687,1387831104,3728919.936,,,2.8346456692913384,1.7874389319035608,725309.7482669052,0.028921213846917034,838294.5497156
Dyneema-Polyester,Quantum-12,12,0.99,80,3.17,3775502.5,0.003202020202020202,1387831104,4443863.232,,,3.1496062992125986,2.1301433887722885,848766.7266953146,0.03446625860704022,999020.1964655835
Dyneema-Polyester,Quantum-12,12,0.99,88,3.4645669291338583,4667965,0.003499562554680665,1387831104,4856801.7637795275,,,3.4645669291338583,2.328083387714069,1049400.27807644,0.037668977836254496,1091852.4713600853
Dyneema-Polyester,Quantum-12,12,0.99,96,4.82,5658350.5,0.004868686868686869,1387831104,6756915.072,,,3.7795275590551185,3.2388931021711143,1272047.7955927183,0.052406109301556425,1519014.935950824
Dyneema-Polyester,Quantum-12,12,0.99,120,7.78,8698365.5,0.007858585858585858,1387831104,10906389.888,,,4.724409448818897,5.227922891056279,1955470.3547499846,0.08458911418384003,2451853.9837546498
Dyneema-Polyester,Quantum-12,12,0.99,134,9.43,10296825,0.009525252525252525,1387831104,13219441.728,,,5.275590551181103,6.336672604455105,2314818.345532676,0.10252896487835624,2971848.7232398903
Dyneema-Polyester,Quantum-12,12,0.99,152,11.23,12022769,0.011343434343434345,1387831104,15742771.008000001,,,5.984251968503937,7.546217746344733,2702825.992021963,0.12209971109055576,3539115.711769244
Dyneema-Polyester,Quantum-8,8,1,24,0.342,255949.65,0.000342,1387831104,474638.23756800004,,,0.9448818897637796,0.22981357695902926,57539.77030324081,0.003681257362514725,106702.92054237139
Dyneema-Polyester,Quantum-8,8,1,30,0.534,456002.25,0.0005340000000000001,1387831104,741101.8095360001,,,1.1811023622047243,0.3588317254272562,102513.38387358995,0.005747928162522993,166606.3145310711
Dyneema-Polyester,Quantum-8,8,1,36,0.771,732545.5499999999,0.000771,1387831104,1070017.781184,,,1.4173228346456692,0.5180885024427239,164682.7908678961,0.008298974931283195,240549.5664858723
Dyneema-Polyester,Quantum-8,8,1,44,1.05,1010069.5,0.0010500000000000002,1387831104,1457222.6592,,,1.7322834645669292,0.7055679994356161,227072.656752253,0.01130210593754521,327596.6858757016
Dyneema-Polyester,Quantum-8,8,1,48,1.37,1284651.5,0.0013700000000000001,1387831104,1901328.6124800001,,,1.8897637795275593,0.9205982468826612,288801.1459664577,0.014746557270892321,427435.6758568678
Dyneema-Polyester,Quantum-8,8,1,56,1.73,1578846.5,0.00173,1387831104,2400947.80992,,,2.204724409448819,1.1625072752605865,354938.81298167707,0.01862156502090782,539754.5395856798
Dyneema-Polyester,Quantum-8,8,1,60,2.14,1941687,0.00214,1387831104,2969958.56256,,,2.3622047244094486,1.438014779802113,436508.6023004475,0.023034768291758805,667673.245499049
Dyneema-Polyester,Quantum-8,8,1,68,2.59,2324140.5,0.00259,1387831104,3594482.55936,,,2.677165354330709,1.7404010652745197,522487.56942023267,0.02787852797927818,808071.8251600639
Dyneema-Polyester,Quantum-8,8,1,72,3.08,2745820,0.0030800000000000003,1387831104,4274519.80032,,,2.8346456692913384,2.069666131677807,617284.892142047,0.03315284408346594,960950.2785687248
Dyneema-Polyester,Quantum-8,8,1,80,3.62,3206725.5,0.00362,1387831104,5023948.59648,,,3.1496062992125986,2.432529674244696,720900.5704658906,0.0389653557084892,1129428.5741619426
Dyneema-Polyester,Quantum-8,8,1,96,5.49,4795378.5,0.00549,1387831104,7619192.760960001,,,3.7795275590551185,3.6891126827633647,1078043.972348075,0.059093868187736376,1712862.6718643827
Dyneema-Polyester,Quantum-8,8,1,120,8.63,7374488,0.00863,1387831104,11976982.427520001,,,4.724409448818897,5.799096985837493,1657850.8531814977,0.09289254689620491,2692532.7610545764
Dyneema-Polyester,Quantum-8,8,1,134,11.31,9473079,0.01131,1387831104,15696369.78624,,,5.275590551181103,7.599975308206495,2129632.877890062,0.12173982681298696,3528684.3021468427
Dyneema-Polyester,Quantum-8,8,1,152,12.74,10473342,0.01274,1387831104,17680968.26496,,,5.984251968503937,8.560891726485476,2354500.945741808,0.13713221870888187,3974839.788625179
Polyolefin-Polyester,RP-12 SSR-1200,12,1.2,18,0.238,63742.25,0.00019833333333333332,621010789,123167.13981833332,,,0.7086614173228346,0.15992874653873967,14329.82785329752,0.0021348422326474283,27689.07452717378
Polyolefin-Polyester,RP-12 SSR-1200,12,1.2,24,0.402,111794.09999999999,0.000335,621010789,208038.614315,,,0.9448818897637796,0.2701317483553502,25132.313465783343,0.003605909989597757,46768.94100808345
Polyolefin-Polyester,RP-12 SSR-1200,12,1.2,30,0.58,167691.15,0.0004833333333333333,621010789,300155.2146833333,,,1.1811023622047243,0.3897423234977689,37698.470198675015,0.005202556701409698,67477.57657882686
Polyolefin-Polyester,RP-12 SSR-1200,12,1.2,36,0.893,240259.25,0.0007441666666666666,621010789,462135.52881416667,,,1.4173228346456692,0.6000687842819098,54012.42806242911,0.008010143335101484,103892.1998015386
Polyolefin-Polyester,RP-12 SSR-1200,12,1.2,44,1.25,336362.95,0.0010416666666666667,621010789,646886.2385416667,,,1.7322834645669292,0.8399619040900193,75617.39928740077,0.011212406684072628,145425.8115922993
Polyolefin-Polyester,RP-12 SSR-1200,12,1.2,48,1.52,407950.39999999997,0.0012666666666666666,621010789,786613.6660666666,,,1.8897637795275593,1.0213936753734634,91710.89826110413,0.013634286527832313,176837.7868962359
Polyolefin-Polyester,RP-12 SSR-1200,12,1.2,56,2.02,556028.5499999999,0.0016833333333333333,621010789,1045368.1614833333,,,2.204724409448819,1.357378437009471,125000.1906587645,0.018119249201461365,235008.11153315564
Polyolefin-Polyester,RP-12 SSR-1200,12,1.2,60,2.38,652132.25,0.001983333333333333,621010789,1231671.3981833332,,,2.3622047244094486,1.5992874653873965,146605.16188373617,0.02134842232647428,276890.7452717378
Polyolefin-Polyester,RP-12 SSR-1200,12,1.2,68,2.96,816881.45,0.0024666666666666665,621010789,1531826.6128666666,,,2.677165354330709,1.9890297888851656,183642.255412259,0.026550979027883982,344368.3218505647
Polyolefin-Polyester,RP-12 SSR-1200,12,1.2,72,3.44,920830.35,0.0028666666666666667,621010789,1780230.9284666667,,,2.8346456692913384,2.3115751600557326,207010.89775763647,0.03085654319456787,400211.83350200765
Polyolefin-Polyester,RP-12 SSR-1200,12,1.2,80,4.26,1117941,0.0035499999999999998,621010789,2204588.30095,,,3.1496062992125986,2.862590169138785,251323.13465783343,0.03821188197931952,495611.16590655595
Polyolefin-Polyester,RP-12 SSR-1200,12,1.2,96,6.15,1637685.5,0.005125,621010789,3182680.293625,,,3.7795275590551185,4.1326125681228945,368166.3463847209,0.055165040885637326,715494.9930341125
Polyolefin,RP-12 Ultra Blue,12,0.94,18,0.186,53936.575,0.00019787234042553193,621010789,122880.85824893617,,,0.7086614173228346,0.12498633132859487,12125.424420168267,0.0021298801462851153,27624.715870128683
Polyolefin,RP-12 Ultra Blue,12,0.94,24,0.347,100027.82999999999,0.0003691489361702127,621010789,229245.47210957445,,,0.9448818897637796,0.23317342457538934,22487.15074285751,0.003973486079359865,51536.432295347586
Polyolefin,RP-12 Ultra Blue,12,0.94,30,0.521,152003.07499999998,0.0005542553191489361,621010789,344198.53305212763,,,1.1811023622047243,0.35009612162472004,34171.65063865602,0.005965954603304006,77378.90843191957
Polyolefin,RP-12 Ultra Blue,12,0.94,36,0.655,188287.68,0.0006968085106382979,621010789,432725.6029734042,,,1.4173228346456692,0.4401400377431701,42328.754339496496,0.007500384386111562,97280.58545663593
Polyolefin,RP-12 Ultra Blue,12,0.94,44,0.952,292238.17,0.0010127659574468084,621010789,628938.5863063829,,,1.7322834645669292,0.6397149861549587,65697.75413109352,0.010901322039050695,141391.01886216397
Polyolefin,RP-12 Ultra Blue,12,0.94,48,1.1,340290.755,0.001170212765957447,621010789,726714.7530851064,,,1.8897637795275593,0.7391664755992169,76500.40497815252,0.012596065381256058,163371.97557602983
Polyolefin,RP-12 Ultra Blue,12,0.94,56,1.5,440318.58499999996,0.0015957446808510637,621010789,990974.6632978723,,,2.204724409448819,1.007954284908023,98987.55572101004,0.017176452792621897,222779.96669458612
Polyolefin,RP-12 Ultra Blue,12,0.94,60,1.74,520733.115,0.001851063829787234,621010789,1149530.609425532,,,2.3622047244094486,1.1692269704933067,117065.46122017,0.0199246852394414,258424.76136571993
Polyolefin,RP-12 Ultra Blue,12,0.94,68,1.98,628606.2649999999,0.0021063829787234044,621010789,1308086.5555531916,,,2.677165354330709,1.3304996560785904,141316.3100605065,0.022672917686260907,294069.5560368537
Polyolefin,RP-12 Ultra Blue,12,0.94,72,2.68,720788.7749999999,0.002851063829787234,621010789,1770541.398425532,,,2.8346456692913384,1.8008783223690012,162039.762705885,0.030688595656151126,398033.5404943272
Polyolefin,RP-12 Ultra Blue,12,0.94,80,3.2,909076.455,0.0034042553191489366,621010789,2114079.281702128,,,3.1496062992125986,2.150302474470449,204368.5170453815,0.03664309929092672,475263.9289484504
Polyolefin,RP-12 Ultra Blue,12,0.94,96,4.42,1265057.8499999999,0.004702127659574468,621010789,2920072.007851064,,,3.7795275590551185,2.970105292862308,284396.31821849203,0.05061328089559253,656458.3018600473
Polyolefin-Polyester,SSR-1200-8,8,1.2,44,1.17,316749.95,0.000975,621010789,605485.519275,,,1.7322834645669292,0.786204342228258,71208.22148638614,0.01049481265629198,136118.55965039213
Polyolefin-Polyester,SSR-1200-8,8,1.2,48,1.47,396182.6,0.001225,621010789,760738.2165249999,,,1.8897637795275593,0.9877951992098626,89065.39158049536,0.01318579026046941,171020.75443254397
Polyolefin-Polyester,SSR-1200-8,8,1.2,56,1.92,504054.1,0.0015999999999999999,621010789,993617.2623999999,,,2.204724409448819,1.2901814846822695,113315.86948607577,0.017222256666735557,223374.04660577167
Polyolefin-Polyester,SSR-1200-8,8,1.2,60,2.32,600157.7999999999,0.0019333333333333331,621010789,1200620.8587333332,,,2.3622047244094486,1.5589692939910755,134920.8407110474,0.020810226805638793,269910.30631530745
Polyolefin-Polyester,SSR-1200-8,8,1.2,68,2.83,752158.5499999999,0.0023583333333333334,621010789,1464550.4440583333,,,2.677165354330709,1.9016737508598034,169091.96866891073,0.02538488873274043,329244.03744496556
Polyolefin-Polyester,SSR-1200-8,8,1.2,72,3.28,848262.25,0.0027333333333333333,621010789,1697429.4899333334,,,2.8346456692913384,2.2040600363322103,190696.93989388237,0.029421355139006573,381597.3296181933
Polyolefin-Polyester,SSR-1200-8,8,1.2,80,3.91,1010069.5,0.0032583333333333336,621010789,2023460.1541583335,,,3.1496062992125986,2.62740083599358,227072.656752253,0.03507240810777918,454891.93866071216
Polyolefin-Polyester,SSR-1200-8,8,1.2,96,5.91,1500394.5,0.004925,621010789,3058478.135825,,,3.7795275590551185,3.971339882537611,337302.1017776186,0.05301225880229538,687573.237208391
Polyolefin,Ultra Blue-8,8,0.94,24,0.286,95123.05,0.00030425531914893614,621010789,188945.83580212764,,,0.9448818897637796,0.1921832836557964,21384.512334920913,0.003274976999126575,42476.71364976776
Polyolefin,Ultra Blue-8,8,0.94,30,0.429,140232.94999999998,0.00045638297872340426,621010789,283418.75370319147,,,1.1811023622047243,0.2882749254836946,31525.62127725454,0.004912465498689862,63715.07047465163
Polyolefin,Ultra Blue-8,8,0.94,36,0.613,177497.65,0.000652127659574468,621010789,404978.3124010638,,,1.4173228346456692,0.4119173177657454,39903.05909918233,0.007019443707918148,91042.74638918752
Polyolefin,Ultra Blue-8,8,0.94,44,0.921,276543.3,0.0009797872340425533,621010789,608458.4432648937,,,1.7322834645669292,0.6188839309335262,62169.40699430616,0.010546342014669845,136786.8995504759
Polyolefin,Ultra Blue-8,8,0.94,48,1.09,328517.75,0.0011595744680851065,621010789,720108.2553297873,,,1.8897637795275593,0.7324467803664969,73853.72816699492,0.012481555695971914,161886.77579806594
Polyolefin,Ultra Blue-8,8,0.94,56,1.5,436389.25,0.0015957446808510637,621010789,990974.6632978723,,,2.204724409448819,1.007954284908023,98104.20607257533,0.017176452792621897,222779.96669458612
Polyolefin,Ultra Blue-8,8,0.94,60,1.72,500131.5,0.0018297872340425532,621010789,1136317.6139148937,,,2.3622047244094486,1.1557875800278663,112434.03392587285,0.01969566586887311,255454.3618097921
Polyolefin,Ultra Blue-8,8,0.94,68,2.22,632519.25,0.0023617021276595746,621010789,1466642.5016808512,,,2.677165354330709,1.4917723416638742,142195.98408272155,0.02542115013308041,329714.3507079875
Polyolefin,Ultra Blue-8,8,0.94,72,2.5,705087.35,0.0026595744680851063,621010789,1651624.4388297873,,,2.8346456692913384,1.6799238081800385,158509.94194647565,0.028627421321036493,371299.9444909769
Polyolefin,Ultra Blue-8,8,0.94,80,3.1,864933.2999999999,0.003297872340425532,621010789,2048014.3041489362,,,3.1496062992125986,2.0831055221432475,194444.7410247448,0.03549800243808525,460411.93116881134
Polyolefin,Ultra Blue-8,8,0.94,96,4.37,1225812.5,0.004648936170212766,621010789,2887039.519074468,,,3.7795275590551185,2.9365068166987074,275573.61256341386,0.050040732469171796,649032.3029702276
Polyolefin,Ultra Blue-8,8,0.94,120,6.47,1814202.5,0.0068829787234042554,621010789,4274404.04769149,,,4.724409448818897,4.347642815569939,407848.9465938525,0.07408776637884246,960924.2563426483
Polyolefin,Ultra Blue-8,8,0.94,152,9.6,2598722.5,0.010212765957446808,621010789,6342237.845106383,,,5.984251968503937,6.450907423411348,584216.0586344374,0.10992929787278014,1425791.7868453513
Polypropylene,Survitec Nutech-Plus,8,0.99,36,0.529,203977.28,0.0005343434343434343,1349633917,721168.0223161615,,,1.4173228346456692,0.3554718778108961,45855.91673315371,0.00575162485902974,162125.02089420467
Polypropylene,Survitec Nutech-Plus,8,0.99,44,0.915,357940.89999999997,0.0009242424242424243,1349633917,1247388.923287879,,,1.7322834645669292,0.614852113793894,80468.31542115916,0.009948462657868078,280424.1854786339
Polypropylene,Survitec Nutech-Plus,8,0.99,48,1.09,421683.8,0.001101010101010101,1349633917,1485960.5752828284,,,1.8897637795275593,0.7324467803664969,94798.2894002697,0.01185117409516525,334057.22641717043
Polypropylene,Survitec Nutech-Plus,8,0.99,56,1.45,568782.7999999999,0.0014646464646464645,1349633917,1976736.54510101,,,2.204724409448819,0.9743558087444223,127867.46012129399,0.01576532333760515,444388.0534907313
Polypropylene,Survitec Nutech-Plus,8,0.99,60,1.64,647235.6,0.0016565656565656565,1349633917,2235757.195838384,,,2.3622047244094486,1.1020300181661051,145504.35117250698,0.01783112432667065,502618.2122239995
Polypropylene,Survitec Nutech-Plus,8,0.99,68,2.13,828657.7,0.0021515151515151512,1349633917,2903757.821424242,,,2.677165354330709,1.4312950845693926,186289.66172843694,0.023158716351102733,652790.7268519016
Polypropylene,Survitec Nutech-Plus,8,0.99,72,2.37,926723.7,0.002393939393939394,1349633917,3230941.8013030305,,,2.8346456692913384,1.5925677701546763,208335.77554245316,0.025768149179396002,726344.611567609
Polypropylene,Survitec Nutech-Plus,8,0.99,80,2.95,1137565.5999999999,0.00297979797979798,1349633917,4021636.4193434343,,,3.1496062992125986,1.9823100936524454,255734.92024258798,0.032074278514438066,904099.8329639016
Polypropylene,Survitec Nutech-Plus,8,0.99,96,4.17,1618089,0.004212121212121212,1349633917,5684821.65039394,,,3.7795275590551185,2.8021129120443042,363760.87793126743,0.045338895391595496,1277998.7469354132
Polypropylene-Polyester,Survitec Nuflex,8,1.1,36,0.6,243203.68,0.0005454545454545455,1349633917,736163.9547272727,,,1.4173228346456692,0.40318171396320923,54674.36225876019,0.0058712238636598486,165496.2406103413
Polypropylene-Polyester,Survitec Nuflex,8,1.1,44,1.04,400109.27999999997,0.0009454545454545454,1349633917,1276017.5215272726,,,1.7322834645669292,0.6988483042028959,89948.14436118613,0.010176788030343737,286860.15039125824
