Load Case ,environment_config_basename,FST1 ,FST2 ,LNGC-Partner (Small) ,LNCG-Excalibur (Large) ,Mooring Status ,Environment Condition ,Water Level ,Headings ,Mooring - Location ,Mooring - Component ,Wind Dir [deg],Vw [m/s],Wave Dir [deg],Hs [m],Tp [s],Hs [m],Tp [s],Wave Dir (fr. TN) [deg],Wave Dir (ship) [deg],Vw [m/s],Wind Dir (ship) [deg],Vc [m/s],Curr Dir (ship) [deg],env reference,config reference
F084,fsts_l015_125km3_l100_pb_mwl_wave16,Light,Light,Full,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,-,-,310,0.5,2.5,-,-,-,-,-,-,-,-,wave16,fsts_l015_125km3_l100_pb_mwl_
F085,fsts_l095_125km3_l100_pb_mwl_wave17,Light,Light,Full,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,-,-,310,0.5,3.5,-,-,-,-,-,-,-,-,wave17,fsts_l095_125km3_l100_pb_mwl_
F086,fsts_l095_125km3_l100_pb_mwl_wave18,Light,Light,Full,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,-,-,310,0.5,4.5,-,-,-,-,-,-,-,-,wave18,fsts_l095_125km3_l100_pb_mwl_
F087,fsts_l095_125km3_l100_pb_mwl_wave01,Full,Full,Ballast,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,-,-,45,0.5,2.5,-,-,-,-,-,-,-,-,wave01,fsts_l095_125km3_l100_pb_mwl_
F088,fsts_l095_125km3_l100_pb_mwl_wave02,Full,Full,Ballast,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,-,-,45,0.5,3.5,-,-,-,-,-,-,-,-,wave02,fsts_l095_125km3_l100_pb_mwl_
F089,fsts_l095_125km3_l100_pb_mwl_wave03,Full,Full,Ballast,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,-,-,45,0.5,4.5,-,-,-,-,-,-,-,-,wave03,fsts_l095_125km3_l100_pb_mwl_
F090,fsts_l095_125km3_l100_pb_mwl_wave04,Full,Full,Ballast,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,-,-,70,0.5,2.5,-,-,-,-,-,-,-,-,wave04,fsts_l095_125km3_l100_pb_mwl_
F091,fsts_l095_125km3_l100_pb_mwl_wave05,Full,Full,Ballast,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,-,-,70,0.5,3.5,-,-,-,-,-,-,-,-,wave05,fsts_l095_125km3_l100_pb_mwl_
F092,fsts_l095_125km3_l100_pb_mwl_wave06,Full,Full,Ballast,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,-,-,70,0.5,4.5,-,-,-,-,-,-,-,-,wave06,fsts_l095_125km3_l100_pb_mwl_
F093,fsts_l095_125km3_l100_pb_mwl_wave07,Full,Full,Ballast,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,-,-,90,0.5,2.5,-,-,-,-,-,-,-,-,wave07,fsts_l095_125km3_l100_pb_mwl_
F094,fsts_l095_125km3_l100_pb_mwl_wave08,Full,Full,Ballast,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,-,-,90,0.5,3.5,-,-,-,-,-,-,-,-,wave08,fsts_l095_125km3_l100_pb_mwl_
F095,fsts_l095_125km3_l100_pb_mwl_wave09,Full,Full,Ballast,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,-,-,90,0.5,4.5,-,-,-,-,-,-,-,-,wave09,fsts_l095_125km3_l100_pb_mwl_
F096,fsts_l095_125km3_l100_pb_mwl_wave10,Full,Full,Ballast,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,-,-,125,0.5,2.5,-,-,-,-,-,-,-,-,wave10,fsts_l095_125km3_l100_pb_mwl_
F097,fsts_l095_125km3_l100_pb_mwl_wave11,Full,Full,Ballast,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,-,-,125,0.5,3.5,-,-,-,-,-,-,-,-,wave11,fsts_l095_125km3_l100_pb_mwl_
F098,fsts_l095_125km3_l100_pb_mwl_wave12,Full,Full,Ballast,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,-,-,125,0.5,4.5,-,-,-,-,-,-,-,-,wave12,fsts_l095_125km3_l100_pb_mwl_
F099,fsts_l095_125km3_l100_pb_mwl_wave13,Full,Full,Ballast,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,-,-,150,0.5,2.5,-,-,-,-,-,-,-,-,wave13,fsts_l095_125km3_l100_pb_mwl_
F100,fsts_l095_125km3_l100_pb_mwl_wave14,Full,Full,Ballast,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,-,-,150,0.5,3.5,-,-,-,-,-,-,-,-,wave14,fsts_l095_125km3_l100_pb_mwl_
F101,fsts_l095_125km3_l100_pb_mwl_wave15,Full,Full,Ballast,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,-,-,150,0.5,4.5,-,-,-,-,-,-,-,-,wave15,fsts_l095_125km3_l100_pb_mwl_
F102,fsts_l095_125km3_l100_pb_mwl_wave16,Full,Full,Ballast,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,-,-,310,0.5,2.5,-,-,-,-,-,-,-,-,wave16,fsts_l095_125km3_l100_pb_mwl_
F103,fsts_l095_125km3_l100_pb_mwl_wave17,Full,Full,Ballast,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,-,-,310,0.5,3.5,-,-,-,-,-,-,-,-,wave17,fsts_l095_125km3_l100_pb_mwl_
F104,fsts_l095_125km3_l100_pb_mwl_wave18,Full,Full,Ballast,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,-,-,310,0.5,4.5,-,-,-,-,-,-,-,-,wave18,fsts_l095_125km3_l100_pb_mwl_
F105,fsts_l015_125km3_l100_pb_mwl_wind01,Light,Light,Full,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,0,10,-,-,-,-,-,-,-,-,-,-,-,wind01,fsts_l015_125km3_l100_pb_mwl_
F106,fsts_l015_125km3_l100_pb_mwl_wind02,Light,Light,Full,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,23,10,-,-,-,-,-,-,-,-,-,-,-,wind02,fsts_l015_125km3_l100_pb_mwl_
F107,fsts_l015_125km3_l100_pb_mwl_wind03,Light,Light,Full,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,45,10,-,-,-,-,-,-,-,-,-,-,-,wind03,fsts_l015_125km3_l100_pb_mwl_
F108,fsts_l015_125km3_l100_pb_mwl_wind04,Light,Light,Full,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,70,10,-,-,-,-,-,-,-,-,-,-,-,wind04,fsts_l015_125km3_l100_pb_mwl_
F109,fsts_l015_125km3_l100_pb_mwl_wind05,Light,Light,Full,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,90,10,-,-,-,-,-,-,-,-,-,-,-,wind05,fsts_l015_125km3_l100_pb_mwl_
F110,fsts_l015_125km3_l100_pb_mwl_wind06,Light,Light,Full,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,110,10,-,-,-,-,-,-,-,-,-,-,-,wind06,fsts_l015_125km3_l100_pb_mwl_
F111,fsts_l015_125km3_l100_pb_mwl_wind07,Light,Light,Full,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,125,10,-,-,-,-,-,-,-,-,-,-,-,wind07,fsts_l015_125km3_l100_pb_mwl_
F112,fsts_l015_125km3_l100_pb_mwl_wind08,Light,Light,Full,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,150,10,-,-,-,-,-,-,-,-,-,-,-,wind08,fsts_l015_125km3_l100_pb_mwl_
F113,fsts_l015_125km3_l100_pb_mwl_wind09,Light,Light,Full,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,180,10,-,-,-,-,-,-,-,-,-,-,-,wind09,fsts_l015_125km3_l100_pb_mwl_
F114,fsts_l015_125km3_l100_pb_mwl_wind10,Light,Light,Full,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,200,10,-,-,-,-,-,-,-,-,-,-,-,wind10,fsts_l015_125km3_l100_pb_mwl_
F115,fsts_l015_125km3_l100_pb_mwl_wind11,Light,Light,Full,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,222,10,-,-,-,-,-,-,-,-,-,-,-,wind11,fsts_l015_125km3_l100_pb_mwl_
F116,fsts_l015_125km3_l100_pb_mwl_wind12,Light,Light,Full,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,245,10,-,-,-,-,-,-,-,-,-,-,-,wind12,fsts_l015_125km3_l100_pb_mwl_
F117,fsts_l015_125km3_l100_pb_mwl_wind13,Light,Light,Full,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,270,10,-,-,-,-,-,-,-,-,-,-,-,wind13,fsts_l015_125km3_l100_pb_mwl_
F118,fsts_l015_125km3_l100_pb_mwl_wind14,Light,Light,Full,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,290,10,-,-,-,-,-,-,-,-,-,-,-,wind14,fsts_l015_125km3_l100_pb_mwl_
F119,fsts_l015_125km3_l100_pb_mwl_wind15,Light,Light,Full,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,310,10,-,-,-,-,-,-,-,-,-,-,-,wind15,fsts_l015_125km3_l100_pb_mwl_
