Code,Year,Curve,Material,Curve Label,# of Slopes,Environment,a1,Log a1~,m1,Transfer Cycles 1,Transfer Stress 1 (Mpa),Log a2~,m2,Transfer Cycles 2,Transfer Stress 2 (Mpa),Log a3~,m3,Transfer Cycles 3,CAFL (Mpa),Log a4~,m4,Cycles at Fatigue Limit,S0 (Mpa),High Stress Range (Mpa),N - High Stress Range,Low Stress Range(Mpa),N - Low Stress Range,Reference
DnV,2005,W1,Carbon Steel,DnV 2005 W1 Seawater CP,2,Seawater CP,72610595744,10.861,3,1000000,41.70614031,1.26183E+14,100000,0,0,0,0,0,0,0,0,10000000,26.32,1000,72.61059574,1,1.26183E+14,"Det Norske Veritas (DnV) - ""Fatigue Design of Offshore Steel Structures""  (DnV-RP-C203), Aug 2005."
DnV,2005,W2,Carbon Steel,DnV 2005 W2 Seawater CP,2,Seawater CP,50933087106,10.707,3,1000000,37.06807218,6.99842E+13,100000,0,0,0,0,0,0,0,0,10000000,23.39,1000,50.93308711,1,6.99842E+13,"Det Norske Veritas (DnV) - ""Fatigue Design of Offshore Steel Structures""  (DnV-RP-C203), Aug 2005."
DnV,2005,W3,Carbon Steel,DnV 2005 W3 Seawater CP,2,Seawater CP,37153522910,10.57,3,1000000,33.37336513,4.14E+13,100000,0,0,0,0,0,0,0,0,10000000,21.05,1000,37.15352291,1,4.14E+13,"Det Norske Veritas (DnV) - ""Fatigue Design of Offshore Steel Structures""  (DnV-RP-C203), Aug 2005."
DnV,2005,T,Carbon Steel,DnV 2005 T Seawater CP,2,Seawater CP,5.80764E+11,11.764,3,1000000,83.40651974,4.03645E+15,100000,0,0,0,0,0,0,0,0,10000000,52.63,1000,580.7644175,1,4.03645E+15,"Det Norske Veritas (DnV) - ""Fatigue Design of Offshore Steel Structures""  (DnV-RP-C203), Aug 2005."
DnV,2005,B1,Carbon Steel,DnV 2005 B1 In Air,2,In Air,1.30918E+15,15.117,4,10000000,106.9547311,1.39959E+17,100000,0,0,0,0,0,0,0,0,10000000,106.97,1000,1309.181923,1,1.39959E+17,"Det Norske Veritas (DnV) - ""Fatigue Design of Offshore Steel Structures""  (DnV-RP-C203), Aug 2005."
DnV,2005,B2,Carbon Steel,DnV 2005 B2 In Air,2,In Air,7.67361E+14,14.885,4,10000000,93.58365436,7.17794E+16,100000,0,0,0,0,0,0,0,0,10000000,93.59,1000,767.3614894,1,7.17794E+16,"Det Norske Veritas (DnV) - ""Fatigue Design of Offshore Steel Structures""  (DnV-RP-C203), Aug 2005."
DnV,2005,C,Carbon Steel,DnV 2005 C In Air,2,In Air,3.90841E+12,12.592,3,10000000,73.11390835,2.0893E+16,100000,0,0,0,0,0,0,0,0,10000000,73.1,1000,3908.408958,1,2.0893E+16,"Det Norske Veritas (DnV) - ""Fatigue Design of Offshore Steel Structures""  (DnV-RP-C203), Aug 2005."
DnV,2005,C1,Carbon Steel,DnV 2005 C1 In Air,2,In Air,2.8119E+12,12.449,3,10000000,65.49377146,1.20504E+16,100000,0,0,0,0,0,0,0,0,10000000,65.5,1000,2811.90083,1,1.20504E+16,"Det Norske Veritas (DnV) - ""Fatigue Design of Offshore Steel Structures""  (DnV-RP-C203), Aug 2005."
DnV,2005,C2,Carbon Steel,DnV 2005 C2 In Air,2,In Air,1.99986E+12,12.301,3,10000000,58.47900841,6.83912E+15,100000,0,0,0,0,0,0,0,0,10000000,58.48,1000,1999.86187,1,6.83912E+15,"Det Norske Veritas (DnV) - ""Fatigue Design of Offshore Steel Structures""  (DnV-RP-C203), Aug 2005."
DnV,2005,D,Carbon Steel,DnV 2005 D In Air,2,In Air,1.45881E+12,12.164,3,10000000,52.62595621,4.03645E+15,100000,0,0,0,0,0,0,0,0,10000000,52.63,1000,1458.81426,1,4.03645E+15,"Det Norske Veritas (DnV) - ""Fatigue Design of Offshore Steel Structures""  (DnV-RP-C203), Aug 2005."
DnV,2005,E,Carbon Steel,DnV 2005 E In Air,2,In Air,1.02329E+12,12.01,3,10000000,46.77351413,2.23872E+15,100000,0,0,0,0,0,0,0,0,10000000,46.78,1000,1023.292992,1,2.23872E+15,"Det Norske Veritas (DnV) - ""Fatigue Design of Offshore Steel Structures""  (DnV-RP-C203), Aug 2005."
DnV,2005,F,Carbon Steel,DnV 2005 F In Air,2,In Air,7.16143E+11,11.855,3,10000000,41.514518,1.2331E+15,100000,0,0,0,0,0,0,0,0,10000000,41.52,1000,716.1434102,1,1.2331E+15,"Det Norske Veritas (DnV) - ""Fatigue Design of Offshore Steel Structures""  (DnV-RP-C203), Aug 2005."
DnV,2005,F1,Carbon Steel,DnV 2005 F1 In Air,2,In Air,5.00035E+11,11.699,3,10000000,36.84681891,6.79204E+14,100000,0,0,0,0,0,0,0,0,10000000,36.84,1000,500.034535,1,6.79204E+14,"Det Norske Veritas (DnV) - ""Fatigue Design of Offshore Steel Structures""  (DnV-RP-C203), Aug 2005."
DnV,2005,F3,Carbon Steel,DnV 2005 F3 In Air,2,In Air,3.5156E+11,11.546,3,10000000,32.74914756,3.76704E+14,100000,0,0,0,0,0,0,0,0,10000000,32.75,1000,351.5604405,1,3.76704E+14,"Det Norske Veritas (DnV) - ""Fatigue Design of Offshore Steel Structures""  (DnV-RP-C203), Aug 2005."
DnV,2005,G,Carbon Steel,DnV 2005 G In Air,2,In Air,2.50035E+11,11.398,3,10000000,29.24152378,2.13796E+14,100000,0,0,0,0,0,0,0,0,10000000,29.24,1000,250.0345362,1,2.13796E+14,"Det Norske Veritas (DnV) - ""Fatigue Design of Offshore Steel Structures""  (DnV-RP-C203), Aug 2005."
DnV,2005,W1,Carbon Steel,DnV 2005 W1 In Air,2,In Air,1.8239E+11,11.261,3,10000000,26.31479554,1.26183E+14,100000,0,0,0,0,0,0,0,0,10000000,26.32,1000,182.3895702,1,1.26183E+14,"Det Norske Veritas (DnV) - ""Fatigue Design of Offshore Steel Structures""  (DnV-RP-C203), Aug 2005."
DnV,2005,W2,Carbon Steel,DnV 2005 W2 In Air,2,In Air,1.27938E+11,11.107,3,10000000,23.38837239,6.99842E+13,100000,0,0,0,0,0,0,0,0,10000000,23.39,1000,127.9381304,1,6.99842E+13,"Det Norske Veritas (DnV) - ""Fatigue Design of Offshore Steel Structures""  (DnV-RP-C203), Aug 2005."
DnV,2005,W3,Carbon Steel,DnV 2005 W3 In Air,2,In Air,93325430080,10.97,3,10000000,21.05716984,4.14E+13,100000,0,0,0,0,0,0,0,0,10000000,21.05,1000,93.32543008,1,4.14E+13,"Det Norske Veritas (DnV) - ""Fatigue Design of Offshore Steel Structures""  (DnV-RP-C203), Aug 2005."
DnV,2005,T,Carbon Steel,DnV 2005 T In Air,2,In Air,1.45881E+12,12.164,3,10000000,52.62595621,4.03645E+15,100000,0,0,0,0,0,0,0,0,10000000,52.63,1000,1458.81426,1,4.03645E+15,"Det Norske Veritas (DnV) - ""Fatigue Design of Offshore Steel Structures""  (DnV-RP-C203), Aug 2005."
DnV,2008,B1,Carbon Steel,DnV 2008 B1 Seawater CP,2,Seawater CP,8.26038E+14,14.917,4,1000000,169.5118252,1.39959E+17,100000,0,0,0,0,0,0,0,0,10000000,106.97,1000,826.0379496,1,1.39959E+17,"Det Norske Veritas (DnV) - ""Fatigue Design of Offshore Steel Structures""  (DnV-RP-C203), Apr 2008."
DnV,2008,B2,Carbon Steel,DnV 2008 B2 Seawater CP,2,Seawater CP,4.84172E+14,14.685,4,1000000,148.3200967,7.17794E+16,100000,0,0,0,0,0,0,0,0,10000000,93.59,1000,484.1723676,1,7.17794E+16,"Det Norske Veritas (DnV) - ""Fatigue Design of Offshore Steel Structures""  (DnV-RP-C203), Apr 2008."
DnV,2008,C,Carbon Steel,DnV 2008 C Seawater CP,2,Seawater CP,1.55597E+12,12.192,3,1000000,115.8777356,2.0893E+16,100000,0,0,0,0,0,0,0,0,10000000,73.1,1000,1555.965632,1,2.0893E+16,"Det Norske Veritas (DnV) - ""Fatigue Design of Offshore Steel Structures""  (DnV-RP-C203), Apr 2008."
DnV,2008,C1,Carbon Steel,DnV 2008 C1 Seawater CP,2,Seawater CP,1.11944E+12,12.049,3,1000000,103.8006325,1.20504E+16,100000,0,0,0,0,0,0,0,0,10000000,65.5,1000,1119.437883,1,1.20504E+16,"Det Norske Veritas (DnV) - ""Fatigue Design of Offshore Steel Structures""  (DnV-RP-C203), Apr 2008."
DnV,2008,C2,Carbon Steel,DnV 2008 C2 Seawater CP,2,Seawater CP,7.96159E+11,11.901,3,1000000,92.68298234,6.83912E+15,100000,0,0,0,0,0,0,0,0,10000000,58.48,1000,796.1593504,1,6.83912E+15,"Det Norske Veritas (DnV) - ""Fatigue Design of Offshore Steel Structures""  (DnV-RP-C203), Apr 2008."
DnV,2008,D,Carbon Steel,DnV 2008 D Seawater CP,2,Seawater CP,5.80764E+11,11.764,3,1000000,83.40651974,4.03645E+15,100000,0,0,0,0,0,0,0,0,10000000,52.63,1000,580.7644175,1,4.03645E+15,"Det Norske Veritas (DnV) - ""Fatigue Design of Offshore Steel Structures""  (DnV-RP-C203), Apr 2008."
DnV,2008,E,Carbon Steel,DnV 2008 E Seawater CP,2,Seawater CP,4.0738E+11,11.61,3,1000000,74.13102413,2.23872E+15,100000,0,0,0,0,0,0,0,0,10000000,46.78,1000,407.3802778,1,2.23872E+15,"Det Norske Veritas (DnV) - ""Fatigue Design of Offshore Steel Structures""  (DnV-RP-C203), Apr 2008."
DnV,2008,F,Carbon Steel,DnV 2008 F Seawater CP,2,Seawater CP,2.85102E+11,11.455,3,1000000,65.79607697,1.2331E+15,100000,0,0,0,0,0,0,0,0,10000000,41.52,1000,285.1018268,1,1.2331E+15,"Det Norske Veritas (DnV) - ""Fatigue Design of Offshore Steel Structures""  (DnV-RP-C203), Apr 2008."
DnV,2008,F1,Carbon Steel,DnV 2008 F1 Seawater CP,2,Seawater CP,1.99067E+11,11.299,3,1000000,58.39827246,6.79204E+14,100000,0,0,0,0,0,0,0,0,10000000,36.84,1000,199.0673339,1,6.79204E+14,"Det Norske Veritas (DnV) - ""Fatigue Design of Offshore Steel Structures""  (DnV-RP-C203), Apr 2008."
DnV,2008,F3,Carbon Steel,DnV 2008 F3 Seawater CP,2,Seawater CP,1.39959E+11,11.146,3,1000000,51.90390102,3.76704E+14,100000,0,0,0,0,0,0,0,0,10000000,32.75,1000,139.9587323,1,3.76704E+14,"Det Norske Veritas (DnV) - ""Fatigue Design of Offshore Steel Structures""  (DnV-RP-C203), Apr 2008."
DnV,2008,G,Carbon Steel,DnV 2008 G Seawater CP,2,Seawater CP,99540541735,10.998,3,1000000,46.34469197,2.13796E+14,100000,0,0,0,0,0,0,0,0,10000000,29.24,1000,99.54054174,1,2.13796E+14,"Det Norske Veritas (DnV) - ""Fatigue Design of Offshore Steel Structures""  (DnV-RP-C203), Apr 2008."
DnV,2008,W1,Carbon Steel,DnV 2008 W1 Seawater CP,2,Seawater CP,72610595744,10.861,3,1000000,41.70614031,1.26183E+14,100000,0,0,0,0,0,0,0,0,10000000,26.32,1000,72.61059574,1,1.26183E+14,"Det Norske Veritas (DnV) - ""Fatigue Design of Offshore Steel Structures""  (DnV-RP-C203), Apr 2008."
DnV,2008,W2,Carbon Steel,DnV 2008 W2 Seawater CP,2,Seawater CP,50933087106,10.707,3,1000000,37.06807218,6.99842E+13,100000,0,0,0,0,0,0,0,0,10000000,23.39,1000,50.93308711,1,6.99842E+13,"Det Norske Veritas (DnV) - ""Fatigue Design of Offshore Steel Structures""  (DnV-RP-C203), Apr 2008."
DnV,2008,W3,Carbon Steel,DnV 2008 W3 Seawater CP,2,Seawater CP,37153522910,10.57,3,1000000,33.37336513,4.14E+13,100000,0,0,0,0,0,0,0,0,10000000,21.05,1000,37.15352291,1,4.14E+13,"Det Norske Veritas (DnV) - ""Fatigue Design of Offshore Steel Structures""  (DnV-RP-C203), Apr 2008."
DnV,2008,T,Carbon Steel,DnV 2008 T Seawater CP,2,Seawater CP,5.80764E+11,11.764,3,1000000,83.40651974,4.03645E+15,100000,0,0,0,0,0,0,0,0,10000000,52.63,1000,580.7644175,1,4.03645E+15,"Det Norske Veritas (DnV) - ""Fatigue Design of Offshore Steel Structures""  (DnV-RP-C203), Apr 2008."
DnV,2008,B1,Carbon Steel,DnV 2008 B1 In Air,2,In Air,1.30918E+15,15.117,4,10000000,106.9547311,1.39959E+17,100000,0,0,0,0,0,0,0,0,10000000,106.97,1000,1309.181923,1,1.39959E+17,"Det Norske Veritas (DnV) - ""Fatigue Design of Offshore Steel Structures""  (DnV-RP-C203), Apr 2008."
DnV,2008,B2,Carbon Steel,DnV 2008 B2 In Air,2,In Air,7.67361E+14,14.885,4,10000000,93.58365436,7.17794E+16,100000,0,0,0,0,0,0,0,0,10000000,93.59,1000,767.3614894,1,7.17794E+16,"Det Norske Veritas (DnV) - ""Fatigue Design of Offshore Steel Structures""  (DnV-RP-C203), Apr 2008."
DnV,2008,C,Carbon Steel,DnV 2008 C In Air,2,In Air,3.90841E+12,12.592,3,10000000,73.11390835,2.0893E+16,100000,0,0,0,0,0,0,0,0,10000000,73.1,1000,3908.408958,1,2.0893E+16,"Det Norske Veritas (DnV) - ""Fatigue Design of Offshore Steel Structures""  (DnV-RP-C203), Apr 2008."
DnV,2008,C1,Carbon Steel,DnV 2008 C1 In Air,2,In Air,2.8119E+12,12.449,3,10000000,65.49377146,1.20504E+16,100000,0,0,0,0,0,0,0,0,10000000,65.5,1000,2811.90083,1,1.20504E+16,"Det Norske Veritas (DnV) - ""Fatigue Design of Offshore Steel Structures""  (DnV-RP-C203), Apr 2008."
DnV,2008,C2,Carbon Steel,DnV 2008 C2 In Air,2,In Air,1.99986E+12,12.301,3,10000000,58.47900841,6.83912E+15,100000,0,0,0,0,0,0,0,0,10000000,58.48,1000,1999.86187,1,6.83912E+15,"Det Norske Veritas (DnV) - ""Fatigue Design of Offshore Steel Structures""  (DnV-RP-C203), Apr 2008."
DnV,2008,D,Carbon Steel,DnV 2008 D In Air,2,In Air,1.45881E+12,12.164,3,10000000,52.62595621,4.03645E+15,100000,0,0,0,0,0,0,0,0,10000000,52.63,1000,1458.81426,1,4.03645E+15,"Det Norske Veritas (DnV) - ""Fatigue Design of Offshore Steel Structures""  (DnV-RP-C203), Apr 2008."
DnV,2008,E,Carbon Steel,DnV 2008 E In Air,2,In Air,1.02329E+12,12.01,3,10000000,46.77351413,2.23872E+15,100000,0,0,0,0,0,0,0,0,10000000,46.78,1000,1023.292992,1,2.23872E+15,"Det Norske Veritas (DnV) - ""Fatigue Design of Offshore Steel Structures""  (DnV-RP-C203), Apr 2008."
DnV,2008,F,Carbon Steel,DnV 2008 F In Air,2,In Air,7.16143E+11,11.855,3,10000000,41.514518,1.2331E+15,100000,0,0,0,0,0,0,0,0,10000000,41.52,1000,716.1434102,1,1.2331E+15,"Det Norske Veritas (DnV) - ""Fatigue Design of Offshore Steel Structures""  (DnV-RP-C203), Apr 2008."
DnV,2008,F1,Carbon Steel,DnV 2008 F1 In Air,2,In Air,5.00035E+11,11.699,3,10000000,36.84681891,6.79204E+14,100000,0,0,0,0,0,0,0,0,10000000,36.84,1000,500.034535,1,6.79204E+14,"Det Norske Veritas (DnV) - ""Fatigue Design of Offshore Steel Structures""  (DnV-RP-C203), Apr 2008."
DnV,2008,F3,Carbon Steel,DnV 2008 F3 In Air,2,In Air,3.5156E+11,11.546,3,10000000,32.74914756,3.76704E+14,100000,0,0,0,0,0,0,0,0,10000000,32.75,1000,351.5604405,1,3.76704E+14,"Det Norske Veritas (DnV) - ""Fatigue Design of Offshore Steel Structures""  (DnV-RP-C203), Apr 2008."
DnV,2008,G,Carbon Steel,DnV 2008 G In Air,2,In Air,2.50035E+11,11.398,3,10000000,29.24152378,2.13796E+14,100000,0,0,0,0,0,0,0,0,10000000,29.24,1000,250.0345362,1,2.13796E+14,"Det Norske Veritas (DnV) - ""Fatigue Design of Offshore Steel Structures""  (DnV-RP-C203), Apr 2008."
DnV,2008,W1,Carbon Steel,DnV 2008 W1 In Air,2,In Air,1.8239E+11,11.261,3,10000000,26.31479554,1.26183E+14,100000,0,0,0,0,0,0,0,0,10000000,26.32,1000,182.3895702,1,1.26183E+14,"Det Norske Veritas (DnV) - ""Fatigue Design of Offshore Steel Structures""  (DnV-RP-C203), Apr 2008."
DnV,2008,W2,Carbon Steel,DnV 2008 W2 In Air,2,In Air,1.27938E+11,11.107,3,10000000,23.38837239,6.99842E+13,100000,0,0,0,0,0,0,0,0,10000000,23.39,1000,127.9381304,1,6.99842E+13,"Det Norske Veritas (DnV) - ""Fatigue Design of Offshore Steel Structures""  (DnV-RP-C203), Apr 2008."
DnV,2008,W3,Carbon Steel,DnV 2008 W3 In Air,2,In Air,93325430080,10.97,3,10000000,21.05716984,4.14E+13,100000,0,0,0,0,0,0,0,0,10000000,21.05,1000,93.32543008,1,4.14E+13,"Det Norske Veritas (DnV) - ""Fatigue Design of Offshore Steel Structures""  (DnV-RP-C203), Apr 2008."
DnV,2008,T,Carbon Steel,DnV 2008 T In Air,2,In Air,1.45881E+12,12.164,3,10000000,52.62595621,4.03645E+15,100000,0,0,0,0,0,0,0,0,10000000,52.63,1000,1458.81426,1,4.03645E+15,"Det Norske Veritas (DnV) - ""Fatigue Design of Offshore Steel Structures""  (DnV-RP-C203), Apr 2008."
DnV,2010,B1,Carbon Steel,DnV 2010 B1 Seawater CP,2,Seawater CP,8.26038E+14,14.917,4,1000000,169.5118252,1.39959E+17,100000,0,0,0,0,0,0,0,0,10000000,106.97,1000,826.0379496,1,1.39959E+17,"Det Norske Veritas (DnV) - ""Fatigue Design of Offshore Steel Structures""  (DnV-RP-C203), Apr 2008."
DnV,2010,B2,Carbon Steel,DnV 2010 B2 Seawater CP,2,Seawater CP,4.84172E+14,14.685,4,1000000,148.3200967,7.17794E+16,100000,0,0,0,0,0,0,0,0,10000000,93.59,1000,484.1723676,1,7.17794E+16,"American Petroleum Institute - ""Recommended Practise for Planning, Designing and Constructing Fixed Offshore Platforms – Load and Resistance Factor Design"". API-RP-2A-LRFD, Second Edition, Apr 1994."
DnV,2010,C,Carbon Steel,DnV 2010 C Seawater CP,2,Seawater CP,1.55597E+12,12.192,3,1000000,115.8777356,2.0893E+16,100000,0,0,0,0,0,0,0,0,10000000,73.1,1000,1555.965632,1,2.0893E+16,"American Petroleum Institute - ""Recommended Practise for Planning, Designing and Constructing Fixed Offshore Platforms – Load and Resistance Factor Design"". API-RP-2A-LRFD, Second Edition, Apr 1994."
DnV,2010,C1,Carbon Steel,DnV 2010 C1 Seawater CP,2,Seawater CP,1.11944E+12,12.049,3,1000000,103.8006325,1.20504E+16,100000,0,0,0,0,0,0,0,0,10000000,65.5,1000,1119.437883,1,1.20504E+16,"American Petroleum Institute - ""Recommended Practise for Planning, Designing and Constructing Fixed Offshore Platforms – Load and Resistance Factor Design"". API-RP-2A-LRFD, Second Edition, Apr 1994."
DnV,2010,C2,Carbon Steel,DnV 2010 C2 Seawater CP,2,Seawater CP,7.96159E+11,11.901,3,1000000,92.68298234,6.83912E+15,100000,0,0,0,0,0,0,0,0,10000000,58.48,1000,796.1593504,1,6.83912E+15,"American Petroleum Institute - ""Recommended Practise for Planning, Designing and Constructing Fixed Offshore Platforms – Load and Resistance Factor Design"". API-RP-2A-LRFD, Second Edition, Apr 1994."
DnV,2010,D,Carbon Steel,DnV 2010 D Seawater CP,2,Seawater CP,5.80764E+11,11.764,3,1000000,83.40651974,4.03645E+15,100000,0,0,0,0,0,0,0,0,10000000,52.63,1000,580.7644175,1,4.03645E+15,"American Petroleum Institute - ""Recommended Practise for Planning, Designing and Constructing Fixed Offshore Platforms – Load and Resistance Factor Design"". API-RP-2A-LRFD, Second Edition, Apr 1994."
DnV,2010,E,Carbon Steel,DnV 2010 E Seawater CP,2,Seawater CP,4.0738E+11,11.61,3,1000000,74.13102413,2.23872E+15,100000,0,0,0,0,0,0,0,0,10000000,46.78,1000,407.3802778,1,2.23872E+15,"American Petroleum Institute - ""Recommended Practise for Planning, Designing and Constructing Fixed Offshore Platforms – Load and Resistance Factor Design"". API-RP-2A-LRFD, Second Edition, Apr 1994."
DnV,2010,F,Carbon Steel,DnV 2010 F Seawater CP,2,Seawater CP,2.85102E+11,11.455,3,1000000,65.79607697,1.2331E+15,100000,0,0,0,0,0,0,0,0,10000000,41.52,1000,285.1018268,1,1.2331E+15,"American Petroleum Institute - ""Recommended Practise for Planning, Designing and Constructing Fixed Offshore Platforms – Load and Resistance Factor Design"". API-RP-2A-LRFD, Second Edition, Apr 1994."
DnV,2010,F1,Carbon Steel,DnV 2010 F1 Seawater CP,2,Seawater CP,1.99067E+11,11.299,3,1000000,58.39827246,6.79204E+14,100000,0,0,0,0,0,0,0,0,10000000,36.84,1000,199.0673339,1,6.79204E+14,"American Petroleum Institute - ""Recommended Practise for Planning, Designing and Constructing Fixed Offshore Platforms – Load and Resistance Factor Design"". API-RP-2A-LRFD, Second Edition, Apr 1994."
DnV,2010,F3,Carbon Steel,DnV 2010 F3 Seawater CP,2,Seawater CP,1.39959E+11,11.146,3,1000000,51.90390102,3.76704E+14,100000,0,0,0,0,0,0,0,0,10000000,32.75,1000,139.9587323,1,3.76704E+14,"American Petroleum Institute - ""Recommended Practise for Planning, Designing and Constructing Fixed Offshore Platforms – Load and Resistance Factor Design"". API-RP-2A-LRFD, Second Edition, Apr 1994."
DnV,2010,G,Carbon Steel,DnV 2010 G Seawater CP,2,Seawater CP,99540541735,10.998,3,1000000,46.34469197,2.13796E+14,100000,0,0,0,0,0,0,0,0,10000000,29.24,1000,99.54054174,1,2.13796E+14,"American Petroleum Institute - ""Recommended Practise for Planning, Designing and Constructing Fixed Offshore Platforms – Load and Resistance Factor Design"". API-RP-2A-LRFD, Second Edition, Apr 1994."
DnV,2010,W1,Carbon Steel,DnV 2010 W1 Seawater CP,2,Seawater CP,72610595744,10.861,3,1000000,41.70614031,1.26183E+14,100000,0,0,0,0,0,0,0,0,10000000,26.32,1000,72.61059574,1,1.26183E+14,"American Petroleum Institute - ""Recommended Practise for Planning, Designing and Constructing Fixed Offshore Platforms – Load and Resistance Factor Design"". API-RP-2A-LRFD, Second Edition, Apr 1994."
DnV,2010,W2,Carbon Steel,DnV 2010 W2 Seawater CP,2,Seawater CP,50933087106,10.707,3,1000000,37.06807218,6.99842E+13,100000,0,0,0,0,0,0,0,0,10000000,23.39,1000,50.93308711,1,6.99842E+13,"American Petroleum Institute - ""Recommended Practise for Planning, Designing and Constructing Fixed Offshore Platforms – Load and Resistance Factor Design"". API-RP-2A-LRFD, Second Edition, Apr 1994."
DnV,2010,W3,Carbon Steel,DnV 2010 W3 Seawater CP,2,Seawater CP,37153522910,10.57,3,1000000,33.37336513,4.14E+13,100000,0,0,0,0,0,0,0,0,10000000,21.05,1000,37.15352291,1,4.14E+13,"American Petroleum Institute - ""Recommended Practise for Planning, Designing and Constructing Fixed Offshore Platforms – Load and Resistance Factor Design"". API-RP-2A-LRFD, Second Edition, Apr 1994."
DnV,2010,T,Carbon Steel,DnV 2010 T Seawater CP,2,Seawater CP,5.80764E+11,11.764,3,1000000,83.40651974,4.03645E+15,100000,0,0,0,0,0,0,0,0,10000000,52.63,1000,580.7644175,1,4.03645E+15,"American Petroleum Institute - ""Recommended Practise for Planning, Designing and Constructing Fixed Offshore Platforms – Load and Resistance Factor Design"". API-RP-2A-LRFD, Second Edition, Apr 1994."
