rsu_id,topology_class,stackup_type,operation,riser_od_in,water_depth_band,rig_ref,wiki_path,note
RSU-0022,conventional-bop-on-wellhead,joint-library,drilling,21,1500-2000m,semisub-6x833k-dat,wikis/riser-projects/wiki/datasets/stackup-registry.md,
RSU-0023,conventional-bop-on-wellhead,as-planned-stackup,drilling,21,1500-2000m,,wikis/riser-projects/wiki/datasets/stackup-registry.md,
RSU-0024,conventional-bop-on-wellhead,joint-library,drilling,21,,,wikis/riser-projects/wiki/datasets/stackup-registry.md,
RSU-0025,conventional-bop-on-wellhead,stack-up-drawing,drilling,,,drillship-15k-stack-784kip,wikis/riser-projects/wiki/datasets/stackup-registry.md,
RSU-0026,conventional-bop-on-wellhead,stack-up-drawing,drilling,,3000-4000m,drillship-15k-stack-893kip,wikis/riser-projects/wiki/datasets/stackup-registry.md,
RSU-0027,conventional-bop-on-wellhead,as-planned-stackup,drilling,21,2000-3000m,,wikis/riser-projects/wiki/datasets/stackup-registry.md,
RSU-0028,conventional-bop-on-wellhead,as-planned-stackup,drilling,21,500-1000m,,wikis/riser-projects/wiki/datasets/stackup-registry.md,
RSU-0029,conventional-bop-on-wellhead,component-library,drilling,21,500-1000m,,wikis/riser-projects/wiki/datasets/stackup-registry.md,
RSU-0030,conventional-bop-on-wellhead,as-planned-stackup,drilling,21.25,3000-4000m,,wikis/riser-projects/wiki/datasets/stackup-registry.md,
RSU-0031,conventional-bop-on-wellhead,as-planned-stackup,drilling,21.25,3000-4000m,,wikis/riser-projects/wiki/datasets/stackup-registry.md,
RSU-0032,conventional-bop-on-wellhead,as-planned-stackup,drilling,21.25,3000-4000m,,wikis/riser-projects/wiki/datasets/stackup-registry.md,
RSU-0033,conventional-bop-on-wellhead,as-planned-stackup,drilling,21.5,3000-4000m,,wikis/riser-projects/wiki/datasets/stackup-registry.md,
RSU-0034,conventional-bop-on-wellhead,weight-table,drilling,,,,wikis/riser-projects/wiki/datasets/stackup-registry.md,
RSU-0035,conventional-bop-on-wellhead,stack-up-drawing,drilling,,3000-4000m,,wikis/riser-projects/wiki/datasets/stackup-registry.md,
RSU-0036,conventional-bop-on-wellhead,stack-up-drawing,drilling,,3000-4000m,,wikis/riser-projects/wiki/datasets/stackup-registry.md,
RSU-0037,conventional-bop-on-wellhead,stack-up-drawing,drilling,,3000-4000m,,wikis/riser-projects/wiki/datasets/stackup-registry.md,
RSU-0038,conventional-bop-on-wellhead,as-planned-stackup,drilling,21,2000-3000m,semisub-10x250k-wireline,wikis/riser-projects/wiki/datasets/stackup-registry.md,
RSU-0039,conventional-bop-on-wellhead,joint-library,drilling,21,2000-3000m,semisub-10x250k-wireline,wikis/riser-projects/wiki/datasets/stackup-registry.md,
RSU-0040,conventional-bop-on-wellhead,as-planned-stackup,drilling,21,2000-3000m,semisub-10x250k-wireline,wikis/riser-projects/wiki/datasets/stackup-registry.md,
RSU-0041,conventional-bop-on-wellhead,as-planned-stackup,drilling,21,2000-3000m,semisub-10x250k-wireline,wikis/riser-projects/wiki/datasets/stackup-registry.md,
RSU-0042,sbop,as-planned-stackup,drilling,16,1000-1500m,,wikis/riser-projects/wiki/datasets/stackup-registry.md,
RSU-0043,sbop,stack-up-drawing,drilling,16,1000-1500m,,wikis/riser-projects/wiki/datasets/stackup-registry.md,
RSU-0044,slwr,as-planned-stackup,production,16,4000-5000m,,wikis/riser-projects/wiki/datasets/stackup-registry.md,
RSU-0045,slwr,component-library,production,,4000-5000m,,wikis/riser-projects/wiki/datasets/stackup-registry.md,
RSU-0046,slwr,as-planned-stackup,production,12.75,500-1000m,,wikis/riser-projects/wiki/datasets/stackup-registry.md,
RSU-0047,slwr,as-planned-stackup,production,6.625,500-1000m,,wikis/riser-projects/wiki/datasets/stackup-registry.md,
RSU-0048,slwr,as-planned-stackup,production,12.75,500-1000m,,wikis/riser-projects/wiki/datasets/stackup-registry.md,
RSU-0049,none,component-library,production,,500-1000m,,wikis/riser-projects/wiki/datasets/stackup-registry.md,
RSU-0050,ttr,as-planned-stackup,drilling,11.75,1500-2000m,,wikis/riser-projects/wiki/datasets/stackup-registry.md,
RSU-0051,ttr,component-library,production,11.75,1500-2000m,,wikis/riser-projects/wiki/datasets/stackup-registry.md,
RSU-0052,ttr,weight-table,production,11.75,1500-2000m,,wikis/riser-projects/wiki/datasets/stackup-registry.md,
RSU-0053,ttr,weight-table,workover,11.75,1500-2000m,,wikis/riser-projects/wiki/datasets/stackup-registry.md,
RSU-0054,ttr,as-planned-stackup,production,11.75,1500-2000m,,wikis/riser-projects/wiki/datasets/stackup-registry.md,
RSU-0055,workover-surface-stack,stack-up-drawing,workover,13.625,1500-2000m,,wikis/riser-projects/wiki/datasets/stackup-registry.md,
RSU-0056,workover-surface-stack,stack-up-drawing,workover,13.625,1500-2000m,,wikis/riser-projects/wiki/datasets/stackup-registry.md,
RSU-0057,ttr,component-library,workover,10.75,1500-2000m,,wikis/riser-projects/wiki/datasets/stackup-registry.md,
RSU-0058,ttr,stack-up-drawing,drilling,11.75,1500-2000m,,wikis/riser-projects/wiki/datasets/stackup-registry.md,
RSU-0059,riserless,joint-library,completion,7,0-500m,,wikis/riser-projects/wiki/datasets/stackup-registry.md,
RSU-0060,riserless,as-planned-stackup,completion,7.625,0-500m,,wikis/riser-projects/wiki/datasets/stackup-registry.md,
RSU-0061,riserless,component-library,completion,3.5,0-500m,,wikis/riser-projects/wiki/datasets/stackup-registry.md,
RSU-0062,riserless,as-planned-stackup,completion,4,0-500m,,wikis/riser-projects/wiki/datasets/stackup-registry.md,
RSU-0063,riserless,as-planned-stackup,completion,5.875,0-500m,,wikis/riser-projects/wiki/datasets/stackup-registry.md,
RSU-0064,riserless,stack-up-drawing,completion,7,0-500m,,wikis/riser-projects/wiki/datasets/stackup-registry.md,
RSU-0065,riserless,stack-up-drawing,completion,3.5,0-500m,,wikis/riser-projects/wiki/datasets/stackup-registry.md,
RSU-0066,riserless,as-planned-stackup,completion,7,0-500m,,wikis/riser-projects/wiki/datasets/stackup-registry.md,
RSU-0067,riserless,as-planned-stackup,completion,7.625,0-500m,,wikis/riser-projects/wiki/datasets/stackup-registry.md,
RSU-0068,riserless,as-planned-stackup,completion,2.875,0-500m,,wikis/riser-projects/wiki/datasets/stackup-registry.md,
RSU-0069,riserless,as-planned-stackup,completion,3.5,0-500m,,wikis/riser-projects/wiki/datasets/stackup-registry.md,
RSU-0070,none,component-library,intervention,,,,wikis/riser-projects/wiki/datasets/stackup-registry.md,
