item,fpso_owner,vessel_name,construction_type,first_production,award_date,cycle_time_months,fpso_operator,field_operator,contract_type,leased,lease_period_years,operating_water_depth_m,field_location,country,reserves_mmboe,topsides_detail_eng,hull_detail_eng,general_contractor,topsides_fab_yard,hull_fab_yard,conversion_integration,turret_supplier,total_wells,production_wells,gas_injection_wells,water_injection_wells,classification,length_m,width_m,depth_m,operating_draft_m,hull_construction,deadweight_dwt,original_hull_fab_yr,latest_integration_yr,max_oil_production_mbopd,gas_processing_mmscfd,total_throughput_mboepd,gas_injection_mmscfd,gas_export_mmscfd,production_water_mbpd,produced_water_mbwpd,water_injection_mbwpd,storage_capacity_mbbbls,total_risers,quarters_capacity,gas_deposition,flare_type,offloading_system,mooring_system_type,permanent_disconnectable,anchor_legs
11,,GLEN LYON,N,May-17,Jul-11,69.9,BP,BP,1,,,400.0,Schiehallion Quad 204,UK,,KBR,KBR,KBR,HHI,,HHI,,,,,,,270.0,52.0,,,DH,,,2016.0,320.0,220.0,357.0,,,,,,1000.0,,,,,SS,IT,,
12,BP,GREATER PLUTONIO,N,Oct-07,Feb-04,43.9,BP,BP,1,,,1350.0,"Block 18: Paladio, Plutonio, Platino, Galio, Cromio, Cobalto",Angola,1166.0,KBR,HHI,KBR,HHI,HHI,HHI,,43.0,20.0,3.0,20.0,BV,310.0,58.0,32.0,,DS,360000.0,2007.0,,240.0,400.0,307.0,90.0,,205.0,60.0,250.0,1770.0,24.0,75.0,I,FB,TS,SM,P,12.0
13,,PSVM FPSO,C,Dec-12,Jul-08,52.9,BP,BP,1,,,2000.0,"Block 31: Plutão, Saturno, Venus, Marte",Angola,,Toyo,MODEC,MODEC,Dyna-Mac,,Jurong,SOFEC,40.0,22.0,2.0,16.0,ABS,318.0,57.0,32.0,23.0,DH,296200.0,1996.0,2011.0,157.0,245.0,198.0,120.0,60.0,195.0,195.0,300.0,2000.0,18.0,140.0,LS,FT,TS,ET,P,12.0
14,,ARMADA KRAKEN,C,Jun-17,Sep-13,44.9,Bumi Armada,Bumi Armada Enquest,3,L,8.0,116.0,Kraken,UK,137.0,,,,,,Keppel,One Subsea,,,,,DNV,285.0,50.0,23.0,,DH,120943.0,2007.0,2016.0,80.0,20.0,83.0,,,,275.0,275.0,600.0,13.0,91.0,,,,IT,,
15,,ARMADA OLOMBENDO,C,Feb-17,Mar-14,35.0,Bumi Armada,Bumi Armada ENI,3,L,12.0,450.0,East Hub 15/06,Angola,211.0,,,,,,Keppel,One Subsea,9.0,,,,ABS,335.0,58.0,31.0,,DH,267268.0,1999.0,2016.0,80.0,120.0,100.0,100.0,20.0,,90.0,120.0,1700.0,18.0,100.0,,,,ET,,
16,,ARMADA PERDANA,C,Dec-09,Apr-08,20.0,Bumi Armada,Bumi Armada Erin Petroleum,3,L,7.0,350.0,Oyo,Nigeria,19.0,DPS,Bumi Armada Engineering,Bumi Armada Navigation,Keppel,,Keppel,,3.0,2.0,1.0,,ABS,309.0,46.0,23.0,,SH,156176.0,1984.0,2009.0,40.0,62.0,50.0,58.0,4.0,,9.0,15.0,1106.0,5.0,87.0,F,FB,SS,SM,P,12.0
17,Bumi Armada,ARMADA STERLING,C,Apr-13,Jun-11,22.0,Bumi Armada,Bumi Armada ONGC,3,L,7.0,91.0,D-1,India,,Bumi Armada Engineering,Bumi Armada Engineering,,Dyna-mac,,Keppel,Bumi Armada,,,,,ABS,247.0,42.0,21.0,,DH,110810.0,1997.0,2012.0,50.0,,50.0,,,,50.0,15.0,580.0,4.0,70.0,F,FB,TS,IT,P,9.0
18,,ARMADA STERLING II,C,Feb-15,Feb-13,23.9,Bumi Armada,Bumi Armada ONGC,3,L,9.0,84.0,D-1,India,72.0,Bumi Armada Engineering,Bumi Armada Engineering,SPCPL,Dynamac,,Keppel,Bumi Armada,,,,,ABS,247.0,42.0,21.0,,DH,97306.0,1999.0,2014.0,27.0,64.0,37.0,,,,15.0,25.0,510.0,7.0,70.0,,FT,,IT,P,
19,,ARMADA TGT1 (PERWIRA),C,Aug-11,Sep-09,22.9,Bumi Armada,Bumi Armada Hoang Long Joint Operating Company,3,L,7.0,47.0,Te Giac Trang,Vietnam,,Bumi Armada Engineering,Bumi Armada Engineering,Bumi Armada Berhad,Dyna-mac,,Keppel,SOFEC,,,,,ABS,336.0,48.0,23.0,,DH,112323.0,1996.0,2011.0,55.0,100.0,72.0,,,,75.0,85.0,620.0,7.0,100.0,F,,TS,ET,P,1.0
20,,KARAPAN STERLING III,C,May-17,Aug-14,32.9,Bumi Armada,Bumi Armada Husky/CNOOC,3,L,10.0,55.0,Madura BD,Indonesia,,,,,,,Keppel,One Subsea,,,,,ABS,247.0,42.0,21.0,,DH,107160.0,1999.0,2017.0,8.0,121.0,28.0,,,,2.0,,370.0,,80.0,,,,SM,P,12.0
21,,ABO,C,Apr-03,,,BW Offshore,BW Offshore ENI,3,L,20.0,550.0,Abo,Nigeria,82.0,BW Offshore,BW Offshore,BW Offshore,GSI,,Keppel,,9.0,5.0,2.0,2.0,DNV,269.0,54.0,20.0,15.0,DS,155612.0,1976.0,2002.0,44.0,48.0,52.0,46.0,,11.0,6.0,33.0,930.0,8.0,66.0,I,FB,TS,SM,P,12.0
22,,BW ADOLO (AZURITE),C,Dec-18,Jul-17,17.0,BW Offshore,BW Ofshore Offshore,3,L,5.0,115.0,Dussafu Ruche,Gabon,71.0,,,BW Offshore,,,Keppel,,2.0,2.0,,,DNV,312.0,56.0,30.0,18.0,SH,259999.0,1988.0,2017.0,40.0,18.0,43.0,,,,,60.0,1350.0,,120.0,,FB,TS,SM,P,12.0
23,,BW CATCHER,N,Dec-17,Dec-13,47.9,BW Offshore,BW Offshore Premier Oil,3,L,7.0,91.0,Catcher,UK,300.0,Aibel,BW Offshore,BW Offshore,Keppel,IHI,,NOV/APL,22.0,14.0,,8.0,DNV,240.0,50.0,27.0,,DH,,,,60.0,60.0,70.0,,,,,125.0,650.0,,120.0,"F,S,L",FB,TS,IT,P,12.0
24,,BW CIDADE DE SAO VICENTE,C,Mar-09,Jun-08,9.0,BW Offshore,BW Offshore Petrobras,3,L,10.0,2200.0,"Early production, various fields - incl. Sapinhoa, Lula",Brazil,2000.0,M7 Offshore,Inocean,BW Offshore,,,Keppel,SOFEC,3.0,3.0,,,DNV,254.0,44.0,23.0,14.0,SH,135510.0,1975.0,2009.0,30.0,30.0,35.0,18.0,,14.0,,,470.0,4.0,80.0,"F,S",FB,TB,ET,D,7.0
25,,BW JOKO TOLE,C,Jun-12,Sep-10,21.0,BW Offshore,BW Offshore Kangean Energy Indonesia,3,L,10.0,300.0,Terang Sirasun Batur,Indonesia,119.0,VME,,,,,Sembawang,,5.0,5.0,,,ABS / BKI,247.0,42.0,20.0,,SH,97127.0,1988.0,2011.0,7.0,340.0,64.0,,,,,,200.0,5.0,80.0,F,FB,TB,SM,P,10.0
26,,BW PIONEER,C,Feb-12,Oct-07,51.9,BW Offshore,BW Offshore Petrobras,3,L,8.0,2600.0,Cascade & Chinook,US GOM,500.0,DPS,Coast Design/Inocean,BW Offshore,Alliance,,Keppel,APL,4.0,4.0,,,DNV,242.0,42.0,20.0,14.0,SH,96828.0,1992.0,2010.0,80.0,16.0,83.0,,16.0,,,,600.0,5.0,80.0,"F,S",FB,TS,IT,D,11.0
27,BW OFFSHORE,ESPOIR IVOIRIEN,C,Feb-02,Jan-97,60.9,BW Offshore,BW Offshore CNR,3,L,20.0,120.0,Espoir,Cote d'Ivoir,,BW Offshore,BW Offshore,BW Offshore,GSI,,Keppel (Tuas),BW Offshore,12.0,10.0,,2.0,DNV,269.0,54.0,20.0,15.0,SH,155000.0,1975.0,2001.0,45.0,80.0,58.0,,,,,60.0,1100.0,10.0,66.0,"S,L",FB,TS,IT,P,6.0
28,,POLVO,C,Jul-07,,,BW Offshore,BW Offshore Petrorio,3,L,11.0,100.0,Polvo,Brazil,50.0,ABB,BW Offshore,BW Offshore,Dynamac,,Keppel,BW Offshore,,,,,DNV,325.0,55.0,28.0,17.0,SH,264631.0,1980.0,2007.0,90.0,8.0,91.0,,,135.0,135.0,100.0,1600.0,6.0,75.0,F,FB,TS,IT,P,6.0
29,,PETROLEO NAUTIPA,C,Sep-02,,,BW Offshore,BW Offshore Vaalco Energy,3,L,18.0,142.0,Etame,Gabon,23.0,Prosafe/GSI,BW Offshore,BW Offshore,BW Offshore/GSI,,Keppel,,4.0,4.0,,,DNV,256.0,44.0,23.0,16.0,SH,141330.0,1975.0,2002.0,35.0,3.0,36.0,,,10.0,10.0,,1080.0,18.0,70.0,F,FB,TS,SM,P,8.0
30,,SENDJE BERGE,C,Mar-05,,,BW Offshore,BW Offshore Addax /Sinopec,3,L,16.0,140.0,"Okwori, Okwori South",Nigeria,40.0,ABB,Inocean,BW Offshore,ABB,,Jurong,,15.0,14.0,1.0,,DNV,350.0,52.0,27.0,22.0,SH,274333.0,1974.0,2004.0,50.0,55.0,59.0,55.0,,,42.0,,2000.0,9.0,100.0,"F, I",FB,T,SM,P,12.0
31,,UMUROA,C,Jul-07,,,BW Offshore,BW Offshore Tamarind,3,L,15.0,120.0,Tui,New Zealan,,ABB,BW Offshore,BW Offshore,Dynamac,,Keppel (Tuas),Prosafe,4.0,4.0,,,DNV,232.0,46.0,23.0,15.0,SH,118095.0,1980.0,2007.0,50.0,25.0,54.0,,25.0,,118.0,,775.0,12.0,60.0,"F, L",FB,TS,IT,P,9.0
32,,YÙUM K'AK' NÁAB,C,Jun-07,,,BW Offshore,BW Offshore PEMEX,3,L,15.0,100.0,Ku-Maloob-Zaap,Mexico,4900.0,Various,Inocean,BW Offshore,,,Sembawang,APL,,,,,DNV,325.0,65.0,32.0,23.0,SH,360700.0,1981.0,2007.0,200.0,120.0,220.0,,,,,,2200.0,8.0,110.0,"S,L,I",FB,TS,IT,P,12.0
33,,AGBAMI,N,Jul-08,Dec-04,42.9,Chevron,Star Deepwater JV NNPC,2,,,1462.0,"Agbami OPL 216, 217",Nigeria,770.0,KBR,DSME,DSME,DSME,Daewoo,Daewoo,SBM Offshore,37.0,20.0,6.0,12.0,ABS,319.0,58.0,32.0,,DH,337859.0,2008.0,,250.0,212.0,285.0,,,,,,1800.0,,,,,,,,
34,,CAPTAIN,N,Dec-96,,,Chevron,Chevron,1,,,104.0,"Captain A, B, C",UK,350.0,ABB,Astano,ABB/Astano/Techni p/UiE,Astano,Astano,Astano,Seanor,36.0,16.0,,5.0,DNV,214.0,38.0,24.0,18.0,DH,115829.0,1996.0,,37.0,,37.0,,,,,,849.0,3.0,60.0,,FB,TS,ET,P,9.0
35,CHEVRON,FRADE,C,Jun-09,Dec-06,29.9,Chevron,Chevron,1,,,1080.0,Frade BC-4,Brazil,,SBM Offshore,SBM Offshore,SBM Offshore,Various,,DDD,SBM Offshore,20.0,12.0,,7.0,ABS,337.0,55.0,27.0,21.0,SH,273500.0,1976.0,2009.0,100.0,106.0,118.0,,86.0,,130.0,150.0,1861.0,18.0,120.0,"S, L",FB,TS,IT,P,9.0
36,,SANHA LPG FPSO,N,Apr-05,May-02,35.0,Chevron / Cabinda Oil,Chevron,1,,,58.0,Sanha-Bomboco,Angola,,SBMO,SBMO,SBMO,Various,IHI,IHI,SBM Offshore,,,,,ABS,264.0,49.0,29.0,13.0,DH/DS,94000.0,2001.0,,,125.0,21.0,,,,,,362.0,4.0,90.0,,FB,SS,ET,P,9.0
37,,TANTAWAN EXPLORER,C,Feb-97,,,Chevron,Chevron,1,,,74.0,Tantawan,Thailand,,SBMO/Alliance Engr.,SBM Offshore,SBM Offshore,Various,,Sembawang,SBM Offshore,,,,,ABS,284.0,43.0,21.0,16.0,SH,136960.0,1976.0,1996.0,50.0,150.0,75.0,,150.0,25.0,25.0,,1000.0,7.0,100.0,S,FB,TS,ET,P,6.0
38,,BOHAI SHI JI (BOHAI CENTURY),C,Oct-01,,,CNOOC,CNOOC,1,,,20.0,Quinhuangdao 32-6,China,155.0,COOEC,MARIC,Dalian,COOEC/Dalian,Dalian,Dalian,SOFEC,163.0,,,,DNV,101.0,21.0,12.0,,,8346.0,,,12.0,3.0,13.0,,,3.0,,,390.0,,47.0,,,TS,JSY,P,
39,,BOHAI YOU YI HAO,C,Nov-04,,,CNOOC,CNOOC,1,,,22.0,Bozhong 28-1,China,191.0,NATCO,SBM Offshore,,NATCO,Hudong,Hudong,SBM Offshore,,,,,ABS,290.0,51.0,24.0,,,190000.0,1977.0,2011.0,70.0,,70.0,,,,,,1100.0,4.0,110.0,,,TS,T,P,
40,,HAI YANG SHI YOU 102,C,Mar-09,,,CNOOC,CNOOC,1,,,20.0,Bozhong 34/1,China,83.0,,Bohai Oil Corp./SBM,,MHI,Shanghai Hudong,Hudong,SBM Offshore,,,,,CCS,215.0,31.0,18.0,,,53071.0,,1990.0,12.0,3.0,13.0,,,3.0,,,390.0,,,F,FB,TS,JSY,D,
41,,HAI YANG SHI YOU 111,N,Oct-03,#NUM!,,CNOOC,CNOOC,1,,,110.0,"Panyu 4/2, 5/1",China,90.0,Shang Hai 708 Institute,,CNOOC/Nanhai West Oil Corp.,,Waigaogiao,Waigaigiao,APL,26.0,,,,CCS,262.0,46.0,24.0,17.0,DS,150000.0,2002.0,,72.0,15.0,75.0,19.0,,,,160.0,1000.0,,130.0,,FB,TS,SAL Yoke,D,
42,,HAI YANG SHI YOU 112,N,Jul-04,,,CNOOC,CNOOC Anadarko,1,,,24.0,"Caofeidian 11-1, 11-2, 11-3, 11-5",China,81.0,CNOOC,Dalian,,CNOOC Engr.,Dalian,Dalian,APL,33.0,,,,DNV,277.0,51.0,24.0,16.0,D,159064.0,2003.0,,50.0,45.0,58.0,43.0,,72.0,,,1400.0,9.0,63.0,S,FB,TS,ET,D,6.0
43,,HAI YANG SHI YOU 113,N,Aug-04,,,CNOOC,Chevron CNOOC,1,,,22.0,Bozhong 25-1,China,300.0,CNOOC,Shanghai,,CNOOC Engr.,Waigaogiao,Shanghai Jiangan,SBM Offshore,84.0,,,,DNV,272.0,51.0,21.0,14.0,D,150000.0,2003.0,,190.0,,190.0,,,,,,800.0,,,,,,SAL Yoke,D,
44,CNOOC,HAI YANG SHI YOU 117,N,Sep-08,Dec-04,44.9,CNOOC,ConocoPhillips,1,,,25.0,Penglai Block 19-3 (Phase 2),China,500.0,Fluor,MDRI of China,,Sembawang / SMOE,Waigaogiao,Waigaigiao,Bluewater,,,,,DNV,323.0,63.0,29.0,,,286480.0,2008.0,,190.0,,190.0,,,,,,1800.0,,,,,,TSY,D,
45,,HAI YANG SHI YOU 118,N,Oct-14,,,CNOOC,CNOOC,1,,,87.0,"Enping 24-2, Pearl River",China,,,,,,Dalian Shipbuilding,,,,,,,DNV,267.0,,51.0,,DH,,2014.0,,56.0,,56.0,,,,,,1000.0,,,,,,STP,P,
46,,NAN HAI ENDEAVOR (FEN JIN HAO),C,Jul-02,,,CNOOC,CNOOC,1,,,120.0,"Wenchang 13-1, 13-2",China,3.0,,,,,,,APL,,,,,BV,262.0,46.0,25.0,,,153675.0,,2002.0,80.0,,80.0,,,,,60.0,1000.0,4.0,,,GF,,IT,D,
47,,NAN HAI SHENG LI,C,Mar-96,,,CNOOC,CNOOC,1,L,,305.0,Liuhua 11-1,China,,,MODEC,MODEC,,,Jurong,SOFEC,,,,,ABS,267.0,44.0,23.0,,,132100.0,1975.0,1996.0,65.0,5.0,66.0,,,,,,650.0,3.0,,,,,IT,P,10.0
48,,NAN HAI FA XIAN,C,Nov-94,,,CNOOC,CNOOC CACT,1,,,100.0,Huizhou 19-3-1,China,,SBMO,,SBMO,,,Sembawang,SBM Offshore,,,,,ABS,349.0,52.0,26.0,20.0,SH,254012.0,1976.0,1989.0,80.0,6.0,81.0,,,,50.0,60.0,1600.0,3.0,90.0,I,GF,TS,IT,D,
49,,WENCHANG II (HAI YANG SHI YOU 116),N,Jun-08,,,CNOOC,CNOOC,1,,,135.0,Wenchang,China,83.0,COOEC,,,,Qingdao Beihai,Qingdao Beihai,APL,26.0,,,,CCS,217.0,46.0,24.0,,,120000.0,2006.0,,100.0,,100.0,,,,,,1000.0,1.0,,,,,STP,P,9.0
50,,XIJIANG (HAI YANG SHI YOU 115),N,Aug-08,,,CNOOC,CNOOC,1,,,90.0,Xijiang 23-1,China,40.0,COOEC,,,,Qingdao Beihai,Qingdao Beihai,APL,,,,,CCS,235.0,46.0,24.0,16.0,,100000.0,2006.0,,100.0,500.0,183.0,200.0,430.0,50.0,,,700.0,9.0,120.0,"S, I",FB,CB,STP,P,14.0
51,DANA,TRITON,N,Jun-05,,,Dana Petroleum,Dana Petroleum,1,,,90.0,"Central Graben, Block 21/30, Guillemot Fields",UK,15.0,Kvaerner Oil & Gas,Kvaerner Oil & Gas,Kvaerner Oil & Gas,Sembawang,Samsung,Samsung,Bluewater/Lewis Offshore,11.0,8.0,1.0,2.0,,244.0,42.0,21.0,,DH,105000.0,1999.0,,200.0,260.0,243.0,,,,250.0,450.0,2200.0,,,,,CB,SM,P,12.0
52,PETROLEUM,WESTERN ISLES FPSO,N,Nov-17,Jul-12,63.9,Dana Petroleum,Dana Petroleum,1,,,165.0,Harris/Barra,UK,45.0,Sevan Marine,Sevan Marine,Sevan Marine,,COSCO,,,,5.0,,4.0,DNV,,,,,DH,,,,44.0,32.0,49.0,,,,,,400.0,17.0,70.0,,FB,,SM,P,12.0
53,DPI,DYNAMIC PRODUCER (PIPA-2),C,Oct-11,Mar-07,54.9,DPI,DPI Petrobras,3,L,,2500.0,Carioca NE,Brazil,,Dyna-mac/ Petreco,Sembawang,DPI,Dyna-mac/ Petreco,,Sembawang,,1.0,,,,DNV,101.0,21.0,12.0,,,8346.0,,,30.0,,30.0,,,,10.0,,300.0,1.0,28.0,F,FT,TB,DP,D,0.0
54,DOMO ENERGIA,OSX-3,C,Dec-13,,,Domo Energia (formerly OSX),OSX Leasing Domo Energia,2,L,20.0,110.0,BM-C-39 Campos Basin,Brazil,,MODEC,MODEC,MODEC,Various,,Jurong,SOFEC,,,,,ABS,,,,,,,,2013.0,100.0,,100.0,,,,,150.0,1300.0,,,,,FS,ET,P,
55,,FIRENZE FPSO,C,Mar-98,,,ENI,Saipem ENI,2,L,,800.0,Aquila,Italy,20.0,,,Saipem,,,,,,,,,RINA,268.0,42.0,21.0,,,110000.0,1989.0,2011.0,12.0,7.2,13.0,,,,,,700.0,,,"S, L",GF,,ET,P,8.0
56,ENI,GOLIAT,N,Mar-16,May-09,81.8,ENI,ENI Norge,1,,,380.0,"Goliat, Barents Sea",Norway,174.0,Sevan Marine,Sevan Marine,Sevan Marine,,,,,,,,,,,,170.0,31.0,,,2014.0,,110.0,135.0,133.0,4.0,,,,,1000.0,25.0,120.0,,FB,,SM,P,14.0
57,ENQUEST,ENQUEST PRODUCER,C,Oct-15,Nov-11,46.9,Enquest,Enquest,1,,,150.0,Alma/Galia,UK,,,,,,,OGN,,,,,,,248.0,39.0,,,,,1983.0,2015.0,120.0,,,,,,,,600.0,,,,,,IT,,
58,EQUINOR,ÅSGARD A,N,May-99,,,EQUINOR,EQUINOR EQUINOR/Saga,1,,,300.0,Åsgard,Norway,2000.0,Aker/ABB,Maritime Tentech,Aker Stord,Aker Stord,Hitachi,Hitachi,SBM Offshore,57.0,,,,DNV,278.0,45.0,27.0,19.0,DH,177808.0,1998.0,2010.0,200.0,,200.0,,,,,,920.0,,,,,,,,
59,,NORNE,N,Nov-97,,,EQUINOR,EQUINOR,1,,,380.0,Norne,Norway,,Kvaerner Rosenberg,Tentech,Aker Kvaerner,Kvaerner Rosenberg,Keppel FELS,Keppel,Kvaerner Rosenberg/SBMO,19.0,,,,DNV,260.0,41.0,25.0,19.0,DH,10000.0,1997.0,,225.0,250.0,267.0,,,,,,720.0,,240.0,,,,IT,P,
60,,PEREGRINO,C,Apr-11,,,EQUINOR,EQUINOR,1,,,100.0,Peregrino,Brazil,500.0,J Ray McDermott,Cosco Dalian,Maersk,,,Keppel,APL,37.0,30.0,,7.0,LR,345.0,58.0,31.0,21.0,DH,277450.0,2008.0,2010.0,100.0,13.0,102.0,,12.0,,233.0,300.0,1600.0,6.0,100.0,"F,L",FB,TB,IT,D,10.0
61,EXXON / ESSO,BALDER,N,Sep-99,,,Esso Norge,ExxonMobil,1,,,125.0,Balder/Ringhorne,Norway,171.0,,,Smedvig,,Smedvig,,,16.0,12.0,1.0,3.0,,211.0,36.0,,,DH,,1995.0,2005.0,110.0,,110.0,,,,,,380.0,,60.0,,,TS,RTM,P,10.0
62,,ERHA,C,Apr-06,,,ExxonMobil,Esso ExxonMobil,1,,,1180.0,Niger Delta OPL 209,Nigeria,1000.0,,,,SMOE/Sembawang,HHI,HHI,,25.0,,,,ABS,290.0,51.0,24.0,,,190000.0,1977.0,2011.0,250.0,400.0,317.0,,,,,,2200.0,,,,,,SM,,
63,,"KIZOMBA ""A""",N,Aug-04,,,ExxonMobil,ExxonMobil,1,,,1180.0,"Block 15 - Hungo, Chocalho",Angola,1000.0,Fluor,,Fluor/AMEC Alliance,HHI,IHI,IHI,SOFEC,,,,,DNV,285.0,63.0,32.0,24.0,DH,375000.0,2005.0,,250.0,400.0,317.0,,,,,,2200.0,,,,,,SM,,
64,,"KIZOMBA ""B""",N,Jul-05,,,ExxonMobil,ExxonMobil,1,,,1016.0,"Block 15 - Kissanje, Dikanza",Angola,1000.0,AMEC,,,HHI,IHI,IHI,SOFEC,,,,,DNV,285.0,60.0,32.0,24.0,DH,340660.0,2005.0,,100.0,150.0,125.0,150.0,,180.0,,270.0,940.0,15.0,80.0,I,FT,TS,IT,D,9.0
65,,SERPENTINA,C,Jul-03,,,ExxonMobil,SBM Offshore ExxonMobil,2,,,475.0,Zafiro Southern Expansion Area,Eq Guinea,994.0,SBM Offshore,SBM Offshore,SBM Offshore,Various,,Keppel,SBM Offshore,20.0,15.0,,5.0,ABS,362.0,56.0,29.0,22.0,SH,397355.0,1974.0,2002.0,110.0,160.0,137.0,150.0,50.0,150.0,50.0,150.0,2140.0,9.0,100.0,I,FT,TS,ET,P,9.0
66,,ZAFIRO PRODUCER,C,Aug-96,,,ExxonMobil,ExxonMobil ExxonMobil/GEPetr ol,1,,,180.0,Zafiro Block B,Eq Guinea,993.0,Wood Group Mustang,Oceaneering Int'l,Oceaneering Int'l,Various,,Ham Marine,,38.0,,,,ABS,331.0,56.0,27.0,20.0,SH,263933.0,1973.0,1999.0,80.0,60.0,90.0,45.0,,40.0,35.0,100.0,1900.0,8.0,150.0,I,"FB,FF",TB,SM,P,12.0
