vessel_type,displacement,heading,CXw,CYw,CMw,CXc,CYc,CMc,vessel_name,loa,beam,draft
Suezmax,160000,10,0.815,0.132,0.015,0.905,0.155,0.020,MT Nordic Voyager,274.0,48.0,16.8
Suezmax,160000,20,0.762,0.255,0.030,0.845,0.292,0.038,MT Nordic Voyager,274.0,48.0,16.8
Suezmax,160000,30,0.685,0.368,0.058,0.758,0.418,0.072,MT Nordic Voyager,274.0,48.0,16.8
Suezmax,160000,40,0.588,0.472,0.088,0.645,0.535,0.105,MT Nordic Voyager,274.0,48.0,16.8
Suezmax,160000,50,0.475,0.562,0.120,0.515,0.638,0.140,MT Nordic Voyager,274.0,48.0,16.8
Suezmax,160000,60,0.352,0.638,0.150,0.375,0.722,0.172,MT Nordic Voyager,274.0,48.0,16.8
Suezmax,160000,70,0.225,0.702,0.175,0.238,0.785,0.198,MT Nordic Voyager,274.0,48.0,16.8
Suezmax,160000,80,0.102,0.748,0.195,0.112,0.828,0.218,MT Nordic Voyager,274.0,48.0,16.8
Suezmax,160000,90,-0.008,0.782,0.208,-0.005,0.855,0.232,MT Nordic Voyager,274.0,48.0,16.8
Suezmax,160000,100,-0.108,0.798,0.212,-0.105,0.865,0.235,MT Nordic Voyager,274.0,48.0,16.8
Suezmax,160000,110,-0.202,0.802,0.208,-0.202,0.858,0.228,MT Nordic Voyager,274.0,48.0,16.8
Suezmax,160000,120,-0.285,0.788,0.192,-0.288,0.838,0.215,MT Nordic Voyager,274.0,48.0,16.8
Suezmax,160000,130,-0.355,0.762,0.165,-0.362,0.805,0.188,MT Nordic Voyager,274.0,48.0,16.8
Suezmax,160000,140,-0.412,0.722,0.132,-0.422,0.758,0.152,MT Nordic Voyager,274.0,48.0,16.8
Suezmax,160000,150,-0.455,0.668,0.092,-0.468,0.698,0.112,MT Nordic Voyager,274.0,48.0,16.8
Suezmax,160000,160,-0.485,0.602,0.045,-0.502,0.628,0.068,MT Nordic Voyager,274.0,48.0,16.8
Suezmax,160000,170,-0.505,0.522,0.002,-0.525,0.545,0.022,MT Nordic Voyager,274.0,48.0,16.8
Suezmax,160000,180,-0.515,0.428,-0.045,-0.538,0.448,-0.028,MT Nordic Voyager,274.0,48.0,16.8
Suezmax,160000,190,-0.505,0.522,-0.002,-0.525,0.545,-0.022,MT Nordic Voyager,274.0,48.0,16.8
Suezmax,160000,200,-0.485,0.602,-0.045,-0.502,0.628,-0.068,MT Nordic Voyager,274.0,48.0,16.8
Suezmax,160000,210,-0.455,0.668,-0.092,-0.468,0.698,-0.112,MT Nordic Voyager,274.0,48.0,16.8
Suezmax,160000,220,-0.412,0.722,-0.132,-0.422,0.758,-0.152,MT Nordic Voyager,274.0,48.0,16.8
Suezmax,160000,230,-0.355,0.762,-0.165,-0.362,0.805,-0.188,MT Nordic Voyager,274.0,48.0,16.8
Suezmax,160000,240,-0.285,0.788,-0.192,-0.288,0.838,-0.215,MT Nordic Voyager,274.0,48.0,16.8
Suezmax,160000,250,-0.202,0.802,-0.208,-0.202,0.858,-0.228,MT Nordic Voyager,274.0,48.0,16.8
Suezmax,160000,260,-0.108,0.798,-0.212,-0.105,0.865,-0.235,MT Nordic Voyager,274.0,48.0,16.8
Suezmax,160000,270,-0.008,0.782,-0.208,-0.005,0.855,-0.232,MT Nordic Voyager,274.0,48.0,16.8
Suezmax,160000,280,0.102,0.748,-0.195,0.112,0.828,-0.218,MT Nordic Voyager,274.0,48.0,16.8
Suezmax,160000,290,0.225,0.702,-0.175,0.238,0.785,-0.198,MT Nordic Voyager,274.0,48.0,16.8
Suezmax,160000,300,0.352,0.638,-0.150,0.375,0.722,-0.172,MT Nordic Voyager,274.0,48.0,16.8
Suezmax,160000,310,0.475,0.562,-0.120,0.515,0.638,-0.140,MT Nordic Voyager,274.0,48.0,16.8
Suezmax,160000,320,0.588,0.472,-0.088,0.645,0.535,-0.105,MT Nordic Voyager,274.0,48.0,16.8
Suezmax,160000,330,0.685,0.368,-0.058,0.758,0.418,-0.072,MT Nordic Voyager,274.0,48.0,16.8
Suezmax,160000,340,0.762,0.255,-0.030,0.845,0.292,-0.038,MT Nordic Voyager,274.0,48.0,16.8
Suezmax,160000,350,0.815,0.132,-0.015,0.905,0.155,-0.020,MT Nordic Voyager,274.0,48.0,16.8
Aframax,115000,0,0.822,0.000,0.000,0.918,0.000,0.000,MT Atlantic Express,245.0,42.5,14.8
Aframax,115000,10,0.795,0.125,0.013,0.885,0.148,0.018,MT Atlantic Express,245.0,42.5,14.8
Aframax,115000,20,0.742,0.242,0.027,0.825,0.278,0.035,MT Atlantic Express,245.0,42.5,14.8
Aframax,115000,30,0.665,0.348,0.052,0.738,0.395,0.065,MT Atlantic Express,245.0,42.5,14.8
Aframax,115000,40,0.568,0.445,0.082,0.625,0.505,0.098,MT Atlantic Express,245.0,42.5,14.8
Aframax,115000,50,0.455,0.532,0.112,0.495,0.605,0.132,MT Atlantic Express,245.0,42.5,14.8
Aframax,115000,60,0.332,0.605,0.140,0.355,0.688,0.162,MT Atlantic Express,245.0,42.5,14.8
Aframax,115000,70,0.205,0.665,0.165,0.218,0.752,0.188,MT Atlantic Express,245.0,42.5,14.8
Aframax,115000,80,0.082,0.712,0.185,0.092,0.798,0.208,MT Atlantic Express,245.0,42.5,14.8
Aframax,115000,90,-0.028,0.748,0.198,-0.025,0.828,0.222,MT Atlantic Express,245.0,42.5,14.8
Aframax,115000,100,-0.128,0.768,0.202,-0.125,0.842,0.225,MT Atlantic Express,245.0,42.5,14.8
Aframax,115000,110,-0.222,0.775,0.198,-0.222,0.838,0.218,MT Atlantic Express,245.0,42.5,14.8
Aframax,115000,120,-0.305,0.768,0.182,-0.308,0.822,0.205,MT Atlantic Express,245.0,42.5,14.8
Aframax,115000,130,-0.375,0.748,0.158,-0.382,0.792,0.178,MT Atlantic Express,245.0,42.5,14.8
Aframax,115000,140,-0.432,0.715,0.125,-0.442,0.748,0.145,MT Atlantic Express,245.0,42.5,14.8
Aframax,115000,150,-0.475,0.668,0.085,-0.488,0.692,0.105,MT Atlantic Express,245.0,42.5,14.8
Aframax,115000,160,-0.505,0.608,0.042,-0.522,0.625,0.062,MT Atlantic Express,245.0,42.5,14.8
Aframax,115000,170,-0.525,0.535,-0.002,-0.545,0.548,0.018,MT Atlantic Express,245.0,42.5,14.8
Aframax,115000,180,-0.535,0.448,-0.048,-0.558,0.458,-0.032,MT Atlantic Express,245.0,42.5,14.8
Aframax,115000,190,-0.525,0.535,0.002,-0.545,0.548,-0.018,MT Atlantic Express,245.0,42.5,14.8
Aframax,115000,200,-0.505,0.608,-0.042,-0.522,0.625,-0.062,MT Atlantic Express,245.0,42.5,14.8
Aframax,115000,210,-0.475,0.668,-0.085,-0.488,0.692,-0.105,MT Atlantic Express,245.0,42.5,14.8
Aframax,115000,220,-0.432,0.715,-0.125,-0.442,0.748,-0.145,MT Atlantic Express,245.0,42.5,14.8
Aframax,115000,230,-0.375,0.748,-0.158,-0.382,0.792,-0.178,MT Atlantic Express,245.0,42.5,14.8
Aframax,115000,240,-0.305,0.768,-0.182,-0.308,0.822,-0.205,MT Atlantic Express,245.0,42.5,14.8
Aframax,115000,250,-0.222,0.775,-0.198,-0.222,0.838,-0.218,MT Atlantic Express,245.0,42.5,14.8
Aframax,115000,260,-0.128,0.768,-0.202,-0.125,0.842,-0.225,MT Atlantic Express,245.0,42.5,14.8
Aframax,115000,270,-0.028,0.748,-0.198,-0.025,0.828,-0.222,MT Atlantic Express,245.0,42.5,14.8
Aframax,115000,280,0.082,0.712,-0.185,0.092,0.798,-0.208,MT Atlantic Express,245.0,42.5,14.8
Aframax,115000,290,0.205,0.665,-0.165,0.218,0.752,-0.188,MT Atlantic Express,245.0,42.5,14.8
Aframax,115000,300,0.332,0.605,-0.140,0.355,0.688,-0.162,MT Atlantic Express,245.0,42.5,14.8
Aframax,115000,310,0.455,0.532,-0.112,0.495,0.605,-0.132,MT Atlantic Express,245.0,42.5,14.8
Aframax,115000,320,0.568,0.445,-0.082,0.625,0.505,-0.098,MT Atlantic Express,245.0,42.5,14.8
Aframax,115000,330,0.665,0.348,-0.052,0.738,0.395,-0.065,MT Atlantic Express,245.0,42.5,14.8
Aframax,115000,340,0.742,0.242,-0.027,0.825,0.278,-0.035,MT Atlantic Express,245.0,42.5,14.8
Aframax,115000,350,0.795,0.125,-0.013,0.885,0.148,-0.018,MT Atlantic Express,245.0,42.5,14.8
LNG_Carrier,95000,0,0.765,0.000,0.000,0.885,0.000,0.000,LNG Pacific Dream,288.0,44.2,11.4
LNG_Carrier,95000,10,0.738,0.115,0.012,0.852,0.138,0.016,LNG Pacific Dream,288.0,44.2,11.4
LNG_Carrier,95000,20,0.685,0.225,0.024,0.792,0.258,0.032,LNG Pacific Dream,288.0,44.2,11.4
LNG_Carrier,95000,30,0.608,0.325,0.045,0.708,0.368,0.058,LNG Pacific Dream,288.0,44.2,11.4
LNG_Carrier,95000,40,0.512,0.418,0.072,0.602,0.468,0.088,LNG Pacific Dream,288.0,44.2,11.4
LNG_Carrier,95000,50,0.402,0.502,0.098,0.482,0.558,0.118,LNG Pacific Dream,288.0,44.2,11.4
LNG_Carrier,95000,60,0.282,0.572,0.125,0.352,0.635,0.145,LNG Pacific Dream,288.0,44.2,11.4
LNG_Carrier,95000,70,0.158,0.628,0.148,0.218,0.698,0.168,LNG Pacific Dream,288.0,44.2,11.4
LNG_Carrier,95000,80,0.038,0.672,0.165,0.088,0.748,0.185,LNG Pacific Dream,288.0,44.2,11.4
LNG_Carrier,95000,90,-0.072,0.705,0.175,-0.032,0.785,0.195,LNG Pacific Dream,288.0,44.2,11.4
LNG_Carrier,95000,100,-0.172,0.728,0.178,-0.142,0.808,0.198,LNG Pacific Dream,288.0,44.2,11.4
LNG_Carrier,95000,110,-0.262,0.738,0.172,-0.242,0.818,0.192,LNG Pacific Dream,288.0,44.2,11.4
LNG_Carrier,95000,120,-0.342,0.735,0.158,-0.332,0.815,0.178,LNG Pacific Dream,288.0,44.2,11.4
LNG_Carrier,95000,130,-0.412,0.718,0.135,-0.412,0.798,0.155,LNG Pacific Dream,288.0,44.2,11.4
LNG_Carrier,95000,140,-0.468,0.688,0.105,-0.478,0.768,0.125,LNG Pacific Dream,288.0,44.2,11.4
LNG_Carrier,95000,150,-0.512,0.645,0.068,-0.528,0.725,0.088,LNG Pacific Dream,288.0,44.2,11.4
LNG_Carrier,95000,160,-0.542,0.588,0.028,-0.562,0.668,0.048,LNG Pacific Dream,288.0,44.2,11.4
LNG_Carrier,95000,170,-0.562,0.518,-0.015,-0.585,0.598,0.005,LNG Pacific Dream,288.0,44.2,11.4
LNG_Carrier,95000,180,-0.572,0.435,-0.058,-0.598,0.515,-0.042,LNG Pacific Dream,288.0,44.2,11.4
LNG_Carrier,95000,190,-0.562,0.518,0.015,-0.585,0.598,-0.005,LNG Pacific Dream,288.0,44.2,11.4
LNG_Carrier,95000,200,-0.542,0.588,-0.028,-0.562,0.668,-0.048,LNG Pacific Dream,288.0,44.2,11.4
LNG_Carrier,95000,210,-0.512,0.645,-0.068,-0.528,0.725,-0.088,LNG Pacific Dream,288.0,44.2,11.4
LNG_Carrier,95000,220,-0.468,0.688,-0.105,-0.478,0.768,-0.125,LNG Pacific Dream,288.0,44.2,11.4
LNG_Carrier,95000,230,-0.412,0.718,-0.135,-0.412,0.798,-0.155,LNG Pacific Dream,288.0,44.2,11.4
LNG_Carrier,95000,240,-0.342,0.735,-0.158,-0.332,0.815,-0.178,LNG Pacific Dream,288.0,44.2,11.4
LNG_Carrier,95000,250,-0.262,0.738,-0.172,-0.242,0.818,-0.192,LNG Pacific Dream,288.0,44.2,11.4
LNG_Carrier,95000,260,-0.172,0.728,-0.178,-0.142,0.808,-0.198,LNG Pacific Dream,288.0,44.2,11.4
LNG_Carrier,95000,270,-0.072,0.705,-0.175,-0.032,0.785,-0.195,LNG Pacific Dream,288.0,44.2,11.4
LNG_Carrier,95000,280,0.038,0.672,-0.165,0.088,0.748,-0.185,LNG Pacific Dream,288.0,44.2,11.4
LNG_Carrier,95000,290,0.158,0.628,-0.148,0.218,0.698,-0.168,LNG Pacific Dream,288.0,44.2,11.4
LNG_Carrier,95000,300,0.282,0.572,-0.125,0.352,0.635,-0.145,LNG Pacific Dream,288.0,44.2,11.4
LNG_Carrier,95000,310,0.402,0.502,-0.098,0.482,0.558,-0.118,LNG Pacific Dream,288.0,44.2,11.4
LNG_Carrier,95000,320,0.512,0.418,-0.072,0.602,0.468,-0.088,LNG Pacific Dream,288.0,44.2,11.4
LNG_Carrier,95000,330,0.608,0.325,-0.045,0.708,0.368,-0.058,LNG Pacific Dream,288.0,44.2,11.4
LNG_Carrier,95000,340,0.685,0.225,-0.024,0.792,0.258,-0.032,LNG Pacific Dream,288.0,44.2,11.4
LNG_Carrier,95000,350,0.738,0.115,-0.012,0.852,0.138,-0.016,LNG Pacific Dream,288.0,44.2,11.4
Container,85000,0,0.745,0.000,0.000,0.865,0.000,0.000,MSC Rotterdam,300.0,40.0,14.5
Container,85000,10,0.718,0.108,0.010,0.832,0.128,0.014,MSC Rotterdam,300.0,40.0,14.5
Container,85000,20,0.665,0.212,0.022,0.772,0.245,0.028,MSC Rotterdam,300.0,40.0,14.5
Container,85000,30,0.588,0.308,0.040,0.688,0.352,0.052,MSC Rotterdam,300.0,40.0,14.5
Container,85000,40,0.492,0.398,0.065,0.582,0.448,0.082,MSC Rotterdam,300.0,40.0,14.5
Container,85000,50,0.382,0.478,0.090,0.462,0.532,0.108,MSC Rotterdam,300.0,40.0,14.5
Container,85000,60,0.262,0.548,0.115,0.332,0.605,0.132,MSC Rotterdam,300.0,40.0,14.5
Container,85000,70,0.138,0.605,0.135,0.198,0.665,0.155,MSC Rotterdam,300.0,40.0,14.5
Container,85000,80,0.018,0.648,0.152,0.068,0.712,0.172,MSC Rotterdam,300.0,40.0,14.5
Container,85000,90,-0.092,0.682,0.162,-0.052,0.748,0.182,MSC Rotterdam,300.0,40.0,14.5
Container,85000,100,-0.192,0.705,0.165,-0.162,0.772,0.185,MSC Rotterdam,300.0,40.0,14.5
Container,85000,110,-0.282,0.715,0.160,-0.262,0.785,0.180,MSC Rotterdam,300.0,40.0,14.5
Container,85000,120,-0.362,0.712,0.148,-0.352,0.788,0.165,MSC Rotterdam,300.0,40.0,14.5
Container,85000,130,-0.432,0.695,0.125,-0.432,0.778,0.142,MSC Rotterdam,300.0,40.0,14.5
Container,85000,140,-0.488,0.665,0.095,-0.498,0.755,0.112,MSC Rotterdam,300.0,40.0,14.5
Container,85000,150,-0.532,0.622,0.058,-0.548,0.718,0.075,MSC Rotterdam,300.0,40.0,14.5
Container,85000,160,-0.562,0.568,0.018,-0.582,0.668,0.035,MSC Rotterdam,300.0,40.0,14.5
Container,85000,170,-0.582,0.502,-0.025,-0.605,0.605,-0.008,MSC Rotterdam,300.0,40.0,14.5
Container,85000,180,-0.592,0.425,-0.068,-0.618,0.532,-0.052,MSC Rotterdam,300.0,40.0,14.5
Container,85000,190,-0.582,0.502,0.025,-0.605,0.605,0.008,MSC Rotterdam,300.0,40.0,14.5
Container,85000,200,-0.562,0.568,-0.018,-0.582,0.668,-0.035,MSC Rotterdam,300.0,40.0,14.5
Container,85000,210,-0.532,0.622,-0.058,-0.548,0.718,-0.075,MSC Rotterdam,300.0,40.0,14.5
Container,85000,220,-0.488,0.665,-0.095,-0.498,0.755,-0.112,MSC Rotterdam,300.0,40.0,14.5
Container,85000,230,-0.432,0.695,-0.125,-0.432,0.778,-0.142,MSC Rotterdam,300.0,40.0,14.5
Container,85000,240,-0.362,0.712,-0.148,-0.352,0.788,-0.165,MSC Rotterdam,300.0,40.0,14.5
Container,85000,250,-0.282,0.715,-0.160,-0.262,0.785,-0.180,MSC Rotterdam,300.0,40.0,14.5
Container,85000,260,-0.192,0.705,-0.165,-0.162,0.772,-0.185,MSC Rotterdam,300.0,40.0,14.5
Container,85000,270,-0.092,0.682,-0.162,-0.052,0.748,-0.182,MSC Rotterdam,300.0,40.0,14.5
Container,85000,280,0.018,0.648,-0.152,0.068,0.712,-0.172,MSC Rotterdam,300.0,40.0,14.5
Container,85000,290,0.138,0.605,-0.135,0.198,0.665,-0.155,MSC Rotterdam,300.0,40.0,14.5
Container,85000,300,0.262,0.548,-0.115,0.332,0.605,-0.132,MSC Rotterdam,300.0,40.0,14.5
Container,85000,310,0.382,0.478,-0.090,0.462,0.532,-0.108,MSC Rotterdam,300.0,40.0,14.5
Container,85000,320,0.492,0.398,-0.065,0.582,0.448,-0.082,MSC Rotterdam,300.0,40.0,14.5
Container,85000,330,0.588,0.308,-0.040,0.688,0.352,-0.052,MSC Rotterdam,300.0,40.0,14.5
Container,85000,340,0.665,0.212,-0.022,0.772,0.245,-0.028,MSC Rotterdam,300.0,40.0,14.5
Container,85000,350,0.718,0.108,-0.010,0.832,0.128,-0.014,MSC Rotterdam,300.0,40.0,14.5
