Row,Wind Speed (m/s),Hs (m),Wind Scale Factor,Wave Scale Factor,Wind Scale Formula,Wave Scale Formula,Occurrence (%)
58,14,0.87,1.96,1.74,(14/10)^2,0.87/0.5,0.066
59,9,0.4,0.81,0.8,(9/10)^2,0.4/0.5,0.058
60,14,0.73,1.96,1.46,(14/10)^2,0.73/0.5,0.044
61,18,0.7,3.24,1.4,(18/10)^2,0.7/0.5,0.044
62,11,0.53,1.21,1.06,(11/10)^2,0.53/0.5,0.043
63,18,1.13,3.24,2.26,(18/10)^2,1.13/0.5,0.042
64,26,1.21,6.76,2.42,(26/10)^2,1.21/0.5,0.039
65,18,1.22,3.24,2.44,(18/10)^2,1.22/0.5,0.036
66,22,0.88,4.84,1.76,(22/10)^2,0.88/0.5,0.027
67,7,0.26,0.49,0.52,(7/10)^2,0.26/0.5,0.025
68,14,0.16,1.96,0.32,(14/10)^2,0.16/0.5,0.021
69,9,0.17,0.81,0.34,(9/10)^2,0.17/0.5,0.017
70,18,0.99,3.24,1.98,(18/10)^2,0.99/0.5,0.013
71,9,0.38,0.81,0.76,(9/10)^2,0.38/0.5,0.009
72,9,0.37,0.81,0.74,(9/10)^2,0.37/0.5,0.007
73,26,1.05,6.76,2.1,(26/10)^2,1.05/0.5,0.007
74,11,0.22,1.21,0.44,(11/10)^2,0.22/0.5,0.006
75,22,1.43,4.84,2.86,(22/10)^2,1.43/0.5,0.006
76,11,0.5,1.21,1.0,(11/10)^2,0.5/0.5,0.004
77,14,0.68,1.96,1.36,(14/10)^2,0.68/0.5,0.004
78,14,0.3,1.96,0.6,(14/10)^2,0.3/0.5,0.004
79,18,1.18,3.24,2.36,(18/10)^2,1.18/0.5,0.004
80,22,1.26,4.84,2.52,(22/10)^2,1.26/0.5,0.003
81,30,1.39,9.0,2.78,(30/10)^2,1.39/0.5,0.003
