x_m,weight_per_m_t,buoyancy_per_m_t,shear_force_t,bending_moment_t_m,wave_hogging_t_m,wave_sagging_t_m,wave_shear_positive_t,wave_shear_negative_t,total_hogging_t_m,total_sagging_t_m,total_shear_positive_t,total_shear_negative_t
6.75,0.0,100.0,-675.0,-2278.125,4660.283125005969,-4796.5487134564355,233.99526848714177,-240.69953543890477,2382.158125005969,-7074.6737134564355,-441.00473151285826,-915.6995354389048
7.0,0.0,100.0,-700.0,-2450.0,4832.886203709893,-4974.1986658066735,242.66175991259146,-249.6143330477531,2382.8862037098934,-7424.1986658066735,-457.3382400874085,-949.6143330477531
7.25,0.0,100.0,-725.0,-2628.125,5005.489282413817,-5151.8486181569115,251.32825133804113,-258.52913065660135,2377.364282413817,-7779.9736181569115,-473.6717486619589,-983.5291306566014
7.5,0.0,100.0,-750.0,-2812.5,5178.092361117742,-5329.498570507149,259.9947427634908,-267.44392826544976,2365.5923611177423,-8141.998570507149,-490.0052572365092,-1017.4439282654498
7.75,0.0,100.0,-775.0,-3003.125,5350.695439821667,-5507.148522857388,268.66123418894057,-276.35872587429805,2347.5704398216667,-8510.273522857387,-506.33876581105943,-1051.358725874298
8.0,0.0,100.0,-800.0,-3200.0,5523.298518525592,-5684.798475207626,277.32772561439026,-285.2735234831464,2323.298518525592,-8884.798475207626,-522.6722743856097,-1085.2735234831464
8.25,0.0,100.0,-825.0,-3403.125,5695.9015972295165,-5862.448427557864,285.99421703983995,-294.1883210919947,2292.7765972295165,-9265.573427557865,-539.0057829601601,-1119.1883210919946
8.5,0.0,100.0,-850.0,-3612.5,5868.504675933442,-6040.098379908103,294.66070846528964,-303.103118700843,2256.004675933442,-9652.598379908104,-555.3392915347104,-1153.103118700843
8.75,0.0,100.0,-875.0,-3828.125,6041.107754637365,-6217.748332258341,303.3271998907393,-312.0179163096913,2212.9827546373654,-10045.873332258341,-571.6728001092607,-1187.0179163096914
9.0,0.0,100.0,-900.0,-4050.0,6213.710833341291,-6395.398284608579,311.99369131618903,-320.93271391853966,2163.7108333412907,-10445.398284608578,-588.006308683811,-1220.9327139185398
9.25,0.0,100.0,-925.0,-4278.125,6386.313912045215,-6573.048236958818,320.6601827416387,-329.847511527388,2108.188912045215,-10851.173236958817,-604.3398172583613,-1254.847511527388
9.5,0.0,100.0,-950.0,-4512.5,6558.9169907491405,-6750.698189309056,329.3266741670884,-338.7623091362363,2046.4169907491405,-11263.198189309056,-620.6733258329116,-1288.7623091362364
9.75,0.0,100.0,-975.0,-4753.125,6731.520069453065,-6928.348141659296,337.9931655925381,-347.67710674508464,1978.395069453065,-11681.473141659295,-637.0068344074618,-1322.6771067450845
10.0,0.0,100.0,-1000.0,-5000.0,6904.12314815699,-7105.998094009534,346.65965701798785,-356.59190435393293,1904.1231481569903,-12105.998094009534,-653.3403429820121,-1356.591904353933
10.25,0.0,100.0,-1025.0,-5253.125,7076.726226860915,-7283.648046359772,355.32614844343743,-365.5067019627812,1823.6012268609147,-12536.773046359773,-669.6738515565626,-1390.5067019627813
10.5,0.0,100.0,-1050.0,-5512.5,7249.329305564838,-7461.29799871001,363.9926398688872,-374.42149957162957,1736.8293055648383,-12973.79799871001,-686.0073601311128,-1424.4214995716295
10.75,0.0,100.0,-1075.0,-5778.125,7421.9323842687645,-7638.947951060248,372.6591312943369,-383.3362971804779,1643.8073842687645,-13417.072951060247,-702.3408687056631,-1458.336297180478
11.0,0.0,100.0,-1100.0,-6050.0,7594.535462972689,-7816.597903410486,381.32562271978657,-392.2510947893262,1544.535462972689,-13866.597903410486,-718.6743772802134,-1492.251094789326
11.25,0.0,100.0,-1125.0,-6328.125,7767.138541676614,-7994.2478557607255,389.99211414523626,-401.16589239817455,1439.0135416766143,-14322.372855760725,-735.0078858547638,-1526.1658923981745
11.5,0.0,100.0,-1150.0,-6612.5,7939.741620380538,-8171.8978081109635,398.65860557068595,-410.08069000702295,1327.2416203805378,-14784.397808110964,-751.341394429314,-1560.080690007023
11.75,0.0,100.0,-1175.0,-6903.125,8112.344699084463,-8349.5477604612,407.3250969961356,-418.9954876158712,1209.2196990844632,-15252.6727604612,-767.6749030038644,-1593.9954876158713
12.0,0.0,100.0,-1200.0,-7200.0,8284.947777788388,-8527.197712811441,415.9915884215854,-427.9102852247195,1084.9477777883876,-15727.197712811441,-784.0084115784146,-1627.9102852247195
12.25,0.0,100.0,-1225.0,-7503.125,8457.550856492313,-8704.847665161677,424.6580798470351,-436.8250828335678,954.425856492313,-16207.972665161677,-800.3419201529649,-1661.8250828335679
12.5,0.0,100.0,-1250.0,-7812.5,8630.153935196238,-8882.497617511917,433.3245712724848,-445.7398804424161,817.6539351962383,-16694.997617511915,-816.6754287275153,-1695.739880442416
12.75,0.0,100.0,-1275.0,-8128.125,8802.757013900162,-9060.147569862154,441.99106269793447,-454.6546780512645,674.6320139001618,-17188.272569862154,-833.0089373020655,-1729.6546780512645
13.0,0.0,100.0,-1300.0,-8450.0,8975.360092604087,-9237.797522212395,450.6575541233841,-463.56947566011274,525.3600926040872,-17687.797522212393,-849.3424458766159,-1763.5694756601129
13.25,0.0,100.0,-1325.0,-8778.125,9147.963171308013,-9415.447474562632,459.3240455488339,-472.48427326896115,369.83817130801253,-18193.572474562632,-865.675954451166,-1797.4842732689613
13.5,0.0,100.0,-1350.0,-9112.5,9320.566250011938,-9593.097426912871,467.99053697428354,-481.39907087780955,208.06625001193788,-18705.59742691287,-882.0094630257165,-1831.3990708778097
13.75,0.0,100.0,-1375.0,-9453.125,9493.169328715863,-9770.747379263108,476.65702839973324,-490.3138684866578,40.04432871586323,-19223.872379263106,-898.3429716002668,-1865.3138684866578
14.0,0.0,100.0,-1400.0,-9800.0,9665.772407419787,-9948.397331613347,485.3235198251829,-499.2286660955062,-134.22759258021324,-19748.39733161335,-914.676480174817,-1899.2286660955062
14.25,0.0,100.0,-1425.0,-10153.125,9838.37548612371,-10126.047283963584,493.99001125063245,-508.1434637043545,-314.7495138762897,-20279.172283963584,-931.0099887493675,-1933.1434637043544
14.5,0.0,100.0,-1450.0,-10512.5,10010.978564827634,-10303.697236313823,502.65650267608225,-517.0582613132027,-501.5214351723662,-20816.197236313823,-947.3434973239177,-1967.0582613132028
14.75,0.0,100.0,-1475.0,-10878.125,10183.581643531561,-10481.347188664062,511.32299410153195,-525.973058922051,-694.543356468439,-21359.472188664062,-963.677005898468,-2000.973058922051
15.0,0.0,100.0,-1500.0,-11250.0,10356.184722235485,-10658.997141014299,519.9894855269816,-534.8878565308995,-893.8152777645155,-21908.997141014297,-980.0105144730184,-2034.8878565308996
15.25,0.0,100.0,-1525.0,-11628.125,10528.78780093941,-10836.647093364538,528.6559769524314,-543.8026541397478,-1099.3371990605901,-22464.77209336454,-996.3440230475686,-2068.8026541397476
15.5,0.0,100.0,-1550.0,-12012.5,10701.390879643333,-11014.297045714777,537.3224683778811,-552.7174517485961,-1311.1091203566666,-23026.797045714775,-1012.6775316221189,-2102.717451748596
15.75,0.0,100.0,-1575.0,-12403.125,10873.99395834726,-11191.946998065016,545.9889598033308,-561.6322493574444,-1529.1310416527394,-23595.071998065017,-1029.0110401966692,-2136.6322493574444
16.0,0.0,100.0,-1600.0,-12800.0,11046.597037051184,-11369.596950415253,554.6554512287805,-570.5470469662928,-1753.402962948816,-24169.596950415253,-1045.3445487712195,-2170.547046966293
16.25,0.0,100.0,-1625.0,-13203.125,11219.20011575511,-11547.246902765493,563.3219426542303,-579.4618445751411,-1983.9248842448906,-24750.371902765495,-1061.6780573457697,-2204.461844575141
16.5,0.0,100.0,-1650.0,-13612.5,11391.803194459033,-11724.896855115729,571.9884340796799,-588.3766421839894,-2220.696805540967,-25337.39685511573,-1078.0115659203202,-2238.376642183989
16.75,0.0,100.0,-1675.0,-14028.125,11564.40627316296,-11902.54680746597,580.6549255051297,-597.2914397928378,-2463.71872683704,-25930.67180746597,-1094.3450744948705,-2272.291439792838
17.0,0.0,100.0,-1700.0,-14450.0,11737.009351866884,-12080.196759816206,589.3214169305793,-606.206237401686,-2712.9906481331163,-26530.19675981621,-1110.6785830694207,-2306.206237401686
17.25,0.0,100.0,-1725.0,-14878.125,11909.612430570807,-12257.846712166445,597.9879083560289,-615.1210350105343,-2968.512569429193,-27135.971712166443,-1127.012091643971,-2340.1210350105343
17.5,0.0,100.0,-1750.0,-15312.5,12082.21550927473,-12435.496664516682,606.6543997814786,-624.0358326193826,-3230.2844907252693,-27747.996664516682,-1143.3456002185214,-2374.0358326193827
17.75,0.0,100.0,-1775.0,-15753.125,12254.818587978658,-12613.146616866923,615.3208912069284,-632.950630228231,-3498.306412021342,-28366.27161686692,-1159.6791087930715,-2407.950630228231
18.0,0.0,100.0,-1800.0,-16200.0,12427.421666682581,-12790.796569217158,623.9873826323781,-641.8654278370793,-3772.5783333174186,-28990.796569217157,-1176.012617367622,-2441.8654278370796
18.25,0.0,100.0,-1825.0,-16653.125,12600.024745386507,-12968.446521567399,632.6538740578278,-650.7802254459275,-4053.1002546134932,-29621.5715215674,-1192.3461259421722,-2475.7802254459275
18.5,0.0,100.0,-1850.0,-17112.5,12772.62782409043,-13146.096473917636,641.3203654832774,-659.695023054776,-4339.87217590957,-30258.596473917634,-1208.6796345167227,-2509.695023054776
18.75,0.0,100.0,-1875.0,-17578.125,12945.230902794357,-13323.746426267877,649.9868569087271,-668.6098206636243,-4632.8940972056425,-30901.871426267877,-1225.013143091273,-2543.6098206636243
19.0,0.0,100.0,-1900.0,-18050.0,13117.833981498281,-13501.396378618112,658.6533483341768,-677.5246182724726,-4932.166018501719,-31551.396378618112,-1241.3466516658232,-2577.5246182724727
19.25,0.0,100.0,-1925.0,-18528.125,13290.437060202206,-13679.046330968353,667.3198397596266,-686.4394158813209,-5237.687939797794,-32207.171330968355,-1257.6801602403734,-2611.439415881321
19.5,0.0,100.0,-1950.0,-19012.5,13463.04013890613,-13856.696283318592,675.9863311850762,-695.3542134901693,-5549.45986109387,-32869.19628331859,-1274.0136688149237,-2645.354213490169
19.75,0.0,100.0,-1975.0,-19503.125,13635.643217610055,-14034.34623566883,684.652822610526,-704.2690110990176,-5867.481782389945,-33537.47123566883,-1290.347177389474,-2679.2690110990175
20.0,0.0,100.0,-2000.0,-20000.0,13808.24629631398,-14211.996188019068,693.3193140359757,-713.1838087078659,-6191.753703686019,-34211.99618801907,-1306.6806859640242,-2713.183808707866
20.25,0.0,100.0,-2025.0,-20503.125,13980.849375017906,-14389.646140369305,693.3193140359757,-713.1838087078659,-6522.275624982094,-34892.7711403693,-1331.6806859640242,-2738.183808707866
20.5,0.0,100.0,-2050.0,-21012.5,14153.45245372183,-14567.296092719544,693.3193140359757,-713.1838087078659,-6859.047546278171,-35579.796092719545,-1356.6806859640242,-2763.183808707866
20.75,0.0,100.0,-2075.0,-21528.125,14326.055532425755,-14744.94604506978,693.3193140359757,-713.1838087078659,-7202.069467574245,-36273.07104506978,-1381.6806859640242,-2788.183808707866
21.0,0.0,100.0,-2100.0,-22050.0,14498.658611129677,-14922.59599742002,693.3193140359757,-713.1838087078659,-7551.3413888703235,-36972.59599742002,-1406.6806859640242,-2813.183808707866
21.25,0.0,100.0,-2125.0,-22578.125,14671.261689833604,-15100.245949770258,693.3193140359757,-713.1838087078659,-7906.863310166396,-37678.37094977026,-1431.6806859640242,-2838.183808707866
21.5,0.0,100.0,-2150.0,-23112.5,14843.864768537529,-15277.895902120496,693.3193140359757,-713.1838087078659,-8268.635231462471,-38390.395902120494,-1456.6806859640242,-2863.183808707866
21.75,0.0,100.0,-2175.0,-23653.125,15016.467847241453,-15455.545854470734,693.3193140359757,-713.1838087078659,-8636.657152758547,-39108.670854470736,-1481.6806859640242,-2888.183808707866
22.0,0.0,100.0,-2200.0,-24200.0,15189.070925945378,-15633.195806820971,693.3193140359757,-713.1838087078659,-9010.929074054622,-39833.19580682097,-1506.6806859640242,-2913.183808707866
22.25,0.0,100.0,-2225.0,-24753.125,15361.674004649305,-15810.845759171214,693.3193140359757,-713.1838087078659,-9391.450995350695,-40563.970759171214,-1531.6806859640242,-2938.183808707866
22.5,0.0,100.0,-2250.0,-25312.5,15534.277083353229,-15988.495711521451,693.3193140359757,-713.1838087078659,-9778.222916646771,-41300.99571152145,-1556.6806859640242,-2963.183808707866
22.75,0.0,100.0,-2275.0,-25878.125,15706.880162057154,-16166.14566387169,693.3193140359757,-713.1838087078659,-10171.244837942846,-42044.27066387169,-1581.6806859640242,-2988.183808707866
23.0,0.0,100.0,-2300.0,-26450.0,15879.483240761076,-16343.795616221927,693.3193140359757,-713.1838087078659,-10570.516759238924,-42793.79561622193,-1606.6806859640242,-3013.183808707866
23.25,0.0,100.0,-2325.0,-27028.125,16052.086319465005,-16521.445568572166,693.3193140359757,-713.1838087078659,-10976.038680534995,-43549.57056857216,-1631.6806859640242,-3038.183808707866
23.5,0.0,100.0,-2350.0,-27612.5,16224.689398168926,-16699.0955209224,693.3193140359757,-713.1838087078659,-11387.810601831074,-44311.595520922405,-1656.6806859640242,-3063.183808707866
23.75,0.0,100.0,-2375.0,-28203.125,16397.292476872848,-16876.74547327264,693.3193140359757,-713.1838087078659,-11805.832523127152,-45079.87047327264,-1681.6806859640242,-3088.183808707866
24.0,0.0,100.0,-2400.0,-28800.0,16569.895555576775,-17054.395425622883,693.3193140359757,-713.1838087078659,-12230.104444423225,-45854.39542562288,-1706.6806859640242,-3113.183808707866
24.25,0.0,100.0,-2425.0,-29403.125,16742.498634280702,-17232.045377973118,693.3193140359757,-713.1838087078659,-12660.626365719298,-46635.17037797312,-1731.6806859640242,-3138.183808707866
24.5,0.0,100.0,-2450.0,-30012.5,16915.101712984626,-17409.695330323353,693.3193140359757,-713.1838087078659,-13097.398287015374,-47422.19533032335,-1756.6806859640242,-3163.183808707866
24.75,0.0,100.0,-2475.0,-30628.125,17087.70479168855,-17587.345282673596,693.3193140359757,-713.1838087078659,-13540.42020831145,-48215.470282673596,-1781.6806859640242,-3188.183808707866
25.0,100.0,100.0,-2487.5,-31248.4375,17260.307870392477,-17764.995235023835,693.3193140359757,-713.1838087078659,-13988.129629607523,-49013.43273502383,-1794.1806859640242,-3200.683808707866
25.25,200.0,100.0,-2475.0,-31868.75,17432.9109490964,-17942.645187374073,693.3193140359757,-713.1838087078659,-14435.8390509036,-49811.39518737407,-1781.6806859640242,-3188.183808707866
25.5,200.0,100.0,-2450.0,-32484.375,17605.514027800324,-18120.29513972431,693.3193140359757,-713.1838087078659,-14878.860972199676,-50604.67013972431,-1756.6806859640242,-3163.183808707866
25.75,200.0,100.0,-2425.0,-33093.75,17778.117106504247,-18297.945092074548,693.3193140359757,-713.1838087078659,-15315.632893495753,-51391.695092074544,-1731.6806859640242,-3138.183808707866
26.0,200.0,100.0,-2400.0,-33696.875,17950.720185208174,-18475.59504442479,693.3193140359757,-713.1838087078659,-15746.154814791826,-52172.47004442479,-1706.6806859640242,-3113.183808707866
26.25,200.0,100.0,-2375.0,-34293.75,18123.3232639121,-18653.244996775025,693.3193140359757,-713.1838087078659,-16170.426736087898,-52946.99499677503,-1681.6806859640242,-3088.183808707866
26.5,200.0,100.0,-2350.0,-34884.375,18295.926342616025,-18830.894949125264,693.3193140359757,-713.1838087078659,-16588.448657383975,-53715.269949125264,-1656.6806859640242,-3063.183808707866
26.75,200.0,100.0,-2325.0,-35468.75,18468.52942131995,-19008.5449014755,693.3193140359757,-713.1838087078659,-17000.22057868005,-54477.2949014755,-1631.6806859640242,-3038.183808707866
27.0,200.0,100.0,-2300.0,-36046.875,18641.132500023876,-19186.194853825742,693.3193140359757,-713.1838087078659,-17405.742499976124,-55233.06985382574,-1606.6806859640242,-3013.183808707866
27.25,200.0,100.0,-2275.0,-36618.75,18813.7355787278,-19363.84480617598,693.3193140359757,-713.1838087078659,-17805.0144212722,-55982.594806175985,-1581.6806859640242,-2988.183808707866
27.5,200.0,100.0,-2250.0,-37184.375,18986.338657431726,-19541.494758526216,693.3193140359757,-713.1838087078659,-18198.036342568274,-56725.86975852621,-1556.6806859640242,-2963.183808707866
27.75,200.0,100.0,-2225.0,-37743.75,19158.941736135646,-19719.144710876455,693.3193140359757,-713.1838087078659,-18584.808263864354,-57462.894710876455,-1531.6806859640242,-2938.183808707866
28.0,200.0,100.0,-2200.0,-38296.875,19331.544814839574,-19896.794663226694,693.3193140359757,-713.1838087078659,-18965.330185160426,-58193.6696632267,-1506.6806859640242,-2913.183808707866
28.25,200.0,100.0,-2175.0,-38843.75,19504.147893543497,-20074.444615576933,693.3193140359757,-713.1838087078659,-19339.602106456503,-58918.19461557693,-1481.6806859640242,-2888.183808707866
28.5,200.0,100.0,-2150.0,-39384.375,19676.75097224742,-20252.094567927168,693.3193140359757,-713.1838087078659,-19707.62402775258,-59636.46956792717,-1456.6806859640242,-2863.183808707866
28.75,200.0,100.0,-2125.0,-39918.75,19849.354050951344,-20429.744520277407,693.3193140359757,-713.1838087078659,-20069.395949048656,-60348.49452027741,-1431.6806859640242,-2838.183808707866
29.0,200.0,100.0,-2100.0,-40446.875,20021.957129655268,-20607.394472627646,693.3193140359757,-713.1838087078659,-20424.917870344732,-61054.269472627646,-1406.6806859640242,-2813.183808707866
29.25,200.0,100.0,-2075.0,-40968.75,20194.560208359195,-20785.044424977885,693.3193140359757,-713.1838087078659,-20774.189791640805,-61753.79442497788,-1381.6806859640242,-2788.183808707866
29.5,200.0,100.0,-2050.0,-41484.375,20367.163287063122,-20962.694377328124,693.3193140359757,-713.1838087078659,-21117.211712936878,-62447.069377328124,-1356.6806859640242,-2763.183808707866
29.75,200.0,100.0,-2025.0,-41993.75,20539.766365767042,-21140.34432967836,693.3193140359757,-713.1838087078659,-21453.983634232958,-63134.09432967836,-1331.6806859640242,-2738.183808707866
30.0,200.0,100.0,-2000.0,-42496.875,20712.36944447097,-21317.994282028598,693.3193140359757,-713.1838087078659,-21784.50555552903,-63814.869282028594,-1306.6806859640242,-2713.183808707866
30.25,200.0,100.0,-1975.0,-42993.75,20884.972523174896,-21495.64423437884,689.5523275463672,-708.9202098514602,-22108.777476825104,-64489.39423437884,-1285.4476724536328,-2683.92020985146
30.5,200.0,100.0,-1950.0,-43484.375,21057.57560187882,-21673.294186729076,685.7853410567586,-704.6566109950545,-22426.79939812118,-65157.66918672908,-1264.2146589432414,-2654.6566109950545
30.75,200.0,100.0,-1925.0,-43968.75,21230.178680582743,-21850.944139079314,682.0183545671503,-700.3930121386487,-22738.571319417257,-65819.6941390793,-1242.9816454328497,-2625.393012138649
31.0,200.0,100.0,-1900.0,-44446.875,21402.781759286667,-22028.594091429553,678.2513680775418,-696.129413282243,-23044.093240713333,-66475.46909142955,-1221.7486319224581,-2596.129413282243
31.25,200.0,100.0,-1875.0,-44918.75,21575.384837990594,-22206.244043779796,674.4843815879333,-691.8658144258374,-23343.365162009406,-67124.99404377979,-1200.5156184120667,-2566.8658144258375
31.5,200.0,100.0,-1850.0,-45384.375,21747.98791669452,-22383.89399613003,670.7173950983248,-687.6022155694316,-23636.38708330548,-67768.26899613003,-1179.2826049016753,-2537.602215569432
31.75,200.0,100.0,-1825.0,-45843.75,21920.59099539844,-22561.543948480266,666.9504086087164,-683.3386167130259,-23923.15900460156,-68405.29394848026,-1158.0495913912837,-2508.3386167130257
32.0,200.0,100.0,-1800.0,-46296.875,22093.194074102368,-22739.193900830505,663.183422119108,-679.0750178566202,-24203.680925897632,-69036.0689008305,-1136.816577880892,-2479.0750178566204
32.25,200.0,100.0,-1775.0,-46743.75,22265.797152806295,-22916.843853180748,659.4164356294995,-674.8114190002144,-24477.952847193705,-69660.59385318075,-1115.5835643705004,-2449.8114190002143
32.5,200.0,100.0,-1750.0,-47184.375,22438.40023151022,-23094.493805530987,655.649449139891,-670.5478201438086,-24745.97476848978,-70278.86880553099,-1094.350550860109,-2420.5478201438086
32.75,200.0,100.0,-1725.0,-47618.75,22611.003310214142,-23272.143757881222,651.8824626502825,-666.2842212874029,-25007.746689785858,-70890.89375788122,-1073.1175373497176,-2391.284221287403
33.0,200.0,100.0,-1700.0,-48046.875,22783.606388918066,-23449.793710231457,648.115476160674,-662.0206224309973,-25263.268611081934,-71496.66871023146,-1051.884523839326,-2362.0206224309973
33.25,200.0,100.0,-1675.0,-48468.75,22956.209467621993,-23627.4436625817,644.3484896710655,-657.7570235745916,-25512.540532378007,-72096.1936625817,-1030.6515103289344,-2332.7570235745916
33.5,200.0,100.0,-1650.0,-48884.375,23128.81254632592,-23805.09361493194,640.5815031814572,-653.4934247181858,-25755.56245367408,-72689.46861493195,-1009.4184968185428,-2303.493424718186
33.75,200.0,100.0,-1625.0,-49293.75,23301.41562502984,-23982.743567282178,636.8145166918486,-649.22982586178,-25992.33437497016,-73276.49356728217,-988.1854833081514,-2274.2298258617802
34.0,200.0,100.0,-1600.0,-49696.875,23474.018703733767,-24160.393519632413,633.0475302022401,-644.9662270053744,-26222.856296266233,-73857.26851963242,-966.9524697977599,-2244.9662270053745
34.25,200.0,100.0,-1575.0,-50093.75,23646.621782437694,-24338.043471982655,629.2805437126317,-640.7026281489686,-26447.128217562306,-74431.79347198266,-945.7194562873683,-2215.702628148969
34.5,200.0,100.0,-1550.0,-50484.375,23819.224861141614,-24515.69342433289,625.5135572230233,-636.439029292563,-26665.150138858386,-75000.06842433289,-924.4864427769767,-2186.4390292925627
34.75,200.0,100.0,-1525.0,-50868.75,23991.82793984554,-24693.343376683126,621.7465707334148,-632.1754304361573,-26876.92206015446,-75562.09337668313,-903.2534292665852,-2157.1754304361575
35.0,200.0,100.0,-1500.0,-51246.875,24164.43101854946,-24870.993329033365,617.9795842438064,-627.9118315797515,-27082.44398145054,-76117.86832903337,-882.0204157561936,-2127.9118315797514
35.25,200.0,100.0,-1475.0,-51618.75,24337.03409725339,-25048.643281383604,614.212597754198,-623.6482327233458,-27281.71590274661,-76667.3932813836,-860.787402245802,-2098.6482327233457
35.5,200.0,100.0,-1450.0,-51984.375,24509.637175957316,-25226.293233733846,610.4456112645895,-619.3846338669401,-27474.737824042684,-77210.66823373384,-839.5543887354105,-2069.38463386694
35.75,200.0,100.0,-1425.0,-52343.75,24682.24025466124,-25403.94318608408,606.678624774981,-615.1210350105345,-27661.50974533876,-77747.69318608409,-818.321375225019,-2040.1210350105343
36.0,200.0,100.0,-1400.0,-52696.875,24854.843333365163,-25581.593138434317,602.9116382853725,-610.8574361541287,-27842.031666634837,-78278.46813843431,-797.0883617146275,-2010.8574361541287
36.25,200.0,100.0,-1375.0,-53043.75,25027.44641206909,-25759.24309078456,599.1446517957642,-606.5938372977229,-28016.30358793091,-78802.99309078456,-775.8553482042358,-1981.593837297723
