contractor,primary_index,secondary_index,vessel_name,year_built,upgrade_year,home_port,station_keeping,vessel_role,length_ft,beam_ft,depth_ft,draft_ft,crew_capacity,spec_notes
McDERMOTT,27,,LAY VESSEL NORTH OCEAN,105,,(LVNO105) 2012,,Global Varies DP Reel Vessel,451.0,99.0,43.5,22.5,129.0,"H DP2 2 1 H H 1 992 H H H H H H 4"" 16"" H H NA H 30 9,800' varies 4,600'"
NORCE OFFSHORE PTE LTD,28,,DLB NORCE ENDEAVOUR Singapore,,,Derrick/Lay Barge 480' 138' 33' 17'/20.3' 280 H 8-point 7 4 2 330 H H H 2 4” 48” H H H 42 18 492,,,,,,,,
OCEANIC MARINE CONTRACTORS,29,,OCEANIC,5000,2011.0,UAE,,,,,,,,"Pipe Lay 646' 157' 47'/65' 22'/24' 398 H DP 9 4 3 529 H H H H H 6"" 60"" H H H H H H 40 30' 30'-985' (30' - 985') (6"" to 60"")"
SAIPEM AMERICA INC.,30,3.0,SAIPEM,3000,1976.0,2003 Project Driven Heavy Lift,DP,Vessel,531.5,126.7,29.5,22.0,195.0,"H DP3 H H H H H H H H H H H H 52' 10,000' 5,000' (Lay Only 40' - 10,000') (Lay Only 6"" - 60"")"
SAIPEM AMERICA INC.,31,3.0,CASTORO SEI Project Driven Semi-sub Lay Barge 498.7' 213.3' 98.4' 47.6',342,,"H 12 Point 6DJ 3DJ H H 3 859 H H H 6"" 60"" H H H 84' 40' 3,500' 4,100'' (Lay Only 35' - 3,500') (Reel Lay Only 4"" - 8"")",,,,,,,,
SAIPEM AMERICA INC.,32,3.0,CASTORO OTTO Project Driven Derrick/Lay Barge 629.9' 114.8' 49.2' 32.8,356,,"H 12 Point 9 5-6 H H 3 595 H H 6"" 60"" H H H 84' 29' 1,200' 1,200' (Lay Only 22' - 1,200') (Lay Only 6"" - 60"")",,,,,,,,
SAIPEM AMERICA INC.,33,3.0,SAIPEM,7000,,Project Driven Derrick/J-Lay Barge 649.6' 285.4' 142.7' 88.6' 725,DP3/14-Point,,,,3.0,,,"4"" 32"" 168' 108' 10,000' 7,500'"
SAIPEM AMERICA INC.,34,3.0,CASTORO,10,,"Project Driven Lay / Trenching Barge 456' 120' 30' 14'8""/17'1"" 200 H 8 Point 6 3 H H 2 400 H H H 4"" 40"" H H H H 4"" 60"" 42' 21' 800' 800' (Lay or Bury 20' - 800') (Lay Only 4"" - 40"" or Bury 4"" - 60"")",,,,,,,,
SAIPEM AMERICA INC.,35,3.0,SEMAC,1,,"Project Driven Semi-sub Lay Barge 487.3' 180.1' 91.3' 23'/44'3"" 362 H 12 Point 7DJ 4DJ H H 3 600 H H H H 2 6"" 60"" H H H 84' 32' 2,000' (Lay Only 30' - 2,000') (Lay Only 6"" - 60"")",,,,,,,,
SAIPEM AMERICA INC.,36,3.0,SAIPEM FDS Project Driven Field Development Ship 536' 99' 41' 24.3'/26.2',236,,H,DP-Class,III,,,,,3.0,"1,210/1,650 H H H H H H 2 4"" 20"" H H H H H H 168' H 10,000' 52' 10,000' (Lay Only 50' - 10,000') (Lay Only 4"" - 20"")"
SAIPEM AMERICA INC.,37,3.0,CASTORO,7,,"Project Driven Semi-sub Lay Barge 549' 192' 65' 37.7'/65.6' 401 H 14 Points 7DJ 4DJ H H 5 750 H H H H 3 8"" 60"" H H H 84' 50' 1,500' (Lay Only 30' - 1,350') (Lay Only 8"" - 60"")",,,,,,,,
SAIPEM AMERICA INC.,38,3.0,Project Driven,DP,,Lay Vessel 1082' 128' 78' 26.24'/34.77' 702,DP3/8-Points,,,,3.0,,2.0,"8"" 60"" 126' 37.7' 10,000' (Lay Only 43' - 10,000') (Lay Only 8"" - 60"")"
SAIPEM AMERICA INC.,3,,SAIPEM FDS,2,,Project Driven Field Development Ship 600.4' 105.6' 47.6' 26.24'/31.16' 325 H,DP-Class,III,,,,,,"3306/4400 H H H H H 4"" 36"" H H H H H H 168' H 52' 10,000' (Lay Only 50' - 10,000') (Lay Only 4"" - 32"")"
SAIPEM AMERICA INC.,39,3.0,CASTORO II Project Driven Derrick/Lay Barge 442.9' 106.9' 29.5' 8'/18',290,,"H 11 point 8 5 H H 2 400 H H H H 2 8"" 72"" H H H 42' 22' 800'",,,,,,,,
SAIPEM AMERICA INC.,3,,S,355,,"Project Driven Derrick/Lay Barge 354.3' 98.4' 24.6' 8.6'/15.2' 206 H 12 point 6 4 H H 2 220 H H H H 3 3"" 48"" H H H 42' 20' 600' (Lay Only 20' - 550') (Lay Only 3"" - 48"")",,,,,,,,
SAIPEM AMERICA INC.,40,3.0,CRAWLER Project Driven Derrick/Lay Barge 493.7' 112.4' 46.6' 23'/34.56',230,,"H 12 point 8 4 H H 2 160 H H H H 3 4"" 48"" H H H 42' 32' 400' (Lay Only 32' - 400') (Lay Only 4"" - 48"")",,,,,,,,
SAIPEM AMERICA INC.,3,,SB,230,,"Project Driven Lay Barge 230' 74.8' 14.9' 8.2'/10.56' 117 H 10 point 5 2 H H 1 55 H H H H 3 4"" 30"" H H H 42' 20' 160'",,,,,,,,
SEA TRUCKS GROUP,41,,JASCON,25,2009.0,worldwide,DP,Lay Crane Accom,390.0,100.0,27.0,16.0,355.0,"H DP3 6 3+1 H H 2 265 H H H H H H H 4"" 60"" H H H H Shallow / medium"
SEA TRUCKS GROUP,42,,JASCON,30,2007.0,worldwide,DP,Lay Crane Accom,365.0,100.0,20.0,15.0,298.0,"H DP 3/10-Point 6 3+1 H H 3 220 H H H H H H H 4"" 60"" H H H H"
SEA TRUCKS GROUP,43,,JASCON,34,2010.0,worldwide,DP,Lay Crane Accom,390.0,100.0,27.0,16.0,355.0,"H DP3 6 3+1 H H 2 265 H H H H H H H 4"" 60"" H H H H Shallow / medium"
SEA TRUCKS GROUP,44,,JASCON,2,2009.0,West Africa,DP,Lay Accom,260.0,116.0,14.0,10.0,220.0,"H 8-Point 5 3+1 H H 1 55 H H H H H H H 4"" 32"" H H H H Shallow"
SUBSEA 7,45,,"NORMAND SEVEN Project Driven 2,900'",DP,,Pipelay Vessel 426' 92' 28' 100 H,DP3,,600.0,,,,,6560'
SUBSEA 7,46,,SEVEN OCEANS,2007,,"Project Driven 2,900'",DP,Pipelay Vessel,516.0,93.0,41.0,24.0,120.0,"H DP2 1 800 H H 6"" 16"" H H 9,842'"
SUBSEA 7,47,,SEVEN,NAVICA,1999.0,"Project Driven 2,900'",DP,Pipelay Vessel,356.0,72.0,29.0,24.6,72.0,"H DP2 1 1 H H 1 500 H H H H H H 2 2"" 19"" H 42' H 30' 9,500'+ 6,600' (Lay Only 30' - >9,500') (Reel Lay 16"" Rigid, 19"" Flexible)"
SUBSEA 7,48,,KOMMANDOR,3000,1984.0,"1999 Project Driven 2,900'",DP,Pipelay Vessel,388.0,69.0,33.0,16.0,73.0,"H DP2 6 440 H H H H 3 2.5"" 12"" H H H H 30' 3,280' 3,280'"
SUBSEA 7,49,,LOCHNAGAR,1982,1998.0,"Project Driven 2,900'",DP,Pipelay Vessel,349.0,75.0,32.0,19.0,73.0,"H DP2 6 510 H H H H 3 2.5"" 16"" H H H H 30' 6,560' 4,920'"
SUBSEA 7,50,,SKANDI NEPTUNE,2001,2005.0,"Project Driven 2,900'",DP,Multi-Purpose Vessel,342.0,79.0,34.0,18.0,106.0,"H DP2 2 200 H H 3 16 8,842"
SUBSEA 7,51,,ACERGY DISCOVERY,1990,,Project Driven Flexible Pipelay/Construction Ship 409' 64' 21' 97 H,DP2,H H,,,,,,
SUBSEA 7,52,,ACERGY POLARIS,1979,,Project Driven Derrick Lay Barge 449' 128' 30' 16' 263 H,DP3,,7.0,4.0,,,2.0,"250/1,680 H H H 4"" 48""/24"" H H 25'"
SUBSEA 7,53,,ACERGY EAGLE,1997,,Project Driven Flexible Pipelay/Construction Ship 467' 64' 22' 101 H,DP2,,200.0,,,,,"2"" 24"" H 30'"
SUBSEA 7,54,,SEVEN MAR,2001,,Project Driven Flexible Pipelay/Construction Ship 485' 89' 44' 26' 121 H,DP2,,760.0,,,3.0,,"20"" H 50'"
SUBSEA 7,55,,SKANDI ACERGY,2008,,Project Driven Heavy Construction Ship 515' 89' 40' 28' 140 H,DP3,,280.0,,,2.0,,"14"" H 25'"
SUBSEA 7,56,,SKANDI SEVEN,2008,,Project Driven Flexible Pipelay/Consruction Ship 396' 75' 30' 20' 120 H,DP3,,,,,,,
SUBSEA 7,57,,SEVEN WAVES Project Driven Flexible Pipelay 490' 98' 43' 24',120,,H,DP2,,550.0,,,,,
SWIBER HOLDINGS,6,,SWIBER CHAI,2009,,"China Derrick pipelay barge 394' 125' 20' 36' 300 H 7 5 H H 240 6"" 60""",,,,,,,,
SWIBER HOLDINGS,6,,SWIBER CONCORDE,2008,,"South-East Asia Pipelay barge 371' 94' 24' 13' 248 H 7 5 H H 240 8"" 60""",,,,,,,,
SWIBER HOLDINGS,58,6.0,SWIBER CONQUEST,2007,,"South-East Asia Accommodation/pipelay barge 354' 100' 14' 15' 280 H 7 5 H H 240 8"" 60""",,,,,,,,
SWIBER HOLDINGS,6,,SWIBER GLORIOUS,2006,,South-East Asia Accommodation/pipelay barge (optional) 371' 92' 23' 16' 300 H,,,,,,,,
SWIBER HOLDINGS,6,,AZIZ,2010,,"South-East Asia Accommodation/pipelay barge 366' 104' 14' 15' 300 H 5 H H 240 4"" 60""",,,,,,,,
SWIBER HOLDINGS,1,,MAS,300,2010.0,"South-East Asia Pipelay/Accommodation 366' 104' 24' 15' 300 H 7 5 H H 240 4"" 60""",,,,,,,,
VAN OORD,63,2012.0,Shallow water pipelay barge 394' 132' 29.5' 16.4',300,7.0,"3 2 280 6"" 60""",,,,,,,,
