grade,fy,thickness_mm,spacing_mm,profile,web_height_mm,web_thickness_mm,flange_width_mm,flange_thickness_mm,web_slenderness,plate_length_mm,sigma_x,tau,utilization,governing_mode,plate_util,column_util,torsional_util,critical_stress_mpa,status
Grade A,235.0,8.0,800.0,T400x120,400.0,12.0,120.0,16.0,33.333,2400.0,120.0,40.0,2.0354,plate_induced,2.0354,0.5872,0.7591,74.47,FAIL
Grade A,235.0,8.0,800.0,T600x200,600.0,10.0,200.0,20.0,60.0,2400.0,100.0,0.0,1.5442,plate_induced,1.5442,0.4894,0.4894,74.47,FAIL
Grade A,235.0,8.0,800.0,T600x200,600.0,10.0,200.0,20.0,60.0,2400.0,150.0,0.0,2.3162,plate_induced,2.3162,0.734,0.734,74.47,FAIL
Grade A,235.0,8.0,800.0,T600x200,600.0,10.0,200.0,20.0,60.0,2400.0,200.0,0.0,3.0883,plate_induced,3.0883,0.9787,0.9787,74.47,FAIL
Grade A,235.0,8.0,800.0,T600x200,600.0,10.0,200.0,20.0,60.0,2400.0,120.0,40.0,2.0354,plate_induced,2.0354,0.5872,0.5872,74.47,FAIL
Grade A,235.0,10.0,600.0,T250x90,250.0,10.0,90.0,12.0,25.0,2400.0,100.0,0.0,0.6835,plate_induced,0.6835,0.5062,0.5965,168.26,PASS
Grade A,235.0,10.0,600.0,T250x90,250.0,10.0,90.0,12.0,25.0,2400.0,150.0,0.0,1.0252,plate_induced,1.0252,0.7593,0.9716,168.26,FAIL
Grade A,235.0,10.0,600.0,T250x90,250.0,10.0,90.0,12.0,25.0,2400.0,200.0,0.0,1.4646,torsional,1.3669,1.0124,1.4646,157.04,FAIL
Grade A,235.0,10.0,600.0,T250x90,250.0,10.0,90.0,12.0,25.0,2400.0,120.0,40.0,0.8805,plate_induced,0.8805,0.6075,0.736,168.26,PASS
Grade A,235.0,10.0,600.0,T400x120,400.0,12.0,120.0,16.0,33.333,2400.0,100.0,0.0,0.6835,plate_induced,0.6835,0.4894,0.5795,168.26,PASS
Grade A,235.0,10.0,600.0,T400x120,400.0,12.0,120.0,16.0,33.333,2400.0,150.0,0.0,1.0252,plate_induced,1.0252,0.734,0.9044,168.26,FAIL
Grade A,235.0,10.0,600.0,T400x120,400.0,12.0,120.0,16.0,33.333,2400.0,200.0,0.0,1.3669,plate_induced,1.3669,0.9787,1.2652,168.26,FAIL
Grade A,235.0,10.0,600.0,T400x120,400.0,12.0,120.0,16.0,33.333,2400.0,120.0,40.0,0.8805,plate_induced,0.8805,0.5872,0.7054,168.26,PASS
Grade A,235.0,10.0,600.0,T600x200,600.0,10.0,200.0,20.0,60.0,2400.0,100.0,0.0,0.6835,plate_induced,0.6835,0.4894,0.4894,168.26,PASS
Grade A,235.0,10.0,600.0,T600x200,600.0,10.0,200.0,20.0,60.0,2400.0,150.0,0.0,1.0252,plate_induced,1.0252,0.734,0.734,168.26,FAIL
Grade A,235.0,10.0,600.0,T600x200,600.0,10.0,200.0,20.0,60.0,2400.0,200.0,0.0,1.3669,plate_induced,1.3669,0.9787,0.9787,168.26,FAIL
Grade A,235.0,10.0,600.0,T600x200,600.0,10.0,200.0,20.0,60.0,2400.0,120.0,40.0,0.8805,plate_induced,0.8805,0.5872,0.5872,168.26,PASS
Grade A,235.0,10.0,700.0,T250x90,250.0,10.0,90.0,12.0,25.0,2400.0,100.0,0.0,0.7977,plate_induced,0.7977,0.5084,0.6126,144.16,PASS
Grade A,235.0,10.0,700.0,T250x90,250.0,10.0,90.0,12.0,25.0,2400.0,150.0,0.0,1.1966,plate_induced,1.1966,0.7626,1.0984,144.16,FAIL
Grade A,235.0,10.0,700.0,T250x90,250.0,10.0,90.0,12.0,25.0,2400.0,200.0,0.0,1.5954,plate_induced,1.5954,1.0168,1.4646,144.16,FAIL
Grade A,235.0,10.0,700.0,T250x90,250.0,10.0,90.0,12.0,25.0,2400.0,120.0,40.0,1.0296,plate_induced,1.0296,0.6101,0.8787,144.16,FAIL
Grade A,235.0,10.0,700.0,T400x120,400.0,12.0,120.0,16.0,33.333,2400.0,100.0,0.0,0.7977,plate_induced,0.7977,0.4894,0.5875,144.16,PASS
Grade A,235.0,10.0,700.0,T400x120,400.0,12.0,120.0,16.0,33.333,2400.0,150.0,0.0,1.1966,plate_induced,1.1966,0.734,0.9489,144.16,FAIL
Grade A,235.0,10.0,700.0,T400x120,400.0,12.0,120.0,16.0,33.333,2400.0,200.0,0.0,1.5954,plate_induced,1.5954,0.9787,1.2652,144.16,FAIL
Grade A,235.0,10.0,700.0,T400x120,400.0,12.0,120.0,16.0,33.333,2400.0,120.0,40.0,1.0296,plate_induced,1.0296,0.5872,0.7591,144.16,FAIL
Grade A,235.0,10.0,700.0,T600x200,600.0,10.0,200.0,20.0,60.0,2400.0,100.0,0.0,0.7977,plate_induced,0.7977,0.4894,0.4894,144.16,PASS
Grade A,235.0,10.0,700.0,T600x200,600.0,10.0,200.0,20.0,60.0,2400.0,150.0,0.0,1.1966,plate_induced,1.1966,0.734,0.734,144.16,FAIL
Grade A,235.0,10.0,700.0,T600x200,600.0,10.0,200.0,20.0,60.0,2400.0,200.0,0.0,1.5954,plate_induced,1.5954,0.9787,0.9787,144.16,FAIL
Grade A,235.0,10.0,700.0,T600x200,600.0,10.0,200.0,20.0,60.0,2400.0,120.0,40.0,1.0296,plate_induced,1.0296,0.5872,0.5872,144.16,FAIL
Grade A,235.0,10.0,800.0,T250x90,250.0,10.0,90.0,12.0,25.0,2400.0,100.0,0.0,0.9883,plate_induced,0.9883,0.5106,0.6566,116.37,PASS
Grade A,235.0,10.0,800.0,T250x90,250.0,10.0,90.0,12.0,25.0,2400.0,150.0,0.0,1.4824,plate_induced,1.4824,0.7659,1.0984,116.37,FAIL
Grade A,235.0,10.0,800.0,T250x90,250.0,10.0,90.0,12.0,25.0,2400.0,200.0,0.0,1.9765,plate_induced,1.9765,1.0212,1.4646,116.37,FAIL
Grade A,235.0,10.0,800.0,T250x90,250.0,10.0,90.0,12.0,25.0,2400.0,120.0,40.0,1.2764,plate_induced,1.2764,0.6127,0.8787,116.37,FAIL
Grade A,235.0,10.0,800.0,T400x120,400.0,12.0,120.0,16.0,33.333,2400.0,100.0,0.0,0.9883,plate_induced,0.9883,0.4894,0.6065,116.37,PASS
Grade A,235.0,10.0,800.0,T400x120,400.0,12.0,120.0,16.0,33.333,2400.0,150.0,0.0,1.4824,plate_induced,1.4824,0.734,0.9489,116.37,FAIL
Grade A,235.0,10.0,800.0,T400x120,400.0,12.0,120.0,16.0,33.333,2400.0,200.0,0.0,1.9765,plate_induced,1.9765,0.9787,1.2652,116.37,FAIL
Grade A,235.0,10.0,800.0,T400x120,400.0,12.0,120.0,16.0,33.333,2400.0,120.0,40.0,1.2764,plate_induced,1.2764,0.5872,0.7591,116.37,FAIL
Grade A,235.0,10.0,800.0,T600x200,600.0,10.0,200.0,20.0,60.0,2400.0,100.0,0.0,0.9883,plate_induced,0.9883,0.4894,0.4894,116.37,PASS
Grade A,235.0,10.0,800.0,T600x200,600.0,10.0,200.0,20.0,60.0,2400.0,150.0,0.0,1.4824,plate_induced,1.4824,0.734,0.734,116.37,FAIL
Grade A,235.0,10.0,800.0,T600x200,600.0,10.0,200.0,20.0,60.0,2400.0,200.0,0.0,1.9765,plate_induced,1.9765,0.9787,0.9787,116.37,FAIL
Grade A,235.0,10.0,800.0,T600x200,600.0,10.0,200.0,20.0,60.0,2400.0,120.0,40.0,1.2764,plate_induced,1.2764,0.5872,0.5872,116.37,FAIL
Grade A,235.0,12.0,600.0,T250x90,250.0,10.0,90.0,12.0,25.0,2400.0,100.0,0.0,0.6096,plate_induced,0.6096,0.5085,0.576,188.65,PASS
Grade A,235.0,12.0,600.0,T250x90,250.0,10.0,90.0,12.0,25.0,2400.0,150.0,0.0,0.9144,plate_induced,0.9144,0.7627,0.883,188.65,PASS
Grade A,235.0,12.0,600.0,T250x90,250.0,10.0,90.0,12.0,25.0,2400.0,200.0,0.0,1.4646,torsional,1.2192,1.017,1.4646,157.04,FAIL
Grade A,235.0,12.0,600.0,T250x90,250.0,10.0,90.0,12.0,25.0,2400.0,120.0,40.0,0.7834,plate_induced,0.7834,0.6102,0.6993,188.65,PASS
Grade A,235.0,12.0,600.0,T400x120,400.0,12.0,120.0,16.0,33.333,2400.0,100.0,0.0,0.6096,plate_induced,0.6096,0.4894,0.5683,188.65,PASS
Grade A,235.0,12.0,600.0,T400x120,400.0,12.0,120.0,16.0,33.333,2400.0,150.0,0.0,0.9144,plate_induced,0.9144,0.734,0.8631,188.65,PASS
Grade A,235.0,12.0,600.0,T400x120,400.0,12.0,120.0,16.0,33.333,2400.0,200.0,0.0,1.2652,torsional,1.2192,0.9787,1.2652,181.79,FAIL
Grade A,235.0,12.0,600.0,T400x120,400.0,12.0,120.0,16.0,33.333,2400.0,120.0,40.0,0.7834,plate_induced,0.7834,0.5872,0.6866,188.65,PASS
Grade A,235.0,12.0,600.0,T600x200,600.0,10.0,200.0,20.0,60.0,2400.0,100.0,0.0,0.6096,plate_induced,0.6096,0.4894,0.4894,188.65,PASS
Grade A,235.0,12.0,600.0,T600x200,600.0,10.0,200.0,20.0,60.0,2400.0,150.0,0.0,0.9144,plate_induced,0.9144,0.734,0.734,188.65,PASS
Grade A,235.0,12.0,600.0,T600x200,600.0,10.0,200.0,20.0,60.0,2400.0,200.0,0.0,1.2192,plate_induced,1.2192,0.9787,0.9787,188.65,FAIL
Grade A,235.0,12.0,600.0,T600x200,600.0,10.0,200.0,20.0,60.0,2400.0,120.0,40.0,0.7834,plate_induced,0.7834,0.5872,0.5872,188.65,PASS
Grade A,235.0,12.0,700.0,T250x90,250.0,10.0,90.0,12.0,25.0,2400.0,100.0,0.0,0.6689,plate_induced,0.6689,0.5111,0.5827,171.92,PASS
Grade A,235.0,12.0,700.0,T250x90,250.0,10.0,90.0,12.0,25.0,2400.0,150.0,0.0,1.0034,plate_induced,1.0034,0.7667,0.923,171.92,FAIL
Grade A,235.0,12.0,700.0,T250x90,250.0,10.0,90.0,12.0,25.0,2400.0,200.0,0.0,1.4646,torsional,1.3378,1.0222,1.4646,157.04,FAIL
Grade A,235.0,12.0,700.0,T250x90,250.0,10.0,90.0,12.0,25.0,2400.0,120.0,40.0,0.861,plate_induced,0.861,0.6133,0.714,171.92,PASS
Grade A,235.0,12.0,700.0,T400x120,400.0,12.0,120.0,16.0,33.333,2400.0,100.0,0.0,0.6689,plate_induced,0.6689,0.4894,0.5721,171.92,PASS
Grade A,235.0,12.0,700.0,T400x120,400.0,12.0,120.0,16.0,33.333,2400.0,150.0,0.0,1.0034,plate_induced,1.0034,0.734,0.8831,171.92,FAIL
Grade A,235.0,12.0,700.0,T400x120,400.0,12.0,120.0,16.0,33.333,2400.0,200.0,0.0,1.3378,plate_induced,1.3378,0.9787,1.2652,171.92,FAIL
Grade A,235.0,12.0,700.0,T400x120,400.0,12.0,120.0,16.0,33.333,2400.0,120.0,40.0,0.861,plate_induced,0.861,0.5872,0.6945,171.92,PASS
Grade A,235.0,12.0,700.0,T600x200,600.0,10.0,200.0,20.0,60.0,2400.0,100.0,0.0,0.6689,plate_induced,0.6689,0.4894,0.4894,171.92,PASS
Grade A,235.0,12.0,700.0,T600x200,600.0,10.0,200.0,20.0,60.0,2400.0,150.0,0.0,1.0034,plate_induced,1.0034,0.734,0.734,171.92,FAIL
Grade A,235.0,12.0,700.0,T600x200,600.0,10.0,200.0,20.0,60.0,2400.0,200.0,0.0,1.3378,plate_induced,1.3378,0.9787,0.9787,171.92,FAIL
Grade A,235.0,12.0,700.0,T600x200,600.0,10.0,200.0,20.0,60.0,2400.0,120.0,40.0,0.861,plate_induced,0.861,0.5872,0.5872,171.92,PASS
Grade A,235.0,12.0,800.0,T250x90,250.0,10.0,90.0,12.0,25.0,2400.0,100.0,0.0,0.7536,plate_induced,0.7536,0.5138,0.5924,152.61,PASS
Grade A,235.0,12.0,800.0,T250x90,250.0,10.0,90.0,12.0,25.0,2400.0,150.0,0.0,1.1304,plate_induced,1.1304,0.7707,1.0984,152.61,FAIL
Grade A,235.0,12.0,800.0,T250x90,250.0,10.0,90.0,12.0,25.0,2400.0,200.0,0.0,1.5071,plate_induced,1.5071,1.0275,1.4646,152.61,FAIL
Grade A,235.0,12.0,800.0,T250x90,250.0,10.0,90.0,12.0,25.0,2400.0,120.0,40.0,0.971,plate_induced,0.971,0.6165,0.757,152.61,PASS
Grade A,235.0,12.0,800.0,T400x120,400.0,12.0,120.0,16.0,33.333,2400.0,100.0,0.0,0.7536,plate_induced,0.7536,0.4894,0.5773,152.61,PASS
Grade A,235.0,12.0,800.0,T400x120,400.0,12.0,120.0,16.0,33.333,2400.0,150.0,0.0,1.1304,plate_induced,1.1304,0.734,0.9489,152.61,FAIL
Grade A,235.0,12.0,800.0,T400x120,400.0,12.0,120.0,16.0,33.333,2400.0,200.0,0.0,1.5071,plate_induced,1.5071,0.9787,1.2652,152.61,FAIL
Grade A,235.0,12.0,800.0,T400x120,400.0,12.0,120.0,16.0,33.333,2400.0,120.0,40.0,0.971,plate_induced,0.971,0.5872,0.715,152.61,PASS
Grade A,235.0,12.0,800.0,T600x200,600.0,10.0,200.0,20.0,60.0,2400.0,100.0,0.0,0.7536,plate_induced,0.7536,0.4894,0.4894,152.61,PASS
Grade A,235.0,12.0,800.0,T600x200,600.0,10.0,200.0,20.0,60.0,2400.0,150.0,0.0,1.1304,plate_induced,1.1304,0.734,0.734,152.61,FAIL
Grade A,235.0,12.0,800.0,T600x200,600.0,10.0,200.0,20.0,60.0,2400.0,200.0,0.0,1.5071,plate_induced,1.5071,0.9787,0.9787,152.61,FAIL
Grade A,235.0,12.0,800.0,T600x200,600.0,10.0,200.0,20.0,60.0,2400.0,120.0,40.0,0.971,plate_induced,0.971,0.5872,0.5872,152.61,PASS
Grade A,235.0,14.0,600.0,T250x90,250.0,10.0,90.0,12.0,25.0,2400.0,100.0,0.0,0.5723,plate_induced,0.5723,0.5108,0.5656,200.95,PASS
Grade A,235.0,14.0,600.0,T250x90,250.0,10.0,90.0,12.0,25.0,2400.0,150.0,0.0,0.8584,plate_induced,0.8584,0.7662,0.8577,200.95,PASS
Grade A,235.0,14.0,600.0,T250x90,250.0,10.0,90.0,12.0,25.0,2400.0,200.0,0.0,1.2357,torsional,1.1446,1.0215,1.2357,186.12,FAIL
Grade A,235.0,14.0,600.0,T250x90,250.0,10.0,90.0,12.0,25.0,2400.0,120.0,40.0,0.7344,plate_induced,0.7344,0.6129,0.6833,200.95,PASS
Grade A,235.0,14.0,600.0,T400x120,400.0,12.0,120.0,16.0,33.333,2400.0,100.0,0.0,0.5723,plate_induced,0.5723,0.4894,0.5621,200.95,PASS
Grade A,235.0,14.0,600.0,T400x120,400.0,12.0,120.0,16.0,33.333,2400.0,150.0,0.0,0.8584,plate_induced,0.8584,0.734,0.8488,200.95,PASS
Grade A,235.0,14.0,600.0,T400x120,400.0,12.0,120.0,16.0,33.333,2400.0,200.0,0.0,1.1799,torsional,1.1446,0.9787,1.1799,194.93,FAIL
Grade A,235.0,14.0,600.0,T400x120,400.0,12.0,120.0,16.0,33.333,2400.0,120.0,40.0,0.7344,plate_induced,0.7344,0.5872,0.6773,200.95,PASS
Grade A,235.0,14.0,600.0,T600x200,600.0,10.0,200.0,20.0,60.0,2400.0,100.0,0.0,0.5723,plate_induced,0.5723,0.4894,0.4894,200.95,PASS
Grade A,235.0,14.0,600.0,T600x200,600.0,10.0,200.0,20.0,60.0,2400.0,150.0,0.0,0.8584,plate_induced,0.8584,0.734,0.734,200.95,PASS
Grade A,235.0,14.0,600.0,T600x200,600.0,10.0,200.0,20.0,60.0,2400.0,200.0,0.0,1.1446,plate_induced,1.1446,0.9787,0.9787,200.95,FAIL
Grade A,235.0,14.0,600.0,T600x200,600.0,10.0,200.0,20.0,60.0,2400.0,120.0,40.0,0.7344,plate_induced,0.7344,0.5872,0.5872,200.95,PASS
Grade A,235.0,14.0,700.0,T250x90,250.0,10.0,90.0,12.0,25.0,2400.0,100.0,0.0,0.6096,plate_induced,0.6096,0.5138,0.5693,188.65,PASS
Grade A,235.0,14.0,700.0,T250x90,250.0,10.0,90.0,12.0,25.0,2400.0,150.0,0.0,0.9144,plate_induced,0.9144,0.7708,0.8693,188.65,PASS
Grade A,235.0,14.0,700.0,T250x90,250.0,10.0,90.0,12.0,25.0,2400.0,200.0,0.0,1.4646,torsional,1.2192,1.0277,1.4646,157.04,FAIL
Grade A,235.0,14.0,700.0,T250x90,250.0,10.0,90.0,12.0,25.0,2400.0,120.0,40.0,0.7832,plate_induced,0.7832,0.6166,0.6897,188.65,PASS
Grade A,235.0,14.0,700.0,T400x120,400.0,12.0,120.0,16.0,33.333,2400.0,100.0,0.0,0.6096,plate_induced,0.6096,0.4894,0.5643,188.65,PASS
Grade A,235.0,14.0,700.0,T400x120,400.0,12.0,120.0,16.0,33.333,2400.0,150.0,0.0,0.9144,plate_induced,0.9144,0.734,0.8555,188.65,PASS
Grade A,235.0,14.0,700.0,T400x120,400.0,12.0,120.0,16.0,33.333,2400.0,200.0,0.0,1.2652,torsional,1.2192,0.9787,1.2652,181.79,FAIL
Grade A,235.0,14.0,700.0,T400x120,400.0,12.0,120.0,16.0,33.333,2400.0,120.0,40.0,0.7832,plate_induced,0.7832,0.5872,0.6811,188.65,PASS
Grade A,235.0,14.0,700.0,T600x200,600.0,10.0,200.0,20.0,60.0,2400.0,100.0,0.0,0.6096,plate_induced,0.6096,0.4894,0.4894,188.65,PASS
Grade A,235.0,14.0,700.0,T600x200,600.0,10.0,200.0,20.0,60.0,2400.0,150.0,0.0,0.9144,plate_induced,0.9144,0.734,0.734,188.65,PASS
Grade A,235.0,14.0,700.0,T600x200,600.0,10.0,200.0,20.0,60.0,2400.0,200.0,0.0,1.2192,plate_induced,1.2192,0.9787,0.9787,188.65,FAIL
Grade A,235.0,14.0,700.0,T600x200,600.0,10.0,200.0,20.0,60.0,2400.0,120.0,40.0,0.7832,plate_induced,0.7832,0.5872,0.5872,188.65,PASS
Grade A,235.0,14.0,800.0,T250x90,250.0,10.0,90.0,12.0,25.0,2400.0,100.0,0.0,0.6592,plate_induced,0.6592,0.5169,0.5738,174.47,PASS
Grade A,235.0,14.0,800.0,T250x90,250.0,10.0,90.0,12.0,25.0,2400.0,150.0,0.0,0.9887,plate_induced,0.9887,0.7753,0.8947,174.47,PASS
Grade A,235.0,14.0,800.0,T250x90,250.0,10.0,90.0,12.0,25.0,2400.0,200.0,0.0,1.4646,torsional,1.3183,1.0338,1.4646,157.04,FAIL
Grade A,235.0,14.0,800.0,T250x90,250.0,10.0,90.0,12.0,25.0,2400.0,120.0,40.0,0.8477,plate_induced,0.8477,0.6203,0.6996,174.47,PASS
Grade A,235.0,14.0,800.0,T400x120,400.0,12.0,120.0,16.0,33.333,2400.0,100.0,0.0,0.6592,plate_induced,0.6592,0.4894,0.567,174.47,PASS
Grade A,235.0,14.0,800.0,T400x120,400.0,12.0,120.0,16.0,33.333,2400.0,150.0,0.0,0.9887,plate_induced,0.9887,0.734,0.8692,174.47,PASS
Grade A,235.0,14.0,800.0,T400x120,400.0,12.0,120.0,16.0,33.333,2400.0,200.0,0.0,1.3183,plate_induced,1.3183,0.9787,1.2652,174.47,FAIL
Grade A,235.0,14.0,800.0,T400x120,400.0,12.0,120.0,16.0,33.333,2400.0,120.0,40.0,0.8477,plate_induced,0.8477,0.5872,0.6867,174.47,PASS
Grade A,235.0,14.0,800.0,T600x200,600.0,10.0,200.0,20.0,60.0,2400.0,100.0,0.0,0.6592,plate_induced,0.6592,0.4894,0.4894,174.47,PASS
Grade A,235.0,14.0,800.0,T600x200,600.0,10.0,200.0,20.0,60.0,2400.0,150.0,0.0,0.9887,plate_induced,0.9887,0.734,0.734,174.47,PASS
Grade A,235.0,14.0,800.0,T600x200,600.0,10.0,200.0,20.0,60.0,2400.0,200.0,0.0,1.3183,plate_induced,1.3183,0.9787,0.9787,174.47,FAIL
Grade A,235.0,14.0,800.0,T600x200,600.0,10.0,200.0,20.0,60.0,2400.0,120.0,40.0,0.8477,plate_induced,0.8477,0.5872,0.5872,174.47,PASS
Grade A,235.0,16.0,600.0,T250x90,250.0,10.0,90.0,12.0,25.0,2400.0,100.0,0.0,0.5598,torsional,0.5504,0.513,0.5598,205.43,PASS
Grade A,235.0,16.0,600.0,T250x90,250.0,10.0,90.0,12.0,25.0,2400.0,150.0,0.0,0.8452,torsional,0.8256,0.7696,0.8452,204.09,PASS
Grade A,235.0,16.0,600.0,T250x90,250.0,10.0,90.0,12.0,25.0,2400.0,200.0,0.0,1.1562,torsional,1.1008,1.0261,1.1562,198.93,FAIL
Grade A,235.0,16.0,600.0,T250x90,250.0,10.0,90.0,12.0,25.0,2400.0,120.0,40.0,0.7057,plate_induced,0.7057,0.6156,0.6746,208.93,PASS
Grade A,235.0,16.0,600.0,T400x120,400.0,12.0,120.0,16.0,33.333,2400.0,100.0,0.0,0.5584,torsional,0.5504,0.4894,0.5584,205.94,PASS
Grade A,235.0,16.0,600.0,T400x120,400.0,12.0,120.0,16.0,33.333,2400.0,150.0,0.0,0.8411,torsional,0.8256,0.734,0.8411,205.08,PASS
Grade A,235.0,16.0,600.0,T400x120,400.0,12.0,120.0,16.0,33.333,2400.0,200.0,0.0,1.139,torsional,1.1008,0.9787,1.139,201.94,FAIL
Grade A,235.0,16.0,600.0,T400x120,400.0,12.0,120.0,16.0,33.333,2400.0,120.0,40.0,0.7057,plate_induced,0.7057,0.5872,0.6719,208.93,PASS
Grade A,235.0,16.0,600.0,T600x200,600.0,10.0,200.0,20.0,60.0,2400.0,100.0,0.0,0.5504,plate_induced,0.5504,0.4894,0.4894,208.93,PASS
Grade A,235.0,16.0,600.0,T600x200,600.0,10.0,200.0,20.0,60.0,2400.0,150.0,0.0,0.8256,plate_induced,0.8256,0.734,0.734,208.93,PASS
