grade,fy,thickness_mm,width_mm,length_mm,aspect,slenderness_beta,sigma_x,sigma_y,tau,utilization,critical_stress_mpa,safety_factor,governing,status
Grade A,235.0,10.0,800.0,2400.0,3.0,2.702,120.0,0.0,40.0,1.2764,116.37,0.7835,plate_buckling,FAIL
Grade A,235.0,10.0,800.0,2400.0,3.0,2.702,120.0,60.0,0.0,1.1859,116.37,0.8432,plate_buckling,FAIL
Grade A,235.0,10.0,800.0,2400.0,3.0,2.702,100.0,50.0,50.0,1.1296,116.37,0.8853,plate_buckling,FAIL
Grade A,235.0,10.0,1000.0,2400.0,2.4,3.3775,100.0,0.0,0.0,1.5442,74.47,0.6476,plate_buckling,FAIL
Grade A,235.0,10.0,1000.0,2400.0,2.4,3.3775,150.0,0.0,0.0,2.3162,74.47,0.4317,plate_buckling,FAIL
Grade A,235.0,10.0,1000.0,2400.0,2.4,3.3775,200.0,0.0,0.0,3.0883,74.47,0.3238,plate_buckling,FAIL
Grade A,235.0,10.0,1000.0,2400.0,2.4,3.3775,120.0,0.0,40.0,2.0206,74.47,0.4949,plate_buckling,FAIL
Grade A,235.0,10.0,1000.0,2400.0,2.4,3.3775,120.0,60.0,0.0,1.853,74.47,0.5397,plate_buckling,FAIL
Grade A,235.0,10.0,1000.0,2400.0,2.4,3.3775,100.0,50.0,50.0,1.8061,74.47,0.5537,plate_buckling,FAIL
Grade A,235.0,11.0,600.0,2400.0,4.0,1.8423,100.0,0.0,0.0,0.6394,179.84,1.5639,plate_buckling,PASS
Grade A,235.0,11.0,600.0,2400.0,4.0,1.8423,150.0,0.0,0.0,0.9592,179.84,1.0426,plate_buckling,PASS
Grade A,235.0,11.0,600.0,2400.0,4.0,1.8423,200.0,0.0,0.0,1.2789,179.84,0.7819,plate_buckling,FAIL
Grade A,235.0,11.0,600.0,2400.0,4.0,1.8423,120.0,0.0,40.0,0.8227,179.84,1.2155,plate_buckling,PASS
Grade A,235.0,11.0,600.0,2400.0,4.0,1.8423,120.0,60.0,0.0,0.7673,179.84,1.3032,plate_buckling,PASS
Grade A,235.0,11.0,600.0,2400.0,4.0,1.8423,100.0,50.0,50.0,0.7259,179.84,1.3776,plate_buckling,PASS
Grade A,235.0,11.0,800.0,2400.0,3.0,2.4564,100.0,0.0,0.0,0.8397,136.95,1.1908,plate_buckling,PASS
Grade A,235.0,11.0,800.0,2400.0,3.0,2.4564,150.0,0.0,0.0,1.2596,136.95,0.7939,plate_buckling,FAIL
Grade A,235.0,11.0,800.0,2400.0,3.0,2.4564,200.0,0.0,0.0,1.6795,136.95,0.5954,plate_buckling,FAIL
Grade A,235.0,11.0,800.0,2400.0,3.0,2.4564,120.0,0.0,40.0,1.0834,136.95,0.923,plate_buckling,FAIL
Grade A,235.0,11.0,800.0,2400.0,3.0,2.4564,120.0,60.0,0.0,1.0077,136.95,0.9924,plate_buckling,FAIL
Grade A,235.0,11.0,800.0,2400.0,3.0,2.4564,100.0,50.0,50.0,0.958,136.95,1.0438,plate_buckling,PASS
Grade A,235.0,11.0,1000.0,2400.0,2.4,3.0705,100.0,0.0,0.0,1.2762,90.11,0.7836,plate_buckling,FAIL
Grade A,235.0,11.0,1000.0,2400.0,2.4,3.0705,150.0,0.0,0.0,1.9143,90.11,0.5224,plate_buckling,FAIL
Grade A,235.0,11.0,1000.0,2400.0,2.4,3.0705,200.0,0.0,0.0,2.5523,90.11,0.3918,plate_buckling,FAIL
Grade A,235.0,11.0,1000.0,2400.0,2.4,3.0705,120.0,0.0,40.0,1.6502,90.11,0.606,plate_buckling,FAIL
Grade A,235.0,11.0,1000.0,2400.0,2.4,3.0705,120.0,60.0,0.0,1.5314,90.11,0.653,plate_buckling,FAIL
Grade A,235.0,11.0,1000.0,2400.0,2.4,3.0705,100.0,50.0,50.0,1.4618,90.11,0.6841,plate_buckling,FAIL
Grade A,235.0,12.0,600.0,2400.0,4.0,1.6888,100.0,0.0,0.0,0.6096,188.65,1.6405,plate_buckling,PASS
Grade A,235.0,12.0,600.0,2400.0,4.0,1.6888,150.0,0.0,0.0,0.9144,188.65,1.0936,plate_buckling,PASS
Grade A,235.0,12.0,600.0,2400.0,4.0,1.6888,200.0,0.0,0.0,1.2192,188.65,0.8202,plate_buckling,FAIL
Grade A,235.0,12.0,600.0,2400.0,4.0,1.6888,120.0,0.0,40.0,0.7834,188.65,1.2764,plate_buckling,PASS
Grade A,235.0,12.0,600.0,2400.0,4.0,1.6888,120.0,60.0,0.0,0.7315,188.65,1.3671,plate_buckling,PASS
Grade A,235.0,12.0,600.0,2400.0,4.0,1.6888,100.0,50.0,50.0,0.6907,188.65,1.4477,plate_buckling,PASS
Grade A,235.0,12.0,800.0,2400.0,3.0,2.2517,100.0,0.0,0.0,0.7536,152.61,1.327,plate_buckling,PASS
Grade A,235.0,12.0,800.0,2400.0,3.0,2.2517,150.0,0.0,0.0,1.1304,152.61,0.8847,plate_buckling,FAIL
Grade A,235.0,12.0,800.0,2400.0,3.0,2.2517,200.0,0.0,0.0,1.5071,152.61,0.6635,plate_buckling,FAIL
Grade A,235.0,12.0,800.0,2400.0,3.0,2.2517,120.0,0.0,40.0,0.971,152.61,1.0298,plate_buckling,PASS
Grade A,235.0,12.0,800.0,2400.0,3.0,2.2517,120.0,60.0,0.0,0.9043,152.61,1.1058,plate_buckling,PASS
Grade A,235.0,12.0,800.0,2400.0,3.0,2.2517,100.0,50.0,50.0,0.8579,152.61,1.1657,plate_buckling,PASS
Grade A,235.0,12.0,1000.0,2400.0,2.4,2.8146,100.0,0.0,0.0,1.0723,107.24,0.9325,plate_buckling,FAIL
Grade A,235.0,12.0,1000.0,2400.0,2.4,2.8146,150.0,0.0,0.0,1.6085,107.24,0.6217,plate_buckling,FAIL
Grade A,235.0,12.0,1000.0,2400.0,2.4,2.8146,200.0,0.0,0.0,2.1447,107.24,0.4663,plate_buckling,FAIL
Grade A,235.0,12.0,1000.0,2400.0,2.4,2.8146,120.0,0.0,40.0,1.3813,107.24,0.724,plate_buckling,FAIL
Grade A,235.0,12.0,1000.0,2400.0,2.4,2.8146,120.0,60.0,0.0,1.2868,107.24,0.7771,plate_buckling,FAIL
Grade A,235.0,12.0,1000.0,2400.0,2.4,2.8146,100.0,50.0,50.0,1.2199,107.24,0.8197,plate_buckling,FAIL
Grade A,235.0,13.0,600.0,2400.0,4.0,1.5589,100.0,0.0,0.0,0.5882,195.51,1.7001,plate_buckling,PASS
Grade A,235.0,13.0,600.0,2400.0,4.0,1.5589,150.0,0.0,0.0,0.8823,195.51,1.1334,plate_buckling,PASS
Grade A,235.0,13.0,600.0,2400.0,4.0,1.5589,200.0,0.0,0.0,1.1764,195.51,0.85,plate_buckling,FAIL
Grade A,235.0,13.0,600.0,2400.0,4.0,1.5589,120.0,0.0,40.0,0.7554,195.51,1.3239,plate_buckling,PASS
Grade A,235.0,13.0,600.0,2400.0,4.0,1.5589,120.0,60.0,0.0,0.7058,195.51,1.4167,plate_buckling,PASS
Grade A,235.0,13.0,600.0,2400.0,4.0,1.5589,100.0,50.0,50.0,0.6656,195.51,1.5025,plate_buckling,PASS
Grade A,235.0,13.0,800.0,2400.0,3.0,2.0785,100.0,0.0,0.0,0.6978,164.8,1.433,plate_buckling,PASS
Grade A,235.0,13.0,800.0,2400.0,3.0,2.0785,150.0,0.0,0.0,1.0468,164.8,0.9553,plate_buckling,FAIL
Grade A,235.0,13.0,800.0,2400.0,3.0,2.0785,200.0,0.0,0.0,1.3957,164.8,0.7165,plate_buckling,FAIL
Grade A,235.0,13.0,800.0,2400.0,3.0,2.0785,120.0,0.0,40.0,0.8983,164.8,1.1133,plate_buckling,PASS
Grade A,235.0,13.0,800.0,2400.0,3.0,2.0785,120.0,60.0,0.0,0.8374,164.8,1.1942,plate_buckling,PASS
Grade A,235.0,13.0,800.0,2400.0,3.0,2.0785,100.0,50.0,50.0,0.7929,164.8,1.2611,plate_buckling,PASS
Grade A,235.0,13.0,1000.0,2400.0,2.4,2.5981,100.0,0.0,0.0,0.9178,125.31,1.0896,plate_buckling,PASS
Grade A,235.0,13.0,1000.0,2400.0,2.4,2.5981,150.0,0.0,0.0,1.3766,125.31,0.7264,plate_buckling,FAIL
Grade A,235.0,13.0,1000.0,2400.0,2.4,2.5981,200.0,0.0,0.0,1.8355,125.31,0.5448,plate_buckling,FAIL
Grade A,235.0,13.0,1000.0,2400.0,2.4,2.5981,120.0,0.0,40.0,1.1817,125.31,0.8463,plate_buckling,FAIL
Grade A,235.0,13.0,1000.0,2400.0,2.4,2.5981,120.0,60.0,0.0,1.1013,125.31,0.908,plate_buckling,FAIL
Grade A,235.0,13.0,1000.0,2400.0,2.4,2.5981,100.0,50.0,50.0,1.0433,125.31,0.9585,plate_buckling,FAIL
Grade A,235.0,14.0,600.0,2400.0,4.0,1.4475,100.0,0.0,0.0,0.5723,200.95,1.7474,plate_buckling,PASS
Grade A,235.0,14.0,600.0,2400.0,4.0,1.4475,150.0,0.0,0.0,0.8584,200.95,1.1649,plate_buckling,PASS
Grade A,235.0,14.0,600.0,2400.0,4.0,1.4475,200.0,0.0,0.0,1.1446,200.95,0.8737,plate_buckling,FAIL
Grade A,235.0,14.0,600.0,2400.0,4.0,1.4475,120.0,0.0,40.0,0.7344,200.95,1.3616,plate_buckling,PASS
Grade A,235.0,14.0,600.0,2400.0,4.0,1.4475,120.0,60.0,0.0,0.6867,200.95,1.4562,plate_buckling,PASS
Grade A,235.0,14.0,600.0,2400.0,4.0,1.4475,100.0,50.0,50.0,0.6468,200.95,1.5461,plate_buckling,PASS
Grade A,235.0,14.0,800.0,2400.0,3.0,1.93,100.0,0.0,0.0,0.6592,174.47,1.5171,plate_buckling,PASS
Grade A,235.0,14.0,800.0,2400.0,3.0,1.93,150.0,0.0,0.0,0.9887,174.47,1.0114,plate_buckling,PASS
Grade A,235.0,14.0,800.0,2400.0,3.0,1.93,200.0,0.0,0.0,1.3183,174.47,0.7586,plate_buckling,FAIL
Grade A,235.0,14.0,800.0,2400.0,3.0,1.93,120.0,0.0,40.0,0.8477,174.47,1.1797,plate_buckling,PASS
Grade A,235.0,14.0,800.0,2400.0,3.0,1.93,120.0,60.0,0.0,0.791,174.47,1.2643,plate_buckling,PASS
Grade A,235.0,14.0,800.0,2400.0,3.0,1.93,100.0,50.0,50.0,0.7478,174.47,1.3373,plate_buckling,PASS
Grade A,235.0,14.0,1000.0,2400.0,2.4,2.4125,100.0,0.0,0.0,0.819,140.42,1.221,plate_buckling,PASS
Grade A,235.0,14.0,1000.0,2400.0,2.4,2.4125,150.0,0.0,0.0,1.2285,140.42,0.814,plate_buckling,FAIL
Grade A,235.0,14.0,1000.0,2400.0,2.4,2.4125,200.0,0.0,0.0,1.638,140.42,0.6105,plate_buckling,FAIL
Grade A,235.0,14.0,1000.0,2400.0,2.4,2.4125,120.0,0.0,40.0,1.0541,140.42,0.9487,plate_buckling,FAIL
Grade A,235.0,14.0,1000.0,2400.0,2.4,2.4125,120.0,60.0,0.0,0.9828,140.42,1.0175,plate_buckling,PASS
Grade A,235.0,14.0,1000.0,2400.0,2.4,2.4125,100.0,50.0,50.0,0.9304,140.42,1.0749,plate_buckling,PASS
Grade A,235.0,15.0,600.0,2400.0,4.0,1.351,100.0,0.0,0.0,0.5601,205.34,1.7856,plate_buckling,PASS
Grade A,235.0,15.0,600.0,2400.0,4.0,1.351,150.0,0.0,0.0,0.8401,205.34,1.1904,plate_buckling,PASS
Grade A,235.0,15.0,600.0,2400.0,4.0,1.351,200.0,0.0,0.0,1.1201,205.34,0.8928,plate_buckling,FAIL
Grade A,235.0,15.0,600.0,2400.0,4.0,1.351,120.0,0.0,40.0,0.7184,205.34,1.3921,plate_buckling,PASS
Grade A,235.0,15.0,600.0,2400.0,4.0,1.351,120.0,60.0,0.0,0.6721,205.34,1.488,plate_buckling,PASS
Grade A,235.0,15.0,600.0,2400.0,4.0,1.351,100.0,50.0,50.0,0.6324,205.34,1.5813,plate_buckling,PASS
Grade A,235.0,15.0,800.0,2400.0,3.0,1.8014,100.0,0.0,0.0,0.6309,182.27,1.5849,plate_buckling,PASS
Grade A,235.0,15.0,800.0,2400.0,3.0,1.8014,150.0,0.0,0.0,0.9464,182.27,1.0566,plate_buckling,PASS
Grade A,235.0,15.0,800.0,2400.0,3.0,1.8014,200.0,0.0,0.0,1.2619,182.27,0.7925,plate_buckling,FAIL
Grade A,235.0,15.0,800.0,2400.0,3.0,1.8014,120.0,0.0,40.0,0.8108,182.27,1.2333,plate_buckling,PASS
Grade A,235.0,15.0,800.0,2400.0,3.0,1.8014,120.0,60.0,0.0,0.7571,182.27,1.3208,plate_buckling,PASS
Grade A,235.0,15.0,800.0,2400.0,3.0,1.8014,100.0,50.0,50.0,0.7148,182.27,1.399,plate_buckling,PASS
Grade A,235.0,15.0,1000.0,2400.0,2.4,2.2517,100.0,0.0,0.0,0.7536,152.61,1.327,plate_buckling,PASS
Grade A,235.0,15.0,1000.0,2400.0,2.4,2.2517,150.0,0.0,0.0,1.1304,152.61,0.8847,plate_buckling,FAIL
Grade A,235.0,15.0,1000.0,2400.0,2.4,2.2517,200.0,0.0,0.0,1.5071,152.61,0.6635,plate_buckling,FAIL
Grade A,235.0,15.0,1000.0,2400.0,2.4,2.2517,120.0,0.0,40.0,0.9693,152.61,1.0317,plate_buckling,PASS
Grade A,235.0,15.0,1000.0,2400.0,2.4,2.2517,120.0,60.0,0.0,0.9043,152.61,1.1058,plate_buckling,PASS
Grade A,235.0,15.0,1000.0,2400.0,2.4,2.2517,100.0,50.0,50.0,0.8552,152.61,1.1693,plate_buckling,PASS
Grade A,235.0,16.0,600.0,2400.0,4.0,1.2666,100.0,0.0,0.0,0.5504,208.93,1.8168,plate_buckling,PASS
Grade A,235.0,16.0,600.0,2400.0,4.0,1.2666,150.0,0.0,0.0,0.8256,208.93,1.2112,plate_buckling,PASS
Grade A,235.0,16.0,600.0,2400.0,4.0,1.2666,200.0,0.0,0.0,1.1008,208.93,0.9084,plate_buckling,FAIL
Grade A,235.0,16.0,600.0,2400.0,4.0,1.2666,120.0,0.0,40.0,0.7057,208.93,1.417,plate_buckling,PASS
Grade A,235.0,16.0,600.0,2400.0,4.0,1.2666,120.0,60.0,0.0,0.6605,208.93,1.514,plate_buckling,PASS
Grade A,235.0,16.0,600.0,2400.0,4.0,1.2666,100.0,50.0,50.0,0.6211,208.93,1.6101,plate_buckling,PASS
Grade A,235.0,16.0,800.0,2400.0,3.0,1.6888,100.0,0.0,0.0,0.6096,188.65,1.6405,plate_buckling,PASS
Grade A,235.0,16.0,800.0,2400.0,3.0,1.6888,150.0,0.0,0.0,0.9144,188.65,1.0936,plate_buckling,PASS
Grade A,235.0,16.0,800.0,2400.0,3.0,1.6888,200.0,0.0,0.0,1.2192,188.65,0.8202,plate_buckling,FAIL
Grade A,235.0,16.0,800.0,2400.0,3.0,1.6888,120.0,0.0,40.0,0.7829,188.65,1.2774,plate_buckling,PASS
Grade A,235.0,16.0,800.0,2400.0,3.0,1.6888,120.0,60.0,0.0,0.7315,188.65,1.3671,plate_buckling,PASS
Grade A,235.0,16.0,800.0,2400.0,3.0,1.6888,100.0,50.0,50.0,0.6899,188.65,1.4496,plate_buckling,PASS
Grade A,235.0,16.0,1000.0,2400.0,2.4,2.111,100.0,0.0,0.0,0.7073,162.58,1.4138,plate_buckling,PASS
Grade A,235.0,16.0,1000.0,2400.0,2.4,2.111,150.0,0.0,0.0,1.061,162.58,0.9425,plate_buckling,FAIL
Grade A,235.0,16.0,1000.0,2400.0,2.4,2.111,200.0,0.0,0.0,1.4146,162.58,0.7069,plate_buckling,FAIL
Grade A,235.0,16.0,1000.0,2400.0,2.4,2.111,120.0,0.0,40.0,0.9093,162.58,1.0997,plate_buckling,PASS
Grade A,235.0,16.0,1000.0,2400.0,2.4,2.111,120.0,60.0,0.0,0.8488,162.58,1.1781,plate_buckling,PASS
Grade A,235.0,16.0,1000.0,2400.0,2.4,2.111,100.0,50.0,50.0,0.8019,162.58,1.2471,plate_buckling,PASS
Grade A,235.0,17.0,600.0,2400.0,4.0,1.1921,100.0,0.0,0.0,0.5427,211.91,1.8427,plate_buckling,PASS
Grade A,235.0,17.0,600.0,2400.0,4.0,1.1921,150.0,0.0,0.0,0.814,211.91,1.2284,plate_buckling,PASS
Grade A,235.0,17.0,600.0,2400.0,4.0,1.1921,200.0,0.0,0.0,1.0854,211.91,0.9213,plate_buckling,FAIL
Grade A,235.0,17.0,600.0,2400.0,4.0,1.1921,120.0,0.0,40.0,0.6956,211.91,1.4377,plate_buckling,PASS
Grade A,235.0,17.0,600.0,2400.0,4.0,1.1921,120.0,60.0,0.0,0.6512,211.91,1.5356,plate_buckling,PASS
Grade A,235.0,17.0,600.0,2400.0,4.0,1.1921,100.0,50.0,50.0,0.612,211.91,1.6341,plate_buckling,PASS
Grade A,235.0,17.0,800.0,2400.0,3.0,1.5894,100.0,0.0,0.0,0.5929,193.95,1.6865,plate_buckling,PASS
Grade A,235.0,17.0,800.0,2400.0,3.0,1.5894,150.0,0.0,0.0,0.8894,193.95,1.1243,plate_buckling,PASS
Grade A,235.0,17.0,800.0,2400.0,3.0,1.5894,200.0,0.0,0.0,1.1859,193.95,0.8432,plate_buckling,FAIL
Grade A,235.0,17.0,800.0,2400.0,3.0,1.5894,120.0,0.0,40.0,0.7611,193.95,1.3139,plate_buckling,PASS
Grade A,235.0,17.0,800.0,2400.0,3.0,1.5894,120.0,60.0,0.0,0.7115,193.95,1.4054,plate_buckling,PASS
Grade A,235.0,17.0,800.0,2400.0,3.0,1.5894,100.0,50.0,50.0,0.6704,193.95,1.4916,plate_buckling,PASS
Grade A,235.0,17.0,1000.0,2400.0,2.4,1.9868,100.0,0.0,0.0,0.6731,170.85,1.4857,plate_buckling,PASS
Grade A,235.0,17.0,1000.0,2400.0,2.4,1.9868,150.0,0.0,0.0,1.0096,170.85,0.9905,plate_buckling,FAIL
Grade A,235.0,17.0,1000.0,2400.0,2.4,1.9868,200.0,0.0,0.0,1.3462,170.85,0.7428,plate_buckling,FAIL
Grade A,235.0,17.0,1000.0,2400.0,2.4,1.9868,120.0,0.0,40.0,0.8648,170.85,1.1563,plate_buckling,PASS
Grade A,235.0,17.0,1000.0,2400.0,2.4,1.9868,120.0,60.0,0.0,0.8077,170.85,1.2381,plate_buckling,PASS
Grade A,235.0,17.0,1000.0,2400.0,2.4,1.9868,100.0,50.0,50.0,0.7623,170.85,1.3118,plate_buckling,PASS
Grade A,235.0,18.0,600.0,2400.0,4.0,1.1258,100.0,0.0,0.0,0.5364,214.4,1.8644,plate_buckling,PASS
Grade A,235.0,18.0,600.0,2400.0,4.0,1.1258,150.0,0.0,0.0,0.8046,214.4,1.2429,plate_buckling,PASS
Grade A,235.0,18.0,600.0,2400.0,4.0,1.1258,200.0,0.0,0.0,1.0728,214.4,0.9322,plate_buckling,FAIL
Grade A,235.0,18.0,600.0,2400.0,4.0,1.1258,120.0,0.0,40.0,0.6873,214.4,1.455,plate_buckling,PASS
Grade A,235.0,18.0,600.0,2400.0,4.0,1.1258,120.0,60.0,0.0,0.6437,214.4,1.5536,plate_buckling,PASS
Grade A,235.0,18.0,600.0,2400.0,4.0,1.1258,100.0,50.0,50.0,0.6045,214.4,1.6542,plate_buckling,PASS
Grade A,235.0,18.0,800.0,2400.0,3.0,1.5011,100.0,0.0,0.0,0.5797,198.38,1.7251,plate_buckling,PASS
Grade A,235.0,18.0,800.0,2400.0,3.0,1.5011,150.0,0.0,0.0,0.8695,198.38,1.15,plate_buckling,PASS
Grade A,235.0,18.0,800.0,2400.0,3.0,1.5011,200.0,0.0,0.0,1.1594,198.38,0.8625,plate_buckling,FAIL
Grade A,235.0,18.0,800.0,2400.0,3.0,1.5011,120.0,0.0,40.0,0.7438,198.38,1.3445,plate_buckling,PASS
Grade A,235.0,18.0,800.0,2400.0,3.0,1.5011,120.0,60.0,0.0,0.6956,198.38,1.4375,plate_buckling,PASS
Grade A,235.0,18.0,800.0,2400.0,3.0,1.5011,100.0,50.0,50.0,0.6549,198.38,1.527,plate_buckling,PASS
Grade A,235.0,18.0,1000.0,2400.0,2.4,1.8764,100.0,0.0,0.0,0.6469,177.78,1.5459,plate_buckling,PASS
Grade A,235.0,18.0,1000.0,2400.0,2.4,1.8764,150.0,0.0,0.0,0.9703,177.78,1.0306,plate_buckling,PASS
Grade A,235.0,18.0,1000.0,2400.0,2.4,1.8764,200.0,0.0,0.0,1.2937,177.78,0.773,plate_buckling,FAIL
Grade A,235.0,18.0,1000.0,2400.0,2.4,1.8764,120.0,0.0,40.0,0.8307,177.78,1.2038,plate_buckling,PASS
Grade A,235.0,18.0,1000.0,2400.0,2.4,1.8764,120.0,60.0,0.0,0.7762,177.78,1.2883,plate_buckling,PASS
Grade A,235.0,18.0,1000.0,2400.0,2.4,1.8764,100.0,50.0,50.0,0.732,177.78,1.3661,plate_buckling,PASS
Grade A,235.0,19.0,600.0,2400.0,4.0,1.0666,100.0,0.0,0.0,0.5311,216.51,1.8827,plate_buckling,PASS
Grade A,235.0,19.0,600.0,2400.0,4.0,1.0666,150.0,0.0,0.0,0.7967,216.51,1.2551,plate_buckling,PASS
Grade A,235.0,19.0,600.0,2400.0,4.0,1.0666,200.0,0.0,0.0,1.0623,216.51,0.9414,plate_buckling,FAIL
Grade A,235.0,19.0,600.0,2400.0,4.0,1.0666,120.0,0.0,40.0,0.6804,216.51,1.4697,plate_buckling,PASS
