Moorings,AQWA Direction,True Heading,Wind Speed,Tug,Surge (X),Sway (Y),Heave (Z),Roll (RX),Pitch (RY),Yaw (RZ)
Line1 80 Te Brake,15,151.28,44.704,FALSE,5.220041,-1.5689228,-0.0241015,0.23607134,-0.032668703,-4.5229491
Line1 80 Te Brake,30,136.28,53.6448,FALSE,2.561289,1.5975735,-0.032739,0.32328391,-0.032785196,-1.1786825
All intact,0,166.28,44.704,TRUE,4.339693,-6.1289547,-0.0085438,0.0813643,-0.015582035,-5.6187533
All intact,15,151.28,44.704,TRUE,0.915594,0.71689164,-0.0138252,0.13552306,-0.015013969,-0.39604234
All intact,30,136.28,44.704,TRUE,0.671225,1.25565529,-0.0245474,0.24167058,-0.009758175,-0.44761976
All intact,45,121.28,44.704,TRUE,0.420233,1.6511465,-0.0329111,0.32480002,-0.00356065,-0.57869127
All intact,60,106.28,44.704,TRUE,0.086382,1.9325621,-0.0389493,0.38497463,0.003626111,-0.64459636
All intact,75,91.28,44.704,TRUE,-0.295183,2.0953603,-0.0426567,0.42201603,0.010964266,-0.65323439
All intact,90,76.28,44.704,TRUE,-0.722998,2.0761119,-0.0429276,0.42425582,0.018730906,-0.57039388
All intact,0,166.28,53.6448,TRUE,5.490442,-6.627929,-0.0150688,0.14367748,-0.023125943,-6.9470881
All intact,15,151.28,53.6448,TRUE,2.021971,0.69020596,-0.01978,0.19412212,-0.0263698,-1.0766506
All intact,30,136.28,53.6448,TRUE,1.376673,1.6763309,-0.0334285,0.329651,-0.018755347,-0.70674422
All intact,45,121.28,53.6448,TRUE,0.989962,2.2158948,-0.0439833,0.43513552,-0.009954122,-0.86337163
All intact,60,106.28,53.6448,TRUE,0.496187,2.5874443,-0.0513537,0.50870225,0.000342122,-0.9018812
All intact,75,91.28,53.6448,TRUE,-0.044928,2.8057511,-0.0560358,0.5553718,0.010397994,-0.87177529
All intact,90,76.28,53.6448,TRUE,-0.639975,2.7764177,-0.0561746,0.55638132,0.019797889,-0.77504709
Line 6 Gone,0,166.28,44.704,TRUE,4.339674,-6.1288774,-0.0085433,0.081358794,-0.015577453,-5.6186852
Line 6 Gone,15,151.28,44.704,TRUE,0.885221,0.75102526,-0.0137418,0.13473273,-0.015031662,-0.39350539
Line 6 Gone,30,136.28,44.704,TRUE,0.569853,1.37446743,-0.024318,0.23961603,-0.009024267,-0.49845263
Line 6 Gone,45,121.28,44.704,TRUE,0.263708,1.8326697,-0.0323523,0.31981779,-0.002853837,-0.65425655
Line 6 Gone,60,106.28,44.704,TRUE,-0.119837,2.1665062,-0.0381582,0.37804172,0.004331295,-0.73905625
Line 6 Gone,75,91.28,44.704,TRUE,-0.562159,2.3457984,-0.041364,0.40967533,0.012190808,-0.72209796
Line 6 Gone,90,76.28,44.704,TRUE,-0.997461,2.3599325,-0.0417331,0.41392857,0.018979024,-0.6952612
Line 6 Gone,0,166.28,53.6448,TRUE,5.490335,-6.6275346,-0.0150683,0.14367092,-0.023122546,-6.9467424
Line 6 Gone,15,151.28,53.6448,TRUE,2.021013,0.69137257,-0.0197695,0.19402466,-0.026371044,-1.0762562
Line 6 Gone,30,136.28,53.6448,TRUE,1.269739,1.8118235,-0.0329049,0.32490132,-0.01835803,-0.73840561
Line 6 Gone,45,121.28,53.6448,TRUE,0.811609,2.4251511,-0.0429152,0.42537284,-0.00872586,-0.9107764
Line 6 Gone,60,106.28,53.6448,TRUE,0.259935,2.8696818,-0.0502618,0.49896029,0.001660375,-0.9607777
Line 6 Gone,75,91.28,53.6448,TRUE,-0.354921,3.1205921,-0.0541995,0.53835103,0.011440448,-0.958744
Line 6 Gone,90,76.28,53.6448,TRUE,-0.981081,3.1125586,-0.0542725,0.53898833,0.020664688,-0.86204615
0 in Slack,15,151.28,44.704,TRUE,0.915594,0.71689164,-0.0138252,0.13552306,-0.015013969,-0.39604234
3 in Slack,15,151.28,44.704,TRUE,0.938871,0.72825992,-0.0138324,0.13561517,-0.014878397,-0.43071779
6 in Slack,15,151.28,44.704,TRUE,0.981356,0.7204487,-0.0137995,0.13529604,-0.014770194,-0.50854417
9 in Slack,15,151.28,44.704,TRUE,1.00931,0.72720867,-0.0137957,0.1352855,-0.014655281,-0.55265888
0 in Slack,30,136.28,44.704,TRUE,0.671225,1.25565529,-0.0245474,0.24167058,-0.009758175,-0.44761976
3 in Slack,30,136.28,44.704,TRUE,0.691873,1.26829916,-0.0245102,0.24133797,-0.009726285,-0.47341546
6 in Slack,30,136.28,44.704,TRUE,0.709421,1.27890932,-0.0244678,0.24095482,-0.009690421,-0.49589344
9 in Slack,30,136.28,44.704,TRUE,0.73078,1.29110569,-0.0243848,0.2402266,-0.009815876,-0.52242377
0 in Slack,15,151.28,53.6448,TRUE,2.021971,0.69020596,-0.01978,0.19412212,-0.0263698,-1.0766506
3 in Slack,15,151.28,53.6448,TRUE,2.06016,0.68787254,-0.0197962,0.19432497,-0.026166533,-1.1334114
6 in Slack,15,151.28,53.6448,TRUE,2.093592,0.68538442,-0.0198114,0.19451039,-0.025985662,-1.1829309
9 in Slack,15,151.28,53.6448,TRUE,2.141962,0.67431286,-0.0197146,0.19359588,-0.025806703,-1.2563174
0 in Slack,30,136.28,53.6448,TRUE,1.376673,1.6763309,-0.0334285,0.329651,-0.018755347,-0.70674422
3 in Slack,30,136.28,53.6448,TRUE,1.398844,1.6889826,-0.0333961,0.32936755,-0.018691823,-0.73293051
6 in Slack,30,136.28,53.6448,TRUE,1.417021,1.6987683,-0.0333188,0.32866642,-0.018625986,-0.75541433
9 in Slack,30,136.28,53.6448,TRUE,1.441378,1.7122045,-0.0332821,0.32838607,-0.018723019,-0.7821004
Line1 80 Te Brake,15,151.28,44.704,TRUE,0.31756,0.429715281,-0.0142115,0.13953194,-0.019265354,0.33856643
Line1 80 Te Brake,30,136.28,53.6448,TRUE,0.232134,1.00430336,-0.0260532,0.25576857,-0.011540622,0.085047722
Line1 80 Te Brake,15,151.28,44.704,TRUE,1.660215,0.71405621,-0.0196884,0.19277463,-0.028535117,-0.55679049
Line1 80 Te Brake,30,136.28,53.6448,TRUE,1.206877,1.5868232,-0.0336011,0.33110077,-0.019998234,-0.50424316
