pipe_type,nominal_size,od_m,wt_m,span_m,v_current_ms,e_over_d,content_density_kg_m3,boundary_condition,wt_selection,schedule,case_id,f_n_hz,v_r,a_over_d,status,max_allowable_span_m,m_eff_kg_per_m
pipeline,8in,0.2191,0.0082,20,0.6,2.0,800.0,pinned,thinnest,Sch 40,PL-0031,0.3393,8.07,0.9,FAIL_CF,12.2,109.1
pipeline,8in,0.2191,0.0082,20,0.6,5.0,800.0,pinned,thinnest,Sch 40,PL-0032,0.3393,8.07,0.9,FAIL_CF,12.2,109.1
pipeline,8in,0.2191,0.0082,20,0.8,0.5,800.0,pinned,thinnest,Sch 40,PL-0033,0.3393,10.76,0.9,FAIL_CF,11.8,109.1
pipeline,8in,0.2191,0.0082,20,0.8,1.0,800.0,pinned,thinnest,Sch 40,PL-0034,0.3393,10.76,0.9,FAIL_CF,10.6,109.1
pipeline,8in,0.2191,0.0082,20,0.8,2.0,800.0,pinned,thinnest,Sch 40,PL-0035,0.3393,10.76,0.9,FAIL_CF,10.6,109.1
pipeline,8in,0.2191,0.0082,20,0.8,5.0,800.0,pinned,thinnest,Sch 40,PL-0036,0.3393,10.76,0.9,FAIL_CF,10.6,109.1
pipeline,8in,0.2191,0.0082,20,1.0,0.5,800.0,pinned,thinnest,Sch 40,PL-0037,0.3393,13.451,0.9,FAIL_CF,10.6,109.1
pipeline,8in,0.2191,0.0082,20,1.0,1.0,800.0,pinned,thinnest,Sch 40,PL-0038,0.3393,13.451,0.9,FAIL_CF,9.4,109.1
pipeline,8in,0.2191,0.0082,20,1.0,2.0,800.0,pinned,thinnest,Sch 40,PL-0039,0.3393,13.451,0.9,FAIL_CF,9.4,109.1
pipeline,8in,0.2191,0.0082,20,1.0,5.0,800.0,pinned,thinnest,Sch 40,PL-0040,0.3393,13.451,0.9,FAIL_CF,9.4,109.1
pipeline,8in,0.2191,0.0082,30,0.2,0.5,800.0,pinned,thinnest,Sch 40,PL-0041,0.1508,6.053,0.9,FAIL_LOCKIN,23.6,109.1
pipeline,8in,0.2191,0.0082,30,0.2,1.0,800.0,pinned,thinnest,Sch 40,PL-0042,0.1508,6.053,0.9,FAIL_LOCKIN,21.1,109.1
pipeline,8in,0.2191,0.0082,30,0.2,2.0,800.0,pinned,thinnest,Sch 40,PL-0043,0.1508,6.053,0.9,FAIL_LOCKIN,21.1,109.1
pipeline,8in,0.2191,0.0082,30,0.2,5.0,800.0,pinned,thinnest,Sch 40,PL-0044,0.1508,6.053,0.9,FAIL_LOCKIN,21.1,109.1
pipeline,8in,0.2191,0.0082,30,0.4,0.5,800.0,pinned,thinnest,Sch 40,PL-0045,0.1508,12.106,0.9,FAIL_CF,16.7,109.1
pipeline,8in,0.2191,0.0082,30,0.4,1.0,800.0,pinned,thinnest,Sch 40,PL-0046,0.1508,12.106,0.9,FAIL_CF,14.9,109.1
pipeline,8in,0.2191,0.0082,30,0.4,2.0,800.0,pinned,thinnest,Sch 40,PL-0047,0.1508,12.106,0.9,FAIL_CF,14.9,109.1
pipeline,8in,0.2191,0.0082,30,0.4,5.0,800.0,pinned,thinnest,Sch 40,PL-0048,0.1508,12.106,0.9,FAIL_CF,14.9,109.1
pipeline,8in,0.2191,0.0082,30,0.6,0.5,800.0,pinned,thinnest,Sch 40,PL-0049,0.1508,18.158,0.9,FAIL_CF,13.6,109.1
pipeline,8in,0.2191,0.0082,30,0.6,1.0,800.0,pinned,thinnest,Sch 40,PL-0050,0.1508,18.158,0.9,FAIL_CF,12.2,109.1
pipeline,8in,0.2191,0.0082,30,0.6,2.0,800.0,pinned,thinnest,Sch 40,PL-0051,0.1508,18.158,0.9,FAIL_CF,12.2,109.1
pipeline,8in,0.2191,0.0082,30,0.6,5.0,800.0,pinned,thinnest,Sch 40,PL-0052,0.1508,18.158,0.9,FAIL_CF,12.2,109.1
pipeline,8in,0.2191,0.0082,30,0.8,0.5,800.0,pinned,thinnest,Sch 40,PL-0053,0.1508,24.211,0.9,FAIL_CF,11.8,109.1
pipeline,8in,0.2191,0.0082,30,0.8,1.0,800.0,pinned,thinnest,Sch 40,PL-0054,0.1508,24.211,0.9,FAIL_CF,10.6,109.1
pipeline,8in,0.2191,0.0082,30,0.8,2.0,800.0,pinned,thinnest,Sch 40,PL-0055,0.1508,24.211,0.9,FAIL_CF,10.6,109.1
pipeline,8in,0.2191,0.0082,30,0.8,5.0,800.0,pinned,thinnest,Sch 40,PL-0056,0.1508,24.211,0.9,FAIL_CF,10.6,109.1
pipeline,8in,0.2191,0.0082,30,1.0,0.5,800.0,pinned,thinnest,Sch 40,PL-0057,0.1508,30.264,0.9,FAIL_CF,10.6,109.1
pipeline,8in,0.2191,0.0082,30,1.0,1.0,800.0,pinned,thinnest,Sch 40,PL-0058,0.1508,30.264,0.9,FAIL_CF,9.4,109.1
pipeline,8in,0.2191,0.0082,30,1.0,2.0,800.0,pinned,thinnest,Sch 40,PL-0059,0.1508,30.264,0.9,FAIL_CF,9.4,109.1
pipeline,8in,0.2191,0.0082,30,1.0,5.0,800.0,pinned,thinnest,Sch 40,PL-0060,0.1508,30.264,0.9,FAIL_CF,9.4,109.1
pipeline,8in,0.2191,0.0082,40,0.2,0.5,800.0,pinned,thinnest,Sch 40,PL-0061,0.0848,10.76,0.9,FAIL_CF,23.6,109.1
pipeline,8in,0.2191,0.0082,40,0.2,1.0,800.0,pinned,thinnest,Sch 40,PL-0062,0.0848,10.76,0.9,FAIL_CF,21.1,109.1
pipeline,8in,0.2191,0.0082,40,0.2,2.0,800.0,pinned,thinnest,Sch 40,PL-0063,0.0848,10.76,0.9,FAIL_CF,21.1,109.1
pipeline,8in,0.2191,0.0082,40,0.2,5.0,800.0,pinned,thinnest,Sch 40,PL-0064,0.0848,10.76,0.9,FAIL_CF,21.1,109.1
pipeline,8in,0.2191,0.0082,40,0.4,0.5,800.0,pinned,thinnest,Sch 40,PL-0065,0.0848,21.521,0.9,FAIL_CF,16.7,109.1
pipeline,8in,0.2191,0.0082,40,0.4,1.0,800.0,pinned,thinnest,Sch 40,PL-0066,0.0848,21.521,0.9,FAIL_CF,14.9,109.1
pipeline,8in,0.2191,0.0082,40,0.4,2.0,800.0,pinned,thinnest,Sch 40,PL-0067,0.0848,21.521,0.9,FAIL_CF,14.9,109.1
pipeline,8in,0.2191,0.0082,40,0.4,5.0,800.0,pinned,thinnest,Sch 40,PL-0068,0.0848,21.521,0.9,FAIL_CF,14.9,109.1
pipeline,8in,0.2191,0.0082,40,0.6,0.5,800.0,pinned,thinnest,Sch 40,PL-0069,0.0848,32.281,0.9,FAIL_CF,13.6,109.1
pipeline,8in,0.2191,0.0082,40,0.6,1.0,800.0,pinned,thinnest,Sch 40,PL-0070,0.0848,32.281,0.9,FAIL_CF,12.2,109.1
pipeline,8in,0.2191,0.0082,40,0.6,2.0,800.0,pinned,thinnest,Sch 40,PL-0071,0.0848,32.281,0.9,FAIL_CF,12.2,109.1
pipeline,8in,0.2191,0.0082,40,0.6,5.0,800.0,pinned,thinnest,Sch 40,PL-0072,0.0848,32.281,0.9,FAIL_CF,12.2,109.1
pipeline,8in,0.2191,0.0082,40,0.8,0.5,800.0,pinned,thinnest,Sch 40,PL-0073,0.0848,43.042,0.9,FAIL_CF,11.8,109.1
pipeline,8in,0.2191,0.0082,40,0.8,1.0,800.0,pinned,thinnest,Sch 40,PL-0074,0.0848,43.042,0.9,FAIL_CF,10.6,109.1
pipeline,8in,0.2191,0.0082,40,0.8,2.0,800.0,pinned,thinnest,Sch 40,PL-0075,0.0848,43.042,0.9,FAIL_CF,10.6,109.1
pipeline,8in,0.2191,0.0082,40,0.8,5.0,800.0,pinned,thinnest,Sch 40,PL-0076,0.0848,43.042,0.9,FAIL_CF,10.6,109.1
pipeline,8in,0.2191,0.0082,40,1.0,0.5,800.0,pinned,thinnest,Sch 40,PL-0077,0.0848,53.802,0.9,FAIL_CF,10.6,109.1
pipeline,8in,0.2191,0.0082,40,1.0,1.0,800.0,pinned,thinnest,Sch 40,PL-0078,0.0848,53.802,0.9,FAIL_CF,9.4,109.1
pipeline,8in,0.2191,0.0082,40,1.0,2.0,800.0,pinned,thinnest,Sch 40,PL-0079,0.0848,53.802,0.9,FAIL_CF,9.4,109.1
pipeline,8in,0.2191,0.0082,40,1.0,5.0,800.0,pinned,thinnest,Sch 40,PL-0080,0.0848,53.802,0.9,FAIL_CF,9.4,109.1
pipeline,8in,0.2191,0.0082,50,0.2,0.5,800.0,pinned,thinnest,Sch 40,PL-0081,0.0543,16.813,0.9,FAIL_CF,23.6,109.1
pipeline,8in,0.2191,0.0082,50,0.2,1.0,800.0,pinned,thinnest,Sch 40,PL-0082,0.0543,16.813,0.9,FAIL_CF,21.1,109.1
pipeline,8in,0.2191,0.0082,50,0.2,2.0,800.0,pinned,thinnest,Sch 40,PL-0083,0.0543,16.813,0.9,FAIL_CF,21.1,109.1
pipeline,8in,0.2191,0.0082,50,0.2,5.0,800.0,pinned,thinnest,Sch 40,PL-0084,0.0543,16.813,0.9,FAIL_CF,21.1,109.1
pipeline,8in,0.2191,0.0082,50,0.4,0.5,800.0,pinned,thinnest,Sch 40,PL-0085,0.0543,33.627,0.9,FAIL_CF,16.7,109.1
pipeline,8in,0.2191,0.0082,50,0.4,1.0,800.0,pinned,thinnest,Sch 40,PL-0086,0.0543,33.627,0.9,FAIL_CF,14.9,109.1
pipeline,8in,0.2191,0.0082,50,0.4,2.0,800.0,pinned,thinnest,Sch 40,PL-0087,0.0543,33.627,0.9,FAIL_CF,14.9,109.1
pipeline,8in,0.2191,0.0082,50,0.4,5.0,800.0,pinned,thinnest,Sch 40,PL-0088,0.0543,33.627,0.9,FAIL_CF,14.9,109.1
pipeline,8in,0.2191,0.0082,50,0.6,0.5,800.0,pinned,thinnest,Sch 40,PL-0089,0.0543,50.44,0.9,FAIL_CF,13.6,109.1
pipeline,8in,0.2191,0.0082,50,0.6,1.0,800.0,pinned,thinnest,Sch 40,PL-0090,0.0543,50.44,0.9,FAIL_CF,12.2,109.1
pipeline,8in,0.2191,0.0082,50,0.6,2.0,800.0,pinned,thinnest,Sch 40,PL-0091,0.0543,50.44,0.9,FAIL_CF,12.2,109.1
pipeline,8in,0.2191,0.0082,50,0.6,5.0,800.0,pinned,thinnest,Sch 40,PL-0092,0.0543,50.44,0.9,FAIL_CF,12.2,109.1
pipeline,8in,0.2191,0.0082,50,0.8,0.5,800.0,pinned,thinnest,Sch 40,PL-0093,0.0543,67.253,0.9,FAIL_CF,11.8,109.1
pipeline,8in,0.2191,0.0082,50,0.8,1.0,800.0,pinned,thinnest,Sch 40,PL-0094,0.0543,67.253,0.9,FAIL_CF,10.6,109.1
pipeline,8in,0.2191,0.0082,50,0.8,2.0,800.0,pinned,thinnest,Sch 40,PL-0095,0.0543,67.253,0.9,FAIL_CF,10.6,109.1
pipeline,8in,0.2191,0.0082,50,0.8,5.0,800.0,pinned,thinnest,Sch 40,PL-0096,0.0543,67.253,0.9,FAIL_CF,10.6,109.1
pipeline,8in,0.2191,0.0082,50,1.0,0.5,800.0,pinned,thinnest,Sch 40,PL-0097,0.0543,84.066,0.9,FAIL_CF,10.6,109.1
pipeline,8in,0.2191,0.0082,50,1.0,1.0,800.0,pinned,thinnest,Sch 40,PL-0098,0.0543,84.066,0.9,FAIL_CF,9.4,109.1
pipeline,8in,0.2191,0.0082,50,1.0,2.0,800.0,pinned,thinnest,Sch 40,PL-0099,0.0543,84.066,0.9,FAIL_CF,9.4,109.1
pipeline,8in,0.2191,0.0082,50,1.0,5.0,800.0,pinned,thinnest,Sch 40,PL-0100,0.0543,84.066,0.9,FAIL_CF,9.4,109.1
pipeline,8in,0.2191,0.0082,60,0.2,0.5,800.0,pinned,thinnest,Sch 40,PL-0101,0.0377,24.211,0.9,FAIL_CF,23.6,109.1
pipeline,8in,0.2191,0.0082,60,0.2,1.0,800.0,pinned,thinnest,Sch 40,PL-0102,0.0377,24.211,0.9,FAIL_CF,21.1,109.1
pipeline,8in,0.2191,0.0082,60,0.2,2.0,800.0,pinned,thinnest,Sch 40,PL-0103,0.0377,24.211,0.9,FAIL_CF,21.1,109.1
pipeline,8in,0.2191,0.0082,60,0.2,5.0,800.0,pinned,thinnest,Sch 40,PL-0104,0.0377,24.211,0.9,FAIL_CF,21.1,109.1
pipeline,8in,0.2191,0.0082,60,0.4,0.5,800.0,pinned,thinnest,Sch 40,PL-0105,0.0377,48.422,0.9,FAIL_CF,16.7,109.1
pipeline,8in,0.2191,0.0082,60,0.4,1.0,800.0,pinned,thinnest,Sch 40,PL-0106,0.0377,48.422,0.9,FAIL_CF,14.9,109.1
pipeline,8in,0.2191,0.0082,60,0.4,2.0,800.0,pinned,thinnest,Sch 40,PL-0107,0.0377,48.422,0.9,FAIL_CF,14.9,109.1
pipeline,8in,0.2191,0.0082,60,0.4,5.0,800.0,pinned,thinnest,Sch 40,PL-0108,0.0377,48.422,0.9,FAIL_CF,14.9,109.1
pipeline,8in,0.2191,0.0082,60,0.6,0.5,800.0,pinned,thinnest,Sch 40,PL-0109,0.0377,72.633,0.9,FAIL_CF,13.6,109.1
pipeline,8in,0.2191,0.0082,60,0.6,1.0,800.0,pinned,thinnest,Sch 40,PL-0110,0.0377,72.633,0.9,FAIL_CF,12.2,109.1
pipeline,8in,0.2191,0.0082,60,0.6,2.0,800.0,pinned,thinnest,Sch 40,PL-0111,0.0377,72.633,0.9,FAIL_CF,12.2,109.1
pipeline,8in,0.2191,0.0082,60,0.6,5.0,800.0,pinned,thinnest,Sch 40,PL-0112,0.0377,72.633,0.9,FAIL_CF,12.2,109.1
pipeline,8in,0.2191,0.0082,60,0.8,0.5,800.0,pinned,thinnest,Sch 40,PL-0113,0.0377,96.844,0.9,FAIL_CF,11.8,109.1
pipeline,8in,0.2191,0.0082,60,0.8,1.0,800.0,pinned,thinnest,Sch 40,PL-0114,0.0377,96.844,0.9,FAIL_CF,10.6,109.1
pipeline,8in,0.2191,0.0082,60,0.8,2.0,800.0,pinned,thinnest,Sch 40,PL-0115,0.0377,96.844,0.9,FAIL_CF,10.6,109.1
pipeline,8in,0.2191,0.0082,60,0.8,5.0,800.0,pinned,thinnest,Sch 40,PL-0116,0.0377,96.844,0.9,FAIL_CF,10.6,109.1
pipeline,8in,0.2191,0.0082,60,1.0,0.5,800.0,pinned,thinnest,Sch 40,PL-0117,0.0377,121.055,0.9,FAIL_CF,10.6,109.1
pipeline,8in,0.2191,0.0082,60,1.0,1.0,800.0,pinned,thinnest,Sch 40,PL-0118,0.0377,121.055,0.9,FAIL_CF,9.4,109.1
pipeline,8in,0.2191,0.0082,60,1.0,2.0,800.0,pinned,thinnest,Sch 40,PL-0119,0.0377,121.055,0.9,FAIL_CF,9.4,109.1
pipeline,8in,0.2191,0.0082,60,1.0,5.0,800.0,pinned,thinnest,Sch 40,PL-0120,0.0377,121.055,0.9,FAIL_CF,9.4,109.1
pipeline,8in,0.2191,0.0082,70,0.2,0.5,800.0,pinned,thinnest,Sch 40,PL-0121,0.0277,32.954,0.9,FAIL_CF,23.6,109.1
pipeline,8in,0.2191,0.0082,70,0.2,1.0,800.0,pinned,thinnest,Sch 40,PL-0122,0.0277,32.954,0.9,FAIL_CF,21.1,109.1
pipeline,8in,0.2191,0.0082,70,0.2,2.0,800.0,pinned,thinnest,Sch 40,PL-0123,0.0277,32.954,0.9,FAIL_CF,21.1,109.1
pipeline,8in,0.2191,0.0082,70,0.2,5.0,800.0,pinned,thinnest,Sch 40,PL-0124,0.0277,32.954,0.9,FAIL_CF,21.1,109.1
pipeline,8in,0.2191,0.0082,70,0.4,0.5,800.0,pinned,thinnest,Sch 40,PL-0125,0.0277,65.908,0.9,FAIL_CF,16.7,109.1
pipeline,8in,0.2191,0.0082,70,0.4,1.0,800.0,pinned,thinnest,Sch 40,PL-0126,0.0277,65.908,0.9,FAIL_CF,14.9,109.1
pipeline,8in,0.2191,0.0082,70,0.4,2.0,800.0,pinned,thinnest,Sch 40,PL-0127,0.0277,65.908,0.9,FAIL_CF,14.9,109.1
pipeline,8in,0.2191,0.0082,70,0.4,5.0,800.0,pinned,thinnest,Sch 40,PL-0128,0.0277,65.908,0.9,FAIL_CF,14.9,109.1
pipeline,8in,0.2191,0.0082,70,0.6,0.5,800.0,pinned,thinnest,Sch 40,PL-0129,0.0277,98.862,0.9,FAIL_CF,13.6,109.1
pipeline,8in,0.2191,0.0082,70,0.6,1.0,800.0,pinned,thinnest,Sch 40,PL-0130,0.0277,98.862,0.9,FAIL_CF,12.2,109.1
pipeline,8in,0.2191,0.0082,70,0.6,2.0,800.0,pinned,thinnest,Sch 40,PL-0131,0.0277,98.862,0.9,FAIL_CF,12.2,109.1
pipeline,8in,0.2191,0.0082,70,0.6,5.0,800.0,pinned,thinnest,Sch 40,PL-0132,0.0277,98.862,0.9,FAIL_CF,12.2,109.1
pipeline,8in,0.2191,0.0082,70,0.8,0.5,800.0,pinned,thinnest,Sch 40,PL-0133,0.0277,131.816,0.9,FAIL_CF,11.8,109.1
pipeline,8in,0.2191,0.0082,70,0.8,1.0,800.0,pinned,thinnest,Sch 40,PL-0134,0.0277,131.816,0.9,FAIL_CF,10.6,109.1
pipeline,8in,0.2191,0.0082,70,0.8,2.0,800.0,pinned,thinnest,Sch 40,PL-0135,0.0277,131.816,0.9,FAIL_CF,10.6,109.1
pipeline,8in,0.2191,0.0082,70,0.8,5.0,800.0,pinned,thinnest,Sch 40,PL-0136,0.0277,131.816,0.9,FAIL_CF,10.6,109.1
pipeline,8in,0.2191,0.0082,70,1.0,0.5,800.0,pinned,thinnest,Sch 40,PL-0137,0.0277,164.77,0.9,FAIL_CF,10.6,109.1
pipeline,8in,0.2191,0.0082,70,1.0,1.0,800.0,pinned,thinnest,Sch 40,PL-0138,0.0277,164.77,0.9,FAIL_CF,9.4,109.1
pipeline,8in,0.2191,0.0082,70,1.0,2.0,800.0,pinned,thinnest,Sch 40,PL-0139,0.0277,164.77,0.9,FAIL_CF,9.4,109.1
pipeline,8in,0.2191,0.0082,70,1.0,5.0,800.0,pinned,thinnest,Sch 40,PL-0140,0.0277,164.77,0.9,FAIL_CF,9.4,109.1
pipeline,8in,0.2191,0.0082,80,0.2,0.5,800.0,pinned,thinnest,Sch 40,PL-0141,0.0212,43.042,0.9,FAIL_CF,23.6,109.1
pipeline,8in,0.2191,0.0082,80,0.2,1.0,800.0,pinned,thinnest,Sch 40,PL-0142,0.0212,43.042,0.9,FAIL_CF,21.1,109.1
pipeline,8in,0.2191,0.0082,80,0.2,2.0,800.0,pinned,thinnest,Sch 40,PL-0143,0.0212,43.042,0.9,FAIL_CF,21.1,109.1
pipeline,8in,0.2191,0.0082,80,0.2,5.0,800.0,pinned,thinnest,Sch 40,PL-0144,0.0212,43.042,0.9,FAIL_CF,21.1,109.1
pipeline,8in,0.2191,0.0082,80,0.4,0.5,800.0,pinned,thinnest,Sch 40,PL-0145,0.0212,86.084,0.9,FAIL_CF,16.7,109.1
pipeline,8in,0.2191,0.0082,80,0.4,1.0,800.0,pinned,thinnest,Sch 40,PL-0146,0.0212,86.084,0.9,FAIL_CF,14.9,109.1
pipeline,8in,0.2191,0.0082,80,0.4,2.0,800.0,pinned,thinnest,Sch 40,PL-0147,0.0212,86.084,0.9,FAIL_CF,14.9,109.1
pipeline,8in,0.2191,0.0082,80,0.4,5.0,800.0,pinned,thinnest,Sch 40,PL-0148,0.0212,86.084,0.9,FAIL_CF,14.9,109.1
pipeline,8in,0.2191,0.0082,80,0.6,0.5,800.0,pinned,thinnest,Sch 40,PL-0149,0.0212,129.126,0.9,FAIL_CF,13.6,109.1
pipeline,8in,0.2191,0.0082,80,0.6,1.0,800.0,pinned,thinnest,Sch 40,PL-0150,0.0212,129.126,0.9,FAIL_CF,12.2,109.1
pipeline,8in,0.2191,0.0082,80,0.6,2.0,800.0,pinned,thinnest,Sch 40,PL-0151,0.0212,129.126,0.9,FAIL_CF,12.2,109.1
pipeline,8in,0.2191,0.0082,80,0.6,5.0,800.0,pinned,thinnest,Sch 40,PL-0152,0.0212,129.126,0.9,FAIL_CF,12.2,109.1
pipeline,8in,0.2191,0.0082,80,0.8,0.5,800.0,pinned,thinnest,Sch 40,PL-0153,0.0212,172.168,0.9,FAIL_CF,11.8,109.1
pipeline,8in,0.2191,0.0082,80,0.8,1.0,800.0,pinned,thinnest,Sch 40,PL-0154,0.0212,172.168,0.9,FAIL_CF,10.6,109.1
pipeline,8in,0.2191,0.0082,80,0.8,2.0,800.0,pinned,thinnest,Sch 40,PL-0155,0.0212,172.168,0.9,FAIL_CF,10.6,109.1
pipeline,8in,0.2191,0.0082,80,0.8,5.0,800.0,pinned,thinnest,Sch 40,PL-0156,0.0212,172.168,0.9,FAIL_CF,10.6,109.1
pipeline,8in,0.2191,0.0082,80,1.0,0.5,800.0,pinned,thinnest,Sch 40,PL-0157,0.0212,215.21,0.9,FAIL_CF,10.6,109.1
pipeline,8in,0.2191,0.0082,80,1.0,1.0,800.0,pinned,thinnest,Sch 40,PL-0158,0.0212,215.21,0.9,FAIL_CF,9.4,109.1
pipeline,8in,0.2191,0.0082,80,1.0,2.0,800.0,pinned,thinnest,Sch 40,PL-0159,0.0212,215.21,0.9,FAIL_CF,9.4,109.1
pipeline,8in,0.2191,0.0082,80,1.0,5.0,800.0,pinned,thinnest,Sch 40,PL-0160,0.0212,215.21,0.9,FAIL_CF,9.4,109.1
pipeline,12in,0.3239,0.0095,10,0.2,0.5,800.0,pinned,thinnest,Sch 40,PL-0161,1.8701,0.33,0.0,PASS,33.7,220.44
pipeline,12in,0.3239,0.0095,10,0.2,1.0,800.0,pinned,thinnest,Sch 40,PL-0162,1.8701,0.33,0.0,PASS,30.1,220.44
pipeline,12in,0.3239,0.0095,10,0.2,2.0,800.0,pinned,thinnest,Sch 40,PL-0163,1.8701,0.33,0.0,PASS,30.1,220.44
pipeline,12in,0.3239,0.0095,10,0.2,5.0,800.0,pinned,thinnest,Sch 40,PL-0164,1.8701,0.33,0.0,PASS,30.1,220.44
pipeline,12in,0.3239,0.0095,10,0.4,0.5,800.0,pinned,thinnest,Sch 40,PL-0165,1.8701,0.66,0.0,PASS,23.8,220.44
pipeline,12in,0.3239,0.0095,10,0.4,1.0,800.0,pinned,thinnest,Sch 40,PL-0166,1.8701,0.66,0.0,PASS,21.3,220.44
pipeline,12in,0.3239,0.0095,10,0.4,2.0,800.0,pinned,thinnest,Sch 40,PL-0167,1.8701,0.66,0.0,PASS,21.3,220.44
