NAME,ATWOOD HUNTER,ATWOOD EAGLE,ATWOOD  FALCON,ATWOOD OSPREY,OCEAN AMERICA,OCEAN BARONESS,OCEAN QUEST,OCEAN WINNER,OCEAN WORKER,OCEAN VALIANT,OCEAN VICTORY,OCEAN ENDEAVOR,OCEAN MONARCH,OCEAN ROVER,OCEAN STAR,BLACKFORD DOLPHIN,ENSCO 5006,ENSCO 5001,NOBLE AMOS RUNNER,NOBLE PAUL ROMANO,NOBLE JIM THOMPSON,NOBLE MAX SMITH,NOBLE HOMER FERRINGTON,NOBLE CLYDE BOUDREAUX,NOBLE LORRIS BOUZIGARD,NOBLE THERALD MARTIN,NOBLE DRILLER,DEEPWATER NAUTILUS,TRANSOCEAN MARIANAS,GSF CELTIC SEA,JACK BATES,"M.G. HULME, JR",TRANSOCEAN RICHARDSON,HENRY GOODRICH,JIM CUNNINGHAM,TRANSOCEAN LEADER,TRANSOCEAN RATHER,SOVEREIGN EXPLORER,ABAN ABRAHAM,HYSY 981,OCEAN CLIPPER,OCEAN CONFIDENCE,OCEAN ALLIANCE,OCEAN COURAGE,OCEAN VALOR,BELFORD DOLPHIN,ENSCO 7500,ENSCO 8500,ENSCO 8501,ENSCO 8502,ENSCO 8503,ENSCO 8504,ENSCO 8505,ENSCO DS-1,ENSCO DS-2,ENSCO 6001,ENSCO 6002,ENSCO 6004,ENSCO 6003,ENSCO DS-3,ENSCO DS-4,ENSCO DS-5,ENSCO DS-6,LA MURALLA IV,JASPER EXPLORER,MÆRSK DEVELOPER,MAERSK DISCOVERER,MÆRSK DELIVERER,NOBLE PAUL WOLFF,NOBLE ROGER EASON,NOBLE LEO SEGERIUS,NOBEL MURAVLENKO,NOBLE DAVE BEARD,NOBLE DANNY ADKINS,NOBLE JIM DAY,NOBLE PHOENIX,NOBLE GLOBETROTTER I,NOBLE BULLY I,ERIK RAUDE,LEIV EIRIKSSON,OCEAN RIG CORCOVADO,OCEAN RIG OLYMPIA,OCEAN RIG POSEIDEN,OCEAN RIG MYKONOS,DEEPSEA METRO I,DEEPSEA METRO II,DEEPSEA STAVANGER,DEEPSEA  ATLANTIC,Pacific Bora,Pacific Scirocco,Pacific Mistral,Pacific Santa Ana,Louisiana,SSV Victoria,GOLD STAR,ALPHA STAR,LONE STAR,SAIPEM 10000,SAIPEM 12000,SCARABEO 5,SCARABEO 8,SCARABEO 9,SC LANCER,WEST NAVIGATOR,WEST PHOENIX,WEST EMINENCE,WEST SIRIUS,WEST TAURUS,WEST HERCULES,WEST AQUARIUS,WEST POLARIS,WEST CAPELLA,WEST ORION,WEST CAPRICORN,WEST PEGASUS,WEST LEO,WEST GEMINI,Sevan Driller,SONGA ECLIPSE,STENA DRILLMAX,STENA CARRON,STENA FORTH,STENA ICEMAX,DEEPWATER ASGARD,DEEPWATER INVICTUS,DEEPWATER CHAMPION,TRANSOCEAN BARENTS,TRANSOCEAN SPITSBERGEN,DISCOVERER INDIA,DISCOVERER CLEAR LEADER,DISCOVERER AMERICAS,DISCOVERER INSPIRATION,PETROBRAS 10000,DHIRUBHAI DEEPWATER KG1,DHIRUBHAI DEEPWATER KG2,DISCOVERER LUANDA,DEVELOPMENT DRILLER III,DEEPWATER DISCOVERY,DEEPWATER EXPEDITION,DEEPWATER FRONTIER,DEEPWATER MILLENNIUM,DEEPWATER PATHFINDER,DISCOVERER DEEP SEAS,DISCOVERER ENTERPRISE,DISCOVERER SPIRIT,GSF C.R. LUIGS,GSF JACK RYAN,GSF EXPLORER,GSF DEVELOPMENT DRILLER I,GSF DEVELOPMENT DRILLER II,DEEPWATER NAVIGATOR,SEDCO ENERGY,SEDCO EXPRESS,CAJUN EXPRESS,DISCOVERER 534,SEDCO 707,DISCOVERER SEVEN SEAS,SEDCO 702,SEDCO 706,SEDCO 709,SEDCO 710,PLATINUM EXPLORER,TITANIUM EXPLORER
CONTRACT INFORMATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CURRENT CONTRACT (expiration),2Q/13,1Q/11,2Q/11,2Q/17,2Q/13,3Q/15,4Q/13,1Q/15,1Q/15,4Q/12,3Q/13,4Q/12,3Q/16,1Q/14,1Q/14,3Q/11,2010,2011,4Q/13,4Q/12,4Q/14,4Q/15,2Q/13,4Q/14,,4Q/15,2Q/13,3Q/12,4Q/12,3Q/14,2Q/13,3Q/12,,1Q/14,,1Q/15,3Q/12,,,,4Q/15,4Q/14,2Q/16,1Q/15,4Q/15,1Q/13,3Q/10,2Q/13,2Q/13,2Q/13,3Q/13,1Q/13,,2011,2013,2013,2013,2016,2017,2015,2016,2016,2017,,,3Q/13,4Q/12,1Q/11,4Q/14,4Q/16,4Q/16,,1Q/15,3Q/14,1Q/16,2Q/15,2Q/22,1Q/17,,,,,,,,,,,3Q/14,4Q/13,1Q/15,1Q/17,2Q/10,1Q/17,1Q/17,,,4Q/14,3Q/17,1Q/13,2Q/17,1Q/17,,3Q/14,Q4/14,Q3/15,Q3/14,Q1/15,Q4/16,Q2/15,Q3/12,Q2/14,Q3/16,Q2/17,Q3/16,Q2/16,Q2/14,1Q/16,,2Q/13,4Q/13,3Q/14,2Q/17,,,4Q/15,3Q/14,2Q/15,1Q/21,3Q/14,2Q/14,1Q/15,3Q/19,3Q/14,1Q/15,1Q/18,4Q/16,3Q/13,,2Q/14,3Q/13,2Q/15,1Q/13,1Q/14,1Q/14,1Q/14,3Q/13,3Q/12,4Q/12,4Q/13,2Q/16,4Q/13,2Q/13,2Q/13,,4Q/14,3Q/12,2Q/12,2Q/14,,,4Q/15,3Q/20
AREA OF OPERATION (in July 2008),West Africa,Australia,Australia,Australia,Australia,Brazil,Brazil,Brazil,Brazil,W. Africa,GoM,Egypt,SEAsia,SEAsia,Brazil,India,Egypt,Eq. Guinea,GoM,Egypt,GoM,Brazil,Med,Australia,GoM,Brazil,GoM,GoM,West Africa,West Africa,Australia,India,Malaysia,East Canada,Malaysia,Norway,West Africa,GoM,,,Brazil,W. Africa/GoM,Brazil,Brazil,Brazil,East Africa,Brazil,GoM,GoM,GoM,GoM,Brunei,GoM,Angola,Angola,Brazil,Brazil,Brazil,Brazil,Angola,Brazil,GoM,Angola,Mexico,,US GOM,Egypt,West Africa,Brazil,Brazil,Brazil,Brazil,Brazil,US GOM,US GoM,Brazil,US GOM,US GOM,,,,,,,,,,,Nigeria,Nigeria,Brazil,US GoM,Brazil,Brazil,Brazil,,,West Africa,West Africa,North Sea,North Sea,GoM,Brazil,North Sea,North Sea,Brazil,GoM,Brazil,North Sea,Asia/Canada,West Africa,West Africa,Brazil,GoM,Mexico,West Africa,West Africa,Brazil,,International,International,International,International,,,GoM,Norway,Norway,GoM,GoM,GoM,GoM,Brazil,India,South Korea,West Africa,USA,Brazil,Singapore,Australia,East Africa,GoM,GoM,GoM,West Africa,GoM,West Africa,Indonesia,GoM,GoM,Brazil,West Africa,Israel,Brazil,Malaysia,Brazil,Indonesia,Nigeria,Brazil,Malaysia,Brazil,India,GOM
VESSEL PARTICULARS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL VESSEL POWER (H.P.),8050,7800,7800,,18120,12940,9075,3880,13280,18120,9075,12940,12940,12940,10750,19300,12220,13000,12500,10000,10000,10000,10000,12900,8400,8400,15000,25200,23550,19000,20000,7800,18180,22528,8800,17760,18120,14792,24000,,25200,53083,37600,40480,40480,58800,30000,35000,35000,35000,35000,35000,35000,39660,39660,26760,26760,26760,26760,54000,64200,64200,64200,,,51500,51500,51500,43000,32000,35000,17200,,51360,51360,36000,49350,43200,10200,10200,,,,,,,,,60000,60000,60000,60000,,,,,,56000,64000,40000,54000,62000,,43000,50500,50500,50500,50500,50500,50500,64500,64500,50500,50500,49300,49300,64500,,,56300,60000,60000,60000,56300,56300,60346,56528,56528,56320,56320,56320,56320,58656,56320,56320,56320,54080,42900,26000,46797,46797,46797,52000,52000,52000,46320,46320,36780,40766,40766,24000,35700,35700,41230,21500,26400,21500,26550,26550,24500,25744,36996,44250
MAX. VESSEL SPEED (knots),,,,,,4,4,4,4.5,12,4,4,4,4,3.5,,-,-,3.5,3.5,3.5,3.5,3.5,8,3,3,3.5,4.5,3,5,7,7,6,,4.5,5,6,6.5,11,,9,3.5,6,8.5,8.5,10,8.3,8,8,8,8,8,8,12,11,7,7,7,7,10,11,11,11,,8.5,8,8,8,6,9,10,12,,8 200,8 200,10,12,10,7,7,12,12,12,12,,,,,12,12,12,12,,,,,,12,12,10,9.5,10,,12,8,8,7,7,6,6,11,11,7,7,8,8,11,,,12,12,12,12,12.5,12.5,14,8,8,12,12,12,12,11,12,12,13,5,12.2,14,10,10,10,13,13,13,12,12,10,8,8,6,10,10,10,10,6,10,5,5,5,5,12,12
QUARTERS CAPACITY (persons),120,120,122,200,123,138,99,96,108,140,110,140,150,130,116,130,120,140,122,114,136,130,150,200,120,120,120,150,146,140,118,140,138,145,120,110,104,134,120,,140,146,120,164,164,130,122,150,150,150,150,150,150,162,162,130,130,130,120,200,200,200,200,,139,180,180,180,125,105,150,116,,344 ft.,344 ft.,120,180,156,140,140,217,217,217,217,210,210,156,156,200,200,200,200,,,,130,130,170,200,106,140,200,100 ft.,117,128,180,180,180,180,180,180,180,180,180,192,192,180,150,164,180,180,180,180,200,200,210,140,140,220,220,220,220,199,200,200,200,200,140,130,130,130,130,200,200,200,150,150,140,152,152,127,184,184,140,140,112,140,150,150,124,130,180,180
LENGTH (ft.),290 ft.,325 ft.,325 ft.,354 ft.,401 ft.,324 ft.,324 ft.,355 ft.,303 ft.,401 ft.,336 ft.,324 ft.,324 ft.,324 ft.,335.5 ft.,355 ft.,390 ft.,378.5 ft.,348.6 ft.,348.6 ft.,348.6 ft.,348.6 ft.,338.9 ft.,318 ft.,324 ft.,324 ft.,355 ft.,392 ft.,315 ft.,320 ft.,370 ft.,296 ft.,325 ft.,320 ft.,296 ft.,360 ft.,325 ft.,301 ft.,488 ft.,374 ft.,528 ft.,320 ft.,402 ft.,398 ft.,398 ft.,672 ft.,240 ft.,255 ft.,255 ft.,255 ft.,255 ft.,255 ft.,255 ft.,680 ft.,680 ft.,249 ft.,249 ft.,249 ft.,249 ft.,751 ft.,751 ft.,751 ft.,751 ft.,398 ft.,541 ft.,384 ft.,384 ft.,384 ft.,341.6 ft.,541 ft.,516 ft.,490 ft.,,277 ft.,277 ft.,344.5 ft.,620 ft.,615 ft.,391 ft.,391 ft.,748 ft.,748 ft.,748 ft.,748 ft.,753 ft.,753 ft.,108 ft.,108 ft.,748 ft.,748 ft.,748 ft.,748 ft.,,,,339 ft.,339 ft.,745 ft.,745 ft.,265 ft.,273 ft.,265 ft.,450 ft.,830 ft.,273 ft.,273 ft.,379 ft.,379 ft.,382 ft.,382 ft.,748 ft.,748 ft.,379 ft.,379 ft.,387 ft.,387 ft.,748 ft.,279 ft.,244 ft.,748 ft.,748 ft.,748 ft.,748 ft.,781 ft.,781 ft.,752 ft.,295 ft.,295 ft.,835 ft.,835 ft.,835 ft.,835 ft.,748 ft.,748 ft.,748 ft.,835 ft.,257 ft.,746.5 ft.,564 ft.,726 ft.,726 ft.,726 ft.,835 ft.,835 ft.,835 ft.,759 ft.,759 ft.,619 ft.,324 ft.,324 ft.,550.3 ft.,349 ft.,349 ft.,349 ft.,534 ft.,355 ft.,534 ft.,355 ft.,355 ft.,300 ft.,295 ft.,781 ft.,781 ft.
WIDTH (ft.),246.7 ft.,200 ft.,226 ft.,244 ft.,259 ft.,327 ft.,336 ft.,248 ft.,200 ft.,259 ft.,315 ft.,327 ft.,327 ft.,327 ft.,314.67 ft.,276 ft.,234 ft.,264 ft.,328.25 ft.,328.25 ft.,328.25 ft.,328.25 ft.,225.6 ft.,248 ft.,338 ft.,338 ft.,241 ft.,308 ft.,249 ft.,285 ft.,255 ft.,228 ft.,286 ft.,251 ft.,228 ft.,240 ft.,287 ft.,256 ft.,448 ft.,292 ft.,109 ft.,238 ft.,259 ft.,298 ft.,298 ft.,131 ft.,248 ft.,240 ft.,240 ft.,240 ft.,240 ft.,240 ft.,240 ft.,98.5 ft.,98.5 ft.,179 ft.,179 ft.,179 ft.,179 ft.,138 ft.,138 ft.,138 ft.,138 ft.,298 ft.,98 ft.,258 ft.,258 ft.,258 ft.,363.4 ft.,90 ft.,111 ft.,79 ft.,,39.5 ft.,39.5 ft.,72 ft.,105 ft.,128 ft.,279 ft.,279 ft.,,,,,118 ft.,118 ft.,78 ft.,78 ft.,138 ft.,138 ft.,138 ft.,138 ft.,,,,228 ft.,228 ft.,37 ft.,37 ft.,226 ft.,238 ft.,250 ft.,77 ft.,138 ft.,239 ft.,239 ft.,296 ft.,296 ft.,317 ft.,317 ft.,138 ft.,138 ft.,296 ft.,296 ft.,239 ft.,239 ft.,138 ft.,246 ft.,244 ft.,137.8 ft.,137.8 ft.,137.8 ft.,137.8 ft.,138 ft.,138 ft.,118 ft.,230 ft.,230 ft.,125 ft.,125 ft.,125 ft.,125 ft.,137 ft.,137 ft.,137 ft.,125 ft.,256 ft.,137.8 ft.,93 ft.,138 ft.,138 ft.,138 ft.,125 ft.,125 ft.,125 ft.,118 ft.,118 ft.,116 ft.,258 ft.,258 ft.,86.5 ft.,226 ft.,226 ft.,226 ft.,87 ft.,245 ft.,86 ft.,245 ft.,245 ft.,262 ft.,249 ft.,157 ft.,157 ft.
TRANSIT DRAFT (ft.),24 ft.,24 ft.,24 ft.,27.4 ft.,27 ft.,41.5 ft.,32 ft.,22 ft.,25 ft.,27 ft.,32 ft.,41.5 ft.,41.5 ft.,41.5 ft.,32 ft.,22 ft.,30 ft.,33 ft.,15.75 ft.,34 ft.,15.9 ft.,17 ft.,19 ft.,29 ft.,24.6 ft.,24.6 ft.,22 ft.,28.9 ft.,30 ft.,25 ft.,29 ft.,30 ft.,29 ft.,43 ft.,30 ft.,25 ft.,29 ft.,37 ft.,,,24 ft.,39 ft.,29 ft.,27.6 ft.,27.6 ft.,26 ft.,23 ft.,25 ft.,25 ft.,25 ft.,25 ft.,25 ft.,25 ft.,31.5 ft.,31.5 ft.,28 ft.,28 ft.,28 ft.,28 ft.,28 ft.,28 ft.,28 ft.,28 ft.,,,32 ft.,32 ft.,32 ft.,15 ft.,30 ft.,24 ft.,24 ft.,,82 ft.,82 ft.,-,39 ft.,32.5 ft.,39.4 ft.,39.4 ft.,,,,,,,32.6 ft.,32.6 ft.,28 ft.,28 ft.,28 ft.,28 ft.,,,,28.5 ft.,28.5 ft.,26.2 ft.,27.8 ft.,29.5 ft.,35 ft.,36.8 ft.,,43 ft.,32.3 ft.,32.3 ft.,27.7 ft.,27.7 ft.,30.5 ft.,30.5 ft.,27.2 ft.,27.2 ft.,27.7 ft.,27.7 ft.,32.3 ft.,32.3 ft.,27.2 ft.,,,26.25 ft.,26.25 ft.,26.25 ft.,26.25 ft.,29.5 ft.,29.5 ft.,30 ft.,32 ft.,32 ft.,39 ft.,39 ft.,39 ft.,39 ft.,28 ft.,28 ft.,28 ft.,39 ft.,32 ft.,27.9 ft.,26 ft.,28 ft.,28 ft.,28 ft.,39 ft.,39 ft.,39 ft.,28 ft.,28 ft.,35 ft.,26.9 ft.,26.9 ft.,25 ft.,29.5 ft.,29.5 ft.,29.5 ft.,16.7 ft.,21 ft.,16.7 ft.,21 ft.,21 ft.,21 ft.,21 ft.,27.88 ft.,27.88 ft.
OPERATING DRAFT (ft.),55 ft.,55 ft.,55 ft.,55.7 ft.,80 ft.,74.5 ft.,70 ft.,70 ft.,65 ft.,80 ft.,74 ft.,74.5 ft.,74.5 ft.,74.5 ft.,74 ft.,70 ft.,78 ft.,75 ft.,79 ft.,79 ft.,75-79 ft.,79 ft.,55 ft.,66 ft.,71.5 ft.,71.5 ft.,70 ft.,75.5 ft.,81 ft.,68.6 ft.,80 ft.,60 ft.,82 ft.,93 ft.,65 ft.,77 ft.,82 ft.,80 ft.,24.6 ft.,,24 ft.,75 ft.,76 ft.,55.8 ft.,55.8 ft.,40 ft.,60 ft.,60 ft.,60 ft.,60 ft.,60 ft.,60 ft.,60 ft.,31.5 ft.,31.5 ft.,62 ft.,62 ft.,62 ft.,62 ft.,39 ft.,39 ft.,39 ft.,39 ft.,,,67 ft.,67 ft.,67 ft.,79 ft.,30 ft.,24 ft.,24 ft.,,,,-,39.4 ft.,32.5 ft.,78 ft.,78 ft.,,,,,36 ft.,36 ft.,75.5 ft.,75.5 ft.,39 ft.,39 ft.,39 ft.,39 ft.,,,,67 ft.,67 ft.,39.4 ft.,39.4 ft.,77 ft.,77.1 ft.,77.4 ft.,,43 ft.,77 ft.,77 ft.,65.5 ft.,65.5 ft.,75.5 ft.,75.5 ft.,39.4 ft.,39.4 ft.,65.5 ft.,65.5 ft.,77 ft.,77 ft.,39.4 ft.,,,39.4 ft.,39.4 ft.,39.4 ft.,39.4 ft.,39 ft.,39 ft.,36 ft.,75 ft.,75 ft.,42 ft.,42 ft.,42 ft.,42 ft.,39 ft.,39 ft.,39 ft.,42 ft.,67 ft.,39.4 ft.,26 ft.,43 ft.,43 ft.,43 ft.,42 ft.,42 ft.,42 ft.,33 ft.,33 ft.,34 ft.,49.2 ft.,49.2 ft.,25 ft.,65.5 ft.,65.5 ft.,65.5 ft.,24.9 ft.,70 ft.,24.9 ft.,83 ft.,83 ft.,75 ft.,75 ft.,39.36 ft.,39.4 ft.
MAX. VARIABLE LOAD (S.T.),3630,4500,4400,7000,7835,5500,5600,3920,4428,7050,5700,6000,6000,5500,5600,4500,8322,4100,4000,4000,4000,4000,4000,5500,2400,2315,3715,9701,3967,5600,6736,4480,4188,5512,4972,5071,3858,3906,8950,9000,11384,6600,4300,8000,8000,12515,8000,8000,8000,8000,8000,8000,8000,19510,19510,3857,3857,3857,3857,20000,20000,20000,20000,,7958,14900,14900,14900,5500,11163,12150,7200,,9000,9000,6804,20620,12300,6624,6624,20000,20000,20000,20000,,,7000,7000,22051,22051,22051,22051,,,,"9,622 
131 ft. x 30 ft.",9622,20000,20000,4740,6600,7700,,9900,6100,6100,7000,7000,7000,7000,20000,20000,7000,7000,6800,6800,20000,,7000,22046,22046,22046,16535,25353,25353,23888,7716,7716,22046,22046,22046,22046,22046,22046,22046,22046,14881,24251,8500,22928,22928,22928,22050,22050,22050,24600,24600,26350,7716,7716,12304,11350,11350,"8,800 144 ft. x 46 ft.",9240,5000,9507,4400,4400,3163,3660,29101,29101
MOONPOOL LENGHT (ft.),20 ft. x 40 ft.,20 ft. x 40 ft.,20 ft. x 40 ft.,,21 ft. x 44 ft.,91 ft. x 25 ft.,19 ft. x 35 ft.,15 ft. x 36 ft.,19 ft.7 in. x 23 ft.2 in.,21 ft. x 44 ft.,20 ft. x 17 ft.,91 ft. x 25 ft.,91 ft. x 25 ft.,91 ft. x 25 ft.,20 ft. x 20 ft.,32 ft. x 20 ft.,21.4 ft. x 100,22 ft. x 94 ft.,25 ft. x 45 ft.,25 ft. x 45 ft.,25 ft. x 45 ft.,25 ft. x 45 ft.,79 ft. x 20 ft.,90 ft. x 20 ft.,52.3 ft. x 19.5 ft.,52.3 ft. x 19.5 ft.,19.94 ft. x 60.75 ft.,21 ft. x 93 ft.,23 ft. x 70 ft.,76.5 ft. x 22 ft.,28 ft. x 38 ft.,82.5 ft. x 21.3 ft.,63 ft. x 20 ft.,23 ft. x 26 ft.,21 ft. x 89 ft.,23 ft. x 33 ft.,63 ft. x 20 ft.,59 ft. x 20 ft.,29.6 ft. x 23.6 ft.,,20 ft. x 18 ft.,26 ft. x 74 ft.,23 ft. x 25 ft.,135.6 ft. x 29.52 ft.,135.6 ft. x 29.52 ft.,3 ea 33 ft. x 80 ft.,20 ft. x 75 ft.,30 ft. x 120 ft.,30 ft. x 120 ft.,30 ft. x 120 ft.,30 ft. x 120 ft.,30 ft. x 120 ft.,30 ft. x 120 ft.,39.4 ft. x 31.0 ft.,39.4 ft. x 31.0 ft.,80 ft. x 20 ft.,80 ft. x 20 ft.,80 ft. x 20 ft.,80 ft. x 20 ft.,41 ft. x 84 ft.,41 ft. x 84 ft.,41 ft. x 84 ft.,41 ft. x 84 ft.,,,100 ft. x 30 ft.,100 ft. x 30 ft.,100 ft. x 30 ft.,31 ft. x 20 ft.,22.5 ft. x 26 ft.,27 ft. x 23 ft.,27 ft. x 23 ft.,,103 ft. x 23 ft.,103 ft. x 23 ft.,23.6 ft. x 27.1 ft.,89.2 ft. x 36.7 ft.,64 ft. x 41 ft.,23 ft. x 47.5 ft.,23 ft. x 47.5 ft.,84 ft. x41 ft.,84 ft. x41 ft.,84 ft. x41 ft.,84 ft. x41 ft.,,,,,94 ft. x 41 ft.,94 ft. x 41 ft.,94 ft. x 41 ft.,94 ft. x 41 ft.,,,,,131 ft. x 30 ft.,126 ft. x 41 ft.,126 ft. x 41 ft.,95 ft. x 23 ft.,118.6 ft. x 37.6 ft.,137.8 ft. x 26.2 ft.,,63 ft. x 39 ft.,,,,,63 ft. x 26 ft.,63 ft. x 26 ft.,84 ft. x 31 ft.,84 ft. x 31 ft.,,,,,84 ft. x 31 ft.,,,84 ft. x 41 ft.,84 ft. x 41 ft.,84 ft. x 41 ft.,84 ft. x 41 ft.,82 ft. x 41.3 ft.,82 ft. x 41.3 ft.,73.5 ft. x 42 ft.,75 ft. x 34 ft.,75 ft. x 34 ft.,72.5 ft. x 30 ft.,72.5 ft. x 30 ft.,72.5 ft. x 30 ft.,72.5 ft. x 30 ft.,84 ft. x 41 ft.,84 ft. x 41 ft.,84 ft. x 41 ft.,72 ft. x 30 ft.,136 ft. x 25 ft.,52 ft. x 40 ft.,26 ft. x 28 ft.,42 ft. x 41 ft.,42 ft. x 41 ft.,42 ft. x 41 ft.,80 ft. x 30 ft.,80 ft. x 30 ft.,80 ft. x 30 ft.,42 ft. x 42 ft.,42 ft. x 42 ft.,74 ft. x 42 ft.,140 ft. x 28 ft.,140 ft. x 28 ft.,29 ft. x 29.3 ft.,135 ft. x 26 ft.,135 ft. x 26 ft.,144 ft. x 46 ft.,25 ft. x 25 ft.,23 ft. x 16 ft.,26 ft. x 26 ft.,20 ft. x 20 ft.,20 ft. x 20 ft.,22 ft. x 16,26 ft. x 24,82 ft. x 41 ft.,82 ft. x 41 ft.
MOONPOOL BREADTH (ft.),20 ft. x 40 ft.,20 ft. x 40 ft.,20 ft. x 40 ft.,,21 ft. x 44 ft.,91 ft. x 25 ft.,19 ft. x 35 ft.,15 ft. x 36 ft.,19 ft.7 in. x 23 ft.2 in.,21 ft. x 44 ft.,20 ft. x 17 ft.,91 ft. x 25 ft.,91 ft. x 25 ft.,91 ft. x 25 ft.,20 ft. x 20 ft.,32 ft. x 20 ft.,21.4 ft. x 100,22 ft. x 94 ft.,25 ft. x 45 ft.,25 ft. x 45 ft.,25 ft. x 45 ft.,25 ft. x 45 ft.,79 ft. x 20 ft.,90 ft. x 20 ft.,52.3 ft. x 19.5 ft.,52.3 ft. x 19.5 ft.,19.94 ft. x 60.75 ft.,21 ft. x 93 ft.,23 ft. x 70 ft.,76.5 ft. x 22 ft.,28 ft. x 38 ft.,82.5 ft. x 21.3 ft.,63 ft. x 20 ft.,23 ft. x 26 ft.,21 ft. x 89 ft.,23 ft. x 33 ft.,63 ft. x 20 ft.,59 ft. x 20 ft.,29.6 ft. x 23.6 ft.,,20 ft. x 18 ft.,26 ft. x 74 ft.,23 ft. x 25 ft.,135.6 ft. x 29.52 ft.,135.6 ft. x 29.52 ft.,3 ea 33 ft. x 80 ft.,20 ft. x 75 ft.,30 ft. x 120 ft.,30 ft. x 120 ft.,30 ft. x 120 ft.,30 ft. x 120 ft.,30 ft. x 120 ft.,30 ft. x 120 ft.,39.4 ft. x 31.0 ft.,39.4 ft. x 31.0 ft.,80 ft. x 20 ft.,80 ft. x 20 ft.,80 ft. x 20 ft.,80 ft. x 20 ft.,41 ft. x 84 ft.,41 ft. x 84 ft.,41 ft. x 84 ft.,41 ft. x 84 ft.,,,100 ft. x 30 ft.,100 ft. x 30 ft.,100 ft. x 30 ft.,31 ft. x 20 ft.,22.5 ft. x 26 ft.,27 ft. x 23 ft.,27 ft. x 23 ft.,,103 ft. x 23 ft.,103 ft. x 23 ft.,23.6 ft. x 27.1 ft.,89.2 ft. x 36.7 ft.,64 ft. x 41 ft.,23 ft. x 47.5 ft.,23 ft. x 47.5 ft.,84 ft. x41 ft.,84 ft. x41 ft.,84 ft. x41 ft.,84 ft. x41 ft.,,,,,94 ft. x 41 ft.,94 ft. x 41 ft.,94 ft. x 41 ft.,94 ft. x 41 ft.,,,,,131 ft. x 30 ft.,126 ft. x 41 ft.,126 ft. x 41 ft.,95 ft. x 23 ft.,118.6 ft. x 37.6 ft.,137.8 ft. x 26.2 ft.,,63 ft. x 39 ft.,,,,,63 ft. x 26 ft.,63 ft. x 26 ft.,84 ft. x 31 ft.,84 ft. x 31 ft.,,,,,84 ft. x 31 ft.,,,84 ft. x 41 ft.,84 ft. x 41 ft.,84 ft. x 41 ft.,84 ft. x 41 ft.,82 ft. x 41.3 ft.,82 ft. x 41.3 ft.,73.5 ft. x 42 ft.,75 ft. x 34 ft.,75 ft. x 34 ft.,72.5 ft. x 30 ft.,72.5 ft. x 30 ft.,72.5 ft. x 30 ft.,72.5 ft. x 30 ft.,84 ft. x 41 ft.,84 ft. x 41 ft.,84 ft. x 41 ft.,72 ft. x 30 ft.,136 ft. x 25 ft.,52 ft. x 40 ft.,26 ft. x 28 ft.,42 ft. x 41 ft.,42 ft. x 41 ft.,42 ft. x 41 ft.,80 ft. x 30 ft.,80 ft. x 30 ft.,80 ft. x 30 ft.,42 ft. x 42 ft.,42 ft. x 42 ft.,74 ft. x 42 ft.,140 ft. x 28 ft.,140 ft. x 28 ft.,29 ft. x 29.3 ft.,135 ft. x 26 ft.,135 ft. x 26 ft.,144 ft. x 46 ft.,25 ft. x 25 ft.,23 ft. x 16 ft.,26 ft. x 26 ft.,20 ft. x 20 ft.,20 ft. x 20 ft.,22 ft. x 16,26 ft. x 24,82 ft. x 41 ft.,82 ft. x 41 ft.
STATION KEEPING or MOORING SYSTEMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
